Month,DBJP,DFJ,DIM,DLS,DOL,DOO,DTH,DVYA,DWM,DXJ,ENZL,EPP,EWA,EWH,EWJ,EWS,EWT,EWV,EWY,EZJ,FAUS,FDT,FDTS,FHK,FJP,FKO,FPA,GWX,IDHQ,JPXN,PDN,PXF,SCJ,VPL
2019-05,-0.04964189,-0.04644008,-0.04704578,-0.04314192,-0.02886861,-0.03187348,-0.03513514,-0.00482648,-0.03464383,-0.06787855,-0.01460849,-0.02682403,0.0055325,-0.05761941,-0.03512584,-0.08213716,-0.08202688,0.06984017,-0.08868852,-0.0738052,-0.00263071,-0.05736804,-0.07811678,-0.0498105,-0.05426045,-0.07651246,-0.0665779,-0.04499511,-0.0391656,-0.03412739,-0.04881266,-0.05041003,-0.03811406,-0.03974706
2019-04,0.0029615,-0.0155418,0.00970256,0.01122586,0.01259876,-0.00096339,0.00860162,0.00343249,0.01172791,0.00444359,0.00038234,0.0023595,0.00045956,-0.00637899,0.00018047,0.04185661,0.02722843,-0.0045582,-0.01078037,-0.00239449,-0.02296651,-0.00615496,0.02812331,-0.03095488,-0.01068038,-0.01476977,-0.03484995,0.00520494,0.01862278,-0.00768331,0.00690562,0.0162819,-0.00725548,-0.00254339
2019-03,-0.00475238,-0.00698893,-0.00767141,-0.00783959,0.00324605,0.0175482,0.00323866,-0.00668511,0.00257426,-0.01268045,0.04789579,0.00591716,0.00419972,0.01118827,0.00366838,0.00935772,0.03688156,-0.00812458,-0.0333069,0.0012285,0.01832461,0.00110477,-0.01517976,0.03727891,0.00545455,-0.02920962,-0.00425393,-0.00915033,0.00309187,0.00510986,-0.01191658,-0.01291108,0.00283728,-0.00030358
2019-02,0.02326182,0.01371681,0.02153543,0.02266377,0.02357651,0.01251564,0.02143951,0.00928936,0.0217303,0.01923077,0.02212115,0.03987168,0.03501946,0.05940188,0.00554939,0.00170721,0.00545124,-0.0146228,-0.01670831,0.01155528,0.02246061,0.01085329,0.03490929,0.02481874,0.00060435,-0.0255337,0.02714477,0.0235136,0.02818182,0.00706288,0.01659329,0.01767928,0.01474415,0.01392542
2019-01,0.06504961,0.04985337,0.08089409,0.07533677,0.06366864,0.06932548,0.06930423,0.08858517,0.06150194,0.07599569,0.06183089,0.0877106,0.07801047,0.10747873,0.06347962,0.06606335,0.06425831,-0.12507357,0.11451696,0.12162162,0.11601796,0.1026694,0.09003889,0.07687688,0.03478981,0.06461676,0.10636732,0.06683345,0.07247796,0.06305814,0.07163531,0.07419269,0.05859911,0.07370683
2018-12,-0.11957313,-0.10370267,-0.06171201,-0.07476923,-0.06382979,-0.0444953,-0.05566957,-0.0565455,-0.06024341,-0.12952882,-0.04085035,-0.04862085,-0.05498282,-0.03629377,-0.08929213,-0.04659189,-0.04816376,0.18858131,-0.04230394,-0.15543735,-0.03761533,-0.07715525,-0.09535452,-0.07909292,-0.09247028,-0.00044543,-0.06811146,-0.08459016,-0.06094183,-0.08865841,-0.07671692,-0.06550436,-0.10361413,-0.07660613
2018-11,0.02032622,0.01241084,-0.01373036,-0.01180438,-0.00178492,-0.01138376,-0.00768836,0.00944996,-0.00427611,0.0063279,0.03355851,0.01256039,-0.00595533,0.04970087,0.01142015,0.00089047,-0.01765601,-0.03344262,0.01873935,0.01866346,-0.02254596,-0.01464992,-0.02655827,0.05637181,0.02571148,0.04515829,0.0125493,-0.00757077,-0.00841515,0.01198835,-0.00841184,-0.0107339,0.02174531,0.01528763
2018-10,-0.10378839,-0.09568383,-0.08225508,-0.08994334,-0.0673945,-0.05547481,-0.06217996,-0.0442457,-0.07513791,-0.10389165,-0.0694125,-0.08261657,-0.06770099,-0.11148507,-0.09556257,-0.08287758,-0.12411348,0.21171717,-0.14247352,-0.17937992,-0.08418043,-0.12343803,-0.12542291,-0.10992709,-0.11653352,-0.15199368,-0.11585761,-0.1114098,-0.0875596,-0.0946572,-0.10165848,-0.0774779,-0.1033907,-0.10155692
2018-09,0.06676343,0.03806041,0.01691729,0.01222318,0.02081545,0.02325581,0.02316314,0.01883643,0.02003112,0.06864564,0.00167891,-0.00450857,-0.00513779,-0.00922045,0.04749387,0.02987013,0.00329489,-0.09090909,0.02262375,0.10016243,-0.0158829,0.0170778,0.02752294,-0.02780807,0.05434783,0.01645265,-0.01339286,0.00874811,0.00129926,0.05004075,0.01244555,0.02190476,0.03200427,0.03162406
2018-08,-0.01348474,-0.02403846,-0.0169621,-0.01748496,-0.02436485,-0.02624672,-0.02339604,-0.02559373,-0.01965602,-0.01996403,0.02751706,-0.00732519,-0.01051188,-0.0083091,-0.01180294,-0.02180294,0.00327511,0.01704545,0.00743325,-0.01686122,0.0,-0.0206839,-0.02565332,-0.05536956,-0.02228561,0.00241352,-0.02291994,-0.00208831,-0.00727117,-0.0171347,-0.01150121,-0.02328262,-0.01681977,-0.01070757
2018-07,0.03819616,0.02338634,0.03127456,0.02199058,0.040869,0.0427055,0.04084682,0.0390625,0.0375852,0.043429,0.010228,0.0321558,0.02746741,0.03730394,0.0270557,0.03591519,0.05867052,-0.05403484,0.01561304,0.06609513,0.02196053,0.02917453,0.04426107,0.02318841,0.02556976,-0.00679185,0.01909004,0.01575758,0.0331565,0.02663834,0.02630764,0.03613026,0.01587092,0.0260107
2018-06,-0.01647171,-0.03881537,-0.0372922,-0.03674969,-0.01719799,-0.01497585,-0.02059607,-0.02468007,-0.02061271,-0.02365787,0.00849618,-0.01648714,0.01444548,-0.0541502,-0.0298835,-0.07656066,-0.03432051,0.04868624,-0.07863154,-0.05627814,-0.01442911,-0.04618603,-0.04185939,-0.080355,-0.03900647,-0.08247801,-0.05851375,-0.03884892,0.02078032,-0.03003891,-0.03066038,-0.02412684,-0.03250813,-0.03426879
2018-05,-0.02342087,-0.01378101,-0.01823573,-0.01070896,-0.02569373,-0.02506503,-0.03077652,-0.00250398,-0.02449434,-0.03513465,0.02880838,0.00509639,0.01234568,0.01119552,-0.01407979,-0.04867091,0.01312785,0.02902584,-0.04071178,-0.02630297,0.01593372,0.00948953,-0.03429603,0.01213887,-0.01282496,-0.05514577,0.00590493,0.0,0.00599829,-0.01146931,-0.00765607,-0.02589507,-0.0074869,-0.00999718
2018-04,0.05228922,0.02066854,0.02955965,0.01734581,0.03900784,0.03833008,0.04044118,0.02234117,0.03663214,0.04649419,-0.01711962,0.02929062,0.02544031,0.02878289,0.01981213,0.06227687,-0.03085399,-0.03522205,0.01913091,-0.01652695,0.04530313,0.01405888,0.02867889,0.02462687,0.01421302,0.0066925,-0.0113109,0.02218279,0.02943761,0.02061693,0.03023889,0.03873075,0.01336191,0.02272727
2018-03,0.02786145,0.02134185,0.00969403,0.01092896,0.00693715,0.02388574,0.00458273,-0.0186979,0.0060906,0.01544473,0.00834225,-0.02119205,-0.02849136,-0.01124047,0.02329166,0.00312989,0.0417718,-0.06051437,0.05201413,0.04794177,-0.02138525,0.01115669,0.00163361,-0.03317422,0.02199542,0.02046577,0.0,0.01058512,0.02020202,0.02446338,0.0084312,0.00648749,0.03548552,0.01460481
2018-02,-0.05719515,-0.03245582,-0.04530606,-0.04794257,-0.05612245,-0.05730002,-0.05501691,-0.06378947,-0.05608804,-0.06154106,-0.02857143,-0.03905425,-0.0443459,-0.03000779,-0.03452152,-0.03242836,-0.04899598,0.05094737,-0.06569439,-0.05092492,-0.0407226,-0.04609218,-0.06114101,-0.04596387,-0.04558776,-0.03902602,-0.02574637,-0.04944751,-0.03806372,-0.03826267,-0.05187482,-0.05741935,-0.03527995,-0.04114394
2018-01,0.01779859,0.03624921,0.0423981,0.03433534,0.04427137,0.04380086,0.0370718,0.01,0.04054054,0.01570861,0.0360925,0.02648719,0.01906491,0.0343725,0.0439616,0.04091267,0.04990188,-0.0797546,0.0312667,0.08206107,0.01365611,0.0460068,0.05554301,0.03731875,0.02617359,0.04066161,0.0422978,0.03699455,0.03455631,0.04430281,0.04151943,0.0452397,0.04006066,0.03929825
2017-12,0.01718377,0.02876855,0.01829547,0.03069871,0.01485356,0.01,0.01563252,0.0268545,0.01477273,0.03103264,0.05063001,0.03049469,0.03893637,0.02273667,0.0114844,0.00362319,0.00659782,-0.02398524,0.02780868,0.02120838,0.03809219,0.02241177,0.03338859,-0.01758555,0.02285319,0.0302921,0.02420307,0.02865672,0.01557093,0.00329257,0.02863235,0.02108922,0.02338877,0.01946928
2017-11,0.00332621,0.01988412,0.0067433,0.0023621,0.00587002,0.00391007,0.00072046,0.01021995,0.00722983,-0.0010582,0.0055931,0.01051429,-0.00190204,0.02924968,0.01577396,0.02861883,-0.02428133,-0.03963964,-0.01410379,0.02579514,0.00385604,0.00317992,0.02806678,0.00499762,0.01823921,0.00798838,-0.00583601,0.02101096,0.00349345,0.01902346,0.01104972,0.00023127,0.02566817,0.01383629
2017-10,0.06191083,0.03640345,0.02085947,0.01396333,0.01211477,0.01241927,0.00509709,-0.00950696,0.01039261,0.0582689,-0.02878345,0.00532407,0.00721848,-0.00256301,0.05285373,0.04039965,0.05001462,-0.1005461,0.07991556,0.10985915,0.02166776,0.02452928,0.0286212,-0.00384061,0.0378578,0.06499608,0.02963642,0.01769088,0.01322168,0.05377248,0.0179471,0.01772631,0.03519384,0.04272588
2017-09,0.0434435,0.02208246,0.0136443,0.02337325,0.02344768,0.02124968,0.02377415,-0.00178055,0.02543375,0.05047695,0.01823985,-0.01421041,-0.01663498,-0.00595745,0.02232645,-0.01630901,-0.04169014,-0.03617811,0.00577683,0.02532014,-0.00619902,0.01988037,0.01756619,0.03425856,0.02342274,-0.03549849,-0.01450151,0.01254705,0.02246181,0.01795486,0.0124283,0.02762297,0.01465048,0.01052795
