Name,SR_month,Omega_month,RisknessR_month
THD,0.22802175795431404,0.3145740987253444,10.261423595933632
DEM,0.1978295910525961,0.297425143020913,10.040216389405051
EDIV,0.17472282193594335,0.256499562904353,8.573813266810683
INDY,0.15331393448744374,0.214104018840152,6.9611394410816745
EEMV,0.1039662361222259,0.1219179364494891,6.784236708681934
DBEM,0.10199938003087602,0.12483921608172593,6.625823162518349
SPEM,0.12070049606408202,0.14159425876373147,6.550002472255731
DGS,0.12707825090301542,0.13535755249365175,6.079058735352809
FEM,0.12912012381576002,0.19020934688665342,5.937078120609658
ASEA,0.1082220735921896,0.12429205534761703,5.782324954054202
VWO,0.10832128551885335,0.1287280354505519,5.694525106445097
ADRE,0.12385886120289322,0.14992784430664727,5.677991269699315
PIN,0.11989744696593457,0.18578672860065945,5.649577412728352
AIA,0.12572538539813302,0.13126742285538537,5.47338743748391
EEM,0.1047045814506243,0.12983359611986509,5.248952348830231
EPI,0.1155482313217821,0.13779686477748268,5.0452697335871655
GMF,0.09991777730602097,0.11959156973573286,5.02202918222915
EEMA,0.10050609095029121,0.12549737801249108,4.749264213224452
INDA,0.09911700476213683,0.12532107869946277,4.556281388359737
AAXJ,0.08632402257363825,0.11188907104053196,4.134723440145516
CXSE,0.13118462812680273,0.17490707447793583,3.8417668461775842
FCA,0.09733499509238214,0.10322197508656479,3.4349771278838763
MCHI,0.08002944628797372,0.09420354081093196,2.9803810234256534
FNI,0.0651640511377802,0.0868615117357708,2.8629568007995037
CHIE,0.07046453056058531,0.10011145676135441,2.730378903196827
FEMS,0.06115437233153354,0.08548795174734826,2.5743820434467453
GXC,0.06758975424115775,0.07975846812088185,2.5490860412607197
EET,0.09696991173841803,0.11217512798346177,2.4400091938373234
VNM,0.051847329701354423,0.05908997378621432,2.225033498492367
FXI,0.052563198186173915,0.06965158313889876,2.1550833846519035
EWX,0.03705197188768943,0.04503120053079269,2.127189734630088
INCO,0.043556811319036735,0.052808836105005974,1.8565374946420854
IDX,0.04360980970407742,0.04986262900196485,1.8365123921513684
EWM,0.03592054361482773,0.06253505030374033,1.8209586827252218
CHIX,0.050434619055043796,0.0673926885094872,1.771546806135556
CHII,0.048323781811212496,0.059034686220809963,1.7534072919149293
CQQQ,0.04843378955786295,0.053184621129271095,1.4730159641839915
PIE,0.0272135315965085,0.0303988087048321,1.471424219068915
EIDO,0.0343967526884469,0.04142368762657519,1.4504230884722331
CHIQ,0.041176262817647816,0.04567692609491099,1.406509640476769
INDL,0.08798224286020348,0.1423836453967505,1.3473922925454518
EDC,0.08027958653517497,0.0982422564496869,1.341405631463267
SMIN,0.03681465891671237,0.04275256216084748,1.2398588082426512
XPP,0.05001269432346693,0.0702924540421501,1.0186058497753205
CHIM,0.03256543980215163,0.035512505089678556,1.0047934388063158
INXX,0.01616251749265961,0.020375271548434618,0.5705119109110449
YINN,0.03164372641624655,0.0452947221510351,0.4344467319772558
ECNS,0.007566568569704522,0.007922986158571356,0.3168508833844225
HAO,0.0071104307133044815,0.007586391979565247,0.2801701945700527
PGJ,0.002101436014441808,0.0025232371784586157,0.06522016545335131
PEK,-0.0014086020249109116,-0.0017014836206939849,-0.04970260956164978
EPHE,-0.034502164853186905,-0.041796531348835604,-1.5307587825328328
SCIF,-0.058865754538689,-0.06590801687366978,-1.7068230560408764
SCIN,-0.06555104179965725,-0.07727168698531335,-1.8351889655640141
YANG,-0.2104510324712803,-0.3254728677618276,-2.5582365495493438
FXP,-0.15569864619376364,-0.23456834496214388,-3.1176783172831835
EDZ,-0.2670026345850002,-0.3627231229468189,-4.375968465168069
EEV,-0.2315317321276995,-0.2818508765513172,-5.8139793899584316
YXI,-0.16972882805795822,-0.25174754614718636,-6.755280124807017
EUM,-0.2314443958414534,-0.2831186036773736,-11.655613718199618
