Week,AAXJ,ADRE,AIA,ASEA,CHIE,CHII,CHIM,CHIQ,CHIX,CQQQ,CXSE,DBEM,DEM,DGS,ECNS,EDC,EDIV,EDZ,EEM,EEMA,EEMV,EET,EEV,EIDO,EPHE,EPI,EUM,EWM,EWX,FCA,FEM,FEMS,FNI,FXI,FXP,GMF,GXC,HAO,IDX,INCO,INDA,INDL,INDY,INXX,MCHI,PEK,PGJ,PIE,PIN,SCIF,SCIN,SMIN,SPEM,THD,VNM,VWO,XPP,YANG,YINN,YXI
2019-21,0.00320317,0.00664187,0.0010506,-0.01081425,0.0,0.0007722,0.00672043,-0.01087695,0.00769231,0.00354191,-0.00043738,0.00324826,0.01430956,0.01019483,0.00362056,0.03975293,0.0257766,-0.03827392,0.01197306,0.0016,0.01067806,0.02474779,-0.02640333,0.02174822,0.0258467,-0.00075959,-0.01212121,0.02737803,0.01251771,0.01208216,0.00866176,0.0176416,0.0,0.00897084,-0.01790281,0.0030349,0.00111857,0.00459674,0.0259366,-0.00988905,0.00252667,0.0068161,0.0007726,-0.00175901,0.00253119,0.00373433,0.00201787,0.00809465,0.00117739,-0.00754183,0.01162791,-0.00074627,0.01247031,0.00409556,-0.00123533,0.01300976,0.01877045,-0.02039758,0.0257732,-0.00787789
2019-20,-0.00501825,-0.00500923,-0.00936037,0.00064144,-0.0198556,-0.01519757,-0.01355014,-0.02491582,-0.00064475,-0.03081168,-0.01995662,-0.00788863,0.00310337,-0.00272851,-0.00606649,-0.01305031,-0.0071708,0.01072638,-0.00423729,-0.01225919,0.00071403,-0.00674193,0.00813008,0.04667547,0.02347561,0.00888374,0.00303337,-0.00528914,0.00454328,-0.00410172,0.00353201,-0.00155569,-0.01390096,-0.01187825,0.02376494,-0.00616683,-0.02029785,-0.01384228,0.03965863,-0.00265252,0.00653224,0.02263793,0.00494792,-0.02170139,-0.02017497,-0.00485306,-0.02970852,-0.00062696,0.00594059,0.03018405,-0.00785714,0.02438392,-0.00325636,0.00532284,-0.01576713,-0.00200351,-0.02710486,0.03465259,-0.03633315,0.0104115
2019-19,-0.00075267,-0.01670951,-0.00648907,-0.00896861,0.00089606,0.00152207,0.00402414,0.00985545,0.01681759,-0.01241289,-0.01038781,-0.00276116,0.00191433,-0.00874439,0.00333492,-0.02416553,-0.00324465,0.01987529,-0.00714638,-0.0059918,-0.00514549,-0.01226806,0.01495088,-0.04648188,-0.00153752,0.02870216,0.00716113,0.01102418,-0.00781991,0.01206273,-0.00219394,-0.01585366,0.00606236,0.00861645,-0.01916376,-0.0015007,-0.00085791,0.00246002,-0.04318292,0.03529717,0.03182375,0.09241034,0.03814637,0.01488372,-0.00276625,0.01658961,-0.00776855,-0.00921376,0.02588036,0.02194026,0.00675676,0.02693696,-0.00441566,-0.01953657,0.0173482,-0.00521351,0.01373304,-0.02938034,0.02638813,-0.01240695
2019-18,-0.03575435,-0.03021513,-0.0288,-0.00924784,-0.04180887,-0.03067933,-0.0377943,-0.0406942,-0.05902981,-0.03846154,-0.03558172,-0.02868318,-0.02589144,-0.01615303,-0.02545045,-0.09306344,-0.0084296,0.09650153,-0.03070884,-0.03604531,-0.02315754,-0.06464592,0.06447718,-0.0284,-0.03327546,-0.04475309,0.03107961,-0.02078365,-0.01797753,-0.03433962,-0.02903885,-0.0231826,-0.04311951,-0.04046639,0.08192327,-0.03042169,-0.03854177,-0.0370229,-0.02726034,-0.02270484,-0.04249857,-0.12669622,-0.0408217,-0.05762712,-0.04129464,-0.02520161,-0.05566359,-0.01859384,-0.04461113,-0.0402119,-0.05696637,-0.04207286,-0.02694444,-0.01127446,-0.00549451,-0.02729818,-0.08040852,0.12618575,-0.12244898,0.0452099
2019-17,0.00842541,0.00717017,0.00724866,0.00550122,-0.01791531,0.00352609,-0.0112626,0.01754386,0.0113701,0.01589794,0.01486757,0.00987973,0.00630773,0.0098781,0.00460425,0.0183984,0.01220275,-0.01737216,0.00568569,0.00827406,0.0016714,0.00948545,-0.01244091,-0.01884615,0.02555911,-0.00076336,-0.00553403,-0.00101078,0.00666371,0.00647948,0.00724346,0.01358234,0.00917912,0.00335121,-0.00683012,0.00961538,0.00671272,0.01305483,-0.0187855,-0.00529865,0.00028114,-0.00270723,0.00813221,0.00592217,0.01349655,0.01136638,0.01744742,0.01916376,0.00313972,-0.01450292,-0.01891892,-0.00101549,0.00685683,0.01501502,-0.01018574,0.00945136,0.00439802,-0.01151586,0.00525253,-0.00274424
2019-16,-0.00811443,-0.00690805,-0.00928841,-0.00184049,-0.02875399,-0.04784367,-0.04251701,-0.0155351,-0.02016807,-0.01029926,-0.01431039,0.00343938,-0.0122331,-0.01339654,-0.02763018,-0.03047729,-0.0141582,0.02748626,-0.00880958,-0.00906997,0.00067002,-0.02317542,0.01842504,-0.00877193,0.00203134,0.01121857,0.01003904,0.01364256,-0.00790861,-0.02010582,-0.0115354,-0.01379691,0.00317376,-0.01566983,0.0320846,-0.00445633,-0.00956799,-0.01750547,-0.00650759,-0.02100543,0.01427756,0.03887021,0.00953895,-0.00170213,-0.01273687,-0.0320781,0.00240038,0.00290192,0.01431981,0.00257792,-0.01011463,-0.00403836,-0.00736096,-0.00529626,0.00420926,-0.00662857,-0.03547523,0.04942781,-0.05205905,0.01609323
2019-15,0.00909091,0.01204819,0.01167929,0.00862069,-0.00648824,-0.00806452,0.01755379,0.02701116,0.02383655,0.02013423,0.0190583,0.01121173,0.00849352,0.00392319,0.00747384,0.02797446,0.0086741,-0.02555831,0.00974394,0.00502874,0.00234388,0.02100245,-0.01732363,0.02340752,0.00697067,0.00151286,-0.00889383,-0.01518731,0.00330106,-0.00034819,0.00435471,0.00609418,0.01224707,0.01780548,-0.03370985,0.01172263,0.01398737,0.00878156,0.02751092,0.00093132,0.00703433,0.02355819,0.00813648,-0.00083963,0.01390625,0.03296182,0.01166748,0.00640279,0.0086478,-0.01355014,-0.01945525,-0.00270603,0.00986301,0.01314617,-0.01824603,0.01172414,0.02962762,-0.04593051,0.0473161,-0.01489244
2019-14,0.00315198,-0.01459854,0.00472515,0.00246457,-0.00238284,-0.00932091,-0.02671756,0.00347423,-0.01552106,-0.00347155,-0.00073233,0.0025729,-0.00066681,0.0024727,0.0010591,-0.00534881,0.00124069,0.00327952,-0.0009009,0.00043011,0.00116998,-0.00636132,0.0015213,-0.0160061,-0.00629291,0.0049505,0.00111794,-0.01893688,-0.00547645,0.00731452,-0.01166407,-0.00980926,-0.00470711,-0.0059068,0.01039767,0.00029644,0.00153389,0.00688406,-0.00653595,0.01842105,0.00283206,0.00835946,0.00290544,-0.00501672,0.00277564,-0.00985109,-0.01380763,-0.00057703,0.00554017,0.01609936,0.01869159,0.00647249,-0.00108962,0.01044357,0.00644405,-0.00205386,-0.00842771,0.01397206,-0.01923802,0.00616246
2019-13,0.02022033,0.01585014,0.02667952,0.01621959,-0.00875796,0.01763908,0.04819277,0.01882353,0.02774632,0.03140529,0.027356,0.02094241,0.01214302,0.01481018,0.02030676,0.05073591,0.00621891,-0.04890913,0.01764841,0.0229264,0.00704698,0.03460526,-0.03336605,0.01852567,0.00903527,0.00150659,-0.0159516,0.01414141,0.00996016,0.02908438,0.01259347,0.01246883,0.01370946,0.01934193,-0.03842087,0.01541233,0.02515476,0.02603198,0.01360246,-0.00447269,0.0042123,0.00673187,0.00183198,0.00249169,0.02478295,0.02660443,0.02622714,0.00638051,0.00156495,-0.01546392,-0.01162791,-0.00464207,0.01047698,-0.00101078,0.00470312,0.01645804,0.0376847,-0.05813953,0.05859066,-0.01930502
2019-12,0.01551501,0.02080753,0.00957728,-0.00252207,0.02175732,0.03909026,0.00959808,0.03219814,0.01707892,0.03150599,0.03122106,0.01656222,0.00297415,0.0083476,0.01155299,0.02637334,0.0128041,-0.02750055,0.00917,0.00985222,0.00628183,0.02145329,-0.02000931,0.0,0.00116754,0.02771272,-0.00857909,-0.00432325,0.00814295,0.01643017,-0.00239139,0.00225543,0.03856903,0.01770115,-0.03355927,0.02002271,0.02034588,0.02121095,0.00221828,0.01294964,0.01878613,0.05529444,0.01962893,0.01617021,0.0242822,0.03543798,0.04414042,0.01796407,0.0128,0.03735225,0.03396739,0.0339719,0.01131222,-0.00518076,0.01098901,0.0128694,0.03816132,-0.05246184,0.05176164,-0.01653333
2019-11,-0.01972943,-0.02646776,-0.01735323,-0.01871491,-0.02022654,-0.01718213,-0.0011919,-0.01898347,-0.02558272,-0.04136104,-0.02351725,-0.02005231,-0.02643369,-0.02411407,-0.0081087,-0.07809137,-0.03252033,0.07728781,-0.02594123,-0.01547531,-0.01671961,-0.0535315,0.05141326,-0.01983976,0.00380117,-0.02439024,0.02690829,-0.03009709,-0.02390438,-0.01046931,-0.02960654,-0.03453947,-0.02859477,-0.03111803,0.06123526,-0.02091543,-0.02782729,-0.0197119,-0.01436657,-0.03484079,-0.02172073,-0.06827771,-0.02157895,-0.02081599,-0.02904101,-0.02106028,-0.03614158,-0.02112676,-0.02070313,-0.03353102,-0.00927767,-0.02191235,-0.02436998,0.00386232,-0.04079254,-0.02792646,-0.06496488,0.09181259,-0.09226541,0.03031974
2019-10,0.01340058,0.01722441,0.01357616,0.00694006,0.02671119,-0.00209205,-0.00178253,-0.00248911,0.00404624,0.00640761,0.01143921,0.01206434,0.01333027,0.01351062,0.00446429,0.04581236,0.01305732,-0.04682713,0.0155587,0.01475015,0.00866905,0.02714305,-0.03190014,0.02368733,0.00416171,0.02764613,-0.01550802,0.00957412,0.01127142,0.02225575,0.0188755,0.01778656,0.00498477,0.01972477,-0.03740483,0.01333747,0.01176232,0.00076717,0.02804161,0.00843486,0.02006397,0.06625491,0.035252,0.01189465,0.01128557,-0.00419753,0.00504923,0.01262019,0.02210611,0.00232072,0.01335113,0.02399796,0.01560726,0.00056606,0.01567209,0.01456543,0.03681948,-0.05289292,0.05493562,-0.01759062
