Month,AAXJ,ADRE,AIA,ASEA,CHIE,CHII,CHIM,CHIQ,CHIX,CQQQ,CXSE,DBEM,DEM,DGS,ECNS,EDC,EDIV,EDZ,EEM,EEMA,EEMV,EET,EEV,EIDO,EPHE,EPI,EUM,EWM,EWX,FCA,FEM,FEMS,FNI,FXI,FXP,GMF,GXC,HAO,IDX,INCO,INDA,INDL,INDY,INXX,MCHI,PEK,PGJ,PIE,PIN,SCIF,SCIN,SMIN,SPEM,THD,VNM,VWO,XPP,YANG,YINN,YXI
2019-05,-0.08652778,-0.09310675,-0.09109698,-0.04425323,-0.0777592,-0.08668076,-0.09813365,-0.1516035,-0.10017172,-0.16519348,-0.1432142,-0.06850495,-0.03494441,-0.05948112,-0.08695652,-0.2063588,-0.02143758,0.22338902,-0.06949541,-0.08506285,-0.04586694,-0.13939635,0.14638923,-0.05602782,-0.00403807,0.00998081,0.07354555,-0.00880461,-0.04179705,-0.08684593,-0.05708502,-0.06643952,-0.10951009,-0.08559169,0.18457584,-0.07975338,-0.12082515,-0.09928812,-0.06520788,-0.01131985,0.00875706,0.00091217,0.02075125,-0.03404255,-0.12553225,-0.08797867,-0.17198666,-0.05432243,0.00078462,0.01225962,-0.03867403,0.0247449,-0.05931034,-0.01769616,-0.02,-0.06208015,-0.1715446,0.28912648,-0.25031394,0.09391965
2019-04,0.00766978,-0.00048031,0.01542912,0.02121023,-0.04299363,-0.04545455,-0.04819277,0.01117647,-0.00679502,0.01629895,0.00577237,0.01614311,0.00067461,-0.00271172,-0.01533809,0.01160704,-0.00310945,-0.01606329,0.006876,0.00905374,0.00536913,0.00921053,-0.01226693,0.00810498,0.01836199,-0.0165725,-0.00440044,0.0003367,-0.00332005,-0.01184919,-0.02007084,-0.01579385,0.00580016,-0.01089373,0.01727177,0.007506,0.00167043,-0.00148754,0.0118473,-0.02707156,-0.0028082,-0.01778229,-0.00026171,-0.02740864,0.0026835,-0.02963827,0.01395573,0.00290023,-0.00234742,-0.06320036,-0.07041344,-0.04080137,0.00523849,0.01740791,-0.01998824,0.00625869,-0.02426461,0.02634077,-0.03840063,0.01047987
2019-03,0.01741508,0.01427517,0.00575753,-0.00628141,-0.01532258,0.0,-0.02547771,0.02332719,-0.03411633,0.02676145,0.04969028,0.01068091,0.00967296,0.01399053,0.00618785,0.02046559,-0.00063171,-0.03879877,0.01012003,0.01928582,0.00713679,0.02018247,-0.02590194,-0.00734441,0.04097117,0.10676755,-0.01070091,-0.01707157,0.00997054,0.00294768,-0.00595711,0.00423729,0.03914989,0.00226398,-0.01166526,0.03465243,0.01920537,0.00837776,0.00132979,0.03251039,0.08261671,0.24677446,0.09849363,0.09944751,0.01993138,0.01790972,0.02952405,0.02224895,0.07061311,0.12081737,0.12824314,0.10995339,0.0173542,0.00124688,-0.01075269,0.02188026,0.00027855,-0.01782928,-0.00738916,-0.00378174
2019-02,0.01094891,0.01524238,0.00714998,-0.01297899,0.04978541,0.0442541,0.06909548,0.08137189,0.07768187,0.06789155,0.06869451,0.00808625,-0.01275626,0.00521399,0.04635294,-0.02858208,-0.02333436,0.0182954,-0.00748363,0.00699088,-0.00659452,-0.01642014,0.01240637,-0.06300073,-0.03841743,0.00849979,0.00754717,0.00032733,-0.00113636,0.02181401,-0.01106719,0.00141723,0.04073857,0.02082358,-0.0451033,0.01030599,0.02352694,0.04967427,-0.06020067,0.00195791,0.00646552,0.00260799,0.00464981,0.01217228,0.02985581,0.14117309,0.07205003,-0.00658683,0.00551549,-0.01128494,-0.01857355,0.00388781,-0.00340522,-0.01397447,0.06991661,0.00362406,0.03654732,-0.06740221,0.05461056,-0.02246604
2019-01,0.09335869,0.09671233,0.10616563,0.0547588,0.10361217,0.07609531,0.08333333,0.14296754,0.12077295,0.13959391,0.13499258,0.07537206,0.10379242,0.09819306,0.08553137,0.3127093,0.09552438,-0.26005407,0.10061287,0.0930271,0.06511211,0.20344716,-0.18065018,0.09710662,0.0696319,-0.02176591,-0.09310345,0.03569024,0.07210259,0.09833972,0.11359649,0.10534493,0.11911717,0.1130031,-0.20225583,0.08102248,0.13474084,0.08476821,0.09000452,-0.05391705,-0.00425015,-0.03397612,-0.00655457,-0.07277397,0.13338429,0.10636943,0.16761724,0.06887755,-0.00041894,-0.06776084,-0.07738492,-0.05274097,0.09144089,0.08059914,0.06308725,0.09162304,0.23531532,-0.28964709,0.36018957,-0.10349716
2018-12,-0.05615807,-0.07538462,-0.05324431,-0.0384858,-0.10324729,-0.06214286,-0.0839599,-0.09300699,-0.09349845,-0.12549978,-0.11174325,-0.03954023,-0.04506438,-0.04413446,-0.05828516,-0.16331456,-0.03429311,0.17000786,-0.05400823,-0.05585725,-0.018964,-0.1107763,0.11214147,-0.01547005,-0.01116625,0.0169702,0.05662338,-0.01227605,-0.04831591,-0.0970948,-0.04839383,-0.06722689,-0.06682794,-0.07349455,0.1602302,-0.0596807,-0.09439402,-0.08457511,-0.01582994,0.01655934,0.01152913,-0.00579581,0.01058655,0.01194539,-0.09244567,-0.08029197,-0.11680672,-0.05525197,0.00876461,0.01703046,0.01843003,0.01021477,-0.04851514,-0.06206818,-0.06822489,-0.05209372,-0.15065208,0.25358491,-0.21846847,0.08080288
2018-11,0.02348367,-0.00441903,0.01412227,0.0039267,0.02586207,0.04868914,0.00515132,0.0,0.02952756,0.00898618,-0.00015026,0.01086443,-0.00048709,0.02047132,-0.00170441,0.01840846,0.03049814,-0.05486849,0.01276276,0.01855737,0.0233738,0.0199756,-0.03370562,0.08249232,0.03639909,0.05545852,-0.01354062,-0.0218543,0.01558006,0.01751592,-0.00462574,0.01533835,0.00741427,0.02642628,-0.06487973,0.02452133,0.02835052,0.03960818,0.08041958,0.09163746,0.07405002,0.2238806,0.08464143,0.04460303,0.0268759,-0.0275579,-0.03709902,-0.00738916,0.06577778,0.02048281,-0.00612662,0.04178045,0.01488005,-0.02715909,0.02704485,0.01183128,0.04774277,-0.09851181,0.06171601,-0.02560315
2018-10,-0.10611951,-0.07600891,-0.12250203,-0.05537874,-0.07790143,-0.0801718,-0.135183,-0.12133333,-0.09679408,-0.1507107,-0.11545467,-0.07664884,-0.08086377,-0.10145889,-0.10745663,-0.2605759,-0.06714472,0.26990713,-0.0877276,-0.10624626,-0.07294521,-0.17030685,0.17843866,-0.03977273,0.00876601,-0.06599412,0.0890411,-0.06307159,-0.08392086,-0.11878655,-0.07996801,-0.10330347,-0.0880117,-0.0867215,0.17304566,-0.09237074,-0.10960914,-0.12096139,-0.04392892,-0.04781756,-0.06874028,-0.21972477,-0.06656848,-0.06482282,-0.1109238,-0.08990318,-0.125,-0.09789414,-0.07535986,-0.01288855,0.01134752,-0.03190319,-0.0742142,-0.08377688,-0.08394161,-0.07879234,-0.18035869,0.26346771,-0.26280716,0.08806964
2018-09,0.00014372,0.0163728,0.00261481,0.01677419,0.03078203,0.05785124,-0.00991832,-0.0202086,0.01252348,-0.01523261,-0.02173616,-0.00044543,0.0451146,0.00511225,-0.00851064,0.03286327,0.03618532,-0.04368381,0.01390887,-0.00536433,0.01424353,0.0268632,-0.03111111,0.02732975,-0.08389262,-0.07126168,-0.01454545,0.00031466,-0.02361854,0.01818857,0.03011551,0.00112328,-0.03413258,0.01729522,-0.04102852,-0.01499638,-0.00355314,-0.01558846,0.02516356,-0.09801762,-0.0636813,-0.18766988,-0.05623269,-0.07239459,-0.00168322,0.020159,-0.01807536,-0.03571429,-0.0642998,-0.16405434,-0.17495611,-0.13347508,0.01267315,0.05297492,0.03283767,0.00918798,0.03127833,-0.06241722,0.03943909,-0.02340637
2018-08,-0.01345291,-0.02506024,-0.00064777,-0.0113852,-0.02891566,-0.04792561,-0.04988914,-0.04107909,-0.00433705,-0.06555197,-0.02850387,0.00043802,-0.0271514,-0.02670623,-0.04581757,-0.09969914,-0.03623649,0.0726101,-0.02899543,-0.00641306,-0.00597168,-0.06053867,0.04887653,-0.03516756,-0.00634441,0.00303721,0.02723312,-0.00745805,-0.03155443,-0.03778966,-0.04004666,-0.05233012,-0.02693966,-0.00616406,0.00085629,-0.01349854,-0.03050915,-0.03893215,-0.03084112,0.00209468,0.00113186,-0.00960679,-0.00669344,0.01864802,-0.03108892,-0.03143093,-0.07412555,-0.03923593,-0.00153198,-0.01070367,-0.01277068,0.00136178,-0.03365786,0.00403135,0.01233046,-0.03468479,-0.02087591,-0.00471222,-0.04526749,0.00453172
