Month,CEW,CNY,CROC,CYB,DBV,DRR,EUFX,EUO,FXA,FXB,FXC,FXCH,FXE,FXF,FXS,FXY,INR,UDN,ULE,URR,UUP,YCL,YCS
2019-05,-0.00979325,-0.00113122,0.03084095,-0.02718224,-0.00979592,0.00567629,0.00918047,0.01699498,-0.01270884,-0.03311991,-0.00341111,-0.02800773,-0.00590496,0.00942156,-0.00040975,0.01707203,-0.04761905,-0.00581959,-0.01341808,0.0325,0.00877863,0.03123288,-0.02982388
2019-04,-0.00594916,-0.00293255,0.01864845,-0.00229885,0.00285016,0.02184707,0.00292463,0.00428182,-0.00900901,-0.00558176,-0.00527241,-0.00385039,-0.00028058,-0.02041474,-0.02340637,-0.0012846,0.00238663,-0.00338001,-0.00140154,-0.06158358,0.00615148,-0.00580657,0.00634715
2019-03,-0.00863931,-0.01385475,-0.00639153,-0.00076775,0.000409,0.02739493,0.01578225,0.03175241,0.00268931,-0.01351246,-0.00432257,-0.0016488,-0.01327678,0.00289917,-0.00377471,0.01079939,0.08241618,-0.00862069,-0.02719239,0.03647416,0.01126651,0.01662708,-0.01697531
2019-02,-0.00268384,0.01220866,0.04351994,0.01360809,0.00327735,0.02780693,0.01041185,0.01970443,-0.02019643,0.01379039,-0.00452669,0.00759354,-0.00785962,-0.00395299,-0.02092618,-0.01903451,-0.03435492,-0.00757935,-0.01797603,-0.02315914,0.0098464,-0.03798571,0.03773076
2019-01,0.03257869,0.04494644,-0.07241194,0.0300158,0.02569503,-0.00315845,-0.00597701,-0.01333872,0.03958692,0.04005231,0.03481144,0.02318393,0.00802287,-0.0049915,-0.00548657,0.0,-0.00734035,0.01247601,0.01352265,0.01268882,-0.00975039,-0.00120544,0.00041
2018-12,-0.0038525,-0.00826826,0.08323471,-0.00593824,-0.03565574,0.01115108,-0.00576967,-0.01382676,-0.04271871,0.00145784,-0.03198925,0.00154908,0.00921829,0.01541096,0.01733269,0.0364069,0.04021379,0.00768123,0.01544661,0.03104478,-0.00779727,0.06396746,-0.06423413
2018-11,0.01288515,0.00727187,-0.02759403,-0.0015949,0.00288541,-0.0189231,0.01046025,0.01981833,0.01268646,-0.02091586,-0.01479408,0.00369844,-0.00851648,0.00225346,-0.00454545,-0.00683962,0.02051948,-0.00906056,-0.01988072,0.02258852,0.01024429,-0.01547142,0.01773463
2018-10,-0.01340034,-0.00141443,0.0399012,-0.00838993,0.00833333,0.07927961,0.02136752,0.04867635,-0.02045644,-0.02,-0.02688242,-0.01280788,-0.02227633,-0.02504209,-0.03109053,0.0100155,0.03327966,-0.01885903,-0.04679487,-0.04822777,0.02077507,0.01427247,-0.01726546
2018-09,0.02640643,0.0002348,-0.01271979,-0.00238095,-0.00337126,-0.01427526,0.00166468,-0.00128535,0.00729006,0.01354927,0.02001881,0.01033702,0.00153167,-0.00780762,0.02300851,-0.01911645,-0.0685,0.00283152,0.00191449,0.01405975,-0.00159808,-0.03765247,0.0421221
2018-08,-0.04087193,-0.04303003,0.06201084,-0.00277888,-0.00794314,0.02629602,0.00863516,0.0130833,-0.02764538,-0.01256676,-0.00371254,-0.01285994,-0.00554413,0.02179664,-0.03605455,0.00431638,-0.02176571,-0.00561272,-0.01502818,-0.04955457,0.00727567,0.0074048,-0.00587058
