Week,DGL,DGLD,DGP,DGZ,DZZ,GLD,GLL,IAU,SGOL,UBG,UGL,UGLD
2018-35,0.00270636,-0.00693481,0.00294695,-0.01054018,-0.00455927,0.00265651,-0.00527388,0.00087336,0.00295216,0.0,0.00394537,0.00630517
2018-34,-0.00986141,0.02899601,-0.02097235,0.01006036,0.01875,-0.00942491,0.016133,-0.00862069,-0.00915547,-0.00132275,-0.02032401,-0.026538
2018-33,0.01219512,-0.03842178,0.02412605,-0.01900393,-0.0212766,0.01304464,-0.02669527,0.01314636,0.01287852,0.0026738,0.02435312,0.03539823
2018-32,-0.00783572,0.02237253,-0.01957905,0.01186552,0.01681957,-0.00734773,0.01512605,-0.00873362,-0.00789382,-0.01514154,-0.01514234,-0.02377972
2018-31,0.00293647,-0.00862999,0.00621118,0.01266667,-0.00469484,0.00314878,-0.00491884,0.00259067,0.00325928,0.0,0.005613,0.00844391
2018-30,-0.00448549,0.01993665,-0.01353875,0.00746269,0.01442308,-0.00631215,0.01449275,-0.00682594,-0.00272248,0.0,-0.01211422,-0.01976744
2018-29,-0.00157812,0.00394663,-0.00185615,0.0,0.00322581,-0.00146552,0.00443206,-0.00170213,-0.00118363,-0.02601523,-0.00286369,-0.00461361
2018-28,-0.00830737,0.02785406,-0.01849346,0.00895317,0.01652893,-0.00842195,0.0145379,-0.00839631,-0.01104559,0.0,-0.01728946,-0.02980132
2018-27,-0.01356192,0.04259676,-0.02804557,0.01544944,0.02896082,-0.01292488,0.02977468,-0.013267,-0.01332675,0.00063492,-0.026822,-0.04329461
2018-26,0.01219829,-0.03490881,0.02434626,-0.01173223,-0.02317881,0.01191895,-0.02174762,0.01092437,0.01410567,-0.00158479,0.02341137,0.03748622
2018-25,-0.00941476,0.03106108,-0.02247191,0.00985222,0.02065404,-0.01034281,0.0220987,-0.00988468,-0.01079401,-0.04625151,-0.02219845,-0.0300207
2018-24,-0.00578616,0.02088717,-0.01438849,0.00782918,0.01405975,-0.00635786,0.01495638,-0.00652529,-0.00494448,0.0,-0.01466352,-0.02006018
2018-23,-0.01630838,0.05240374,-0.03344209,0.01884058,0.03278689,-0.01533717,0.03062393,-0.01443464,-0.01344685,0.0,-0.03207881,-0.04924242
2018-22,0.0059761,-0.01600356,0.01075269,-0.00576369,-0.01079137,0.00523004,-0.00877565,0.00564972,0.00488625,-0.00241255,0.01179185,0.01545894
2018-21,-0.00420584,0.01496259,-0.01102041,0.00578871,0.01090909,-0.00568228,0.01394079,-0.00560897,-0.00572838,-0.00300661,-0.01211509,-0.01799242
2018-20,0.00771912,-0.01871658,0.01361386,-0.00648882,-0.01261261,0.00596016,-0.01317654,0.00564061,0.00648415,0.0,0.01276487,0.01732435
2018-19,-0.01662185,0.05074836,-0.03269537,0.01828822,0.03351955,-0.01670817,0.03191334,-0.01665345,-0.01653674,0.0,-0.03355539,-0.05205479
2018-18,0.00415953,-0.01008916,0.00716846,0.0,-0.00560748,0.00345187,-0.0071837,0.00237718,0.00362062,-0.00746046,0.00640079,0.00909918
2018-17,-0.0004884,0.0004697,-0.00119142,0.00147167,0.00187266,-0.00040132,0.00014676,0.0,-0.00509005,0.0,-0.00270138,-0.00181653
2018-16,-0.0004845,0.00264741,0.00117786,0.00444115,0.00190114,-0.00095526,0.00014874,-0.00078616,-0.00093655,0.0,-0.00217654,-0.00530973
2018-15,-0.00762813,0.02629583,-0.0173716,0.00907716,0.02169625,-0.00783515,0.01830769,-0.00850735,-0.00752977,-0.00851939,-0.01774043,-0.02693603
2018-14,0.00455526,-0.01756991,0.01111111,-0.0119225,-0.00972763,0.00496767,-0.00943253,0.00545171,0.01206226,-0.01046512,0.0101944,0.01456727
2018-13,-0.00597514,0.02080201,-0.01333333,0.00750751,0.01571709,-0.0068364,0.01579755,-0.00620636,-0.00708455,0.0,-0.01408451,-0.0211685
2018-12,-0.01966359,0.06397739,-0.04143337,0.02885345,0.044,-0.01941066,0.04265255,-0.0200154,-0.0195614,0.01176471,-0.04438822,-0.06244864
