Month,DGL,DGLD,DGP,DGZ,DZZ,GLD,GLL,IAU,SGOL,UBG,UGL,UGLD
2019-05,0.0094605,-0.02772031,0.016,0.00068823,-0.00672269,0.01071429,-0.01751805,0.00982801,0.01041074,0.00872002,0.01690687,0.0238806
2019-04,-0.00404961,0.01153107,-0.01044841,0.00347464,0.01541096,-0.00271538,0.00806231,-0.00243506,-0.0025794,-0.00617856,-0.00974553,-0.01504321
2019-03,0.00100908,-0.00258732,-0.04299297,0.00209644,0.00172414,0.00106662,-0.000413,0.00161812,0.00144729,-0.01992754,-0.00107296,-0.00461748
2019-02,-0.00591862,0.01544135,-0.01541426,0.00573477,0.01449275,-0.00409639,0.01095101,-0.00316957,-0.00417126,-0.00271003,-0.01251916,-0.01914063
2019-01,0.02604298,-0.07501072,0.12840467,-0.02382621,-0.05,0.02818759,-0.0461369,0.02764228,0.02810531,0.03066914,0.05057533,0.07743826
2018-12,0.04025257,-0.11138567,0.07735322,-0.03578663,-0.07051282,0.04157718,-0.07481265,0.04240882,0.04169123,0.04436528,0.08183921,0.12101986
2018-11,-0.01257862,0.03324366,-0.02762431,0.0136147,0.02903226,-0.00934579,0.02199488,-0.00930626,-0.00932773,-0.01253213,-0.02237522,-0.03476649
2018-10,0.0225421,-0.0681974,0.04610808,-0.02480418,-0.03759398,0.02291907,-0.04128004,0.02368421,0.02299051,0.03046358,0.04079755,0.05959079
2018-09,-0.00216509,0.0064147,-0.00442043,0.00197628,0.00759878,-0.00150536,0.00383555,-0.00174672,-0.00095511,0.0,-0.0060698,-0.00882724
2018-08,-0.01615466,0.0439419,-0.03295669,0.00066445,0.03492063,-0.01415668,0.02944479,-0.01372213,-0.01413247,-0.02580645,-0.03229561,-0.04946996
2018-07,-0.01245783,0.0441263,-0.02795311,0.01794341,0.0281457,-0.0125149,0.02877979,-0.01344538,-0.01076705,-0.01743265,-0.02814939,-0.04520397
2018-06,-0.03279503,0.10475765,-0.06644655,0.0323741,0.06654676,-0.0313495,0.06860383,-0.03142627,-0.03200768,-0.04855247,-0.06591722,-0.09643202
2018-05,-0.00443131,0.01516544,-0.01010101,0.00658376,0.01291513,-0.00493089,0.01026753,-0.00558659,-7.949e-05,-0.01748148,-0.01198801,-0.02228412
2018-04,-0.02127151,0.06716792,-0.0407619,0.02027027,0.04911591,-0.02098067,0.04509202,-0.02094647,-0.0166333,-0.01889535,-0.04413146,-0.0677392
2018-03,0.00779347,-0.02541775,0.00983091,0.00444774,-0.01323251,0.00857922,-0.01151122,0.00871632,0.00840931,0.03241297,0.01465201,0.0160285
2018-02,-0.02627841,0.07258883,-0.04975683,0.02887538,0.0499002,-0.02397127,0.05184725,-0.02390131,-0.0225391,-0.02714536,-0.04701251,-0.07911909
2018-01,0.0203933,-0.05786104,0.03913894,-0.01934524,-0.0418251,0.01997603,-0.03969194,0.01973165,0.01637803,0.01964286,0.04039433,0.0538662
2017-12,0.01671657,-0.05173913,0.03478261,-0.01305294,-0.03942652,0.01694218,-0.03450685,0.01707317,0.01717742,0.01976529,0.03302007,0.04896422
2017-11,-0.0007515,0.00021436,-0.00333195,-0.00430108,0.00357143,-8.257e-05,0.00180581,0.0,0.0029945,-0.00061728,-0.00280827,-0.00852273
2017-10,-0.0015064,0.00084854,-0.01845018,-0.00214439,0.0035524,-0.00082802,-0.0006888,0.0,0.00690215,-0.02409639,-0.00562948,-0.00759013
2017-09,-0.03371057,0.11092397,-0.03347441,0.04197901,0.06743738,-0.03553863,0.07239209,-0.0345098,-0.04061896,-0.0127862,-0.07129456,-0.10927152
2017-08,0.04381768,-0.11973906,0.07695507,-0.03669065,-0.08112875,0.04285122,-0.08287671,0.04176904,0.04754165,0.0659271,0.08428826,0.12781955
2017-07,0.03832117,-0.1132287,0.07889991,-0.03319502,-0.07213115,0.04014127,-0.07801239,0.04177323,0.04072666,-0.00723726,0.08051663,0.12223393
2017-06,-0.02255074,0.06686229,-0.0425,0.02155172,0.03866432,-0.02236581,0.04103053,-0.02211302,-0.02176915,-0.01548947,-0.0465587,-0.06877323
2017-05,0.00630835,-0.02730793,0.0143339,-0.01139601,-0.0173913,0.0079385,-0.01953439,0.00909843,0.00844124,0.00466853,0.01465296,0.01701323
2017-04,0.01163968,-0.03962188,0.02287166,-0.010699,-0.01736111,0.01189778,-0.02692665,0.01159901,0.01199967,0.0184375,0.02138073,0.03033175
2017-03,-0.00278763,0.00498306,-0.00382653,0.00071174,0.00693241,-0.0028557,-0.00105249,-0.00249169,-0.0026357,0.0,-0.00722954,-0.01611374
2017-02,0.03398693,-0.09953119,0.06693804,-0.02890571,-0.06957929,0.03498264,-0.06767565,0.03436426,0.0350698,0.04986877,0.06311745,0.10197711
2017-01,0.04441417,-0.12700174,0.09028459,-0.04671053,-0.09587021,0.04598534,-0.09118439,0.04569892,0.04564426,0.04994833,0.08890871,0.13599062
2016-12,-0.01752022,0.04650032,-0.03547459,0.01521164,0.03782148,-0.01730321,0.03062038,-0.01685892,-0.01775356,-0.04254617,-0.03712297,-0.05855856
2016-11,-0.09299487,0.30918389,-0.18171161,0.0948213,0.19168174,-0.08946468,0.19754098,-0.08878128,-0.08883208,-0.07107843,-0.17525036,-0.25604671
2016-10,-0.02844168,0.07730337,-0.05661792,0.02590674,0.05037313,-0.02697095,0.05230333,-0.02685624,-0.02737797,-0.03716814,-0.05639269,-0.08573655
2016-09,0.00311079,-0.01387025,-0.0106814,-0.01325479,-0.00932836,0.00279352,-0.0080554,0.00316206,0.0029734,0.00495194,0.00182108,0.00465116
2016-08,-0.04147465,0.10791016,-0.07989075,0.04033486,0.07784431,-0.03436001,0.06850547,-0.03448276,-0.0335382,-0.01576835,-0.06891402,-0.10831586
2016-07,0.00579106,-0.01677048,-0.01489002,0.00152905,-0.0019802,0.00443891,-0.01536189,0.00385505,0.00504009,-0.01245294,0.00754473,0.00422833
2016-06,0.0892079,-0.24716007,0.18578554,-0.09090909,-0.17952756,0.09082284,-0.16587226,0.09153122,0.09076298,0.09926353,0.18375394,0.28924833
2016-05,-0.05807229,0.18915588,-0.14848698,0.05950653,0.11599297,-0.05826031,0.11741161,-0.05863454,-0.05920687,-0.06159856,-0.11761982,-0.17279124
2016-04,0.05794155,-0.16482186,0.16011585,-0.0569273,-0.13230769,0.05747028,-0.11267606,0.05673158,0.05695353,0.00595798,0.11435897,0.17502279
2016-03,0.00025233,-0.01305029,0.02121583,-0.00206754,0.04784689,-0.00110385,-0.00681818,0.0,-0.000749,0.01238095,-0.00401506,-0.01149425
2016-02,0.09834711,-0.27078753,0.19571568,-0.09830933,-0.20103093,0.09801018,-0.18758009,0.09899175,0.09750567,0.10101363,0.2004752,0.30067568
2016-01,0.03727246,-0.12278968,0.0772118,-0.03916914,-0.0811124,0.03945962,-0.07735446,0.03853565,0.03975214,0.03322499,0.07984293,0.12010444
2015-12,-0.00900639,0.01001065,-0.01839827,0.00766058,0.01720183,-0.00801721,0.00923586,-0.00775946,-0.00814644,-0.01092896,-0.02042834,-0.03153745
2015-11,-0.06152584,0.20037927,-0.12416428,0.06043614,0.12117347,-0.0614237,0.12898819,-0.06118721,-0.06131479,-0.09256198,-0.1199181,-0.1779476
2015-10,0.02449207,-0.07876631,0.04841897,-0.02506112,-0.05030675,0.02407945,-0.05224719,0.02416357,0.02342243,0.056584,0.04646952,0.06750572
2015-09,-0.02120718,0.05303978,-0.04335533,0.020625,0.04230769,-0.02142857,0.03645023,-0.0208901,-0.02118682,0.00545145,-0.04648494,-0.06588735
2015-08,0.0453379,-0.13354804,0.09020218,-0.04458977,-0.08816705,0.04534102,-0.09202454,0.04671115,0.04502213,0.05062389,0.08847607,0.13797314
2015-07,-0.06373975,0.20737694,-0.12883163,0.06305732,0.12749004,-0.06295767,0.12859441,-0.06371681,-0.0635393,-0.06442022,-0.12513572,-0.1870155
2015-06,-0.01503759,0.03870788,-0.0295124,0.01360985,0.0260989,-0.01429825,0.02425373,-0.01391304,-0.01487276,-0.02804642,-0.0326456,-0.04748858
2015-05,0.01101495,-0.03941547,0.02047038,-0.01091142,-0.02024291,0.00902016,-0.02199696,0.01053556,0.00893167,0.00853298,0.01588142,0.02712816
2015-04,-0.01766061,0.03743467,-0.03745318,0.0183727,0.03813559,-0.01842561,0.0315989,-0.01802575,-0.01815405,-0.02304,-0.03925044,-0.05979203
2015-03,-0.0193927,0.04731243,-0.03812681,0.01771654,0.03667137,-0.01746196,0.02946419,-0.01716738,-0.01805544,-0.02547771,-0.03808323,-0.05993151
2015-02,-0.05677171,0.15717577,-0.10073801,0.04840941,0.09859155,-0.05113544,0.1054537,-0.05105348,-0.04998798,-0.05107283,-0.09853768,-0.14347513
2015-01,0.08681005,-0.22238182,0.16258446,-0.08189379,-0.16489362,0.08213534,-0.15501154,0.08086957,0.08158528,0.0763507,0.16589147,0.25264085
2014-12,-0.02555022,0.05481137,-0.04896803,0.02418301,0.05,-0.0257334,0.04232969,-0.02638298,-0.02540591,-0.02449109,-0.05556922,-0.08108108
2014-11,-0.0023678,-0.0095363,-0.00262238,-0.00125471,0.00256739,-0.00035667,-0.00525813,0.0,0.00017498,0.00296443,-0.00397984,-0.01271571
2014-10,-0.03780242,0.10067828,-0.07114148,0.03527106,0.07073509,-0.0351974,0.06661869,-0.03568394,-0.03633465,-0.04612954,-0.07258065,-0.1123506
2014-09,-0.04748132,0.14740796,-0.09274936,0.04412763,0.08669656,-0.04471845,0.09313453,-0.045677,-0.04536298,-0.08414815,-0.08827493,-0.13263158
2014-08,-0.004947,0.00923273,-0.00985222,0.004851,0.00936037,-0.00418074,0.00636059,-0.00479233,-0.00433583,-0.00503405,-0.01093951,-0.01767016
2014-07,-0.03657143,0.09921448,-0.06819694,0.03269367,0.06732348,-0.03375098,0.06293198,-0.03421462,-0.03401674,-0.03233256,-0.0680065,-0.10617876
2014-06,0.07116654,-0.18861111,0.13950851,-0.06834771,-0.13636364,0.06967419,-0.13019068,0.06976744,0.06847969,0.07045735,0.14110855,0.21672727
2014-05,-0.02975207,0.07399545,-0.0550653,0.0253078,0.05295008,-0.02722132,0.05129072,-0.02648475,-0.02725616,-0.02982404,-0.0549569,-0.08513425
2014-04,0.00734249,-0.0328869,0.0141995,-0.00884956,-0.0149925,0.00672664,-0.01927147,0.00725222,0.00715535,0.01017355,0.01341701,0.01778656
2014-03,-0.053032,0.154247,-0.09980928,0.05319914,0.10684474,-0.05127024,0.10268738,-0.05182927,-0.0514634,-0.05066516,-0.10263362,-0.1508069
2014-02,0.05467245,-0.15322915,0.10274223,-0.05455755,-0.10826211,0.05192878,-0.09980867,0.05327869,0.05165306,0.05912831,0.10392507,0.15945017
2014-01,0.01682752,-0.05653219,0.03314066,-0.01746442,-0.03364738,0.01771186,-0.04435163,0.01599327,0.01771162,0.0127965,0.03193988,0.04832714
2013-12,-0.01341282,0.0136336,-0.02637704,0.01157556,0.02124834,-0.01241708,0.01509952,-0.01184433,-0.01366667,-0.01472893,-0.02803298,-0.04528582
2013-11,-0.05158184,0.15427791,-0.09933775,0.04837595,0.09633028,-0.04923198,0.09970508,-0.05011746,-0.04959061,-0.04883721,-0.09572961,-0.14394383
2013-10,0.02547324,-0.09749615,0.05053283,-0.02508475,-0.04726736,0.02528293,-0.06377716,0.02635783,0.02559458,0.02697895,0.045,0.06223307
2013-09,-0.06195444,0.15767196,-0.11816881,0.05991124,0.1295972,-0.0604017,0.11395614,-0.05981036,-0.0598389,-0.05612798,-0.12022141,-0.18040293
2013-08,0.06525735,-0.18355482,0.12706817,-0.06425154,-0.1264881,0.06326514,-0.12818857,0.06284368,0.06345394,0.06643357,0.12694922,0.19681456
2013-07,0.05350288,-0.16124436,0.10569688,-0.05664062,-0.11440108,0.0563857,-0.11225983,0.0566968,0.05638824,0.0586983,0.10289319,0.15742511
2013-06,-0.1300106,0.4406093,-0.25304204,0.12779783,0.25695581,-0.12746319,0.28607656,-0.12545587,-0.12690538,-0.12621622,-0.24291773,-0.3483927
2013-05,-0.05365554,0.14830434,-0.10407007,0.05059524,0.10051993,-0.05095316,0.09168146,-0.05077574,-0.05158151,-0.04344412,-0.10539602,-0.15593483
2013-04,-0.07937395,0.18031732,-0.15575861,0.07704785,0.15337423,-0.076938,0.13672566,-0.07717042,-0.07736699,-0.08285985,-0.16021241,-0.25251678
2013-03,0.01361059,-0.04037713,0.02469406,-0.00799361,-0.027833,0.01318552,-0.02842857,0.01305483,0.01273476,0.01369534,0.02488688,0.03519488
2013-02,-0.05466524,0.17089679,-0.10727449,0.05316456,0.10864745,-0.05233819,0.10955191,-0.05240444,-0.05236302,-0.05462375,-0.10453415,-0.15555015
2013-01,-0.0135468,0.03119584,-0.02616114,0.01279863,0.02488688,-0.0120733,0.0197763,-0.01219512,-0.01244289,-0.01809651,-0.02750809,-0.04329511
