Week,EMIF,FXU,GII,IDU,IGF,INXX,JXI,PSCU,PUI,RYU,SDP,UPW,VPU,XLU
2018-44,-0.02316323,0.01268116,0.00394564,0.01878248,0.00369731,0.00175747,0.02145923,0.00811542,0.02750696,0.0150782,-0.02628062,0.03400529,0.01921774,0.01809614
2018-43,0.0359955,0.00515464,0.01162791,-0.01510999,0.01136651,0.06337372,-0.00860479,0.01687999,-0.01122807,-0.00691453,0.03482143,-0.02846107,-0.01578725,-0.0180214
2018-42,-0.02006567,-0.03166607,-0.01617486,-0.01643815,-0.01970443,-0.00281426,-0.01666328,-0.04580828,-0.02680412,-0.01404968,0.04119511,-0.0336,-0.01788413,-0.01573918
2018-41,0.00260514,0.02826725,0.01809356,0.02682597,0.01540755,-0.02087114,0.02572614,0.0200361,0.03016485,0.02529915,-0.04525483,0.04836032,0.02628875,0.02578304
2018-40,-0.02701729,-0.02195824,-0.02620275,-0.02175035,-0.0257032,0.03171642,-0.02435065,-0.04451039,-0.0365562,-0.02191257,0.04611212,-0.05207712,-0.02244075,-0.0208529
2018-39,-0.02095915,0.01657459,-0.00786732,0.02086336,-0.00937725,-0.08038029,0.01094815,0.00844922,0.02045134,0.02247712,-0.04840764,0.04604562,0.01961971,0.02207164
2018-38,0.01154401,-0.00256787,-0.00848176,0.00196865,-0.0069561,-0.02181208,-0.00164541,0.02076677,0.0,0.00499129,0.0,-0.00169026,0.00198567,0.0011592
2018-37,0.02044542,-0.01045799,0.0,-0.01728213,-0.00023827,-0.02068417,-0.00384538,-0.0103219,-0.00311742,-0.01325479,0.03240124,-0.03678254,-0.01642105,-0.0173095
2018-36,0.02265973,0.01574515,0.00127687,0.00051879,0.00120135,0.01694915,-0.00121531,0.01589854,0.0069808,0.0003411,-0.00044366,-0.00605938,0.00059127,-0.00131976
2018-35,-0.00622483,0.00369413,-0.00551198,0.0059145,-0.00671946,0.01034208,0.0008185,0.01598256,0.00527426,0.00795206,-0.00616469,0.01108602,0.00632154,0.00725329
2018-34,-0.00964975,-0.00331492,-0.01479167,0.00203528,-0.01365348,0.0,-0.00264658,-0.00236278,0.00035273,-0.00322692,-0.02069858,0.00857382,0.00146123,0.00134383
2018-33,0.00989736,-0.01340094,0.00377834,-0.01073756,0.00189304,0.02039216,-0.00505663,-0.0053918,-0.00659493,-0.01089918,0.02676182,-0.02110129,-0.01030492,-0.01113208
2018-32,-0.01190906,0.02868852,-0.00668896,0.02661107,-0.0016572,0.01521217,0.02062706,0.02874096,0.02625044,0.03068487,-0.0524744,0.0591466,0.02627712,0.02743431
2018-31,-0.0140647,0.00714286,-0.00806618,-0.00535687,-0.0114299,-0.01168224,-0.01342555,-0.00532794,-0.00106157,-0.00069914,0.00860585,-0.01357844,-0.00533747,-0.00653469
2018-30,-0.00552677,0.01475155,0.00435323,0.01714725,0.00023375,0.01098039,0.00594506,0.00903785,0.01485507,0.01759391,-0.03569946,0.03008165,0.01763932,0.01861285
2018-29,0.01933896,0.00980777,0.00415714,0.01113259,0.00680113,0.05624483,0.00819336,0.00641752,0.00762527,0.01550667,-0.01923864,0.01682325,0.01138068,0.01382034
2018-28,0.00956429,-0.01309203,0.00228121,-0.00306443,0.00140252,-0.00747508,-0.001628,-0.01209752,-0.00144456,-0.00664925,0.00375313,-0.00407463,-0.00288411,-0.00371094
2018-27,0.00141894,0.00424383,0.00332226,0.01854594,0.00327332,-0.00563607,0.00964696,-0.01821162,0.01579141,0.01530674,-0.03759095,0.03803381,0.01839346,0.01949473
2018-26,0.02595029,0.02204176,0.02611626,0.0168893,0.02541568,0.004095,0.02620177,0.04574428,0.02664234,0.02222488,-0.03227141,0.04381779,0.01708279,0.01606268
2018-25,-0.0010803,0.00664842,0.01274156,0.0061493,0.01101533,0.0,0.00961941,-0.00429425,0.00772059,0.00845717,-0.01449859,0.02081027,0.00594921,0.00715279
2018-24,-0.0087535,0.01521217,0.00576061,0.02015804,0.00504929,-0.00079936,0.0173225,0.00907372,0.02209524,0.02052566,-0.04303892,0.04113172,0.02078352,0.02124587
2018-23,-0.0261194,0.02379975,0.00514801,0.02899034,0.00653437,-0.03596021,0.01931424,0.0290652,0.03197789,0.02374535,-0.05103837,0.02322097,0.02830816,0.02873563
2018-22,-0.02078445,-0.01247987,-0.01281777,-0.02285436,-0.01133076,0.00691776,-0.01858974,-0.01542912,-0.02990159,-0.02233375,0.04988831,-0.07016317,-0.02264116,-0.02242525
2018-21,0.01822558,-0.00240385,0.01346363,-0.00631899,0.01198337,0.01458173,0.0006413,0.00877364,-0.00670641,-0.00608544,0.01767871,-0.01253191,-0.00556671,-0.00573418
2018-20,-0.00960901,0.01216052,-0.00722789,0.02554415,-0.00884744,0.01648352,0.00403997,-0.01086324,0.02265745,0.02361605,-0.05913978,0.04400681,0.02530222,0.02562487
2018-19,-0.0247117,-0.0176,-0.02625,-0.02346774,-0.02491187,-0.03504847,-0.01782718,-0.00019535,-0.01925982,-0.02256295,0.06512685,-0.05005931,-0.02282559,-0.02390274
2018-18,0.00801871,-0.00554675,0.00271796,-0.01471985,0.00141176,-0.01451379,-0.01485149,-0.00443502,-0.01188707,-0.01272483,0.03191903,-0.02653061,-0.01499142,-0.01675414
2018-17,-0.01303781,0.00078989,0.00503461,0.00220803,0.00638751,-0.0248227,0.00288719,0.02726734,0.01766917,0.00182571,-0.00353635,-0.00988542,0.00252343,-0.00100301
2018-16,0.01660697,0.02747909,0.01141167,0.02746809,0.01265218,0.0042735,0.02211457,0.00611923,0.02695418,0.02951107,-0.06359241,0.05802937,0.0276906,0.02753802
2018-15,-0.01063487,-0.00159109,-0.00732831,-0.00314821,-0.00379147,-0.00636042,-0.00356843,-0.00039502,0.00232919,-0.00522908,0.00560957,0.00212214,-0.00267626,-0.00348361
2018-14,0.00777958,0.00161616,0.00424809,-0.01235864,0.00407772,0.00498221,-0.00734985,0.00322516,-0.01470588,-0.01905941,0.03065421,-0.01441058,-0.01256699,-0.01453429
