Month,EMIF,FXU,GII,IDU,IGF,INXX,JXI,PSCU,PUI,RYU,SDP,UPW,VPU,XLU
2019-05,-0.02930791,-0.00283386,-0.01001571,-0.00489396,-0.00886721,-0.03404255,-0.00112108,-0.03567341,-0.01035132,-0.00613497,0.01286863,-0.01926445,-0.00440495,-0.00223714
2019-04,-0.01529903,0.00495575,0.01163938,0.01509357,0.01291472,-0.02740864,0.00650437,-0.01169482,0.00311818,0.01176103,-0.02606383,0.02967149,0.01545871,0.01627142
2019-03,-0.02452316,0.00283688,0.02244238,0.02476522,0.02095672,0.09944751,0.02116002,-0.00370851,0.02700127,0.0287808,-0.04657114,0.04767123,0.02604703,0.02574502
2019-02,-0.01930759,0.02400873,0.02638687,0.04246964,0.03029591,0.01217228,0.02901655,0.01429116,0.03395978,0.04007528,-0.08286517,0.0876145,0.04234905,0.04506002
2019-01,0.06548043,0.04273828,0.08616423,0.05610409,0.0831643,-0.07277397,0.06349206,0.07835516,0.08463173,0.04950839,-0.10989011,0.11152416,0.05679937,0.05287623
2018-12,-0.0078853,-0.06427819,-0.03836982,-0.04985735,-0.03669276,0.01194539,-0.03289344,-0.11843756,-0.05495584,-0.04455768,0.09439387,-0.10635071,-0.04948805,-0.04957481
2018-11,0.0,0.03967671,0.00681169,0.03936536,0.00793651,0.04460303,0.0376931,0.00431965,0.06359803,0.03454134,-0.07611549,0.07953362,0.04237143,0.04010644
2018-10,-0.04547069,0.00368324,-0.04316394,0.01661482,-0.0413561,-0.06482282,0.00309853,-0.0271079,0.00352609,0.02537365,-0.02972399,0.04519292,0.01486603,0.0232333
2018-09,0.02673014,0.00443295,-0.00869197,-0.00928352,-0.00647948,-0.07239459,-0.00675261,0.04449691,0.00105485,-0.0021897,0.03346543,-0.02997331,-0.00854263,-0.01087994
2018-08,-0.0297619,0.05332814,-0.01458637,0.02002762,-0.01295642,0.01864802,0.00698869,0.02867316,0.0253073,0.03037884,-0.05845771,0.0509915,0.02013834,0.01934727
2018-07,0.05738304,0.00270688,0.02000842,0.00898204,0.0216152,0.05323505,0.01423561,0.0031871,0.0229927,0.01481659,-0.02110054,0.01822126,0.00902322,0.00881489
2018-06,-0.06315434,0.03373494,0.02185558,0.04048941,0.02029966,-0.06354009,0.03140355,0.03073058,0.02813203,0.04298388,-0.07590634,0.08366627,0.03964394,0.04407827
2018-05,-0.02695595,-0.00039809,-0.01051525,-0.00284698,-0.01539555,-0.05353319,-0.02191441,0.02494062,0.01770912,-0.00758039,0.00311163,-0.0159982,-0.00108372,-0.00804829
2018-04,-0.01159794,0.03431373,0.03788374,0.03307536,0.03147877,0.02099928,0.03877464,0.054375,0.04395604,0.03242021,-0.06157817,0.06610778,0.03372461,0.02825908
2018-03,-0.0050537,0.03556485,0.01055579,0.03977177,0.00729217,-0.03409882,0.05200266,0.02166215,0.04839366,0.03833204,-0.08068966,0.07822785,0.04025363,0.03780799
2018-02,-0.04268109,-0.02612245,-0.06141764,-0.02480963,-0.06418689,-0.05013193,-0.03739907,-0.04283427,-0.02864992,-0.02648092,0.03659849,-0.05222808,-0.02655943,-0.02344398
2018-01,0.01900674,-0.01785006,0.00483481,-0.02421574,0.00636653,-0.02233567,-0.00773897,-0.01649845,-0.03688525,-0.0221843,0.05089355,-0.05914809,-0.0229523,-0.02196924
2017-12,0.00785669,-0.05534779,-0.00983343,-0.0563204,-0.02453714,0.06712329,-0.04383343,-0.06104651,-0.05549775,-0.04737146,0.11263251,-0.11374134,-0.05506366,-0.05744125
2017-11,-0.03119266,0.01899696,0.01425081,0.03442785,0.01702997,-0.03188029,0.02025522,0.03461826,0.03508772,0.03346433,-0.05658005,0.05787977,0.03421624,0.03262956
2017-10,0.0063791,0.00986717,0.00926307,0.03694735,0.00870362,0.1084425,0.02858919,0.02795328,0.02970297,0.02387879,-0.06553494,0.0755287,0.03579739,0.03722035
2017-09,-0.00753239,-0.02959674,-0.0213151,-0.02437906,-0.01904975,-0.03701117,-0.02582207,-0.02010622,-0.03183119,-0.02766611,0.04905969,-0.04417506,-0.02272528,-0.0245648
