Month,AGG,BIV,BLV,BND,BOND,BSV,FWDB,GBF,GVI,ILTB,ISTB,MINT,RAVI,SAGG,SCHZ,SPAB,XMPT
2017-01,0.00108492,0.00399639,0.001718,0.00172528,0.00715768,0.00276753,0.01129944,0.00103705,0.00201092,0.00653832,0.00318066,0.00207706,-0.00055409,0.00223001,0.00103306,0.00150546,0.02372735
2016-12,0.00585899,0.00387998,0.01564064,0.00493531,0.01336279,0.00026368,0.02216312,0.00323378,0.00297733,0.02241156,0.00425713,0.00114345,0.00194553,-0.00663507,0.00249118,0.00453858,0.02891459
2016-11,-0.02518333,-0.03227414,-0.0593586,-0.02551153,-0.02330097,-0.01029853,-0.02792096,-0.02565286,-0.01929412,-0.05467128,-0.00885515,0.00062415,-0.00138908,0.024788,-0.02363636,-0.02430044,-0.04737945
2016-10,-0.00708609,-0.00790611,-0.02778091,-0.0083451,-0.0046786,-0.00130225,-0.00723404,-0.00976723,-0.00431439,-0.02615256,-0.00105285,0.00187656,-0.00027762,0.00655308,-0.00801925,-0.00730727,-0.05973101
2016-09,-0.00028686,0.00098765,-0.00892758,-0.00025644,0.0033622,0.00130225,0.00986701,-0.00136687,0.00140832,-0.00992884,0.00274377,0.00125287,0.00041684,0.0,0.00020028,-0.00145773,-0.01017214
2016-08,0.00019144,-0.00283321,0.00640162,0.0,0.00091959,-0.00195059,0.00860956,-0.00154545,-0.00243674,0.01003344,-0.00105374,0.00282545,-0.00083356,-0.00326584,-0.00040056,0.00109609,-0.0007773
2016-07,0.00325733,0.00258748,0.01352875,0.00321007,0.00348325,0.00078023,0.00908698,0.00327362,0.00065574,0.00534402,0.00401437,0.00220241,0.00097412,-0.01193934,0.00462219,0.00438276,0.00232919
2016-06,0.01987857,0.02715047,0.0495382,0.01982928,0.01565925,0.0097266,0.01282051,0.02567454,0.01677469,0.05726481,0.00938767,0.00115486,0.00334962,-0.00768492,0.01843507,0.01826995,0.03702213
2016-05,0.00078362,0.00050736,0.00567907,0.00171053,0.00062709,-0.00144414,-0.00088574,0.00130915,-0.0012368,0.00645508,0.00085598,0.00199937,0.00069754,0.00224647,0.00143649,0.00186637,0.00081235
2016-04,0.00343778,0.00483092,0.00738857,0.00289817,0.00809504,0.00131389,0.01208054,0.0030896,0.00190585,0.01100487,0.0058127,0.00284991,0.00097943,-0.0047908,0.00597322,0.003367,0.02322688
2016-03,0.01181611,0.01624758,0.04100747,0.0122814,0.01644772,0.00621118,0.02770083,0.01463183,0.01010004,0.04324835,0.01172893,0.00328494,0.00140154,-0.00915404,0.01249219,0.0132626,0.01988156
2016-02,0.01009899,0.01407716,0.02284981,0.01048669,-0.00403183,0.00397351,0.0069735,0.01119617,0.0079273,0.02759149,0.00412774,-0.00052938,0.00211,-0.00720777,0.00899958,0.00954198,0.00852878
2016-01,0.01274401,0.01624835,0.02026674,0.0124983,0.00897724,0.00746667,-0.00462535,0.01295187,0.01033541,0.01650485,0.00414847,0.0,0.00380818,-0.00526805,0.01205584,0.01001155,0.01789612
2015-12,-0.00543041,-0.01254738,-0.02593255,-0.00768091,-0.00276655,-0.00411796,-0.00367141,-0.00815661,-0.00649981,-0.0247619,-0.00239495,-0.0013761,-0.0018261,0.00558313,-0.00442478,-0.00498657,0.02772809
2015-11,-0.00191012,-0.00144187,-0.0047564,-0.00188985,-0.00074635,-0.00159384,-0.00777321,-0.00240292,-0.00165113,-0.0021162,-0.00369164,0.00116587,-0.00070225,0.0,-0.0004223,-0.00612323,-0.00044903
2015-10,-0.00010032,0.00039236,0.0039856,-0.0001347,0.00546507,-0.00066278,0.01204819,0.00297791,-0.00184109,0.00539915,0.0021777,0.0013799,0.00070244,0.01092385,0.00021048,0.00153257,0.02829314
2015-09,0.00514684,0.00764566,0.00570465,0.00555631,-0.00565937,0.00359138,0.00231374,0.00376303,0.00398949,0.00643024,0.00261438,-0.00222387,0.00225225,-0.02009744,0.00550381,0.00540123,0.01599247
