Week,CQQQ,FDN,FXL,IEUS,IGM,IGN,IGV,IXN,IYW,PNQI,PSCT,PSI,PSJ,PTF,PXQ,QQQ,QTEC,REW,ROM,RYT,SKYY,SMH,SOCL,SOXL,SOXS,SOXX,SSG,TDIV,TECL,TECS,USD,VGT,XLK,XNTK,XSD,XSW
2019-21,0.00354191,-0.00292398,-0.00207072,-0.00720432,-0.00331465,-0.00268508,-0.00916651,0.00327849,-0.00213254,-0.00807127,-0.00346465,0.01180613,-0.00896191,-0.00517762,-0.01058948,-0.00405657,-0.00088451,0.01031434,-0.00575092,0.00218566,-0.00346801,0.01106038,0.00032227,0.03667322,-0.03398693,0.01208698,-0.02072379,0.00522265,0.00069055,0.0,0.02329099,-0.00085941,0.00027364,-0.00522269,0.0171312,-0.0083873
2019-20,-0.03081168,-0.00192637,-0.00614754,0.00436855,-0.00969562,0.00075973,-0.00386719,-0.00618265,-0.0105158,-0.0089171,-0.0081208,-0.02754491,-0.0021347,-0.00129088,-0.01435489,-0.00994721,-0.01304834,0.01303912,-0.02423189,-0.00642643,-0.01060192,-0.01787831,-0.01420903,-0.07857442,0.07338129,-0.02521834,0.03587887,-0.01552878,-0.03265096,0.03162055,-0.04371122,-0.00997855,-0.01039557,-0.01539997,-0.01093625,0.00074794
2019-19,-0.01241289,0.0283492,0.02920171,0.00594766,0.02800273,0.00094215,0.04074449,0.02461885,0.0270256,0.02002872,-0.00024876,-0.02033898,0.04383081,0.05748663,0.03010151,0.0249748,0.01706778,-0.05725568,0.05229061,0.01942156,0.03017617,0.00085438,0.00530587,-0.01946736,0.00648298,-0.00510976,0.01811594,0.01983382,0.08477769,-0.08333333,-0.01336417,0.02750076,0.02823626,0.02231699,-0.0229248,0.03313351
2019-18,-0.03846154,-0.03125211,-0.02440467,-0.00917958,-0.02755564,-0.04564244,-0.01830518,-0.02422454,-0.02900409,-0.03611072,-0.02527536,-0.03414382,-0.02053664,-0.0093785,-0.03736655,-0.02600821,-0.03575888,0.06101695,-0.05963928,-0.02607716,-0.02341689,-0.04454632,-0.03009056,-0.12488442,0.12997904,-0.04222402,0.1133218,-0.0298995,-0.08061243,0.08358896,-0.10232068,-0.02685512,-0.02620478,-0.02943516,-0.0295988,-0.02730899
2019-17,0.01589794,-0.00489243,0.0,0.00341232,-0.00330661,-0.01359973,-0.00610363,0.00198928,-0.00647486,0.00341036,0.01916294,0.02377647,0.00813093,-0.00363636,-0.01456849,0.00047115,0.00427639,0.01160093,-0.01180241,-0.00133705,-0.0021343,0.01987847,0.00992411,0.05098657,-0.05031447,0.01738923,-0.03270224,0.00450338,0.00928229,-0.01086957,0.02975939,0.00309816,0.00330873,0.00554675,0.02148415,-0.00508182
2019-16,-0.01029926,0.02895833,0.01584691,-0.0101983,0.01478377,-0.01299134,0.03126314,0.00585056,0.01390607,0.02159302,0.00640038,-0.0032736,0.03469587,0.03851204,0.01554656,0.01452746,0.00543171,-0.02581369,0.02843755,0.00078064,0.01471326,-0.01555593,0.01380967,-0.02292899,0.01713062,-0.0065239,0.05698529,-0.0116078,0.02044103,-0.02054795,-0.05636579,0.00876611,0.00717949,0.01261237,-0.00403133,0.02524089
2019-15,0.02013423,-0.00662991,-0.0062724,0.00037893,0.00826987,-0.00066789,-0.01455814,0.01394692,0.01132189,7.212e-05,-0.00011847,0.03340441,-0.02752785,-0.03013619,0.00098151,0.008232,0.01319261,-0.02171553,0.02287909,0.00707388,-0.00218377,0.04102927,-0.00270351,0.14729246,-0.13863216,0.0492689,-0.0824222,0.02112676,0.03893244,-0.03781818,0.08893196,0.00974275,0.01354519,0.01268239,0.02498821,-0.0156789
2019-14,-0.00347155,0.0056101,0.01764795,0.00999423,0.00881078,0.02009537,0.01632846,0.00521483,0.01006916,0.00021558,0.01162791,0.01125804,0.0195223,0.02809744,0.02030883,0.00378113,0.01109698,-0.02021277,0.01992846,0.01093422,0.01120353,0.01010907,0.00390977,0.02976227,-0.03107861,0.01023857,-0.02408638,0.00581542,0.02130052,-0.02345416,0.02257434,0.00934942,0.00787298,0.00477099,0.01792543,0.01395939
2019-13,0.03140529,0.00956904,0.00799262,0.01346867,0.01127568,0.01475951,-0.00945295,0.01419176,0.0139672,0.01468118,0.02208047,0.03096774,-0.00737287,-0.02121123,-0.00704816,0.01439244,0.02289442,-0.02677652,0.02845063,0.0129571,0.00701935,0.03295089,0.02434515,0.10015575,-0.0952381,0.03325269,-0.05859375,0.0149369,0.03506098,-0.03326544,0.05544053,0.01066654,0.01213172,0.00854112,0.03639752,-0.00671563
2019-12,0.03150599,0.00608431,0.01075269,0.0075818,0.00855913,0.02560843,0.01136963,0.01525223,0.00638893,0.00679967,0.01454224,0.01086542,0.01173085,0.00817844,0.01253649,0.0080799,0.00918892,-0.01476378,0.01265359,0.01740535,0.01141152,0.00882353,0.00504096,0.0251938,-0.03097345,0.00851336,-0.01620029,0.01188904,0.0387382,-0.03814884,0.02456399,0.01384608,0.01369863,0.01351736,0.00640943,0.01888625
