Month,ERUS,FONE,IXP,IYZ,LTL,VOX,XTL
2014-10,-0.00881834,0.03399597,0.02703732,0.03643877,-0.10586907,0.03779742,0.05187377
2014-09,-0.04453307,-0.04149715,-0.02709134,-0.01987712,-0.0122631,-0.01215484,-0.03394889
2014-08,-0.00878334,0.04174894,0.01317254,0.00362976,0.0,-0.00013203,0.03538791
2014-07,-0.08442721,-0.0357728,0.00911458,0.00874636,0.07843137,0.00713531,-0.02837409
2014-06,0.04014824,0.03871523,-0.00280689,0.02322097,0.04558611,0.00910918,0.02812258
2014-05,0.11748349,0.04377606,0.01659039,0.01886792,0.00509091,0.03159341,0.01997259
2014-04,-0.06712062,-0.00416543,0.01710066,-0.03702346,-0.13730804,-0.01686157,-0.05880171
2014-03,0.08617021,0.01479469,0.02109453,0.04556075,0.09841513,0.05301936,0.02113353
2014-02,-0.0176792,0.09343017,0.05254448,0.03345425,-0.01448913,0.02609727,0.05075939
2014-01,-0.07808492,-0.00032031,-0.0364513,-0.01983976,-0.05433499,-0.01942841,0.01350029
2013-12,0.04969662,0.0206852,0.02542539,0.05748503,0.08649897,0.03585369,0.06150671
2013-11,-0.04733568,0.02975207,-0.00541481,-0.01634877,-0.03992114,-0.00722892,0.01318229
2013-10,0.01147855,0.00130081,0.05768051,0.05325203,0.11361142,0.06391876,0.00184843
2013-09,0.09285278,0.06029976,0.05866957,0.03392706,0.08333333,0.03549743,0.0407679
2013-08,-0.02562574,-0.00466954,-0.02599616,-0.04503043,-0.0979021,-0.05195186,-0.02832564
2013-07,0.03372892,0.03061987,0.02958185,0.08204676,0.18861893,0.04472548,0.04774477
2013-06,-0.04390977,-0.00340393,0.01103107,-0.00394737,-0.01171257,0.02105594,0.01214848
2013-05,-0.03583062,0.05364892,-0.05087271,-0.00956106,-0.00552826,-0.02392638,0.05472404
2013-04,-0.01802059,0.04767726,0.06782727,0.10416667,0.22123894,0.08024187,0.02527758
2013-03,-0.0282734,0.02395704,0.03846154,0.02521823,0.01725431,0.03526619,0.0105037
2013-02,-0.07312753,-0.01410153,-0.03592408,-0.05101103,-0.05192034,-0.02187604,-0.03545936
2013-01,0.00615069,0.01577418,0.01671309,0.00887021,0.00933238,0.01294278,0.00789046
