Week,ERUS,FONE,IXP,IYZ,LTL,VOX,XTL
2018-51,0.01078784,0.02350684,0.04283635,0.05456026,0.08496953,0.06077189,0.0609673
2018-50,-0.02812895,-0.05751015,-0.04529481,-0.05403377,-0.09635036,-0.06010349,-0.06669776
2018-49,-0.01795666,0.02930403,-0.00383877,-0.01193059,-0.00960219,-0.00721742,-0.02087343
2018-48,-0.00907441,-0.05313906,-0.03855422,-0.04502944,-0.04989765,-0.04168217,-0.05591368
2018-47,0.03221649,0.02747989,0.02991945,0.02110912,0.04985994,0.02870997,0.01409464
2018-46,-0.02607362,-0.02517513,-0.01007166,-0.01923762,-0.04436029,-0.01080664,-0.00449015
2018-45,0.02207506,-0.00066637,0.01523332,0.01069138,0.00944924,0.00415984,0.00901288
2018-44,-0.02841596,0.01607575,-0.00321483,0.00738137,0.03068921,-0.00592885,0.0011088
2018-43,0.03658925,0.0548041,0.03761755,0.05142434,0.03471475,0.0472319,0.07719821
2018-42,-0.01689612,-0.04945295,-0.04695268,-0.04444444,-0.05589431,-0.04927361,-0.048
2018-41,-0.00829238,0.01134342,0.00741565,0.0165052,0.04625199,0.01162648,0.01457559
2018-40,-0.01085973,-0.03592046,-0.02338971,-0.03588682,-0.10781287,-0.03036053,-0.04630393
2018-39,-0.03508772,-0.04512343,-0.02020025,-0.00882553,-0.00777568,-0.0178758,-0.01484553
2018-38,0.02181818,-0.00222492,0.00476695,-0.00337041,0.00395993,0.01003266,0.0001316
2018-37,0.04138595,0.01995064,0.00711364,0.00847745,0.00164435,0.01239669,0.00132031
2018-36,0.05205852,0.0143213,0.02645985,0.0168327,0.02553602,0.01557669,0.01036545
2018-35,-0.03022339,-0.03175554,0.00091844,-0.00548885,-0.01178451,-0.01664713,-0.01175538
2018-34,0.00878049,0.01315257,-0.02135991,-0.00238014,-0.01103545,-0.01113662,0.00340716
2018-33,0.00230263,0.02191894,-0.00445951,0.00583992,0.00430725,0.01170001,0.01573753
2018-32,0.01331115,0.00062189,0.01818182,0.02871322,0.05693132,-0.00315236,0.01222494
2018-31,-0.07919877,-0.01382395,-0.00253073,0.00786838,0.04369837,0.00069963,0.00068111
2018-30,-0.01541251,0.00654798,-0.0025344,0.01210121,0.01432432,0.01196745,0.02275313
2018-29,0.01770186,-0.00426309,0.01315546,0.00293686,0.00461205,-0.01743098,-0.01033087
2018-28,-0.04450418,0.00814498,-0.01351845,-0.0193479,-0.03638227,-0.01931701,-0.01793966
2018-27,-0.014416,0.00966482,-0.00564869,-0.00250627,0.0145568,0.00160809,-0.00134282
2018-26,0.03156917,0.01324364,0.0328674,0.02012441,0.03821656,0.02555608,0.02835016
2018-25,0.02857143,0.00165975,0.00150688,0.01489758,-0.00468578,0.00035621,0.01240135
2018-24,0.03080957,-0.0186,0.00847777,-0.00694698,-0.02051836,0.00293979,-0.02094953
2018-23,-0.02442119,-0.01176932,-0.01792902,0.00915751,0.01763085,0.0179019,0.02400558
2018-22,-0.02869353,0.00972608,0.01483011,0.01304024,0.00554017,0.01362199,0.01014513
2018-21,0.02550378,0.0040008,0.00739617,0.00563275,0.00875954,0.01137206,0.00905693
2018-20,-0.01819284,-0.00118647,-0.00835344,-0.00595017,0.00266312,-0.01707022,-0.00722789
2018-19,-0.01363636,-0.01549931,-0.02279774,-0.01042054,-0.01406121,-0.00401411,0.00158251
2018-18,0.04048071,0.0129948,0.00436761,0.00671391,0.01301461,0.00730905,-0.00853242
2018-17,0.00690738,0.01375683,-0.01698856,-0.00855337,-0.02715915,-0.01187335,0.00767337
2018-16,0.017067,0.00080241,0.00355429,0.00403226,0.0,0.00361854,-0.00170746
2018-15,0.01483871,-0.024073,-0.00568889,0.00663717,0.01487693,-0.0004674,0.01803865
2018-14,0.02305379,0.00921569,0.00486224,0.0238546,0.02183527,0.01886564,0.03611804
2018-13,-0.00524017,-0.00372768,0.01547531,0.01344602,0.03727064,0.02457185,0.01738088
2018-12,0.01219866,-0.01348016,0.01325235,-0.00711078,-0.01774148,0.00304841,-0.01405186
2018-11,0.00377249,-0.04389881,-0.03516957,-0.04128608,-0.0695629,-0.0451931,-0.02290511
2018-10,-0.02648453,-0.00678028,-0.00899312,0.00506696,0.02058824,-0.00610669,-0.01641811
2018-09,-0.00608239,0.03489475,0.0126899,0.01012292,0.0,0.01335811,0.03843939
2018-08,-0.04637527,-0.02280374,-0.02962833,-0.0161987,-0.03694202,-0.01868081,-0.00738702
2018-07,0.0330976,0.01150307,0.00734109,0.00437318,-0.03699871,-0.0020979,-0.00772145
2018-06,0.03983476,0.03380783,0.01238557,0.03205367,0.07480534,0.03390032,0.04649413
2018-05,-0.03304094,-0.00986193,-0.01251788,-0.02611254,-0.12550607,-0.02759911,0.0007593
2018-04,-0.00562905,-0.01733458,-0.01950891,-0.01634783,0.00526694,-0.01280909,-0.00654736
2018-03,-0.00690608,-0.01325723,0.01350895,0.00069085,0.00094384,0.00532564,0.00043415
2018-02,0.02322914,0.01132356,0.00309491,0.00211342,-0.00437743,0.00591649,-0.00014545
2018-01,0.02723848,0.00540742,-0.01074169,0.0013913,0.01222142,-0.00090121,0.00360855
2018-00,0.05067568,0.03932584,0.00017085,-0.00937175,-0.00787026,-0.01164744,0.0086701
2017-52,-0.00031182,0.00369434,-0.00137457,-0.0055517,-0.00612774,-0.00615419,-0.00709325
2017-51,-0.00312989,-0.00690052,-0.00326012,-0.00965517,-0.00071056,-0.0023532,-0.00585052
2017-50,0.00250548,0.00861057,-0.00310452,-0.00243563,0.03570537,0.0086877,-0.00265761
2017-49,-0.00697748,-0.00452934,-0.00069168,-0.03949608,-0.0742025,-0.0327391,-0.0131191
2017-48,-0.03514774,-0.0235876,0.0212766,0.03086636,0.06541829,0.03510414,0.00557348
2017-47,0.03109137,0.02480292,0.01655868,0.0215905,0.03393316,0.01369048,0.01841317
2017-46,-0.00531915,0.0007764,0.00856414,0.02590674,0.02734904,0.02472629,0.02957198
2017-45,0.021324,-0.00077146,0.00418791,-0.01089325,-0.00581857,-0.00048948,-0.01019305
2017-44,-0.00484496,0.01442403,-0.00161929,-0.04242842,-0.08099251,-0.03280411,-0.03513231
2017-43,-0.00514469,-0.01097394,-0.01203753,0.00236806,-0.01828194,-0.0053702,-0.00429058
2017-42,-0.01852433,-0.01145631,0.00053032,-0.00964416,-0.04541632,-0.00181098,0.00339734
2017-41,0.02283693,0.02222222,-0.00158898,-0.01730895,0.00379907,-0.02164262,-0.01172554
2017-40,0.00678952,0.008,-0.0007046,0.0203469,0.0297593,0.01422491,0.00434594
2017-39,0.00160514,0.01268672,-0.00070126,-0.01101469,-0.01647989,-0.00681945,0.01370679
2017-38,0.00361842,0.00545234,0.01242016,0.02227553,0.02505268,0.02145726,0.00133254
2017-37,-0.00227568,0.01455216,0.00591292,0.020479,0.0253819,0.02415744,0.01041352
2017-36,0.01915966,0.0018595,-0.00856225,-0.0526658,-0.11894996,-0.04135761,-0.02918632
2017-35,0.03186023,0.01408742,-0.00596177,0.01397465,0.0119909,0.00424391,0.00529334
2017-34,0.0327752,0.01547922,0.00528448,0.02364302,0.01558551,0.01960337,0.03175083
2017-33,0.00932903,-0.0161189,-0.01705534,-0.04104359,-0.05756252,-0.03387773,-0.02571596
2017-32,-0.014862,-0.02753236,-0.01776168,-0.01210577,-0.0300514,-0.0122314,-0.02187772
2017-31,0.01153153,-0.00308769,0.00052002,0.02111761,0.03680229,0.01050514,-0.01548831
