Month,risk_free
May-19,0.002025
Apr-19,0.002108333
Mar-19,0.002158333
Feb-19,0.002225
Jan-19,0.002266667
Dec-18,0.002375
Nov-18,0.0026
Oct-18,0.002625
Sep-18,0.002491667
Aug-18,0.002408333
Jul-18,0.0024
Jun-18,0.002425
May-18,0.002483333
Apr-18,0.002383333
Mar-18,0.002375
Feb-18,0.002375
Jan-18,0.002141667
Dec-17,0.002
Nov-17,0.001958333
Oct-17,0.001966667
Sep-17,0.001825
Aug-17,0.00185
Jul-17,0.001933333
Jun-17,0.001816667
May-17,0.001925
Apr-17,0.001916667
Mar-17,0.002066667
Feb-17,0.002016667
Jan-17,0.002025
Dec-16,0.002075
Nov-16,0.001766667
Oct-16,0.001458333
Sep-16,0.001358333
Aug-16,0.001291667
Jul-16,0.001258333
Jun-16,0.001383333
May-16,0.001508333
Apr-16,0.0015
Mar-16,0.001575
Feb-16,0.001491667
Jan-16,0.00175
