Name,SR_month,Omega_month,RisknessR_month,SR_week,Omega_week,RisknessR_week
ACWI,0.15093204032691876,0.1885432602760453,9.042961770391205,0.08872112832214894,0.11533432407140155,10.907773144758034
ACWV,0.28159465417619,0.314072109177862,21.66481594148733,0.11082607320431039,0.1558506235371714,18.99378824662491
ACWX,0.07448488042568503,0.08614366868842126,4.583170890091386,0.06118725902119735,0.07585206884133411,7.100980640422369
CGW,0.20693991257163252,0.2474313731305486,12.153817380672857,0.0838225364446175,0.10721948565480277,10.602361246360193
CWI,0.09014407665501734,0.10065703445405264,5.4554487465642065,0.059738378062464396,0.07638371704633058,6.953023700997017
DBEF,0.09364660248978325,0.10541235060259307,6.257884868468651,0.05998395935050748,0.07197575657250253,6.96103512667217
DIM,0.054819102060518425,0.06059161152010409,3.203338943779929,0.06688820547727681,0.08826766813102853,7.983748869880863
DLS,0.05786192395237669,0.05443484208738617,3.2390056138604564,0.07760710317031032,0.09433793446682744,9.464041268719445
DOL,0.08068082023484184,0.08936086754285413,5.174432293804068,0.05052422697383261,0.063332261089573,5.948649372996984
DTH,0.07976525143748148,0.09273111482648859,5.1621949735266615,0.060975129564355676,0.07801340785640852,7.089252255060504
DWM,0.06528271771519757,0.06666518475354297,4.2063769680710905,0.058455663706772874,0.0705586393257629,7.052715543946024
DWX,0.18017705776201717,0.2209392301334618,13.048801356582189,0.07482508040829587,0.11075467803784783,8.779707327734812
EFA,0.06737614025426614,0.06976900138045723,4.181728427003118,0.05430159152180715,0.06781296701345652,6.4365230897798
EFAV,0.12444619109568074,0.14060819337520253,9.864898569612706,0.05634110987877498,0.0750850691045224,8.727981801871596
EFG,0.08240295822294845,0.08989322621646596,4.878134356575098,0.06130642108529624,0.07347793812509024,7.363835451950013
EFV,0.04062562367733441,0.04625780694176455,2.386012910124831,0.04235810924706726,0.05284252201220085,4.695494741249222
EWS,0.05205204476193904,0.06451297060656415,2.367770289919664,0.044037495446112025,0.05939730671310235,4.534817911309584
EZU,0.03553762360196179,0.04334733469364326,1.782417619879766,0.06314832771823001,0.0818229232155589,6.432173043427982
FDT,0.01692301419637734,0.01955890146071293,0.8544898170993809,0.023809142371824958,0.030510254158451017,2.6271216739450796
FGD,0.06797984223213276,0.078826144312979,4.371154830831994,0.05005286500695453,0.0666669602284086,5.811612287435841
GDX,0.11090529018377834,0.21433233352968808,2.447992329651922,0.05690216960870209,0.09086682985176615,2.96122276130381
GDXJ,0.08636192800830587,0.16956622840316815,1.6570064296478269,0.032576224577883076,0.048670119172888215,1.4871685943291977
GII,0.2476957115738514,0.3189312923385717,17.257899526476823,0.09318957625868016,0.11664299929213788,12.798624094294354
