Week,ANGL,CJNK,GHYG,HYG,HYLD,HYS,JNK,PHB,SJB,SJNK,UJB
2019-21,-0.00420905,-0.00311405,-0.002285,-0.00058699,-0.00782609,-0.00342811,-0.00093888,-0.00053706,-0.0031746,-0.00223048,-0.00014605
2019-20,-0.0069735,-0.00388048,0.00103713,-0.002457,-0.00606061,-0.00181507,-0.00252762,-0.00053677,0.00273598,-0.0018546,-0.00058326
2019-19,0.00455501,0.00233554,-0.00082867,0.00587889,0.00755155,0.00425015,0.00536117,0.00268962,-0.00544712,0.00447094,0.00571429
2019-18,-0.00483927,-0.00424383,-0.00205255,-0.00440733,0.00376266,-0.00360938,-0.00510299,-0.00213789,0.00506912,-0.00369276,-0.00895954
2019-17,0.00138841,0.0003858,0.00143796,0.00011605,0.00173963,-0.00010027,0.0002785,-0.00106724,0.00046062,0.0,0.00171994
2019-16,0.00523743,0.00193424,-0.00123203,0.00513,0.0011611,0.00361991,0.00447594,0.00375134,-0.00367309,0.00296077,0.01178868
2019-15,-0.00209059,0.0003867,-0.00082018,-0.00255398,0.00145307,-0.00170734,-0.00111618,-0.00053447,0.00184162,-0.0014782,-0.01502576
2019-14,0.00665266,0.00310921,0.00349938,0.00665655,0.00554745,0.00382756,0.00720569,0.00483611,-0.00504356,0.00519866,0.01960211
2019-13,0.00422089,0.00194628,0.00227602,0.0041022,0.0043719,0.00151469,0.00394477,0.00269397,-0.00274474,0.00186012,0.0160767
2019-12,0.00389518,0.00469851,0.0041632,0.00767505,0.00967458,0.00743305,0.00729029,0.00270709,-0.00635497,0.00561377,0.00891663
2019-11,0.00106458,0.00276461,-0.00270158,0.00106345,0.00678266,0.00203791,0.00085284,0.0027115,-0.00135993,0.0,0.003288
2019-10,0.00643547,0.00277228,0.00565563,0.00474721,0.00295946,0.0021457,0.00457186,0.00488599,-0.00495719,0.00413223,0.00875604
