Month,ANGL,CJNK,GHYG,HYG,HYLD,HYS,JNK,PHB,SJB,SJNK,UJB
2017-06,-0.00112952,-0.00286416,0.00176211,-0.00162969,-0.00256246,-0.00270797,-0.00159872,0.00227531,0.00085911,-0.00199203,0.02024691
2017-05,0.00492798,0.01206825,0.01684258,0.00977654,0.01598174,0.00974702,0.01165029,0.00573066,-0.00890585,0.00722892,0.00863357
2017-04,0.00996169,0.01134454,0.01663249,0.00871348,0.01684836,0.00972161,0.01064483,0.01042874,-0.0096517,0.00810373,0.04784273
2017-03,-0.00076482,-0.00586019,0.0009093,-0.00509619,-0.01908767,-0.00231227,-0.00680964,-0.00576701,0.00421763,-0.00443548,-0.01491003
2017-02,0.01008925,0.01018676,0.0087216,0.01164295,0.01411687,0.00935829,0.01093122,0.00465116,-0.01203819,0.00897959,0.00916638
2017-01,0.01499605,0.00853971,0.01160093,0.00495825,0.02012072,0.00651466,0.00770753,0.0058548,-0.00411692,0.00658707,0.02173529
2016-12,0.01774194,0.02508803,0.02018044,0.02319346,0.03178991,0.01871412,0.02324087,0.01671642,-0.024,0.01894737,0.04102281
2016-11,0.00485633,-0.03405705,-0.01153213,0.00401929,0.00978337,0.01194896,0.00439301,0.0,-0.00717417,0.00719729,-0.03957597
2016-10,-0.00241449,-0.00297619,-0.00791987,-0.00925559,0.00174095,-0.00598665,-0.00763116,-0.00650503,0.00766129,-0.00252738,-0.00052975
2016-09,0.0114053,0.00724329,0.0098777,0.00879883,0.00034868,0.0114126,0.00769149,0.00714711,-0.01038753,0.01150405,0.04502676
2016-08,0.02921536,0.01205857,0.02013906,0.02547596,0.02400573,0.01516947,0.02493711,0.01758642,-0.02755142,0.02,0.00314698
2016-07,0.01733615,0.02018429,0.01237564,0.01115549,0.02229532,0.01137316,0.01489244,0.01287554,-0.01079414,0.00920245,0.05220101
2016-06,0.03861343,0.01610738,0.00763547,0.016267,0.01336303,0.01078526,0.01798157,0.01811368,-0.01925982,0.01379004,0.00469667
2016-05,-0.0043611,-0.00134288,-0.00758874,0.00126582,0.02314991,0.0057366,0.00736294,-0.00249377,-0.00375516,0.01308664,0.06503262
2016-04,0.06267409,0.01973382,0.03635901,0.03044802,0.0451843,0.02974915,0.03399766,0.02952503,-0.03167091,0.03215284,0.05154853
2016-03,0.04822211,0.0321513,0.03257158,0.00952102,0.02944785,0.02105127,0.0117689,0.0130039,-0.01364943,0.01325758,0.02074074
2016-02,0.02113739,0.01052128,0.0040032,0.0211182,-0.01102041,0.0133439,0.01861899,0.01615074,-0.02418798,0.01557178,0.14240812
2016-01,-0.01686508,-0.01145585,-0.01588983,-0.01001644,-0.0267822,-0.01388889,-0.01567587,-0.0106383,0.00700771,-0.01666667,0.10728144
2015-12,-0.03538977,-0.03037383,-0.03007712,-0.02675343,-0.05345212,-0.02575107,-0.0348541,-0.02835052,0.02234234,-0.02676511,-0.06767397
2015-11,-0.02621723,-0.00925069,-0.02226113,-0.02802945,-0.03246753,-0.02560297,-0.0285908,-0.01974522,0.02759382,-0.02485314,-0.04917038
2015-10,0.02113353,0.01644737,0.02279129,0.03894954,0.008,0.02651032,0.03108566,0.02894737,-0.04150545,0.02078522,0.07927495
2015-09,-0.02529274,-0.01584343,-0.00866463,-0.02667998,-0.04221912,-0.02140635,-0.02720472,-0.01616031,0.02463768,-0.02340234,-0.06608199
2015-08,-0.02480478,-0.0027881,-0.0186753,-0.01332959,-0.01671214,-0.01055733,-0.01751663,-0.01208651,0.01103347,-0.01679187,-0.0285318
2015-07,0.00276243,-0.00278164,-0.01659346,-0.00501602,-0.02621102,-0.0066967,-0.00865564,-0.00253968,0.00296077,-0.01391304,-0.01560367
2015-06,-0.02020656,-0.01819836,-0.01495057,-0.02047502,-0.01183043,-0.01726412,-0.02010753,-0.0137586,0.01728673,-0.00991379,-0.04600484
2015-05,0.00090457,-0.0022779,0.00412521,0.00136911,-0.00229208,0.00385961,0.00193861,-0.00436409,-0.00187477,0.00129646,-0.0362592
2015-04,0.01701932,-0.00317893,0.01895151,0.00662983,0.01938503,0.00400291,0.00794255,0.00883281,-0.00889548,0.0091663,0.07693795
2015-03,0.00323625,0.00593878,-0.03262173,-0.00932401,-0.0218099,-0.00531465,-0.00907912,-0.00626566,0.00596792,-0.00650759,-0.02156232
2015-02,0.00935454,0.01048792,0.03779214,0.01828843,0.03903598,0.01660721,0.02412572,0.01591343,-0.02011704,0.02081488,0.03952025
2015-01,0.02694757,0.0176416,-0.00396629,0.00705716,-0.00373514,0.00012324,0.00669942,0.0032175,-0.00830025,-0.00132802,0.01858513
2014-12,-0.03672316,0.00093023,-0.01444662,0.00197992,-0.07451847,-0.00504243,-0.00754885,0.00452196,-0.0068076,-0.01055409,0.0023933
2014-11,-0.00330345,0.00324675,-0.0184387,-0.0128524,-0.04474002,-0.00474973,-0.01668111,-0.01265823,0.01357798,-0.00956938,-0.02168125
2014-10,0.00331439,0.01637044,0.00675513,0.0095065,-0.04365424,0.00846107,0.00699454,0.00831734,-0.01443001,0.00348736,0.02271404
2014-09,-0.01532745,-0.01743119,-0.02304798,-0.02096465,-0.04227687,-0.01678339,-0.02561639,-0.02072864,0.01612312,-0.01675258,-0.04533631
2014-08,0.0184136,0.02247191,0.01257414,0.02402023,0.02030457,0.01534307,0.0273386,0.02122186,-0.0267094,0.01527051,0.06132913
2014-07,-0.01261093,-0.0106679,-0.02077562,-0.02452391,-0.01849807,-0.01565511,-0.02458053,-0.01952141,0.02335766,-0.01539119,-0.04640802
2014-06,0.00614948,0.00842302,0.0095638,0.00926694,0.01571268,0.00544135,0.01026472,0.00634115,-0.01229212,0.00343348,0.00693403
2014-05,0.01339713,0.01656413,0.00610185,0.01313033,0.00649901,0.00303251,0.00860285,0.00893427,-0.01286633,0.0043122,0.02281004
2014-04,0.00877193,0.01342282,0.0051899,0.00237762,0.00654152,0.00401949,0.00503778,0.00641849,-0.00071429,0.00389779,0.01498054
2014-03,-0.0043881,0.00095648,0.00619048,0.00014013,0.00920334,0.00146431,0.00175612,0.0,-0.00283789,0.00173536,-0.00058332
2014-02,0.0327621,0.01218324,0.02878049,0.02614943,0.01575722,0.016239,0.02746201,0.02562418,-0.03019904,0.01318681,0.02990167
2014-01,0.00100654,0.01683168,0.00072622,0.00215332,0.01030928,-0.00333004,0.00631626,0.00657895,0.00137788,0.00175516,0.01818553
2013-12,0.01116751,-0.00644522,0.01198044,0.00375289,0.00147536,0.0060862,0.00658044,0.00330033,-0.00683995,0.00529101,0.00286885
2013-11,0.00460123,-0.00494805,0.00343221,0.00639442,0.0005898,0.00914214,0.00799361,0.00397351,-0.01015228,0.00844444,0.00536968
2013-10,0.02732528,0.0216189,0.01929341,0.02073153,0.01829634,0.01446333,0.02265297,0.02715547,-0.02155887,0.01395768,0.04954565
2013-09,0.00791139,0.01897436,0.01353422,0.01311031,0.01276596,0.0101295,0.01268223,0.01098901,-0.02075227,0.00498414,0.01828597
2013-08,-0.02520576,-0.01063291,-0.00938848,-0.00328702,0.0061237,0.00218453,-0.0035319,0.0,0.00556283,0.00272232,-0.02240414
2013-07,0.0271855,0.0141844,0.03133978,0.02301287,0.02792595,0.01946949,0.02101242,0.01931034,-0.02341244,0.01473297,0.03546732
2013-06,-0.03353973,-0.01644245,-0.01886311,-0.01602516,-0.01060842,-0.01127235,-0.02100939,-0.02170963,-0.00063694,-0.01637108,-0.03105862
2013-05,0.001544,-0.01642512,-0.0055332,-0.0239521,-0.00830514,-0.00576184,-0.02179399,-0.01727575,0.0231405,-0.00587703,-0.04103939
2013-04,0.01089777,0.01375921,0.01871795,0.01946797,0.01657804,0.01442495,0.01878866,0.012786,-0.02167583,0.01282051,0.03517049
2013-03,0.01697613,0.00049383,0.00154083,0.00659374,0.01268231,0.00852012,0.00694608,0.0067981,-0.0064082,0.00552486,0.00739452
2013-02,0.00427122,-0.00196657,-0.00640041,0.00589124,0.00864,0.00249803,0.00439065,0.00273598,-0.00918303,0.00324074,0.00792428
2013-01,-0.00053533,0.00049237,0.01010886,-0.00587615,0.01760104,0.00836209,-0.00509056,-0.00612245,0.0044374,0.00326036,-0.01338013
