Month,ANGL,CJNK,GHYG,HYG,HYLD,HYS,JNK,PHB,SJB,SJNK,UJB
2019-05,-0.0132082,-0.01195988,-0.01335251,-0.00896391,-0.00954861,-0.00663317,-0.00940235,-0.00428036,0.00918274,-0.0077634,-0.01240623
2019-04,0.0137179,0.00973141,0.00889717,0.0100797,0.00786943,0.00828032,0.01230394,0.00862069,-0.00640439,0.00818452,0.04247788
2019-03,0.00638978,0.01987281,0.00646777,0.01006036,0.01413428,0.00928287,0.01073532,0.00270709,-0.00770626,0.00599027,0.00607587
2019-02,0.01774719,0.00963468,0.01677995,0.01262019,0.00863609,0.01342975,0.01487779,0.0115258,-0.01072386,0.01023503,0.0205136
2019-01,0.05468451,0.0373599,0.05344365,0.05087741,0.02420343,0.03865564,0.05361685,0.04767375,-0.0480034,0.04018913,0.1143444
2018-12,-0.02431725,-0.00082679,-0.02129046,-0.02758367,-0.02568698,-0.02552301,-0.03015967,-0.02024747,0.02669584,-0.02419355,-0.06881956
2018-11,-0.0238795,-0.00165289,-0.01249192,-0.00856688,-0.02264151,-0.00730842,-0.01109148,-0.007287,0.00966608,-0.00879205,0.01286123
2018-10,-0.02793696,-0.01744422,-0.02446225,-0.02259072,-0.01431844,-0.01566849,-0.02309913,-0.01546961,0.02236136,-0.01661004,-0.04154619
2018-09,0.00759494,0.00285249,0.00850883,0.00740561,0.00868056,0.00486996,0.00700049,0.00333148,-0.00621118,0.00762486,0.01404321
2018-08,0.00471698,0.0040783,0.00021286,0.00609459,0.01078089,0.00489176,0.00537162,0.00782998,-0.00618375,0.00420489,0.01757138
2018-07,0.01473839,0.0115894,0.01404191,0.01573925,0.01290323,0.01468258,0.01780917,0.01301641,-0.01522401,0.01357115,-0.00187911
2018-06,-0.0051395,-0.00658165,0.00259684,-0.001239,-0.0035016,-0.00105441,-0.00089454,-0.00338792,0.00043478,0.0007764,0.02900419
2018-05,-0.00403374,0.00165017,-0.01474989,-0.00024829,0.00324484,0.00052865,-0.00218536,0.00056593,0.00043403,0.00155763,-0.00708079
2018-04,0.00925583,-0.00328947,0.00493668,0.00877303,0.01163137,0.00908605,0.00730292,0.00056593,-0.00860956,0.00903733,0.01685485
2018-03,-0.00550459,-0.00369155,-0.00063966,0.00438816,0.00901442,-0.00106508,-0.00119605,-0.00113058,0.0017301,0.00078401,-0.00650301
2018-02,-0.01547876,-0.01093117,-0.01760268,-0.00680356,-0.00030111,-0.00329052,-0.00660554,-0.00841751,0.00610288,-0.00351014,-0.01212315
2018-01,0.00614384,-0.00120822,0.01254252,-0.00049364,0.02339901,0.00457398,-0.00166912,-0.00279018,-0.00087374,0.00509404,-0.00268775
2017-12,0.00654308,0.00806452,-0.00042689,0.002849,0.00463106,0.00352941,0.00365,0.00055897,-0.00304878,0.00314961,0.00861107
2017-11,-0.00253899,-0.00201369,0.0027891,-0.00271672,0.00465983,-0.00085434,-0.00265461,0.00111982,0.00174672,-0.00196309,-0.00301635
2017-10,0.00182017,0.00283057,0.00042817,0.00135886,0.01069855,0.00160428,0.00187008,0.00168067,-0.00043687,0.00275591,-0.01068007
2017-09,0.01402214,0.00567491,0.00580645,0.00496339,0.01209036,0.00236153,0.00564301,0.00506757,-0.00478261,0.00514444,0.00094862
2017-08,0.00855655,0.00611496,0.00215146,-0.00037253,0.0009539,0.00032227,-0.00108825,0.0,-0.00043403,-0.00079177,0.00556439
2017-07,0.01470034,0.0061703,0.02156216,0.01067839,0.00963391,0.00847366,0.01051472,0.00624291,-0.01157804,0.00718563,0.00693772
