Week,ACIM,BJK,CUT,DEW,DGT,DNL,DOO,DUST,EFZ,EXI,FAN,FILL,FPA,GEX,GOEX,GRES,GRID,HAP,IDHQ,LVL,NLR,PBD,PIO,PIZ,PZD,RING,SEA,SILJ,TOK,VEGI,YMLP
2019-21,-0.0031525,-0.01271546,-0.0096,-0.0031118,-0.00208768,-0.00383142,-0.00425425,-0.04518072,0.00515274,-0.00045772,-0.01086957,-0.00813835,-0.02129145,-0.00482288,0.01148225,-0.00467472,-0.01056892,0.0,-0.00660211,-0.00784656,-0.00972644,-0.00587741,-0.00189538,-0.00727412,-0.00211566,0.01619938,-0.01044084,0.01741655,-0.00685453,0.00190694,-0.01932859
2019-20,-0.00130174,-0.00310822,-0.00512214,-0.00197239,-0.00170068,-0.00036258,-0.00024808,0.0168964,-0.00369959,-0.00652052,0.01497242,-0.03225806,-0.00627396,0.00033328,0.00573514,-0.01147666,-0.00670991,-0.0070526,0.00744634,0.0122807,0.01626016,0.00847458,0.00875523,0.0068781,0.00423231,-0.00494132,-0.03555556,-0.03586207,-0.00256643,-0.00491122,-0.00855131
2019-19,0.01311303,-0.00881543,-0.00498849,0.01060773,0.01175318,0.01275743,0.01102481,0.03270382,-0.01573939,0.01452565,0.01260835,0.01595214,0.01623147,-0.00146151,-0.03093812,0.00305694,0.02006312,0.0014637,0.0200267,0.00705467,-0.00081087,0.01269036,-0.00902256,0.01976744,0.01341176,-0.00856269,0.01557286,-0.03430079,0.02194261,-0.01148148,0.01941748
2019-18,-0.01647177,-0.02578797,-0.0265069,-0.01439313,-0.02075273,-0.01338898,-0.00950292,-0.00041684,0.01444867,-0.01738186,-0.00765697,-0.01072647,-0.02844712,-0.02574713,0.0160705,-0.00935629,-0.01351351,-0.01580581,-0.0140665,0.0,-0.01845971,-0.00408497,-0.02059249,-0.00979284,-0.01715686,-0.00501253,-0.02821317,-0.05216285,-0.01223828,-0.0155532,-0.00501253
2019-17,-0.00174716,-0.01426426,0.00649351,0.00428908,0.00221471,0.00276434,0.00072622,0.08156827,-0.00382848,0.00226537,0.00075758,-0.02273804,0.00065725,0.00440061,-0.01320467,-0.00846522,0.00348129,-0.00638357,0.00725566,0.0,-0.00275753,0.00483481,0.01122782,0.00037439,0.00465426,-0.02382407,0.01239669,-0.03422983,0.00249194,0.00278746,0.00250501
2019-16,0.00339026,0.02033986,0.01943528,-0.00682885,-0.00500757,-0.00431555,-0.00913023,-0.04713959,0.00267789,-0.00302735,-0.00378501,-0.03181189,-0.01215905,-0.01168792,0.03753213,-0.00983248,-0.00517799,-0.01344676,0.0,0.00173611,-0.00411926,-0.00641026,0.00695461,0.00263852,-0.00555309,0.01088929,-0.01234568,0.04511278,0.00532308,-0.01110725,0.00302267
2019-15,0.00176123,0.00512689,-0.02838893,-0.00149158,0.00562786,0.00276769,-0.00263789,0.13104948,-0.00191058,0.01467367,-0.00302115,0.00469484,-0.01459144,0.01360856,-0.02581588,-0.00721761,0.01910408,0.00274876,-0.00171674,0.00611354,-0.02223926,0.00563607,0.0007326,0.0,0.01441117,-0.03616533,0.00416233,-0.04656577,0.00192536,0.00980736,-0.01009082
2019-14,0.00518397,0.00566572,0.0024735,0.00085361,0.00375807,0.00347524,-0.00334528,0.06751298,-0.00190621,0.00715072,-0.00754148,-0.00465549,0.00322373,0.00676299,-0.03044496,-0.00393419,0.00219732,-0.00898938,0.00301724,0.00525855,0.00638298,-0.00321802,-0.00437796,0.00570342,0.00614474,-0.0235558,0.03121636,-0.03991131,0.00311758,-0.01010453,-0.00150981
2019-13,0.00958099,0.03042328,0.01178571,0.00622585,0.00781991,0.01625729,0.00529865,-0.06263048,-0.00793651,0.00752046,0.01221374,0.00566305,0.00258148,0.02233407,0.02281553,0.00578244,0.02917232,0.01356589,0.00173235,0.0026362,-0.00250385,0.02310231,0.00918442,0.00729367,0.02190632,0.01976744,0.03455964,0.02317497,0.00885221,0.01377605,0.00763359
2019-12,0.00941669,0.015772,0.02235469,0.00677152,0.00824442,0.00903996,0.00414634,0.10852238,-0.00704225,0.02206136,0.01163693,0.006241,0.00995685,0.02202136,-0.05326768,0.00624082,0.00391525,0.00933258,0.00353513,0.01339286,-0.01201602,0.00757576,0.00749344,0.01332288,0.01860802,-0.04043716,0.00689655,-0.05963791,0.01322263,0.01229656,0.00670449
