Month,ACIM,BJK,CUT,DEW,DGT,DNL,DOO,DUST,EFZ,EXI,FAN,FILL,FPA,GEX,GOEX,GRES,GRID,HAP,IDHQ,LVL,NLR,PBD,PIO,PIZ,PZD,RING,SEA,SILJ,TOK,VEGI,YMLP
2019-05,-0.05054423,-0.10479119,-0.09403586,-0.03589854,-0.04858916,-0.05109489,-0.03187348,-0.04353448,0.04077744,-0.05342436,-0.0413845,-0.0625,-0.0665779,-0.08108108,-0.01923077,-0.0459298,-0.05457671,-0.05566489,-0.0391656,-0.01727116,-0.03571429,-0.04284559,-0.03940168,-0.02518797,-0.05414439,0.00990712,-0.11606218,-0.12810945,-0.03806433,-0.08434995,-0.02773575
2019-04,0.02363311,0.03888889,-0.0125,0.00601116,0.01800948,0.02456264,-0.00096339,0.14718163,-0.01398337,0.02842292,0.01984733,-0.00660689,-0.03484995,0.03711859,-0.03252427,-0.02204554,0.04409769,-0.00083056,0.01862278,0.02108963,-0.01483051,0.02475248,0.01616458,0.0303263,0.05266838,-0.04767442,0.0780379,-0.05561993,0.02370593,0.01730837,0.01272265
2019-03,0.0084934,-0.02625995,-0.01152738,0.01096732,0.00277342,0.01454281,0.0175482,-0.10627781,-0.00149087,-0.00257905,0.01085271,0.00914781,-0.00425393,-0.01504593,-0.00657586,0.00329429,-0.03711067,0.00478604,0.00309187,0.01429848,-0.00038595,-0.0315534,0.0124247,0.00858034,-0.01311168,0.02991202,-0.01573034,-0.00225989,0.00887936,-0.00815025,0.03171247
2019-02,0.02607877,-0.00449141,-0.00217865,0.02087074,0.01909808,0.01906898,0.01251564,0.03329694,-0.02316323,0.04470974,0.0046729,0.01673228,0.02714477,0.03892705,-0.00543971,0.00257922,0.02768951,0.00795003,0.02818182,0.02747253,0.03044776,0.05645851,0.04769475,0.03755102,0.04214653,-0.00797267,0.01012373,0.02555556,0.02985075,-0.00458231,0.01543374
2019-01,0.08031313,0.12429041,0.13251029,0.07569913,0.07974482,0.09150194,0.06932548,-0.21300742,-0.06345436,0.09418709,0.12345679,0.07074468,0.10636732,0.1171732,0.10319043,0.08283552,0.13097979,0.09277071,0.07247796,0.06464251,0.02816616,0.13249516,0.08761329,0.0726477,0.10246679,0.08599509,0.06563246,0.10072816,0.07231581,0.0933642,0.10918854
2018-12,-0.08909187,-0.10146899,-0.09988777,-0.0779163,-0.07907319,-0.06722212,-0.0444953,-0.27229147,0.07174071,-0.09521598,-0.05872622,-0.1157341,-0.06811146,-0.09166528,0.10523385,-0.04286798,-0.0967293,-0.07491389,-0.06094183,-0.05258303,-0.02689439,-0.10017271,-0.06672058,-0.06815416,-0.10895884,0.07989348,-0.15692308,0.03741935,-0.09346232,-0.09410945,-0.12225201
2018-11,0.00363734,-0.02028905,-0.03621068,0.01318781,0.00863904,-0.0251785,-0.01138376,0.05114358,0.0094237,0.01153526,0.05078809,-0.02942572,0.0125493,0.05374211,-0.04584222,-0.03737972,-0.01554524,-0.02361071,-0.00841515,0.03038936,0.00319936,0.03523035,0.02375,-0.02300242,0.02263581,-0.02775942,-0.00733753,-0.10419162,0.00207568,-0.00748396,-0.04482226
2018-10,-0.07056452,-0.10438413,-0.12536349,-0.04899826,-0.07160378,-0.08694128,-0.05547481,-0.10187324,0.08973859,-0.11056406,-0.0902379,-0.11018014,-0.11585761,-0.07090129,-0.01493333,-0.02214022,-0.11615207,-0.0726333,-0.0875596,-0.04212454,-0.01187413,-0.08142494,-0.0799532,-0.10928962,-0.09336438,0.01610644,-0.09990301,-0.09803922,-0.07450922,-0.06955336,-0.07692308
2018-09,0.01485465,-0.05536417,-0.01404405,0.01239761,0.01596188,-0.00158144,0.02325581,-0.08666199,-0.017215,0.02492281,-0.01444623,0.04355556,-0.01339286,-0.02620968,0.01582106,0.02150132,-0.04007286,0.03756001,0.00129926,0.00646353,0.01579684,0.01107325,0.00988142,-0.01792115,-0.00684619,0.0296457,0.03437816,0.01183432,0.01086628,0.03383856,0.00391198
2018-08,0.00756216,-0.04986213,0.00924745,-0.0032902,-0.00603836,-0.00568966,-0.02624672,0.41344778,0.02007874,0.00528111,-0.0203125,-0.01872007,-0.02291994,0.00835701,-0.11534884,-0.00112191,0.00586332,-0.00749584,-0.00727117,-0.00274223,0.01450735,-0.01584654,0.00945999,0.00824373,0.0287703,-0.13614458,0.00996016,-0.10707071,0.01580067,-0.00139179,-0.02531041
