Name,SR_month,Omega_month,RisknessR_month
IYC,0.17718168311966906,0.20363186763600313,8.803570679005237
XLY,0.1820045362338612,0.24064158661337046,8.762278713653663
RTH,0.1519012829210761,0.22910469240424672,7.294611777196037
VCR,0.14938025257531054,0.1930264105387796,7.008879678361168
RXI,0.1198927188020743,0.14853632021486401,6.1798372842641855
PSCD,0.11452555889752417,0.15140974123958995,4.512359754616488
UCC,0.18412377067527322,0.2240989246028624,4.471253803318246
PEZ,0.1099031994829221,0.15346389486297748,4.454963063392484
RCD,0.0727120828313957,0.10137041578702441,3.6344922871367427
PBS,0.06941639521015625,0.08865923991153163,3.4890487702929422
PEJ,0.06616653671921971,0.07322164896445713,3.417325430339047
FXD,0.0521167797795907,0.0741597015242328,2.64718451052993
INCO,0.043556811319036735,0.052808836105005974,1.8565374946420854
CHIQ,0.041176262817647816,0.04567692609491099,1.406509640476769
BJK,0.016012193144118267,0.01983273497367882,0.6082006510839253
PMR,-0.013167183691695119,-0.01789104865628487,-0.5420330202959657
RETL,-0.05404642112465673,-0.07035453753351953,-0.7932228467400259
XRT,-0.03121661124435093,-0.038895505108580426,-1.2416029570914549
CARZ,-0.05571386903750687,-0.05814345221964315,-2.5181239285581047
SCC,-0.19706943163425714,-0.24862974155731776,-4.421794999425361
