Month,BJK,CARZ,CHIQ,FXD,INCO,IYC,PBS,PEJ,PEZ,PMR,PSCD,RCD,RETL,RTH,RXI,SCC,UCC,VCR,XLY,XRT
2019-05,-0.10479119,-0.09067432,-0.1516035,-0.07126489,-0.01131985,-0.04206865,-0.05885764,-0.05845182,-0.06098862,-0.07702419,-0.08921694,-0.07533926,-0.28111224,-0.03995519,-0.04983137,0.09297659,-0.08632962,-0.05699164,-0.05227215,-0.09960071
2019-04,0.03888889,0.039239,0.01117647,0.035496,-0.02707156,0.05169409,0.05704698,0.03492137,0.03160189,0.02750334,0.02934426,0.02480753,0.01648533,0.02325581,0.04407282,-0.09620098,0.10322261,0.03898859,0.04317984,0.00838852
2019-03,-0.02625995,-0.05059266,0.02332719,-0.00166074,0.03251039,0.01763212,-0.02169982,-0.00694123,-0.00508167,-0.01508336,-0.03831479,0.005706,-0.08,0.02354205,0.01053289,-0.04192993,0.03386454,0.01969482,0.02826951,-0.02215946
2019-02,-0.00449141,0.00291971,0.08137189,0.02901402,0.00195791,0.02721613,0.0293098,0.0175772,0.07589723,0.06380576,0.03383897,0.03952169,0.14085014,0.02879001,0.02344828,-0.04970286,0.05022831,0.02888507,0.02817561,0.04644246
2019-01,0.12429041,0.10080515,0.14296754,0.09784367,-0.05391705,0.08266872,0.10365217,0.05789868,0.08562887,0.0553582,0.08177233,0.09474151,0.17715232,0.07011421,0.09196199,-0.15622077,0.16618076,0.09276033,0.09042446,0.0625
2018-12,-0.10146899,-0.08666472,-0.09300699,-0.11346663,0.01655934,-0.10448279,-0.08529128,-0.0882016,-0.13155936,-0.09132543,-0.10984725,-0.11127655,-0.35122225,-0.09649798,-0.08894708,0.23124647,-0.21021972,-0.10827345,-0.09651131,-0.12371355
2018-11,-0.02028905,-0.01145374,0.0,-0.00146663,0.09163746,0.00475372,-0.03664266,0.02295082,0.00550494,-0.04353493,-0.03621126,0.00020131,-0.10967073,-0.0153787,-0.00578991,-0.04517134,0.00475737,0.00091119,0.00421546,-0.03238015
2018-10,-0.10438413,-0.06370656,-0.12133333,-0.06468125,-0.04781756,-0.07852084,-0.05166052,-0.08827973,-0.12141169,-0.07291412,-0.08475836,-0.06794359,-0.20998279,-0.07430902,-0.10524552,0.17439024,-0.16099918,-0.10089899,-0.09826739,-0.07050645
2018-09,-0.05536417,0.02212766,-0.0202086,-0.00961759,-0.09801762,0.00576905,0.01669759,0.00662818,-0.00083361,-0.04959064,-0.03230835,-0.0006666,-0.06709829,0.00045356,0.01162199,-0.01070155,0.01184791,-0.00311232,0.00344917,-0.02201197
2018-08,-0.04986213,-0.02128821,-0.04107909,0.04561825,0.00209468,0.06311396,0.04308682,0.01339672,0.10042303,0.07947531,0.09163715,0.03293678,0.18188235,0.08237037,0.02767176,-0.09822362,0.13299663,0.05664604,0.05620951,0.06199794
2018-07,0.03892774,0.02013238,-0.03632103,0.00452596,0.05006588,0.02191937,-0.03996311,0.01363046,0.00292933,-0.01594533,0.00936876,0.0153634,0.06396331,0.03052972,0.02120732,-0.03001017,0.04177971,0.01475576,0.0166159,0.02397332
2018-06,-0.07219083,-0.06422018,-0.07515991,0.03260603,-0.03335444,0.02873011,0.05515666,-0.00343643,0.02111755,0.07305812,0.03485977,0.02262489,0.13324288,0.03454754,0.00599912,-0.06112703,0.05801231,0.02176027,0.02862033,0.04523706
2018-05,0.05980651,-0.02560884,0.04893138,0.0077326,-0.0346473,0.01074394,0.05937827,0.03217158,0.0658238,0.01471813,0.05438066,0.0286783,0.07911957,0.0011557,0.00133428,-0.03673469,0.03924628,0.02070173,0.01843723,0.02902137
2018-04,0.03828519,0.02575217,-0.00393258,0.01185073,0.05230171,0.04795808,0.01578394,0.03779272,0.06382079,0.06028986,0.04540692,0.03894446,0.13179847,0.07259691,0.04886692,-0.05089695,0.11169034,0.0495531,0.05351446,0.04748472
2018-03,0.00067416,-0.01605731,-0.02095648,-0.00998782,0.00675087,-0.01492131,-0.02543507,0.01026226,-0.00790915,0.0002798,0.03197065,-0.00585276,-0.03854136,-0.02722093,-0.00507752,0.06305465,-0.05480419,-0.01310236,-0.01322412,-0.00929494
2018-02,-0.05543933,-0.01839189,0.0037234,-0.04716981,-0.04362277,-0.03060692,-0.0019698,-0.03650897,-0.02660497,-0.05429162,-0.03401585,-0.0322298,-0.10631741,-0.03047484,-0.03301072,0.06200397,-0.06164018,-0.02741055,-0.02382541,-0.03089643
2018-01,0.06087735,0.0265252,0.03231018,0.03346784,-0.02549177,0.07567417,0.07001414,0.04969227,0.03001391,0.06036109,0.00495868,0.04062751,0.07045998,0.09579924,0.0682528,-0.13439244,0.15910466,0.06921348,0.0760572,0.02629834
2017-12,0.06341348,0.00513196,0.07067138,0.02234774,0.06283508,0.02566029,0.01271802,0.0199907,0.01396478,0.04698178,0.03513884,0.02936242,0.12220472,0.04291152,0.01776938,-0.06465517,0.05915309,0.02323569,0.02500791,0.04294766
2017-11,0.03475281,0.01598623,-0.00235433,0.06259781,0.02791103,0.05998653,0.01591414,0.04399323,0.02039975,0.08574035,0.08114075,0.06830907,0.33250927,0.09162697,0.03024409,-0.1182266,0.11219583,0.05004193,0.05040993,0.10474716
2017-10,-0.00049714,0.02311405,0.00715564,0.0047356,0.0739868,0.0054857,-0.02535313,0.01170732,0.02705559,-0.02032885,-0.02253622,-0.01958842,-0.15990288,-0.00012582,0.02344374,-0.01524602,0.00781711,0.01324175,0.01920253,-0.054292
2017-09,0.03783784,0.06831791,0.06066411,0.0359673,-0.02950595,0.00334283,-0.00361141,0.02039801,0.03436045,0.05520505,0.07978206,0.0203211,0.17848411,0.02424868,0.01787346,-0.05003292,-0.01288698,0.01004448,0.00363471,0.05684755
2017-08,-0.00311688,0.01050014,0.0396772,-0.01620746,-0.01552866,-0.02447891,-0.0461966,-0.01477469,-0.02076049,-0.07714702,-0.05010244,-0.02486188,-0.16217175,-0.03641141,-0.01742265,0.07768712,-0.04502573,-0.01923757,-0.02034429,-0.05166418
2017-07,0.01855779,0.00864232,0.04831933,0.01206802,0.03599523,0.02022333,0.03574007,-0.01845556,0.04240766,0.00704639,-0.00428385,-0.00154423,-0.01424501,0.0164772,0.0241695,-0.02591569,0.03150422,0.01701882,0.02033821,0.00325081
2017-06,0.00918153,0.00567537,0.01362007,-0.00246711,-0.00501912,-0.02790306,0.01323043,-0.01741828,-0.00336247,-0.02685714,0.0170778,-0.00639048,-0.04811353,-0.04051408,-0.01675414,0.04855072,-0.05524708,-0.01405352,-0.02188233,-0.01708344
2017-05,0.00053262,-0.00172364,0.03773585,-0.01481481,0.02486944,0.01155643,-0.03076366,-0.0053076,0.013403,-0.02759602,-0.02297119,-0.01380453,-0.15693543,0.01842736,0.01058908,0.02879944,0.0057862,0.0062067,0.00967228,-0.05
2017-04,0.04349046,0.00261628,0.00617284,0.01589072,0.04123444,0.03041077,0.01615865,0.02321561,0.03354445,0.04968944,0.05213082,0.01987871,0.08592444,0.03354653,0.03214134,-0.06215425,0.05569307,0.02907279,0.02799578,0.0314746
2017-03,0.04580153,-0.01481904,0.01662708,0.00527046,0.05532731,0.00444812,-0.00072886,0.00073873,-0.00759494,-0.00348837,0.01237478,0.01292571,-0.05037936,-0.00683959,0.01061093,-0.01664,0.00961688,0.01236603,0.0100165,-0.01253012
2017-02,0.01423811,0.01681416,0.05721605,0.02374142,0.00899382,0.02515765,-0.01096892,0.01534591,0.03294061,0.01687889,0.01576713,0.01812514,0.01317402,0.03633917,0.01164963,-0.0460928,0.04876047,0.01991355,0.02017992,0.00362406
2017-01,0.02176617,0.01918465,0.07103825,0.00113993,0.05758684,0.02679413,0.04010695,0.00427996,0.00551691,-0.02990601,-0.03324908,0.01465116,-0.07803154,0.00403769,0.02568146,-0.05273717,0.05315789,0.03301512,0.03607794,-0.02473168
2016-12,-0.05077197,0.03029357,-0.05078809,-0.01441492,-0.00092707,0.00468241,0.02331094,0.01205437,-0.00736342,-0.02525673,0.01954917,-0.02122046,-0.10374783,-0.00712653,0.01264223,0.00809015,0.00350693,0.002082,0.0,-0.02848029
2016-11,0.0542804,0.00315358,0.01759015,0.06379777,-0.09401231,0.0598536,0.0664176,0.09819921,0.06991952,0.07954203,0.13040525,0.06949048,0.12534664,0.04997888,0.03405866,-0.11188093,0.11814508,0.06288826,0.05554072,0.1005991
2016-10,-0.03713687,0.02526383,-0.02235598,-0.02808338,-0.03326122,-0.02214947,-0.03794466,0.01701162,-0.04041129,-0.01181335,-0.04212766,-0.01767797,-0.08905109,-0.03271846,-0.01488404,0.04365292,-0.04308599,-0.02449852,-0.02368625,-0.02769157
2016-09,0.04002502,-0.01944183,0.01845343,-0.01145147,0.00501393,-0.00159789,0.01610306,0.01834061,-0.01432934,-0.02578058,0.0,-0.01295337,0.00048638,-0.01413848,-0.00664604,-0.00346944,-0.00073597,-0.004094,-0.00463499,-0.01176471
2016-08,-0.00383877,0.02583145,0.03047091,-0.00540848,0.00681431,-0.01414544,-0.00958084,-0.00404624,-0.00164745,-0.00875954,-0.02656857,-0.00585069,-0.07315978,-0.01843198,0.00380974,0.01572242,-0.02685765,-0.01224357,-0.01461988,-0.01018754
2016-07,0.08933518,0.09129066,0.04347826,0.06022282,0.05170877,0.03251225,0.0312886,0.0428356,0.03552311,0.03406755,0.05019305,0.05278664,0.14933542,0.03375017,0.04945586,-0.11846523,0.05567127,0.03921734,0.03478719,0.06486486
