Week,BJK,CARZ,CHIQ,FXD,INCO,IYC,PBS,PEJ,PEZ,PMR,PSCD,RCD,RETL,RTH,RXI,SCC,UCC,VCR,XLY,XRT
2019-21,-0.01271546,-0.00471106,-0.01087695,-0.01122225,-0.00988905,-0.0044348,-0.00368324,-0.00571973,-0.00844912,-0.01845122,-0.02289551,-0.01031754,-0.06028369,-0.00474209,-0.0032726,0.01113861,-0.01067194,-0.0044698,-0.00239617,-0.02027516
2019-20,-0.00310822,-0.01411101,-0.02491582,-0.01363963,-0.00265252,-0.0099396,-0.01710684,-0.01883283,-0.02152714,-0.00634133,-0.00743872,-0.01680016,-0.05982906,-0.00725814,-0.0090798,0.01908397,-0.01944739,-0.01480415,-0.01442349,-0.01928958
2019-19,-0.00881543,0.00062073,0.00985545,0.01518438,0.03529717,0.01953708,0.01600242,0.01147004,0.03071415,0.00803547,-0.00552949,0.01460142,0.0126479,0.01353834,0.01875495,-0.03841388,0.0402015,0.01628002,0.0185413,0.00423829
2019-18,-0.02578797,-0.04595376,-0.0406942,-0.02236932,-0.02270484,-0.01628859,-0.0196974,-0.02151019,-0.02840007,-0.027294,-0.03214623,-0.02040052,-0.09213557,-0.01700712,-0.02193937,0.03665988,-0.03221742,-0.02125076,-0.01742481,-0.03010989
2019-17,-0.01426426,0.00685127,0.01754386,-0.00317245,-0.00529865,0.00091861,-0.01849218,-0.00890076,-0.00262881,0.00389509,0.00584611,-0.00479838,-0.00513149,0.00482062,0.00083202,0.00136333,0.00250627,0.00131912,-0.0012474,-0.00152472
2019-16,0.02033986,-0.03455903,-0.0155351,0.00937143,-0.02100543,0.01614408,0.01840491,0.01013742,0.00994142,0.02293945,0.02511825,0.00959925,0.09354042,0.0054049,0.00493187,-0.03361898,0.03194239,0.01464202,0.01556977,0.03153153
2019-15,0.00512689,0.04300459,0.02701116,0.00590775,0.00093132,0.00647249,-0.00087057,0.00447928,-0.00177085,-0.0039185,0.01093951,0.00304653,0.00333,0.00130027,0.01053963,-0.01304631,0.01259328,0.00602107,0.00598853,0.00132538
2019-14,0.00566572,0.00775416,0.00347423,0.00802936,0.01842105,0.00959802,0.02656716,0.02147099,0.02118492,0.01141795,0.01148496,0.00092524,-0.01993464,-0.00233318,0.00929796,-0.01969504,0.01807056,0.00336398,0.00322198,-0.00615385
2019-13,0.03042328,0.03180737,0.01882353,0.02233192,-0.00447269,0.01636012,0.0195241,0.00971323,0.0145296,0.00934579,0.01590164,0.02452238,0.01879327,0.00935905,0.01872659,-0.02757353,0.03182945,0.01995298,0.0210252,0.00728477
2019-12,0.015772,0.00952966,0.03219814,0.02135922,0.01294964,0.01038524,0.00776156,0.02020442,0.01125254,0.02028509,0.01955166,0.0205103,0.07150596,0.01168292,0.0111647,-0.02112676,0.01985728,0.01584963,0.01353156,0.02481785
2019-11,-0.00357339,-0.02040204,-0.01898347,-0.01535877,-0.03484079,-0.00306309,-0.02014037,-0.01784038,-0.00220062,-0.01639792,-0.03194993,-0.01316046,-0.08765348,0.00271766,-0.00499777,0.0,-0.00577856,-0.00407128,0.0,-0.02885261
2019-10,-0.00604728,-0.00632149,-0.00248911,-0.00337106,0.00843486,0.01186645,0.0,0.00709555,0.00739372,-0.01712887,-0.01459256,-0.0023571,-0.03811434,0.00913061,0.00860819,-0.0220339,0.02255478,0.00563144,0.00976901,-0.01245275
2019-09,-0.03837953,-0.0457993,-0.04329268,-0.02145411,0.01546012,-0.0195951,-0.01270033,-0.01658491,-0.02174314,-0.02551706,-0.03175371,-0.01665044,-0.06515301,-0.02504174,-0.02232183,0.04100228,-0.03858759,-0.02362579,-0.02111081,-0.0214887
2019-08,-0.01153644,-0.00632002,0.0,0.00452812,-0.0009768,0.00254669,0.02407407,0.00278422,0.01212344,0.01997301,0.00946879,0.00613019,0.06050641,0.00284091,0.00259531,-0.00172018,0.00347186,0.00523187,0.00326205,0.01949059
2019-07,0.02544189,0.01538917,0.03183886,0.00573614,0.02276752,0.00274424,0.00649351,0.00925926,0.01543038,-0.00695745,-0.0171783,0.0073278,-0.0330552,-0.01263259,0.00841781,-0.00403691,0.00472342,0.00560792,0.00544811,-0.00946303
2019-06,-0.01229947,0.02344702,0.01128069,0.02151589,-0.02474884,0.02499229,0.02439024,0.02211765,0.01689446,0.03503893,0.03966147,0.01860744,0.08380481,0.0332296,0.02406716,-0.04777416,0.04854153,0.02342552,0.02552356,0.02657279
2019-05,-0.01423675,-0.03869833,-0.00402414,0.00171443,0.00073511,-0.00576884,-0.01125,0.00542197,0.00579486,-0.00502232,-0.01746869,0.00333367,-0.03169627,-0.00917431,-0.01816347,0.01535088,-0.01275707,-0.0095064,-0.00697545,-0.00905182
2019-04,0.04012091,0.01181684,0.03049203,0.01776777,0.01113586,0.00934725,0.01568502,-0.00941176,0.01150565,0.00453772,-0.00099917,0.01355793,-0.04964053,0.00282657,0.00713095,-0.02527646,0.0230147,0.00753831,0.00735502,-0.01554054
2019-03,0.02630842,0.03406693,0.05183585,0.01395585,-0.01062032,0.01559137,0.02917076,0.0144023,0.01750151,0.00425653,0.01383033,0.02007318,0.06103286,0.00974026,0.01727051,-0.03901437,0.03695931,0.01743096,0.01735813,0.02062801
2019-02,0.03497299,0.02678843,0.05886736,0.02116267,-0.00635294,0.02477287,0.01991512,0.01697752,0.03530612,0.02617952,0.02390236,0.02360131,0.09400146,0.02410623,0.02261116,-0.0444558,0.04573099,0.0282864,0.02760884,0.03088981
2019-01,0.03622139,0.03084112,0.03193916,0.02259153,-0.0039489,0.01285729,0.02548625,0.01617186,0.01606591,0.00228898,0.02770607,0.01925134,0.01522291,0.00602717,0.01240695,-0.02281947,0.02359604,0.01585785,0.01420786,0.0062169
2019-00,0.03481683,0.00894569,0.01002313,0.02608696,0.01040724,0.02353397,0.03448276,0.02110553,0.01628455,0.01245182,0.03614458,0.01809449,0.08921611,0.01874135,0.0183368,-0.06092533,0.05784161,0.02084721,0.01844532,0.03058478
2018-51,0.04345068,0.01819955,0.021875,0.04969836,0.03785931,0.0627979,0.05180768,0.03493564,0.0687989,0.05163728,0.05888031,0.05064489,0.17908903,0.06412458,0.05248182,-0.11947431,0.11957002,0.06786843,0.06501582,0.06026611
2018-50,-0.05532666,-0.02961347,-0.03391108,-0.05727224,0.01110854,-0.06452317,-0.07368421,-0.05446146,-0.06287171,-0.04239327,-0.04373285,-0.05313156,-0.16580977,-0.05881104,-0.0448895,0.13467855,-0.12351043,-0.05977757,-0.05616162,-0.05709385
