Month,Alternatives,BroadAsia,Commodity,ConsumerDiscretionaryEquity,ConsumerStaplesEquity,CrudeOil,Currency,DevelopedAsiaPacific,DevelopedEurope,DevelopedMarket1,DevelopedMarket2,DevelopedMarket3,EmergingAsiaPacific,EmergingMarkets,EnergyEquity,FinancialsEquity,Global,Gold,HealthcareEquity,IndustrialsEquity,InvestmentGradeCorporate,Junk,MaterialsEquity,MunicipalBond,PreferredStock,RealEstate,TargetMaturityDateCorporateBond,TechnologyEquity,TelecomEquity,TotalBondMarket,Treasuries,UtilitiesEquity,Volatility
2019-05,0.006543304999999999,-0.06008772799999999,-0.0362251145,-0.048223800000000004,-0.017737612,-0.082445494,0.012316279999999999,-0.022320478888888887,-0.038802558,-0.03056692529411764,-0.040837938750000004,-0.04996906,-0.046854877999999996,-0.0436347525,-0.0538492425,-0.020868998888888893,-0.06280543428571429,0.011464082,-0.013260515714285714,-0.023714026666666665,0.010312102,-0.00743789,-0.055764225,0.012228084,0.005518522,-0.010106626249999997,0.001422485,-0.055888247777777775,-0.039617052,0.012426418,0.029582449999999996,-0.005604468,-0.055386204999999994
2019-04,-0.0038034199999999996,0.012802646,0.0055371545,0.04023823,0.027905112,0.029372328000000003,0.004087106666666666,0.0008385044444444446,0.026989842999999996,0.01696268117647059,0.015951465,0.014321101999999999,0.0043750559999999996,-0.0017841975,0.010467026666666665,0.050494753333333336,0.008392434285714286,-0.004304996,-0.025577722857142854,0.027426154999999997,0.0074777360000000005,0.008606932000000001,0.007520726666666667,0.007531054000000001,0.0009059020000000001,-0.0063260025000000004,0.002374755,0.04315225444444445,0.030639168,0.003739824,-0.0002838336363636364,0.012340582,0.02857906
2019-03,0.0082649725,0.010866798,0.009523673,0.019934278,0.032765356,0.05043666,0.004322634999999999,0.011636284444444447,0.002437719,0.014826943529411763,0.00579395875,-0.009216826,0.017890118000000003,0.004860833749999999,-0.010772185833333335,-0.025553732222222222,0.0035760114285714284,0.0008136299999999999,-0.02219851714285714,-0.016017788333333335,0.020595124,0.008434974000000001,0.0035810183333333336,0.016174998,0.006682004,0.037525991249999995,0.0016628300000000001,0.024546054444444444,0.006299176000000001,0.019946356,0.03710138818181818,0.026467868,-0.01049596
2019-02,0.0006220049999999999,0.011142478,0.030941821,0.02730302,0.028405892,0.025116252,0.003971911666666667,0.028048678888888887,0.02655984,0.026128729411764706,0.029063982500000002,0.014892452,-0.0028075120000000003,-0.009380653749999999,0.03357713666666667,0.03095427666666667,-0.006508444285714285,-0.005974999999999999,0.02163482571428571,0.06534210833333334,0.003573146,0.011289372,0.012218108333333333,0.007033116000000001,0.012527242,0.00426013625,0.002142405,0.05899647888888889,0.016084462,0.002285782,-0.0018863718181818185,0.040782754,0.0689325
2019-01,0.0225680875,0.091252716,0.0743891495,0.085585942,0.053670792,0.14195006000000002,0.0001248833333333324,0.08278954444444445,0.073439602,0.07531875823529413,0.07549844125,0.082149638,0.07776864733333332,0.1016432525,0.10595143333333334,0.08832010666666666,0.10442547428571428,0.032110698,0.09046863571428573,0.11226002333333333,0.019189316,0.040319872,0.09363538500000002,0.004916628,0.050091752,0.11935876125000001,0.0038266100000000003,0.10280395,0.090141326,0.010027596000000001,0.0019606263636363637,0.059983962,0.121320975
2018-12,-0.007523262499999999,-0.057246554000000005,-0.0437974795,-0.098942522,-0.09056809600000001,-0.12322920600000001,0.030439898333333337,-0.049352837777777776,-0.069963672,-0.06376964117647059,-0.07381765250000001,-0.069180064,-0.039655923333333336,-0.046864232500000005,-0.09215010000000001,-0.09841570444444445,-0.05570610285714285,0.049553802,-0.11459135285714285,-0.09024957,0.009956372,-0.024646936,-0.07412127166666667,0.013067184,-0.012086537999999999,-0.06265143125,0.004570335,-0.091462,-0.085227334,0.015688734,0.030714688181818182,-0.049686746,-0.161904825
2018-11,-0.010536865,0.000680302,-0.062575619,-0.002257648,0.007982726,-0.200942628,-0.008111858333333333,0.006131623333333332,-0.026336318000000004,0.006119397058823531,0.009408081250000002,-0.002053089999999998,0.017097267333333332,0.007585238749999999,0.004904537500000001,0.022363400000000002,-0.015533908571428572,-0.012586723999999999,0.035215795714285715,0.005642238333333334,-0.001240764,-0.010919172,-0.023999713333333336,0.01255794,-0.022059268,0.03229271875,0.0014427749999999999,-0.01030356111111111,-0.0028053239999999997,0.003792888,0.011804972727272727,0.04399652,0.012893515
2018-10,-0.002808390000000001,-0.09275759599999998,-0.037817895000000004,-0.09144835199999998,0.0058188400000000005,-0.11956503199999999,0.021442334999999996,-0.07445224111111111,-0.07678916,-0.06033698529411765,-0.061752693750000004,-0.089082712,-0.07995723199999999,-0.05960376375,-0.07444310999999999,-0.05220250333333334,-0.06989075714285714,0.026586688000000004,-0.08638133999999999,-0.1010099,-0.006408762,-0.01693146,-0.08092968583333333,-0.006079800000000001,-0.012636286,-0.02028501375,0.0,-0.09565973555555557,-0.06846468,-0.004724212,-0.0071299881818181815,0.016722778,-0.18217939
2018-09,0.0079572675,0.010019406000000002,0.03918625900000001,0.0036362900000000004,0.0027967140000000005,0.062956464,-0.009520456666666666,0.0034595722222222217,0.009879296,0.007533604705882352,0.012621768750000002,0.020556314,0.008953334,0.0269310975,-0.0027641949999999992,-0.014124714444444445,0.010174039999999999,-0.0024884160000000002,0.017768594285714284,0.02433841,-0.0007985299999999999,0.006382494,0.026185793333333336,-0.006908049999999999,-0.010207938,-0.01389702375,0.00144509,0.0005194588888888887,0.031436194,-0.004013032,-0.012481659090909092,-0.005968188000000001,0.03790839
2018-08,0.0036845825000000002,-0.008052522,0.014476949500000003,0.05720232799999999,0.016056726,0.045164147999999994,0.00268768,-0.009122842222222224,-0.011558643,0.0028278341176470583,0.007821525,-0.015844617999999998,-0.018286653333333333,-0.027795450000000003,-0.0014778799999999998,0.013489431111111111,-0.02053458714285714,-0.01809231,0.060676817142857144,0.016808109999999998,0.00558916,0.0067604219999999994,-0.0124964875,0.004322096,0.016961635999999995,0.014654238750000001,0.00411213,0.07116027222222221,0.012843351999999999,0.006440619999999999,0.013518870909090907,0.023039874,0.01544454
