Month,BTAL,CHEP,CPI,HDG,MCRO,MNA,MOM,MRGR,QAI,QMN,RALS,RLY,SIZ,WTMF
2016-12,0.02134305,0.0156658,0.00844206,0.0078088,0.00329761,0.0051458,-0.00827526,0.0066111,0.00860523,0.01045857,-0.00155239,0.01969365,0.01011494,0.00476908
2016-11,-0.09116541,0.0698324,0.00345622,0.00833929,-0.01735971,0.01496693,-0.03488861,-0.00512237,-0.01025822,-0.0027933,0.0251606,0.00660502,0.04651163,-0.01292247
2016-10,0.01866922,0.04241164,-0.00532522,-0.0054335,-0.01523046,-0.01272352,-0.01941347,-0.00227144,-0.01287852,-0.00514241,-0.00053691,-0.02024117,0.0,-0.00862069
2016-09,-0.01965372,0.00799327,-0.00113766,0.00307765,0.00523771,0.01075269,0.00494438,-0.00113443,-0.00208261,-0.00236128,0.00322841,0.01263066,0.0,0.02009041
2016-08,-0.03093722,0.01883562,-0.00113982,0.0016631,0.00648824,0.01159522,-0.03703704,-0.00113314,-0.00034758,0.00039339,0.01197605,0.00087146,0.00278552,-0.01393381
2016-07,-0.05384281,0.02879581,0.00533944,0.01299639,0.00653061,0.00778761,-0.04909366,-0.0056338,0.00628053,-0.00039355,-0.00670062,0.00216732,0.00748363,-0.01961259
2016-06,0.08224299,-0.05074875,0.00498084,-0.00288184,0.00907591,-0.01629681,0.05586371,-0.00754822,0.0059775,0.01194268,0.00645508,0.02918725,-0.01493931,0.0
2016-05,-0.00046795,-0.05577376,-0.003443,0.00168067,-0.00614754,0.00805604,0.02866371,0.00393479,-0.00525026,-0.00079554,-0.01008493,-0.01242236,0.00186654,-0.00847868
2016-04,-0.03484163,-0.00779423,0.00153492,0.00823045,0.00327332,-0.01077886,-0.05685358,-0.01194113,0.00741787,0.00601685,0.01594595,0.04347826,0.0,0.02344521
2016-03,-0.01211849,0.03802589,0.01359223,0.01995074,0.02471722,0.00558659,-0.04037736,-0.00027762,0.0190991,0.00972842,0.00431499,0.05125725,0.03978651,-0.01749696
2016-02,-0.0026584,0.03821924,-0.00038865,-0.00343643,0.00295359,0.01570307,-0.06102293,0.02300483,0.00253991,0.00529101,0.01034014,0.0189243,-0.01245807,0.03123438
