Name,SR_month,Omega_month,RisknessR_month
FIW,0.2893481718207394,0.44011111414479054,12.954210553325407
CGW,0.2069399123128748,0.24743137304534937,12.153817362282863
PHO,0.23758388888487736,0.26438325007022195,11.977556264216116
XAR,0.28091606509083694,0.38079661037039425,10.757995978910655
PPA,0.262867750193212,0.3791210917881426,10.355060818838991
ITA,0.24264798217755712,0.3642871618525349,9.355523681828616
IYJ,0.18704414171949613,0.21839129155690035,8.03692462361879
PIO,0.13698231629018345,0.1418440426764761,7.677922448826242
PRN,0.17710692447606896,0.2512639900526868,7.490465790548191
EXI,0.15351751312907688,0.155791866198111,7.35113518833728
RGI,0.16763451796627393,0.2143510840757599,6.732386834427056
XLI,0.16017273717247252,0.2148137174919619,6.619859863812211
FXR,0.16247873896883197,0.23827448722858577,6.082046078524138
VIS,0.1455902924242482,0.19739313407882697,6.058686844934948
PSCI,0.1513041465955571,0.22225118336188754,5.542181445453887
UXI,0.19803556424474253,0.19986178301873078,4.216152135458892
IYT,0.10041498359576854,0.10419875172646399,3.721647047163996
XTN,0.09526916608876747,0.12147376279862539,3.369958585114991
IEV,0.056865154342774865,0.06389573169455078,3.300955891532957
CHII,0.048323781811212496,0.059034686220809963,1.7534072919149293
SIJ,-0.29562555329075996,-0.4293902827669585,-5.6764584886653005
SEA,-0.17914398202740708,-0.2132486247396723,-7.400602062677383
