Month,CGW,CHII,EXI,FIW,FXR,IEV,ITA,IYJ,IYT,PHO,PIO,PPA,PRN,PSCI,RGI,SEA,SIJ,UXI,VIS,XAR,XLI,XTN
2019-05,-0.02940361,-0.08668076,-0.05342436,-0.04094127,-0.05160357,-0.03873712,-0.02717753,-0.04740939,-0.06650323,-0.03489386,-0.03940168,-0.01017606,-0.02305384,-0.05672683,-0.06138393,-0.11606218,0.09613929,-0.09689473,-0.05490872,0.00030817,-0.05741935,-0.077801
2019-04,0.02076319,-0.04545455,0.02842292,0.02035278,0.02874693,0.02435693,0.02714622,0.02314456,0.01880583,0.01020111,0.01616458,0.04874746,0.02041472,0.04735769,0.02756933,0.0780379,-0.04974396,0.04277441,0.02515944,0.03734617,0.01867328,0.02529593
2019-03,0.00625,0.0,-0.00257905,-0.00078232,-0.0084472,0.00439815,-0.04374491,-0.002694,-0.00499469,0.00950683,0.0124247,-0.02718577,0.0051012,-0.04418463,-0.0048837,-0.01573034,0.0,-0.01218192,-0.01555133,-0.04015056,-0.01237331,-0.02343245
2019-02,0.04470939,0.0442541,0.04470974,0.06253909,0.04483837,0.03023758,0.07352108,0.06285955,0.03691663,0.07339744,0.04769475,0.06883537,0.08173508,0.06414607,0.0532855,0.01012373,-0.10922787,0.12611642,0.06020942,0.06905028,0.06198405,0.02232143
2019-01,0.08645161,0.07609531,0.09418709,0.10343249,0.11637427,0.06964791,0.12072353,0.10781104,0.09300916,0.11253561,0.08761329,0.12166532,0.09454402,0.09737496,0.10649225,0.06563246,-0.19819368,0.22633276,0.10888538,0.12875158,0.10859096,0.11486361
2018-12,-0.0560776,-0.06214286,-0.09521598,-0.08839434,-0.13190731,-0.0611951,-0.105326,-0.11352774,-0.15438001,-0.08140671,-0.06672058,-0.10772284,-0.11050978,-0.12537313,-0.12530817,-0.15692308,0.24829721,-0.23192461,-0.11949732,-0.10256993,-0.11681147,-0.15736361
2018-11,0.02399501,0.04868914,0.01153526,0.03639515,0.03640712,-0.01716738,-0.02169353,0.01429994,0.04665085,0.03564155,0.02375,-0.01042041,-0.0096137,-0.01732941,0.02822509,-0.00733753,-0.03309693,0.01795388,0.01731045,-0.03006434,0.02006546,0.05162999
2018-10,-0.07586409,-0.0801718,-0.11056406,-0.0982923,-0.1293698,-0.07669946,-0.11713295,-0.11267154,-0.10683803,-0.08515353,-0.0799532,-0.11615422,-0.11725976,-0.11932609,-0.11556585,-0.09990301,0.23888092,-0.21862952,-0.11644674,-0.11346231,-0.11644274,-0.11244738
2018-09,0.0,0.05785124,0.02492281,0.0057574,-0.0004745,0.01175938,0.04677255,0.01653543,0.00504276,0.00921805,0.00988142,0.04124236,-0.01260181,-0.02085004,0.01027508,0.03437816,-0.02798635,0.03264828,0.01548504,0.0430401,0.02257128,-0.0074239
2018-08,0.01291838,-0.04792561,0.00528111,0.02631579,0.03940887,-0.02364791,0.01379514,0.02781332,0.03145264,0.01118926,0.00945999,0.01168385,0.05111977,0.04378137,0.02739044,0.00996016,-0.04572175,0.05943152,0.01939137,0.02494624,0.01608148,0.04155082
2018-07,0.05348411,0.05492852,0.05781881,0.04314298,0.05153846,0.04402088,0.06694889,0.05290522,0.05975433,0.04638834,0.03601781,0.06682447,0.04200269,0.05713864,0.07319442,0.00598802,-0.10920897,0.10719091,0.06418466,0.07841777,0.0713881,0.02935143
