Month,CGW,CHII,EXI,FIW,FXR,IEV,ITA,IYJ,IYT,PHO,PIO,PPA,PRN,PSCI,RGI,SEA,SIJ,UXI,VIS,XAR,XLI,XTN
2018-06,-0.02527505,-0.09121395,-0.03837248,-0.00416233,-0.02877158,-0.02073682,-0.04056092,-0.02816324,-0.05040634,-0.01213115,-0.02515723,-0.04054766,-0.01509929,-0.00324915,-0.03271826,-0.06642066,0.05398619,-0.05155357,-0.03564485,-0.02602524,-0.04449267,-0.03159679
2018-05,0.00240096,0.0268595,0.01697601,0.01703215,0.04160084,-0.02111909,0.05471385,0.03789836,0.03758382,0.011,-0.00591716,0.03941794,0.0489121,0.06903699,0.02745063,-0.00092764,-0.08257919,0.08033369,0.03730273,0.06146601,0.03535927,0.04480287
2018-04,0.01864303,0.05604076,0.00762056,0.02353967,-0.00313725,0.0351939,-0.01347569,-0.00235866,0.02395011,0.01045884,0.01086082,-0.00648065,-0.00462487,0.00351719,-0.01135272,0.05392157,-0.0214326,0.01990507,-0.00531199,-0.00624632,-0.00743651,0.01149803
2018-03,0.02552276,-0.05326232,0.00011163,0.03087628,0.00255558,0.00757238,-0.0021903,-0.0080455,0.00532869,0.02987101,0.03107114,0.00409763,-0.00333333,0.03764136,0.00607149,-0.01619048,0.01330913,-0.03472126,-0.00357403,0.00267847,-0.00736598,0.00791599
2018-02,-0.06164384,-0.0176586,-0.04630985,-0.04937513,-0.04617605,-0.06355757,-0.00757951,-0.03800039,-0.04679027,-0.04070513,-0.05631659,-0.0103609,-0.03117619,-0.03555556,-0.03852366,-0.08376963,0.02657807,-0.0760528,-0.04365134,-0.00455685,-0.03683668,-0.06359946
2018-01,0.00777426,0.02775942,0.04718218,0.00580552,0.02719407,0.04787695,0.07868007,0.05149126,0.01332223,0.02951907,0.02700587,0.07455157,0.04688271,0.01496493,0.0402482,-0.00778547,-0.09063444,0.10407489,0.03855473,0.05683601,0.04740102,0.01189568
2017-12,0.00782382,0.00608108,0.02165862,0.00228311,0.03080082,0.01482957,0.02697921,0.02135457,0.04183223,0.0023279,0.01227723,0.01557455,0.00330087,0.0034418,0.03104078,0.03099362,-0.02845528,0.0523416,0.02986178,0.02528821,0.03389356,0.03625862
2017-11,0.03115727,-0.05736636,0.01571509,0.06039539,0.04852039,-0.00066123,0.03118503,0.03262044,0.05314427,0.04152368,0.02792392,0.02732346,0.02434145,0.05075894,0.04456649,-0.02922941,-0.06413043,0.03916842,0.03976279,0.01615107,0.04223728,0.05607949
2017-10,0.01349325,0.00198544,0.01248139,0.0120614,0.01457883,0.00709692,0.00033679,0.01318281,-0.0142442,0.0132312,0.00905723,0.01185156,0.03775528,0.0073278,0.00370303,-0.00880282,-0.07455683,0.03331784,-0.0008346,0.00361731,0.00043246,-0.00050352
2017-09,0.02666667,0.0414651,0.0386128,0.05641749,0.04712939,0.02868852,0.04836017,0.03834134,0.06058046,0.04961126,0.0317662,0.04262295,0.03672519,0.10319635,0.0472793,0.01161752,-0.06439024,0.07200538,0.04513861,0.05537721,0.04094893,0.05523979
2017-08,-0.00216987,0.02578797,0.00697283,-0.01506722,0.00171969,-0.00567151,0.03172168,0.00792064,0.02052043,-0.00773766,-0.00042571,0.03207428,0.00108264,-0.02271508,-0.00275561,-0.05165114,-0.00963391,0.01457976,0.00257007,0.03731447,0.00501596,0.0445231
2017-07,0.02614796,0.06166419,0.00423729,0.01267011,-0.00712251,0.02620496,0.04134831,0.00687471,-0.04778937,0.00520059,0.0151778,0.03508772,0.04208153,-0.01462813,-0.00435235,0.02517361,-0.01704545,0.01136755,-0.00430828,0.02908309,-0.00317268,-0.03126129
2017-06,-0.01134216,0.02459646,0.00720303,0.00047214,0.00086108,-0.01179736,-0.00475884,0.00374007,0.03015535,-0.00703704,-0.02402023,-0.00918434,-0.00169205,0.01521739,0.01033988,0.02195791,-0.01339492,0.0181338,0.00727743,-0.00545194,0.00734956,0.04406715
2017-05,0.02105604,-0.0261976,0.01727375,0.00119674,0.01026995,0.0429716,0.03061768,0.01523247,0.01255622,0.00717252,0.04704838,0.03451408,0.0179606,-0.03597377,0.01350294,-0.048,-0.02733686,0.02499088,0.00897267,0.02882187,0.02091853,-0.0209513
2017-04,0.03484087,0.00073801,0.02780982,0.02715264,0.01760668,0.03979721,0.0377631,0.02608127,0.00256026,0.03272302,0.03202196,0.03591549,0.0267804,0.0437361,0.01246537,-0.01053556,-0.06502709,0.04915515,0.02302328,0.03493182,0.02179138,0.0270636
2017-03,0.02048481,0.02896341,-0.00217336,-0.00867261,-0.03041607,0.03151862,-0.0320398,-0.01938727,-0.04951491,-0.01337409,0.01484919,-0.03008369,-0.03582259,-0.03199719,-0.02401306,-0.01293103,0.04021211,-0.04424297,-0.02344771,-0.03988895,-0.02418474,-0.06525636
2017-02,0.0186554,0.05721193,0.02118083,0.01801802,0.0320145,0.00317209,0.06584421,0.03542943,0.0292093,0.02629482,0.01867816,0.05856622,0.03173653,0.01483245,0.03548322,-0.00087796,-0.06661411,0.0678925,0.0348597,0.06928187,0.04095789,0.02067809
2017-01,0.03490909,0.07874016,0.02266866,0.01988274,0.01746859,0.02417821,0.0,0.01066712,0.01827117,0.02196015,0.03016815,-0.00554752,0.00825282,-0.00778844,0.02167183,0.04227941,-0.03465537,0.00631622,0.00744911,0.00206186,0.01252087,0.006574
2016-12,0.00588019,-0.07591837,0.00287829,-0.00767263,-0.00277521,0.05334098,-0.01973497,0.00093929,0.00239385,-0.0057073,0.01968703,-0.01415207,0.01372107,0.00924556,-0.00537468,0.05373134,-0.01017332,-0.00271172,0.00061066,-0.02032136,-0.00351464,-0.0024404
2016-11,-0.00473244,0.04729149,0.04942197,0.11117413,0.13272472,-0.02047686,0.10539216,0.08702944,0.12491983,0.06695652,-0.02107843,0.11271368,0.08919876,0.17679077,0.10779684,-0.01674877,-0.15097976,0.1939409,0.10730949,0.11506608,0.10027804,0.14174757
2016-10,-0.04768439,0.0008643,-0.01857062,-0.02770986,-0.00622191,-0.03032765,0.00873085,-0.02162309,-0.00528243,-0.03789127,-0.04147251,-0.00529101,-0.04705144,-0.04203404,-0.02506099,-0.01525262,0.04463087,-0.05002327,-0.02121441,0.00565271,-0.02087457,-0.00192596
2016-09,0.02129888,-0.0252738,0.00366972,0.01731245,0.00766017,0.00054098,-0.01014151,-0.00081235,0.02230725,0.01121728,0.00749415,0.00026364,-0.01234568,-0.00163365,0.00055451,0.02028986,-0.01395349,0.00323102,-0.00178706,-0.00541769,0.00108167,0.01065449
2016-08,0.00384885,0.0513729,0.02004326,0.01960235,0.01340861,0.01575021,0.00110637,0.01189278,0.0102692,0.00166389,-0.00046904,0.00504514,-0.00670868,0.03045041,0.01706986,0.03423968,-0.03318152,0.01680871,0.01344778,0.01240035,0.01057622,0.00593537
2016-07,0.01197183,0.03863845,0.03857036,0.04114749,0.05096012,0.03071288,0.03473762,0.03037427,0.03916806,0.03381849,0.02924257,0.03436899,0.04882729,0.05088889,0.04342213,0.01596806,-0.05110626,0.06115288,0.03405847,0.03567488,0.03292568,0.05829285
2016-06,0.01176471,-0.01010101,-0.00947026,-0.00347725,-0.03374013,-0.03138646,0.00454583,0.00674008,-0.03648719,0.01257589,0.00192308,0.01252087,0.00536251,-0.01564911,-0.01373371,-0.06066351,-0.02422452,0.00640041,0.00327251,-0.00220183,0.00607672,-0.02440693
2016-05,0.0,-0.00810081,-0.00763919,-0.01238836,-0.00535141,-0.01583043,0.01125861,0.00190422,-0.01546504,-0.00174064,-0.00906056,0.00930626,0.03713647,0.01486152,0.00315384,-0.01953488,-0.02195897,0.00254777,-0.00316268,0.02031985,-0.00941442,-0.01503253
2016-04,0.04528302,-0.01253357,0.01371308,0.05943948,0.02384446,0.03962901,0.03918812,0.00936926,-0.00226228,0.03563271,0.03177756,0.02738928,-0.01554174,-0.00407978,0.0076914,0.0892678,-0.02507042,0.0057128,0.0080016,0.04401895,0.00762922,-0.00292266
2016-03,0.05181962,0.14681725,0.05365315,0.0677462,0.06369676,0.03489043,0.03664778,0.05491803,0.05900407,0.05242718,0.0673026,0.03887033,0.05143936,0.07174125,0.05739348,0.05931322,-0.11804682,0.10833823,0.05557908,0.04069887,0.04925613,0.0649597
2016-02,-0.01781473,0.00205761,0.02087786,0.04992918,0.05427009,-0.02961472,0.0288097,0.03131411,0.05664596,0.02222222,-0.0164369,0.01493931,0.01316752,0.0314096,0.04699599,-0.03061224,-0.07478917,0.08521058,0.04103429,0.02287166,0.04498715,0.05378537
2016-01,-0.00984252,-0.11654804,-0.03520457,-0.02284528,-0.05819477,-0.03916161,-0.06291479,-0.04399341,-0.0620787,-0.05151229,-0.0483871,-0.05459348,-0.03774464,-0.03751523,-0.04279856,-0.09048938,0.07555342,-0.09234436,-0.04926949,-0.0704698,-0.04412666,-0.05417277
2015-12,-0.04321908,-0.03970827,-0.03983825,-0.03389273,-0.06510607,-0.03789859,-0.01785408,-0.03531944,-0.08441695,-0.02861035,-0.03235152,-0.02018766,-0.04272014,-0.08221258,-0.04083605,-0.12480127,0.05680317,-0.06542056,-0.03366798,-0.02397716,-0.03029119,-0.08640628
2015-11,0.00262467,-0.07496252,-0.00165414,0.01771983,-0.01018182,-0.02489094,0.00242235,0.00246257,-0.01575299,-0.04175824,-0.02382087,0.01155402,0.01198934,0.00771265,-0.00036456,-0.03746177,-0.01765317,-0.00213447,-0.00071341,-0.00248186,-0.00293657,-0.01927241
2015-10,0.0763577,0.05877681,0.08997854,0.10281426,0.07980846,0.06055601,0.08853521,0.09194777,0.03736458,0.1124319,0.07700312,0.08955224,0.08528265,0.10044532,0.08630119,0.05407587,-0.17724979,0.21121121,0.08941626,0.08918406,0.09026128,0.05996267
2015-09,0.02246256,0.10765125,-0.00803015,-0.01068534,-0.03485255,-0.01545134,-0.01182321,0.00119708,0.01628223,-0.04079696,-0.00674274,-0.00693132,-0.01800288,-0.02432563,-0.01471168,-0.06402439,-0.01925089,-0.04829822,-0.00268697,-0.03031536,0.00454545,-0.01981567
2015-08,-0.05667554,-0.07059736,-0.0542332,-0.03741847,-0.05381639,-0.07093933,-0.03306516,-0.04856712,-0.06468073,-0.06695464,-0.08621485,-0.03406398,-0.05104972,-0.04500891,-0.04106575,-0.04539007,0.06826832,-0.09675646,-0.047258,-0.03542857,-0.04984985,-0.08210181
2015-07,-0.00752445,-0.14070681,-0.00329193,-0.03387044,-0.01309893,0.01869392,-0.01710731,-0.00467383,0.03638708,-0.04525071,-0.02623388,-0.00322865,-0.0041521,-0.02314014,-0.00556699,-0.04832215,-0.00732243,-0.01190154,-0.00247372,-0.03547915,-0.00198926,0.02793177
2015-06,-0.0267008,-0.13479977,-0.02850877,-0.01902612,-0.03171953,-0.02825134,-0.01905169,-0.02522154,-0.03550664,-0.03081786,-0.02962645,-0.02338337,-0.02650705,0.0100833,-0.0279613,-0.04701398,0.03800355,-0.0393273,-0.02556618,-0.01588448,-0.03041457,-0.03644554
2015-05,0.00699043,-0.03463441,-0.00840945,0.00291262,-0.01288404,-0.00529228,0.00334649,-0.00058485,-0.0472,0.02021836,0.01262516,0.00435414,-0.00299914,0.00242184,-0.00599365,-0.03520692,-0.02639369,-0.00285344,-0.00801603,0.00544267,-0.0092539,-0.04073927
2015-04,0.02992424,0.24233983,0.01829813,0.00390371,-0.00466045,0.03177383,-0.02531218,0.00147871,-0.0093985,0.01023751,0.05366972,-0.01955709,-0.02377919,-0.02216909,0.00095034,0.04758801,-0.00073946,0.01821061,0.00243927,-0.02045577,0.00411684,-0.02930187
2015-03,-0.0071888,0.10455975,-0.02003775,-0.03678089,-0.01464367,-0.02413793,-0.00542979,-0.02631579,-0.03979272,-0.0243805,-0.01584427,-0.01405284,-0.02007866,0.00108131,-0.02049983,-0.00647668,0.06934404,-0.04986423,-0.0238025,0.0023235,-0.03441143,-0.01938795
2015-02,0.01967593,0.04777595,0.04834528,0.0349559,0.05902778,0.04862907,0.06240446,0.05267957,0.03050442,0.02260584,0.03041647,0.06699,0.06051873,0.08293951,0.04684466,0.05954825,-0.11339735,0.11540616,0.04685714,0.07434006,0.03802206,0.06297127
2015-01,-0.01344602,-0.07928197,-0.01864767,-0.06788028,-0.03702446,0.0095037,-0.00063828,-0.03255999,-0.04965721,-0.05190174,-0.01945345,-0.01270417,-0.03392394,-0.03791686,-0.04308523,-0.0338524,0.06121963,-0.04862977,-0.03712721,-0.00682394,-0.03436293,-0.07112811
2014-12,0.0038432,0.07095159,-0.00587526,0.01651605,0.01201923,-0.04730914,0.01731481,0.01065006,0.02183548,0.00919265,-0.0123119,0.01376989,0.0287547,0.05257037,0.02045455,0.00136705,-0.03331036,0.04378763,0.01688633,0.03023071,0.01269283,0.0464051
2014-11,0.01985208,0.04050633,0.01519757,0.00184729,0.02272727,0.03360041,0.02672438,0.02679572,0.05314816,0.00158479,0.00548697,0.03065374,0.00919842,0.01134259,0.0265069,-0.06155779,-0.07449411,0.05079542,0.02924587,0.03226461,0.03203343,0.07788945
2014-10,0.0390185,0.0509839,0.03648372,0.08084824,0.04643629,-0.00960081,0.05551142,0.05535293,0.06549783,0.05990783,0.03642384,0.06169154,0.04870798,0.09895965,0.05292692,0.00378072,-0.11409396,0.08628049,0.0596751,0.06188012,0.05869977,0.08472636
2014-09,-0.05048983,-0.01660839,-0.02602286,-0.06291998,-0.04667562,-0.03607504,-0.01144011,-0.02414962,-0.01044817,-0.05603448,-0.05267818,-0.00677201,-0.04413646,-0.05786281,-0.01984078,-0.08722566,0.02932427,-0.03785938,-0.02812303,-0.02532427,-0.01484645,-0.02620749
2014-08,0.0298103,0.01869991,0.02681461,0.06056659,0.0462734,0.014136,0.05165415,0.04287096,0.03667076,0.05500414,0.03535354,0.04666892,0.0659065,0.04685573,0.04730077,0.05889352,-0.07671233,0.08701057,0.04566059,0.05817541,0.04343198,0.04010082
2014-07,-0.06306306,0.07393365,-0.04472141,-0.08367953,-0.04818059,-0.05072297,-0.05684008,-0.04739967,-0.01580439,-0.07415902,-0.05301724,-0.04623343,-0.07562671,-0.0878333,-0.0428326,-0.05503057,0.08907313,-0.0943185,-0.05183246,-0.05660377,-0.04702067,-0.03829322
2014-06,0.01547531,0.03042198,0.00355608,0.02678571,0.01271915,-0.00092528,-0.01785885,0.00716213,0.00791937,0.02281668,0.01052632,-0.01130491,0.0336116,0.03238676,0.01061969,0.01765376,-0.02406639,0.01470164,0.00466102,-0.00801181,0.000408,0.01755571
2014-05,0.01923802,0.01598402,0.01880497,0.00871731,0.01651441,0.0055775,0.01450828,0.01887793,0.05209841,0.00713719,0.02294197,0.0178159,0.00530973,0.00517039,0.02506105,0.04285714,-0.03935458,0.03089382,0.01985246,0.0021245,0.02177099,0.04937099
2014-04,-0.01081686,-0.05089538,0.00441736,-0.03545673,-0.00871688,0.02043726,-0.01670325,-0.0013745,0.00377184,-0.03515476,-0.02588855,-0.01873385,-0.03753181,-0.04449911,0.00256279,-0.02051583,-0.00176783,-0.01306026,0.00108389,-0.02644082,0.00630385,-0.00879278
2014-03,0.01568477,0.00855513,0.01790441,0.0181371,0.02191092,0.02025873,-0.00279491,0.00880395,0.03671498,0.00736149,0.01936937,-0.00356911,-0.00021404,0.02032802,0.01311303,0.00297265,-0.02284312,0.02373613,0.01474665,-0.0151826,0.0165627,0.04281038
2014-02,0.10702341,0.06464646,0.07050336,0.09405118,0.09257098,0.09429539,0.073706,0.07206487,0.04361631,0.08875,0.11264822,0.08193277,0.08504264,0.07342829,0.07635088,0.07765152,-0.12718414,0.14543561,0.07232185,0.06719717,0.0704322,0.05960265
2014-01,-0.01848132,-0.09459459,-0.03287841,-0.030625,-0.0096475,-0.02342387,0.00687702,-0.03034216,0.00251358,-0.01313694,-0.02310231,0.01240951,-0.02343241,-0.02796395,-0.02403399,-0.00798526,0.07406699,-0.0675841,-0.02815804,0.00849673,-0.02913879,0.00670622
2013-12,0.04979253,-0.02546093,0.04776358,0.05040388,0.0423341,0.03711184,0.03466832,0.04745499,0.01840391,0.05012325,0.06277805,0.038883,0.02618262,0.03705452,0.04527991,0.08763898,-0.09051349,0.09597118,0.04729574,0.0329328,0.04654788,0.02412166
2013-11,0.02346041,0.07943925,0.02307442,0.0086594,0.03222004,0.01551373,0.05765256,0.02763562,0.02929819,0.02617366,0.00985222,0.04816176,0.0382786,0.0594328,0.03197756,0.0151117,-0.0577272,0.06846473,0.02969597,0.06767629,0.02921707,0.06175243
2013-10,0.02787307,0.03585271,0.02835223,0.02871287,0.04243923,0.03288958,0.04469593,0.03417692,0.04520876,0.03202391,0.03397566,0.03006088,0.0427655,0.02288732,0.04384287,-0.00131492,-0.08066717,0.06955235,0.03932931,0.05370138,0.04116802,0.0412431
2013-09,0.06396687,0.0039604,0.06371587,0.09304852,0.05822673,0.05730181,0.05130382,0.05048227,0.05209417,0.07281106,0.06881486,0.04126603,0.06841564,0.08707633,0.05364404,0.07539118,-0.0888131,0.11074105,0.0564675,0.04985337,0.05193818,0.05827361
2013-08,-0.03715309,0.00830737,-0.03581363,-0.04192872,-0.04403048,-0.02503439,-0.03625413,-0.03979197,-0.06321124,-0.04711581,-0.02273958,-0.03093187,-0.05167323,-0.04095112,-0.038101,0.00647948,0.0542212,-0.08016878,-0.04537434,-0.03523663,-0.04107579,-0.06919708
2013-07,0.04536862,0.06869369,0.04442813,0.05216095,0.05481955,0.06542333,0.07199071,0.04870172,0.03772147,0.03607771,0.04649828,0.07170294,0.0617514,0.05892351,0.04702851,0.03233083,-0.08869543,0.11267606,0.05024923,0.06465998,0.04850065,0.04382965
2013-06,-0.05144404,-0.112,-0.03332733,-0.03455802,-0.01950113,-0.05491084,0.01082651,-0.02209169,-0.01910708,-0.03726987,-0.0504386,0.00867679,-0.0091104,-0.0175389,-0.02457587,-0.0007593,0.00098607,-0.0292851,-0.0197544,0.02481962,-0.02012903,-0.01425031
2013-05,0.01292705,0.01303912,0.02876891,0.05606759,0.0744888,0.00719632,0.07421098,0.06075846,0.04546353,0.0516343,0.02842524,0.07445323,0.06312198,0.09423435,0.05421184,0.02494154,-0.12623429,0.1301403,0.06619014,0.06940639,0.064,0.07671958
2013-04,0.02247191,0.01108871,0.03123215,-0.0174397,-0.00992439,0.05082707,0.022806,0.00498316,0.00329425,-0.02509124,0.02776171,0.01403181,-0.00473011,-0.02561837,0.00250836,-0.00232198,0.00452694,-0.00094162,0.00014085,0.02486789,0.00465116,0.00456323
2013-03,0.01697313,-0.07839562,0.02032209,0.02842184,0.06126482,0.00541353,0.05678043,0.03156739,0.0474,0.02390805,0.01268743,0.06351551,0.07783019,0.03568216,0.03601297,0.02574103,-0.06790859,0.06026458,0.03275862,0.05710535,0.02549889,0.07240906
2013-02,0.00901756,-0.03006189,0.00326546,0.01168929,0.00992556,-0.04433638,0.0235711,0.01430158,0.02633736,0.00880445,0.00230548,0.019,0.0210653,0.00391095,0.00905828,-0.01383551,-0.04642105,0.02655311,0.01439791,0.01869783,0.01232493,0.02532536
2013-01,0.02400784,-0.03184165,0.01998417,0.02980392,0.04322917,0.03068216,-0.01088957,0.03306265,0.06623319,0.03734239,0.03098927,-0.00849575,0.03154279,0.03656999,0.04384546,0.03671189,-0.06306829,0.07041485,0.03670423,0.01238286,0.03271028,0.07335614
