Week,CGW,CHII,EXI,FIW,FXR,IEV,ITA,IYJ,IYT,PHO,PIO,PPA,PRN,PSCI,RGI,SEA,SIJ,UXI,VIS,XAR,XLI,XTN
2019-21,0.00028588,0.0007722,-0.00045772,-0.00059809,-0.00126968,-0.00348189,-0.00156319,-0.00033481,-0.00693597,0.00120664,-0.00189538,0.00278187,0.00422009,-0.01034373,-0.00161113,-0.01044084,0.003465,-0.003129,0.00014582,0.00143974,-0.00068399,-0.01358322
2019-20,0.00745413,-0.01519757,-0.00652052,0.00079114,-0.00651303,0.00345702,-0.00136068,-0.00725881,-0.03119032,0.0,0.00875523,-0.0006503,0.00242876,-0.01654182,-0.01080273,-0.03555556,0.0106383,-0.01646375,-0.01092935,0.00051361,-0.01138952,-0.02522403
2019-19,-0.00624822,0.00152207,0.01452565,-0.00510304,0.01058468,0.01652316,0.01866984,0.01377887,0.0189737,-0.00357782,-0.00902256,0.01085705,-0.01170701,-0.00373541,0.00851419,0.01557286,-0.02581996,0.0326179,0.00985612,0.01344871,0.0097166,0.01609658
2019-18,-0.01435671,-0.03067933,-0.01738186,-0.01645234,-0.01983274,-0.01303664,-0.01197207,-0.01749141,-0.0275725,-0.01414141,-0.02059249,-0.00320461,-0.01496026,-0.02402848,-0.01779871,-0.02821317,0.03424658,-0.04046095,-0.01945605,-0.00223441,-0.01777205,-0.03486181
2019-17,0.00745239,0.00352609,0.00226537,0.01428027,0.00813981,0.00245591,0.00936723,0.00615638,0.01513046,0.00953757,0.01122782,0.01808996,0.0046941,-0.00297885,0.00549232,0.01239669,-0.01070336,0.00700369,0.00891571,0.01696142,0.00900901,0.01378327
2019-16,0.00528071,-0.04784367,-0.00302735,0.00927357,0.00144127,-0.00668449,0.01897191,-0.0008266,-0.00911808,0.00496061,0.00695461,0.01508621,0.01237506,0.00532481,-0.00389321,-0.01234568,0.0121673,-0.00306513,-0.00349483,0.01912713,-0.00704496,-0.00298461
2019-15,0.00167084,-0.00806452,0.01467367,0.00096618,0.01234867,0.00223414,0.01116082,0.01077268,0.01526208,0.00029155,0.0007326,0.01207243,-0.00237643,0.00884956,0.01283697,0.00416233,-0.02243829,0.02103077,0.01686797,0.00414409,0.01899805,0.01429479
2019-14,-0.00222346,-0.00932091,0.00715072,-0.00422752,0.00850547,0.00449236,0.01314359,0.00831025,0.01604057,-0.00290107,-0.00437796,0.01249367,0.00816784,0.0138739,0.00748973,0.03121636,-0.02156134,0.01440356,0.00878661,0.01066667,0.00782473,0.01823125
2019-13,0.01150393,0.01763908,0.00752046,0.00930413,0.01130221,0.01160938,0.00122501,0.00614171,0.00820143,0.00466336,0.00918442,0.00338524,0.00321492,0.01552454,0.01280587,0.03455964,-0.02340892,0.00881811,0.00855,0.00481541,0.00561504,0.01605319
2019-12,0.00682206,0.03909026,0.02206136,0.01610979,0.02860825,0.00649501,0.0199305,0.02651156,0.04096948,0.01493429,0.00749344,0.01559215,0.02311558,0.03027823,0.0255929,0.00689655,-0.0455163,0.05188815,0.02558463,0.01717452,0.02612144,0.04315553
2019-11,-0.01286353,-0.01718213,-0.01869159,-0.02239969,-0.03196803,-0.02177364,-0.02219538,-0.0207725,-0.03485827,-0.01736827,-0.01180812,-0.01948612,-0.01668318,-0.0400125,-0.0262633,-0.01685393,0.04353933,-0.03895744,-0.02670007,-0.02412781,-0.02355776,-0.03815659
2019-10,0.01339031,-0.00209205,0.00443636,0.00335438,-0.00176367,0.02570694,-0.01221343,-0.00046795,0.00097014,0.01078813,0.01963746,-0.00810624,0.00318685,-0.00473934,-0.0015965,0.02206736,-0.00412371,-0.00239033,-0.00445755,-0.00787574,-0.00644555,-0.00215624
2019-09,-0.01508253,-0.04194858,-0.02569857,-0.02044025,-0.02420764,-0.01371455,-0.02429643,-0.02253503,-0.02636364,-0.01966041,-0.01279639,-0.02138493,-0.02063228,-0.03519062,-0.02304684,-0.04474273,0.03792135,-0.04366932,-0.02547771,-0.02724564,-0.02366786,-0.03472563
2019-08,0.0022779,-0.01615074,-0.00446528,-0.00853209,-0.00494438,0.0109993,-0.00057463,0.00263522,-0.00994266,0.00029718,0.00606061,0.00033574,0.00729322,-0.01818724,-0.00214752,-0.03887689,0.0,0.00544366,-0.00112462,-0.0069567,-0.00131458,-0.02088608
2019-07,0.01391708,0.00902778,0.00859145,0.01601423,0.00496648,0.00400283,0.00670073,0.0087345,-0.00262302,0.01645338,0.00847458,0.0070922,0.00874243,0.00316313,0.00724758,-0.00869565,-0.01667825,0.01588407,0.00788744,0.00605491,0.00717799,-0.00346457
2019-06,0.01725677,0.01426534,0.03311878,0.03087935,0.03260591,0.02719767,0.03273469,0.03071954,0.02662194,0.031771,0.02146264,0.03112502,0.02974948,0.04320203,0.028711,0.04472477,-0.05936073,0.06054774,0.03182752,0.03137128,0.0303943,0.02312327
2019-05,0.0,-0.00635145,-0.00952713,0.01222798,-0.00077479,-0.01220388,0.00963284,0.003465,-0.00223995,0.01368991,-0.00158919,0.01110719,0.01117418,-0.00685259,-0.00302559,-0.02362205,-0.00771704,0.00497362,0.00110799,0.0104064,0.00359166,-0.00622033
2019-04,0.02068756,0.0271261,0.0259366,0.0285163,0.02924604,0.01362199,0.03396327,0.02872402,0.02150053,0.02429416,0.01986218,0.03400855,0.02574003,0.02739044,0.02899073,0.00793651,-0.05906675,0.06007183,0.03418936,0.03504105,0.0357971,0.02024291
2019-03,0.01257669,0.01997041,0.01820609,0.01336207,0.01848328,0.01724138,0.03114206,0.02088811,0.01022727,0.02714477,0.01644061,0.0288333,0.01876975,0.00563474,0.01795152,0.01475596,-0.04649828,0.04667894,0.01747543,0.03776073,0.01931236,0.01146868
2019-02,0.03378167,0.02617801,0.03025458,0.02993881,0.0407315,0.02033226,0.03101716,0.03545151,0.03921455,0.02847458,0.03011292,0.0303675,0.0266817,0.03111929,0.03637035,0.02380952,-0.06309324,0.07358263,0.03522242,0.03205592,0.03438565,0.0460112
