Week,CARZ,CROP,DPK,DZK,EFO,EFU,FDTS,FLM,FTAG,FTRI,IDMO,SOIL
2019-21,-0.00471106,-0.01732283,0.01077586,-0.01209677,-0.00731982,0.01151708,0.00487385,0.00699004,-0.02371365,0.0,-0.01005803,-0.01346801
2019-20,-0.01411101,0.0,-0.00806452,0.0073934,0.00388673,-0.00561122,-0.0182944,-0.01392063,-0.00445434,-0.01659751,0.00889404,-0.01108647
2019-19,0.00062073,0.01570845,-0.04252303,0.04434197,0.02951192,-0.02823529,-0.00472485,0.00601535,0.00582437,0.01859679,0.02250296,0.00553097
2019-18,-0.04595376,-0.01390568,0.04344392,-0.04662557,-0.03206307,0.03204047,-0.04206603,-0.02679275,-0.04369538,-0.01233553,-0.00273117,-0.00853789
2019-17,0.00685127,0.01518372,-0.00887097,0.00987807,0.00465357,-0.00641026,-0.0120989,-0.01635559,-0.00373134,-0.01380991,0.00309598,-0.02171665
2019-16,-0.03455903,0.00737327,0.00802568,-0.01022305,-0.00598958,0.00511291,0.0,-0.0030894,-0.01349693,-0.01755786,-0.00116144,-0.00514933
2019-15,0.04300459,-0.00244574,-0.00719424,0.00700389,0.00522603,-0.00636943,0.00313316,0.00329777,0.02601762,-0.00637959,-0.00653344,0.01142264
2019-14,0.00775416,0.00245023,-0.00793021,0.00548503,0.00420278,-0.00422297,0.00842549,0.00409836,-0.01120332,-0.00633413,-0.00383289,-0.00519211
2019-13,0.03180737,0.00338253,-0.02320186,0.02200803,0.01414842,-0.01620948,0.02704164,0.00549235,0.05194238,0.00803213,-0.00115207,0.01487779
2019-12,0.00952966,0.01260239,-0.02184996,0.01923732,0.01361111,-0.01159073,0.00845378,0.01029679,0.0,0.00163399,0.00936403,0.01091703
2019-11,-0.02040204,-0.0131209,0.05049732,-0.05551969,-0.03456592,0.03510946,0.00887813,-0.03266184,-0.00923982,-0.0215655,-0.01042874,-0.03361345
2019-10,-0.00632149,-0.00093985,-0.04881551,0.05498104,0.03468531,-0.03593997,0.01005435,0.01050962,0.00676533,0.01894563,0.01647059,0.02813853
2019-09,-0.0457993,-0.01472893,0.04522247,-0.04380179,-0.03137039,0.03036356,-0.02228786,-0.02135162,-0.02263202,-0.01065574,-0.01252446,-0.03259727
2019-08,-0.00632002,-0.01021672,-0.01019665,0.01099273,0.00912358,-0.00679185,0.00805369,0.00588928,-0.00417014,-0.00407498,0.00470404,-0.02070393
2019-07,0.01538917,0.01565925,-0.00999286,0.01139109,0.00671329,-0.00552268,0.00866504,0.0119952,0.01798715,0.00742574,0.00632661,0.01051525
2019-06,0.02344702,0.01592864,-0.07862248,0.0791462,0.05016325,-0.0517943,0.02327515,0.02852384,0.01654332,0.00848896,0.02651979,0.02065217
2019-05,-0.03869833,-0.02776921,0.04765146,-0.04392439,-0.02962324,0.03097514,-0.03207237,-0.02768795,-0.00879029,-0.00673401,-0.01326367,-0.02222222
2019-04,0.01181684,0.00870918,-0.03439325,0.03752593,0.02637819,-0.02186805,0.01591734,0.00101874,0.01014799,0.03130435,0.026545,0.00106724
2019-03,0.03406693,0.0167087,-0.05068836,0.05040047,0.03281677,-0.02965642,0.01531046,0.00242082,0.02292388,0.01493849,0.01718357,0.01725998
2019-02,0.02678843,0.0242734,-0.06203931,0.06571372,0.04017173,-0.04110079,0.02227365,0.02375052,0.04473565,0.0230701,0.01058873,0.01824034
