Week,ADRE,BBRC,BICK,BKF,DBEM,DEM,DGS,DVYE,EDC,EDIV,EDZ,EEB,EELV,EEM,EEMO,EEMS,EET,EEV,EMIF,EUM,EWEM,EWX,FEM,FEMS,HILO,IEMG,PIE,PXH,SCHE,SPEM,TLTE,VWO
2019-21,0.00664187,-0.00313283,0.00547945,0.00575144,0.00324826,0.01430956,0.01019483,0.01855724,0.03975293,0.0257766,-0.03827392,0.00602582,0.0142919,0.01197306,0.01912046,0.00188235,0.02474779,-0.02640333,0.0147656,-0.01212121,0.02197071,0.01251771,0.00866176,0.0176416,-0.00382263,0.01283378,0.00809465,0.01279528,0.01301342,0.01247031,0.01042092,0.01300976
2019-20,-0.00500923,0.0,0.00474684,-0.00625626,-0.00788863,0.00310337,-0.00272851,-0.0018272,-0.01305031,-0.0071708,0.01072638,0.00724008,0.00608696,-0.00423729,0.01298701,0.00333254,-0.00674193,0.00813008,0.00636704,0.00303337,0.00534938,0.00454328,0.00353201,-0.00155569,-0.00229533,-0.0033092,-0.00062696,0.00197433,-0.00487211,-0.00325636,-0.00490697,-0.00200351
2019-19,-0.01670951,-0.00745342,-0.01181102,0.0,-0.00276116,0.00191433,-0.00874439,-0.00752075,-0.02416553,-0.00324465,0.01987529,0.00232153,-0.00646552,-0.00714638,-0.00131406,0.0,-0.01226806,0.01495088,-0.01847746,0.00716113,-0.00894336,-0.00781991,-0.00219394,-0.01585366,0.00230769,-0.00695439,-0.00921376,-0.0029615,-0.00602894,-0.00441566,-0.0088835,-0.00521351
2019-18,-0.03021513,-0.01435407,-0.03060472,-0.03187529,-0.02868318,-0.02589144,-0.01615303,-0.02011423,-0.09306344,-0.0084296,0.09650153,-0.03445469,-0.01664586,-0.03070884,-0.0200627,-0.01995516,-0.06464592,0.06447718,-0.02107896,0.03107961,-0.02267717,-0.01797753,-0.02903885,-0.0231826,-0.03118202,-0.03029722,-0.01859384,-0.03020446,-0.02691433,-0.02694444,-0.02390892,-0.02729818
2019-17,0.00717017,0.00894454,-0.00072674,0.00801833,0.00987973,0.00630773,0.0098781,0.00491884,0.0183984,0.01220275,-0.01737216,0.00887097,0.00952775,0.00568569,0.0,0.00842572,0.00948545,-0.01244091,0.0042508,-0.00553403,-0.00123993,0.00666371,0.00724346,0.01358234,0.00432277,0.00623701,0.01916376,0.00643382,0.00787106,0.00685683,0.00557,0.00945136
2019-16,-0.00690805,-0.00883392,-0.01081471,-0.00434186,0.00343938,-0.0122331,-0.01339654,-0.01212415,-0.03047729,-0.0141582,0.02748626,-0.00456866,-0.00616523,-0.00880958,0.00435323,-0.01698976,-0.02317542,0.01842504,-0.00423729,0.01003904,-0.00676923,-0.00790861,-0.0115354,-0.01379691,0.0,-0.00937734,0.00290192,-0.01179673,-0.0055991,-0.00736096,-0.01464397,-0.00662857
2019-15,0.01204819,0.00768776,0.0007249,0.0110016,0.01121173,0.00849352,0.00392319,0.00412722,0.02797446,0.0086741,-0.02555831,0.00949796,-0.00082271,0.00974394,0.00500626,0.00217155,0.02100245,-0.01732363,-0.00385289,-0.00889383,0.0049398,0.00330106,0.00435471,0.00609418,0.00645161,0.0088429,0.00640279,0.01050228,0.01125281,0.00986301,0.00676912,0.01172414
2019-14,-0.01459854,0.00237248,0.00072124,-0.00361664,0.0025729,-0.00066681,0.0024727,-0.00170151,-0.00534881,0.00124069,0.00327952,-0.01745108,0.00123508,-0.0009009,-0.01481481,0.00021749,-0.00636132,0.0015213,-0.00659493,0.00111794,-0.00061557,-0.00547645,-0.01166407,-0.00980926,-0.00638298,0.00018748,-0.00057703,-0.00722022,-0.00149142,-0.00108962,0.00182382,-0.00205386
2019-13,0.01585014,0.01079137,0.00942029,0.01212537,0.02094241,0.01214302,0.01481018,0.00733855,0.05073591,0.00621891,-0.04890913,0.0107095,0.00995851,0.01764841,0.00185185,0.01030476,0.03460526,-0.03336605,0.00591099,-0.0159516,0.00995954,0.00996016,0.01259347,0.01246883,0.00354862,0.01656827,0.00638051,0.01697248,0.01744407,0.01047698,0.01795964,0.01645804
2019-12,0.02080753,0.00365186,0.0119403,0.01650554,0.01656222,0.00297415,0.0083476,-0.00099379,0.02637334,0.0128041,-0.02750055,0.01266869,0.00627615,0.00917,0.00692259,0.00581135,0.02145329,-0.02000931,0.00632467,-0.00857909,0.0,0.00814295,-0.00239139,0.00225543,0.0050578,0.00858202,0.01796407,0.00942951,0.01245621,0.01131222,-0.00262861,0.0128694
