Week,ADRD,ADRU,DBGR,DFE,EDEN,EFNL,EIRL,ENOR,EPV,EUFN,EWD,EWG,EWGS,EWI,EWK,EWL,EWN,EWO,EWP,EWQ,EWU,EWUS,EZU,FDD,FEP,FEU,FEZ,FGM,FKU,FSZ,GREK,GXF,HEDJ,IEUS,IEV,NORW,UPV,VGK
2019-21,-0.00570885,-0.00483325,-0.00419207,-0.00034698,-0.01837648,-0.00594595,-0.00361969,-0.01825558,0.01042287,0.0010989,0.0040404,-0.00691664,-0.01661494,-0.01468373,-0.00552792,0.00027709,-0.00465735,-0.00758725,0.0006993,-0.00307272,-0.00467581,-0.00574263,-0.00467532,-0.00399361,-0.00619652,-0.00121175,-0.0046133,-0.01604022,-0.00311791,0.00123026,0.04572098,-0.01499758,0.00108746,-0.00720432,-0.00348189,-0.01787165,-0.01208324,-0.00357009
2019-20,0.0,-0.01149425,-0.00453686,0.00224138,0.02447326,0.00026603,-0.01135289,0.00240481,-0.00393106,-0.0027027,0.00199071,-0.0007215,-0.00307859,-0.00185048,0.00722624,0.01837416,0.00099272,-0.00745156,0.00313261,0.00135135,-0.00399631,-0.00801862,0.00051493,-0.0015748,-0.00291375,0.0084312,0.00349933,0.00143096,-0.00837287,0.01526718,0.01532567,0.00869565,0.00077292,0.00436855,0.00345702,0.0,0.00595895,0.0033557
2019-19,0.01290631,0.01162791,0.02490421,0.00845702,0.00209813,0.02256661,0.00905193,0.01757972,-0.03060921,0.01195003,0.01707399,0.01925872,0.0115942,0.01194922,0.00948661,0.02445961,0.01832722,0.00499002,0.01797674,0.02291382,0.00988875,-0.00178526,0.02003122,0.00394945,0.01641266,0.01859756,0.02371218,0.02335099,0.00751461,0.01119403,-0.00253807,0.01662592,0.02812255,0.00594766,0.01652316,0.01719902,0.02289907,0.01618062
2019-18,-0.01977011,-0.01272385,-0.01470588,-0.00998502,0.00807985,-0.01281381,-0.01014059,-0.00279441,0.02327806,-0.02374806,-0.02540489,-0.01116539,0.00424253,-0.01547876,-0.02550478,-0.00722222,-0.01342711,-0.0115942,-0.01365654,-0.01447845,-0.01756475,-0.01816843,-0.01375688,-0.01681957,-0.00931414,-0.01562039,-0.0154815,0.00070291,-0.00243309,-0.0068812,-0.03004808,-0.02072539,-0.01979604,-0.00917958,-0.01303664,-0.0063745,-0.02341137,-0.01197605
2019-17,-0.00182983,0.00187178,0.00733945,0.00032911,-0.01460534,-0.01777101,0.01254355,-0.01212833,-0.00838439,0.00204082,-0.01264261,0.00835946,0.00403155,0.00142349,0.00263713,0.00498477,0.0112,-0.01037736,-0.00538902,-0.00130039,0.00833581,0.00592446,0.00297693,-0.00302801,0.00083449,0.00707756,0.00601937,0.00721938,-0.00159617,-0.00059868,-0.00700935,-0.01928375,-0.00074184,0.00341232,0.00245591,-0.01485536,0.01895735,0.00288444
2019-16,-0.00183402,-0.00282087,0.00592154,-0.0096896,-0.00015645,-0.02109181,-0.02606906,-0.03373768,0.01330737,-0.01973684,-0.01041348,-0.00383944,-0.01358885,-0.01758706,-0.0298815,0.00979295,-0.00416133,-0.02764977,-0.01206839,-0.01068999,-0.00974889,0.00173482,-0.01110837,-0.01203913,-0.0183763,-0.00206856,-0.00835291,-0.01946862,-0.00185234,-0.00019968,-0.0162037,-0.01733577,-0.00059613,-0.0101983,-0.00668449,-0.03712121,-0.01100693,-0.00683207
2019-15,-0.00091659,-0.00140121,0.01999246,0.00148051,-0.01221587,-0.00024765,0.00785582,0.00190985,0.00291451,0.01177073,0.01364341,0.01132743,0.00915171,-0.00316344,-0.00102881,0.00055897,0.00870126,0.00697999,0.00100739,0.00686948,-0.00324292,-0.00271538,0.00597163,-0.00226074,0.00302947,0.00147929,0.00948617,0.00950174,0.0018543,0.00640641,-0.00346821,0.00364797,0.01540785,0.00037893,0.00223414,-0.00076453,0.00306435,0.0014417
2019-14,-0.00366133,-0.00093327,0.00799391,0.00833611,0.00202492,0.00837851,0.0086773,0.00269646,-0.00989467,0.02583026,0.01318267,0.01146953,0.0044484,0.00211491,0.01996847,-0.00530726,0.00910569,0.03694701,0.01017294,0.00958044,0.00236267,0.01184177,0.01031187,0.01225115,0.00918197,-0.00118308,0.00823811,0.00843091,0.00664011,0.00444086,0.01779359,0.00549451,0.01005484,0.00999423,0.00449236,0.0,0.01767887,0.00526316
2019-13,0.00695088,0.00423729,0.02168022,0.01063471,0.00565327,0.03560529,0.02190476,0.01219992,-0.02848297,0.02260495,0.02688695,0.02344322,0.02068966,0.00712758,0.02423263,0.00224719,0.01354476,0.01976285,0.01753783,0.01476015,0.01046338,0.00965693,0.01661979,0.00927357,0.01526286,0.00927588,0.01621183,0.02292264,0.02868069,0.01041667,0.01080432,0.02157598,0.01696484,0.01346867,0.01160938,0.01103231,0.02919241,0.01344136
2019-12,0.00518379,-0.00095557,0.01154459,0.00222985,0.00430073,-0.00206292,0.01660562,-0.00830368,-0.01313433,-0.00329308,-0.00526662,0.00372856,0.00930579,0.00615496,0.01769912,0.01579552,0.01013856,0.00100654,-0.00348311,0.00959233,0.00303859,0.00962038,0.00625652,-0.003108,0.010456,0.00822669,0.00882515,-0.00217918,0.0041141,0.01134931,0.02681992,0.0066762,0.01605723,0.0075818,0.00649501,-0.00873016,0.00683572,0.00543886
