Month,ECON,FXG,IYK,KXI,PBJ,PSCC,PSL,RHS,SZK,UGE,VDC,XLP
2016-08,0.00083126,-0.01665599,-0.0020972,-0.00426621,-0.00873757,-0.01789777,-0.01998957,-0.01201525,-0.01490066,-0.00881834,-0.00677785,-0.00708661
2016-07,0.05463287,0.01923493,0.01291394,-0.00212314,0.01401584,0.04273774,0.01428823,-0.00477996,0.0,0.0125,-0.00045746,-0.00353496
2016-06,0.04409738,0.03495102,0.02770136,0.03268261,0.04937878,0.0378937,0.02927887,0.05400727,-0.04901961,0.04373811,0.04329554,0.04301733
2016-05,-0.02247191,-0.00447027,-0.00379291,-0.00745287,-0.01454316,0.00516322,0.00054685,-0.00026173,-0.00306905,-0.01488901,-0.0018353,-0.00451005
2016-04,0.00359712,-0.00538841,-0.01367925,-0.00726872,-0.02043383,0.02718615,-0.02389508,-0.02131331,0.00712831,-0.0302139,-0.02253743,-0.02467638
2016-03,0.09068507,0.02996956,0.04256375,0.03878816,0.01918075,0.08169014,0.01395007,0.03191202,-0.08095461,0.09367542,0.03954896,0.03753181
2016-02,-0.0216189,0.00906921,0.00576865,-0.01991302,-0.0035936,0.03923092,-0.0046117,0.01156175,-0.03109509,0.00367534,0.00192824,-0.00021404
2016-01,-0.00887137,-0.01101269,-0.0040347,0.0185446,0.00065725,0.00331255,0.00092799,0.00923938,0.06000938,-0.02828159,0.0131075,0.01836869
2015-12,-0.07012059,0.01318629,-0.0036601,-0.00138568,-0.01240064,-0.04114555,-0.01344086,0.03182293,-0.03045455,0.00737463,0.01622129,0.02048909
2015-11,-0.03084275,-0.00978754,-0.01220953,-0.01216433,-0.03326147,0.00559769,0.00271985,-0.00647866,-0.02091678,-0.01322363,-0.0147233,-0.01531729
2015-10,0.07608179,0.0473075,0.06792014,0.06223965,0.07022193,0.05988831,0.05015314,0.05417425,-0.14957265,0.14573539,0.05826729,0.05701652
2015-09,-0.00520095,-0.00700175,0.0268893,0.03074597,0.01477502,0.02469868,0.00211661,0.02685329,0.02101507,0.03980447,0.02124138,0.02528023
2015-08,-0.0791126,-0.0464684,-0.04896933,-0.06796339,-0.05760297,-0.0230406,-0.03225222,-0.04716799,0.07227891,-0.09951894,-0.05831991,-0.06097828
2015-07,-0.03937947,0.02808187,0.02125038,0.04537815,0.02714788,-0.02278574,0.04909265,0.04598165,-0.01553969,0.04334171,0.03692931,0.043558
2015-06,-0.01444748,-0.01631591,-0.01017786,-0.01756051,0.00747724,0.01141254,0.01509804,-0.01593985,-0.03211382,-0.01252348,-0.0167441,-0.0182357
2015-05,-0.02400915,0.02078801,0.00402601,-0.003298,0.0185124,0.07187437,0.02038369,0.003414,-0.03529412,0.02128335,0.00281319,-0.00045568
