Week,ECON,FXG,IYK,KXI,PBJ,PSCC,PSL,RHS,SZK,UGE,VDC,XLP
2019-21,0.00465549,-0.01831421,-0.00670571,-0.00309598,-0.00427481,-0.02530283,-0.00255537,-0.01239638,0.01303155,-0.01349073,-0.00433437,-0.0030046
2019-20,-0.00785582,-0.00858001,-0.00861783,0.00210084,-0.01016139,-0.01126458,-0.00125874,-0.00513011,0.01509705,-0.01627694,-0.00309931,-0.00156223
2019-19,-0.00091785,0.01120448,0.01698318,0.01681484,0.00237954,-0.01174297,0.00573266,0.01839011,-0.03404255,0.03609688,0.0166029,0.01726264
2019-18,-0.02351916,0.00383305,-0.00793716,-0.00305227,0.00117751,-0.0056048,0.00096565,-0.00201252,0.02078693,-0.01871241,-0.00114935,-0.00017446
2019-17,0.00907912,-0.0034057,0.00301967,0.00498084,-0.00353461,-0.01684671,-0.00371134,0.00284538,-0.00892193,0.00509639,0.00563361,0.00631025
2019-16,-0.00345572,0.00085874,0.00361189,0.00328185,0.00868263,0.02260709,0.01392564,0.00534357,-0.00147493,0.00335196,0.00320644,0.001582
2019-15,0.00648789,0.00472813,0.00650152,0.00251305,-0.00059577,0.0035503,0.00222346,0.00249527,-0.01392962,0.01079379,0.00362492,0.00601451
2019-14,0.00344828,0.01024188,0.00798138,0.0009705,0.0036036,0.00052645,0.00702938,0.00750498,-0.01436782,0.013978,0.00588643,0.0068076
2019-13,0.01705291,-0.00218341,-8.344e-05,-0.0069646,0.00271821,0.00634585,-0.00014108,-0.00428692,-0.00071276,-0.00161365,-0.00690274,-0.00590129
2019-12,0.01255605,0.0121547,0.01858958,0.01492537,0.01745789,0.01132578,0.01880563,0.01799984,-0.03351573,0.03667069,0.01488678,0.01666969
2019-11,-0.02928322,0.0141828,-0.00434412,-0.0039185,0.00154464,-0.01757608,-0.01041221,0.01039288,0.00685401,-0.0060183,0.00224703,0.00547645
2019-10,-0.00438596,0.00909298,0.00531915,0.01295595,0.00310655,-0.00600679,-0.00199232,0.00700804,-0.00878972,0.00828662,0.00895331,0.01090371
2019-09,-0.01150442,-0.01271571,-0.0095599,0.00384226,-0.02028896,-0.0274096,-0.01690581,-0.01065098,0.0173913,-0.01820418,-0.00778905,-0.00798514
2019-08,-0.01826087,0.00067812,0.00414079,0.00020145,0.0098735,0.01491194,0.01629651,0.01049259,-0.00735786,0.00688807,0.00250232,0.00185736
2019-07,0.0151044,-0.02197319,0.00180941,0.00080483,-0.00304599,0.00242162,0.01405186,-0.00600269,-0.00335345,0.0026974,-0.00127814,-0.00368121
2019-06,0.00313199,0.01909683,0.01011246,0.01621844,0.01990669,0.01670174,0.01605066,0.01840194,-0.01897906,0.01984925,0.00863682,0.00764355
2019-05,-0.01332149,-0.01754776,0.00175131,0.00144003,0.01012338,-0.02310488,-0.010551,0.0098937,0.0,0.00279046,0.00420381,0.00431763
2019-04,0.02178847,0.01612171,0.02793852,0.02973662,0.01421189,0.02737869,0.01493213,0.01959799,-0.05362584,0.05498652,0.02336344,0.02438552
2019-03,0.02073733,-0.02228164,0.00263373,0.00042481,-0.01087652,0.00730618,-0.00744823,-0.01207528,-0.01081731,0.01258206,-0.00440003,-0.00464306
2019-02,0.03314659,0.03001364,0.02190049,0.01711596,0.02143553,0.03606332,0.03175563,0.02405063,-0.03579952,0.04173577,0.02243033,0.02074364
2019-01,0.0316395,0.02104533,0.01623829,0.00966702,0.01609724,0.01603458,0.00968083,0.0143891,-0.02784223,0.02485174,0.01024979,0.0086427
2019-00,0.02749141,0.01784015,0.01293063,0.01587992,0.01685204,0.02617498,0.0102745,0.01096813,-0.03159645,0.03035662,0.01034641,0.00950495
2018-51,0.0245491,0.03108808,0.03929659,0.03076578,0.03181818,0.03896882,0.04132629,0.03415509,-0.07399794,0.07327858,0.0381234,0.0377631
2018-50,-0.00987654,-0.04780421,-0.04245412,-0.03371501,-0.05085844,-0.05432652,-0.0570331,-0.0460199,0.07910272,-0.07654456,-0.0477634,-0.04878978
2018-49,0.02090592,0.00582307,-0.00284824,-0.00724938,-0.00189934,-0.01229289,-0.00344729,-0.0023357,0.00749064,-0.00876063,-0.00380911,-0.00407936
2018-48,-0.05016256,-0.04509679,-0.03708451,-0.0241838,-0.03642987,-0.04791771,-0.03844027,-0.03441044,0.03348962,-0.05896395,-0.02991006,-0.02828829
2018-47,0.01007194,0.0,0.01869812,0.01742875,0.01228124,0.0184002,0.01380282,0.01545411,-0.02695764,0.02366127,0.02647774,0.02552247
2018-46,-0.00864553,-0.00891152,-0.01415053,-0.0119797,-0.01119177,-0.00621512,-0.0051908,-0.01413179,0.04103243,-0.02859936,-0.02006736,-0.02102973
2018-45,0.04726368,-0.00837346,-0.00344086,-0.00242229,-0.01074306,-0.00389056,-0.00812448,-0.00918493,-0.00132714,-0.01619433,-0.00915332,-0.00807899
2018-44,-0.0441655,0.01903336,0.00187954,0.01600162,0.04070851,-0.01846608,0.00998336,0.0119919,-0.00202293,-0.00259067,0.01612112,0.01836698
2018-43,0.09132653,0.0150655,0.02613456,0.01363636,0.0145202,0.01621959,0.03507,0.01801297,-0.04927353,0.04636433,0.01321934,0.01211331
2018-42,-0.02803287,-0.02542008,-0.00415451,-0.01042945,-0.03162791,-0.01983389,-0.02334465,-0.02022846,0.01074589,0.00330452,-0.00856608,-0.00822584
2018-41,-0.00293255,0.02253336,0.01588293,0.02695361,0.02345483,0.02681992,0.0167727,0.02215955,-0.00187266,0.01803404,0.03631244,0.03773585
2018-40,-0.00859189,-0.03622416,-0.04250021,-0.0307473,-0.0248062,-0.04426858,-0.03254438,-0.0377816,0.08178191,-0.07051127,-0.0328696,-0.03333333
2018-39,-0.04820373,0.00129562,-0.01867731,-0.01394221,-0.00713178,-0.01994616,-0.00421822,-0.00221712,0.03688525,-0.03978595,-0.00847089,-0.00828469
2018-38,-0.00090621,-0.01522843,-0.00784611,-0.00080743,-0.01217656,-0.00048117,-0.00845109,-0.01178951,0.01733703,-0.01902797,-0.00596307,-0.00468165
2018-37,0.03391384,-0.00251046,0.00905888,0.00661323,-0.0021059,-0.0041425,-0.00041425,0.00231857,-0.02094972,0.02187785,0.0055615,0.00818148
