Name,SR_month,Omega_month,RisknessR_month
AXJL,0.1354498633935551,0.1584358064397219,7.895491615486974
DNL,0.13487841584280003,0.1417709296824987,7.5706436411562175
IEMG,0.10703214413748904,0.12531704372379274,5.560465548984081
CWI,0.09014407639959632,0.10065703402171332,5.455448722456042
AIA,0.11886985174406513,0.1313045110639634,5.177772108928198
VEU,0.08096775324859327,0.08913090436262186,4.897457350303659
EEMA,0.10050609095029121,0.12549737801249108,4.749264213224452
ACWX,0.0744848801679066,0.08614366820447864,4.583170865775982
AAXJ,0.08632402257363825,0.11188907104053196,4.134723440145516
VXUS,0.06774886472927892,0.0743130826656548,4.131457674274257
ADRA,0.029982290476427774,0.03992249322725623,1.5205846133548657
CHIQ,0.041176262817647816,0.04567692609491099,1.406509640476769
REMX,0.03834800364840109,0.05704453188230369,0.9662554503002903
FPA,-0.0244509092780246,-0.034836959519637826,-1.1027000189666647
