Month,AAXJ,ACWX,ADRA,AIA,AXJL,CHIQ,CWI,DNL,EEMA,FPA,IEMG,REMX,VEU,VXUS
2019-05,-0.08652778,-0.04566596,-0.08671415,-0.09109698,-0.04852941,-0.1516035,-0.04260583,-0.05109489,-0.08506285,-0.0665779,-0.06711153,0.04073034,-0.04295197,-0.04428948
2019-04,0.00766978,0.01471843,0.00312695,0.01542912,0.00220297,0.01117647,0.01553398,0.02456264,0.00905374,-0.03484995,0.00628452,-0.11597779,0.01455547,0.01464714
2019-03,0.01741508,0.00434122,0.00289389,0.00575753,0.0138596,0.02332719,0.00764223,0.01454281,0.01928582,-0.00425393,0.01253182,-0.0175,0.00501002,0.00503486
2019-02,0.01094891,0.01776593,0.02809917,0.00714998,0.01595581,0.08137189,0.01879156,0.01906898,0.00699088,0.02714477,-0.00525394,0.09246575,0.01846154,0.01778656
2019-01,0.09335869,0.07916766,0.08025568,0.10616563,0.08759728,0.14296754,0.07747355,0.09150194,0.0930271,0.10636732,0.09352518,0.06642336,0.07670267,0.07875692
2018-12,-0.05615807,-0.06276524,-0.04592692,-0.05324431,-0.05089774,-0.09300699,-0.06451613,-0.06722212,-0.05585725,-0.06811146,-0.05035247,-0.20375807,-0.06389118,-0.06291061
2018-11,0.02348367,-0.00383834,-0.00864074,0.01412227,0.00288046,0.0,-0.00029525,-0.0251785,0.01855737,0.0125493,0.01187253,-0.00481348,-0.00271342,-0.00141157
2018-10,-0.10611951,-0.08247205,-0.09460709,-0.12250203,-0.08479401,-0.12133333,-0.08241455,-0.08694128,-0.10624626,-0.11585761,-0.08713611,-0.12002212,-0.08545349,-0.08698913
2018-09,0.00014372,0.01678141,-0.01006711,0.00261481,0.02045802,-0.0202086,0.01827383,-0.00158144,-0.00536433,-0.01339286,0.01033181,0.02615122,0.01683168,0.01428571
2018-08,-0.01345291,-0.01876955,-0.01354198,-0.00064777,0.01050548,-0.04107909,-0.017716,-0.00568966,-0.00641306,-0.02291994,-0.02671466,-0.07227672,-0.01918649,-0.0195572
2018-07,0.03211009,0.03837861,0.04158908,0.02750782,0.04776214,-0.03632103,0.03771461,0.04459968,0.03185472,0.01909004,0.04258242,-0.03285924,0.03889661,0.03655054
2018-06,-0.06250829,-0.02882621,-0.01965456,-0.0595329,-0.03786858,-0.07515991,-0.02921288,-0.01604185,-0.06279262,-0.05851375,-0.05705925,-0.10630942,-0.03030303,-0.03014249
2018-05,-0.0012066,-0.01522321,-0.002693,-0.01022745,-0.00406259,0.04893138,-0.01766595,0.00369458,-0.00652959,0.00590493,-0.0186865,-0.05163156,-0.01627555,-0.01417666
2018-04,0.00214535,0.01986201,0.02108158,0.0107742,0.00403166,-0.00393258,0.02405686,0.0045614,0.00180832,-0.0113109,-0.00788389,0.01075714,0.02157165,0.02054034
2018-03,0.01198402,0.00497203,-0.02143906,0.01647095,0.00600871,-0.02095648,0.00513236,0.03463588,0.00893471,0.0,0.00833186,-0.06604128,0.00687285,0.00660187
2018-02,-0.04796861,-0.05073872,-0.0429244,-0.0558361,-0.03886121,0.0037234,-0.05316456,-0.05155321,-0.05448635,-0.02574637,-0.04534687,-0.02501813,-0.05224548,-0.05163511
2018-01,0.0500393,0.04320487,0.06138556,0.06375228,0.05019991,0.03231018,0.04745493,0.04092557,0.05693036,0.0422978,0.05930253,-0.00473761,0.04580295,0.04661627
2017-12,0.03202208,0.02200796,0.02405603,0.02626552,0.03029837,0.07067138,0.02076503,0.0219275,0.02847786,0.04298167,0.04290553,0.09076175,0.02339973,0.0127025
