Month,AAXJ,ACWX,ADRA,AIA,AXJL,CHIQ,CWI,DNL,EEMA,FPA,IEMG,REMX,VEU,VXUS
2017-11,-0.0043686,0.00146658,0.00666667,-0.00938673,-0.00835866,-0.00235433,0.00382514,0.00443971,-0.00549141,-0.02363583,-0.00428385,0.04042105,0.00387147,0.00294985
2017-10,0.03906138,0.02014574,0.02132999,0.04901146,0.02125,0.00715564,0.01927374,0.02508179,0.04512394,0.02963642,0.0320897,0.03796909,0.01958844,0.0203812
2017-09,-0.00286369,0.01654332,-0.00031716,0.00385389,-0.01163512,0.06066411,0.01617021,0.00456371,-0.00178227,-0.01450151,-0.00672301,0.08007718,0.01547117,0.01591258
2017-08,0.0114976,-0.00065502,-0.00917431,0.00539993,0.00690088,0.0396772,0.0014245,0.02250985,0.0113054,-0.00030294,0.01811737,0.08017103,0.00040314,-0.00096043
2017-07,0.0473781,0.03520327,0.05271995,0.05209452,0.03422983,0.04831933,0.03343195,0.03407984,0.04902897,0.05945073,0.05030139,0.23853211,0.03287958,0.03274107
2017-06,0.00525502,-0.00339443,0.01406036,0.01141718,0.00541783,0.01362007,-0.00029603,0.00704639,0.01146641,-0.02173913,0.00251151,0.0242915,-0.00167399,-0.00119737
2017-05,0.0362108,0.02653205,0.0168185,0.05165767,0.01188285,0.03773585,0.02786283,0.02352232,0.04080944,0.05913978,0.01849462,0.00133511,0.02793417,0.02493817
2017-04,0.01281209,0.02093863,0.01031661,0.01219276,-0.00151847,0.00617284,0.02038257,0.02743712,0.01445286,-0.00838364,0.01246992,-0.04330963,0.02060713,0.02071006
2017-03,0.02841586,0.01864573,-0.00247437,0.03841463,0.0292851,0.01662708,0.01852443,0.02317177,0.02631111,0.04387187,0.02044484,-0.0816568,0.01874012,0.0180684
2017-02,0.02590765,0.00750751,0.01447702,0.0194033,0.0202307,0.05721605,0.00813537,0.01192541,0.02332843,0.0161406,0.01904762,0.01504212,0.01037823,0.01010989
2017-01,0.06346226,0.03269331,0.04595518,0.05183396,0.04971033,0.07103825,0.03270398,0.03794895,0.06456044,0.0519136,0.05419323,0.10448761,0.03393881,0.03326498
2016-12,-0.02279044,0.02295169,-0.00609524,-0.02407809,-0.01797961,-0.05078809,0.02257728,0.02178952,-0.0127401,-0.00892164,0.00623597,-0.0094086,0.02315271,0.02229
2016-11,-0.02885822,-0.01646198,-0.00488171,-0.00172749,-0.01358047,0.01759015,-0.01866938,-0.03348858,-0.03174003,-0.0498155,-0.03313468,0.09513274,-0.01736195,-0.01634438
2016-10,-0.03151515,-0.01688843,-0.00855973,-0.03500729,-0.02356722,-0.02235598,-0.0146569,-0.03293668,-0.03273322,-0.05123736,-0.01604651,0.00073529,-0.01699717,-0.018456
2016-09,0.0251606,0.00798969,0.01319759,0.03478825,0.02282271,0.01845343,0.0073776,0.01251618,0.02613273,0.04327273,0.01907032,-0.04259777,0.00809331,0.01022727
2016-08,0.01753745,0.01314752,0.02538071,0.01898455,-0.00728067,0.03047091,0.01195764,-0.00366933,0.02149712,-0.00979681,0.01215953,-0.00895934,0.01213592,0.00923361
2016-07,0.04568043,0.03826323,0.06944444,0.04452777,0.04551539,0.04347826,0.04032543,0.03491993,0.03971119,0.06935976,0.04302708,0.0368272,0.0391468,0.04239521
2016-06,0.0342766,-0.00810154,-0.0128791,0.03482953,0.04686243,-0.00097371,-0.00739958,0.01777575,0.03981559,0.03301512,0.0433626,-0.0021322,-0.00675169,-0.00927909
2016-05,-0.01411488,-0.01855779,0.00710405,-0.00488998,-0.02375344,-0.03690037,-0.0166205,-0.02227171,-0.00869925,-0.03733333,-0.0319423,-0.01003584,-0.01404287,-0.01615169
2016-04,-0.00546555,0.0339404,0.00968829,-0.00146915,0.00277613,0.02065728,0.03196839,0.01713894,-0.01026905,-0.00720516,0.00855365,0.07807571,0.02934422,0.03185023
2016-03,0.07421305,0.05149597,0.07496653,0.08105981,0.07484714,0.06268657,0.05561819,0.06725146,0.07732981,0.07203219,0.08658982,0.06620808,0.05500668,0.05324544
2016-02,0.00021501,-0.02115329,-0.03686036,0.00843308,0.00759878,0.00611621,-0.02117202,-0.01166253,0.00248419,-0.00367647,-0.00116347,0.10735586,-0.02198391,-0.02043423
2016-01,-0.04048252,-0.03725327,-0.08776167,-0.05130863,-0.029653,-0.11669659,-0.03876812,-0.01441838,-0.03312405,-0.03883106,-0.02720898,-0.1088314,-0.03955818,-0.03792513
2015-12,-0.03078107,-0.03904612,-0.02513534,-0.05045433,-0.02865101,-0.04293972,-0.03901437,-0.02400739,-0.0318976,-0.0408936,-0.04215763,-0.10189573,-0.03484405,-0.03166473
2015-11,-0.03088512,-0.02330399,-0.04079299,-0.03416004,-0.04034918,-0.03451043,-0.01933514,-0.01652513,-0.04307632,-0.01351859,-0.04100228,-0.04027885,-0.0219066,-0.02365641
2015-10,0.06569046,0.06196166,0.07901338,0.08583141,0.05554408,0.13972603,0.06293198,0.05193533,0.06870066,0.0531615,0.05495103,0.0765391,0.06272586,0.06005415
2015-09,0.02192982,-0.00938967,-0.0212766,0.01951992,0.01002925,0.07905138,-0.00797969,-0.00829673,0.03178808,-0.01125854,0.01528202,-0.11447563,-0.00745885,-0.00515337
2015-08,-0.0859043,-0.06951341,-0.07635285,-0.09055027,-0.09373856,-0.11705686,-0.07196353,-0.0712563,-0.0859268,-0.04925373,-0.07907092,-0.09067189,-0.07328878,-0.06931567
2015-07,-0.06353262,-0.00808427,-0.00072622,-0.05354059,-0.03951682,-0.08251325,-0.00675241,-0.02805315,-0.07764915,-0.02077364,-0.06672719,-0.13351801,-0.00773959,-0.01042798
2015-06,-0.04102396,-0.02755811,-0.03119523,-0.04149378,-0.03183426,-0.07941989,-0.02823972,-0.01994184,-0.0391282,-0.02906162,-0.02740937,-0.14367542,-0.0258467,-0.02449414
2015-05,-0.03625712,-0.01941975,-0.01006246,-0.03258697,-0.04003228,0.01846591,-0.01929556,-0.00983808,-0.0359331,-0.03502335,-0.04001694,-0.06291834,-0.01726021,-0.01670495
2015-04,0.05405405,0.03923492,0.04890511,0.06932185,0.04905983,0.1028481,0.04514673,0.02880136,0.05631579,0.03283788,0.05801664,0.09216363,0.03956999,0.03982495
2015-03,-0.0013541,-0.01437622,-0.01222582,0.00456323,-0.01690046,0.04898649,-0.01627833,-0.01969411,-0.00052966,0.05592105,-0.01282628,-0.0543835,-0.01475931,-0.01499022
2015-02,0.01448276,0.04092527,0.07463264,0.01323463,0.02526389,0.02432667,0.04260985,0.0374621,0.02857663,0.02177068,0.02489053,0.09767442,0.04461319,0.04234601
2015-01,0.0211129,0.00258465,0.00154919,0.02380952,0.01052819,0.01140351,0.00169205,0.01895629,0.01578057,0.05992218,0.00922204,-0.06170421,0.00362056,0.00554529
2014-12,-0.00548867,-0.0366246,-0.01484018,0.00880853,-0.00283186,-0.03125,-0.03155498,-0.02673797,0.00223672,0.01376869,-0.02623175,0.00694789,-0.03481086,-0.03426791
2014-11,0.00595864,0.00719782,-0.00816933,0.00779459,-0.00908935,-0.00246914,0.00850507,0.01248386,0.00648268,-0.01509434,-0.00646744,-0.0320632,0.00650709,0.00400267
2014-10,0.04230979,0.01120239,0.04895914,0.05028599,0.04100669,0.03187919,0.0128163,0.02071974,0.03094924,0.02054013,0.02498297,-0.06652268,0.01494978,0.01159162
2014-09,-0.06279303,-0.04860949,-0.05623648,-0.06011892,-0.06906615,-0.07322654,-0.05107692,-0.03979275,-0.05899912,-0.05730456,-0.07230164,-0.15787611,-0.04974797,-0.0501987
2014-08,0.01334685,0.01470937,0.01360294,0.01026425,0.02315509,-0.01067887,0.01373712,0.0150975,0.01619217,0.03591954,0.02526539,-0.03638254,0.01469279,0.01507431
2014-07,0.02010399,-0.02376009,0.00708427,0.02949122,0.01831251,0.01081917,-0.02070015,-0.0255102,0.01858601,0.01760176,0.0017149,0.01470588,-0.02337662,-0.02576788
2014-06,0.01796833,0.01439698,0.04540117,0.00318327,0.00589971,0.02396166,0.01493466,0.01332501,0.01380082,0.01008592,0.02029113,0.02817417,0.01349856,0.01434297
2014-05,0.03343184,0.01658255,0.03855519,0.03652751,0.01866999,-0.00560448,0.01424501,0.00994709,0.03254552,0.02801228,0.026806,-0.05522955,0.01715963,0.01768003
2014-04,-0.00350748,0.00971109,-0.00398724,-0.0002381,0.01100884,-0.0482389,0.01188946,0.00923341,-0.00675285,0.00271528,-0.00068182,0.01331465,0.00821168,0.00564604
2014-03,0.02529705,0.02454295,-0.00677561,0.03488662,0.03711379,-0.02998501,0.02553897,0.04449438,0.02122972,0.02945924,0.05067568,-0.00212766,0.02494118,0.02487674
2014-02,0.06213436,0.0781457,0.05921882,0.0576121,0.06383399,0.06046142,0.07851385,0.08752683,0.06960951,0.11000902,0.06108026,0.05945347,0.07568238,0.07563224
2014-01,-0.04163512,-0.0420398,-0.05477855,-0.05841346,-0.05114476,-0.06023222,-0.03580902,-0.04206758,-0.03895072,-0.06145023,-0.04665885,-0.02563202,-0.03865074,-0.03708668
2013-12,0.01223355,0.025,-0.00153315,-0.01988117,-0.00413223,-0.01402525,0.02430093,0.01833222,0.00657513,0.03167421,0.01773376,-0.0330494,0.02880756,0.02451091
2013-11,0.01087558,0.00749438,-0.00608828,0.02082358,-0.00740088,0.02556818,0.0073114,-0.00687514,0.01356064,-0.00596896,-0.00472335,-0.05308328,0.00750821,0.00763359
2013-10,0.01579838,0.02704772,0.01995305,0.01845195,0.01803894,0.01756955,0.02754165,0.0248139,0.03741702,0.01617469,0.02204869,-0.04205749,0.02663148,0.02940501
2013-09,0.05573506,0.0550882,0.05079885,0.03550743,0.04197391,0.05572998,0.05335256,0.0594894,0.05077121,0.07086614,0.06316837,0.0353125,0.05880849,0.05800294
2013-08,-0.03750245,-0.02912881,-0.02987485,-0.00626723,-0.0303143,-0.00079177,-0.02665245,-0.05064457,-0.03402212,-0.01563198,-0.04019254,-0.01021059,-0.03217697,-0.03178425
2013-07,0.0193168,0.03853727,0.02867988,0.04924142,0.02074529,0.03529412,0.0365399,0.00986379,0.02920814,0.05137964,0.00987654,0.01104972,0.03613822,0.03796507
2013-06,-0.06419048,-0.04334869,-0.00851064,-0.06602847,-0.05382797,-0.07829457,-0.04343144,-0.05317478,-0.07474382,-0.08301241,-0.06878307,-0.12288383,-0.04262379,-0.04529956
2013-05,-0.02675207,-0.02343542,-0.03732252,-0.02407002,-0.06032684,0.02564103,-0.02053824,-0.03722246,-0.01655695,-0.05375462,-0.03381425,0.06157635,-0.02431687,-0.02540748
2013-04,0.03210921,0.04589439,0.08152645,0.0226378,0.04954792,0.03181077,0.04323928,0.02262644,0.03486464,0.01239669,0.02352135,-0.02438308,0.04872329,0.0447205
2013-03,-0.01740921,0.00660975,-0.00212134,-0.02004773,-0.00499198,-0.02287066,0.00876872,-0.00547046,-0.0251535,-0.01403799,-0.01251117,-0.06606044,0.00648677,0.01019647
2013-02,-0.01129211,-0.02156916,-0.00421763,-0.00498221,-0.01178333,-0.05373134,-0.02145923,-0.02750159,-0.01350822,-0.01629328,-0.02233414,-0.07362558,-0.02231803,-0.02091948
2013-01,-0.02077638,0.00990099,-0.00801688,-0.040933,-0.00581293,-0.00817236,0.01203501,-0.0044738,-0.03358634,0.00246711,-0.02220785,-0.04365079,0.00799381,0.0084221
