Week,AAXJ,ACWX,ADRA,AIA,AXJL,CHIQ,CWI,DNL,EEMA,FPA,IEMG,REMX,VEU,VXUS
2019-21,0.00320317,0.00044326,-0.00270544,0.0010506,0.0007734,-0.01087695,0.00172563,-0.00383142,0.0016,-0.02129145,0.01283378,-0.00134771,0.00081666,0.00019724
2019-20,-0.00501825,0.00088222,-0.01337345,-0.00936037,-0.00230769,-0.02491582,0.00028604,-0.00036258,-0.01225919,-0.00627396,-0.0033092,0.00963524,0.00223532,0.00117739
2019-19,-0.00075267,0.00909091,0.00797342,-0.00648907,0.00512582,0.00985545,0.01036269,0.01275743,-0.0059918,0.01623147,-0.00695439,0.02237136,0.00898693,0.00947119
2019-18,-0.03575435,-0.01761834,-0.0306574,-0.0288,-0.02026927,-0.0406942,-0.01792609,-0.01338898,-0.03604531,-0.02844712,-0.03029722,-0.01484099,-0.01818893,-0.01683374
2019-17,0.00842541,0.00441919,0.00808709,0.00724866,0.00306704,0.01754386,0.00437637,0.00276434,0.00827406,0.00065725,0.00623701,0.00690608,0.00329649,0.0031865
2019-16,-0.00811443,-0.00336417,0.00156593,-0.00928841,-0.00655594,-0.0155351,-0.00382409,-0.00431555,-0.00906997,-0.01215905,-0.00937734,-0.04676489,-0.00368146,-0.00355739
2019-15,0.00909091,0.00484823,0.00466418,0.01167929,0.00276243,0.02701116,0.00493016,0.00276769,0.00502874,-0.01459144,0.0088429,-0.00311333,0.00466291,0.00412835
2019-14,0.00315198,0.00253165,0.00186916,0.00472515,0.00217865,0.00347423,0.00274123,0.00347524,0.00043011,0.00322373,0.00018748,-0.01334951,0.00233508,0.00395257
2019-13,0.02022033,0.01066553,0.00375235,0.02667952,0.01336466,0.01882353,0.01165049,0.01625729,0.0229264,0.00258148,0.01656827,0.01418877,0.01081825,0.01084269
2019-12,0.01551501,0.008061,0.01463891,0.00957728,0.01218228,0.03219814,0.00907029,0.00903996,0.00985222,0.00995685,0.00858202,0.03285151,0.0080402,0.00874636
