Week,AADR,COPX,ECON,EDC,EEM,EEMS,FAN,FLN,FM,FONE,FPA,GDXJ,HILO,ICLN,IEMG,KOL,LIT,PBD,PICK,SIL,SLVP,SLX,SOCL,SOIL,TLTE
2019-21,0.00436681,-0.00270416,0.00465549,0.03975293,0.01197306,0.00188235,-0.01086957,0.02645228,0.0056042,0.00345274,-0.02129145,0.01749375,-0.00382263,0.0,0.01283378,-0.00237718,-0.00282372,-0.00587741,-0.00834492,0.02092812,0.01570681,-0.01646542,0.00032227,-0.01346801,0.01042092
2019-20,0.02072193,-0.03518908,-0.00785582,-0.01305031,-0.00423729,0.00333254,0.01497242,0.0197861,0.01106748,-0.00192719,-0.00627396,-0.009487,-0.00229533,0.00507614,-0.0033092,-0.00316957,-0.01775148,0.00847458,-0.004851,-0.00357302,-0.02176697,-0.00873839,-0.01420903,-0.01108647,-0.00490697
2019-19,0.01327036,0.00469729,-0.00091785,-0.02416553,-0.00714638,0.0,0.01260835,-0.01535204,0.00574506,0.00488115,0.01623147,-0.0177717,0.00230769,0.00816327,-0.00695439,-0.00941176,-0.01687117,0.01269036,0.0111576,-0.02207792,-0.02484472,0.01759208,0.00530587,0.00553097,-0.0088835
2019-18,-0.01044614,-0.03896104,-0.02351916,-0.09306344,-0.03070884,-0.01995516,-0.00765697,-0.01429301,0.00348675,-0.0315831,-0.02844712,-0.003861,-0.03118202,0.00198807,-0.03029722,-0.01855976,-0.02545715,-0.00408497,-0.02173197,-0.03663158,-0.02334152,-0.01708959,-0.03009056,-0.00853789,-0.02390892
2019-17,0.00584795,-0.02969392,0.00907912,0.0183984,0.00568569,0.00842572,0.00075758,0.00100857,0.02167733,0.01098686,0.00065725,-0.03103683,0.00432277,0.00988142,0.00623701,-0.00802334,0.01872524,0.00483481,-0.00869285,-0.02097902,-0.02145411,0.00876063,0.00992411,-0.02171665,0.00557
2019-16,0.01411557,-0.04555315,-0.00345572,-0.03047729,-0.00880958,-0.01698976,-0.00378501,0.0,-0.01291449,0.00039139,-0.01215905,0.04005525,0.0,0.0019802,-0.00937734,-0.00794798,-0.03639515,-0.00641026,-0.0311042,0.01600328,0.02524038,-0.02593152,0.01380967,-0.00514933,-0.01464397
2019-15,-0.00611754,0.01085541,0.00648789,0.02797446,0.00974394,0.00217155,-0.00302115,-0.00301356,-0.00864753,0.01281798,-0.01459144,-0.04397026,0.00645161,0.00099108,0.0088429,0.00658376,0.00310666,0.00563607,-0.00431433,-0.0356025,-0.04519774,-0.00837232,-0.00270351,0.01142264,0.00676912
2019-14,-0.01417526,-0.00216263,0.00344828,-0.00534881,-0.0009009,0.00021749,-0.00754148,-0.03573177,-0.00620048,-0.0029756,0.00322373,-0.03562577,-0.00638298,-0.00693756,0.00018748,0.0036523,-0.01052274,-0.00321802,-0.01001517,-0.03824522,-0.04684096,-0.03699312,0.00390977,-0.00519211,0.00182382
2019-13,0.01352826,0.02006242,0.01705291,0.05073591,0.01764841,0.01030476,0.01221374,0.01147705,0.0,0.02318487,0.00258148,0.0301361,0.00354862,0.02538071,0.01656827,-0.00798838,0.01557632,0.02310231,0.01560549,0.0165321,0.01791713,0.01499758,0.02434515,0.01487779,0.01795964
2019-12,0.00909293,0.02725564,0.01255605,0.02637334,0.00917,0.00581135,0.01163693,-0.00151668,-0.00454704,0.01353321,0.00995685,-0.05227001,0.0050578,0.01455301,0.00858202,0.00222222,0.0187185,0.00757576,0.01702128,-0.04727535,-0.04288703,0.02512176,0.00504096,0.01091703,-0.00262861
2019-11,-0.01695652,-0.01204261,-0.02928322,-0.07809137,-0.02594123,-0.03005881,-0.02050114,-0.04738878,-0.01283831,-0.01221001,-0.00524246,0.0228125,-0.026038,-0.02920443,-0.02630074,-0.01235465,-0.02236198,-0.02289452,-0.0192864,0.02525443,0.03748622,-0.03887101,-0.00406504,-0.03361345,-0.0244128
2019-10,0.01955556,0.0094518,-0.00438596,0.04581236,0.0155587,0.01000667,0.01705426,0.02148926,0.01021486,0.01267401,0.01131071,0.00999688,0.0181686,0.01131687,0.01604697,0.00294118,-0.00209205,0.00495458,0.00955834,0.01526135,0.02113459,0.00888325,0.00788644,0.02813853,0.01302378
2019-09,-0.02604509,-0.04757548,-0.01150442,-0.06466395,-0.0213866,-0.00804649,-0.00933126,-0.02437811,-0.01157895,-0.02608696,-0.02188827,0.02768056,-0.01885424,-0.02162719,-0.01875733,-0.03244412,-0.0377551,-0.03802589,-0.02515518,0.00574273,0.01698754,-0.0474063,-0.01176845,-0.03259727,-0.02642429
2019-08,-0.01098191,-0.03374778,-0.01826087,-0.07083432,-0.02366728,-0.00799645,-0.003861,-0.04337464,-0.02371949,-0.01309865,-0.02208,-0.05386699,-0.0240113,-0.01223242,-0.02295772,-0.01920341,-0.02301118,-0.00643087,-0.0198973,-0.06168831,-0.07620042,-0.02069637,-0.01013942,-0.02070393,-0.02137461
2019-07,0.01295849,0.04903347,0.0151044,0.04497117,0.01461575,0.00653006,0.00310078,0.00430005,0.0059151,0.01663508,0.01104972,-0.01397787,0.01822157,0.01034126,0.01530312,0.01516245,0.02938127,0.02402651,0.02444665,-0.0007228,0.02342918,0.03348554,0.00544872,0.01051525,0.01361573
2019-06,0.03414523,0.03476071,0.00313199,0.00381027,0.00166587,0.00754113,0.0166799,0.02594224,0.01763668,0.02220785,0.00864074,0.03486181,0.00445434,0.01479915,0.00217692,0.00961538,0.01307883,0.02401372,0.02853214,0.01669829,0.00776053,0.0293578,0.00259319,0.02065217,0.00673206
2019-05,-0.00563444,-0.01178203,-0.01332149,-0.05056249,-0.01564324,-0.00607151,-0.01799687,-0.04253352,0.01286174,0.00152273,-0.00768974,-0.00431167,-0.01528384,-0.01159115,-0.01534279,-0.04019746,-0.02107081,-0.01017812,-0.02247568,-0.00518903,0.0,-0.02857143,-0.02599049,-0.02222222,-0.01302378
2019-04,0.03534884,0.04575835,0.02178847,0.06965306,0.02394636,0.02184913,0.04560261,0.04206963,0.00711238,0.00964067,0.0229688,0.04987212,0.01846381,0.0371179,0.02411319,0.01582734,0.02778767,0.02453988,0.05291005,0.0438835,0.06682298,0.03954352,0.02457405,0.00106724,0.02720031
2019-03,0.02132701,0.03654661,0.02073733,0.09971671,0.03355376,0.02735562,0.02840434,0.03838485,0.02177068,0.03851382,0.02596953,0.03658537,0.02466368,0.0418552,0.03154253,0.02724595,0.01438849,0.04181818,0.02589571,0.03955954,0.03780488,0.02997347,0.03268194,0.01725998,0.03257847
2019-02,0.01419446,0.03144654,0.03314659,0.08937975,0.02871998,0.00909939,0.0169348,0.01140307,0.01787669,0.02726231,0.01356994,-0.04306688,0.02022472,0.01129944,0.02816033,0.03958178,0.00676157,0.0099728,0.02695991,-0.03961165,-0.04994193,0.03268149,0.05100993,0.01824034,0.0277666
2019-01,0.02075382,0.02186667,0.0316395,0.06943385,0.02388135,0.01389543,0.02592913,0.03247423,0.02187616,0.01810165,0.01912181,-0.00421804,0.01053424,0.03733956,0.02252346,0.02900763,0.01945946,0.03277154,0.01979129,0.0027027,0.00460829,0.02563403,0.01515152,0.01956522,0.02502564
2019-00,0.0339406,0.01583834,0.02749141,0.04326923,0.01612903,0.01554652,0.00527241,0.08121547,0.02868069,0.00234082,0.02030269,0.03507611,0.01605505,0.02905569,0.01463415,0.04458599,0.01037806,0.01055662,0.01853225,0.03916867,0.04316547,0.05051665,0.03411978,0.02480271,0.01397289
2018-51,0.04086413,0.02309859,0.0245491,0.08169207,0.02830189,0.01776156,0.02270663,0.02304666,0.00458891,0.02350684,0.01603281,-0.01472557,0.01079414,0.02746567,0.02672751,0.02363488,0.04181185,0.0239521,0.02894136,0.00200723,0.00977995,0.02837718,0.03721805,0.04122497,0.0271026
2018-50,-0.0594894,-0.04329004,-0.00987654,-0.03152279,-0.00925926,-0.00864969,-0.05102041,0.00784314,-0.02620741,-0.05751015,-0.02818937,0.01153443,0.0015444,-0.04970414,-0.00960717,-0.04478764,-0.06314663,-0.04972376,-0.02615101,-0.00204165,0.00123001,-0.02960248,-0.05679012,-0.03699552,-0.00774221
2018-49,-0.00445487,0.01195003,0.02090592,0.0251046,0.00925926,0.01644498,0.00940171,0.01692047,-0.00479882,0.02930403,0.0164054,0.00036193,0.01396431,0.00348028,0.01004059,0.02163833,-0.01267992,-0.00454545,0.02268431,0.03095844,0.02994792,-0.00112139,0.01773296,-0.01416122,0.01066946
