Month,CBND,CORP,GSY,IGIB,IGSB,LQD,PFIG,QLTA,SPIB,SPLB,USIG,VCIT,VCLT,VCSH
2017-03,0.0010166,0.00230705,0.0020982,0.00319234,0.00181708,0.00303253,0.00335993,0.00144778,0.0021645,0.0057923,0.00418077,0.0040201,0.0004902,0.00159681
2017-02,0.01027397,0.0093872,0.0014709,0.00781877,0.00283229,0.01445649,0.00716695,0.01314691,0.00837209,0.02382943,0.00960576,0.01177215,0.02353967,0.00360433
2017-01,-0.00170999,0.00454738,0.00147337,0.00462684,0.00283918,0.00055566,0.00210349,-0.00104145,0.00403601,0.00250522,-0.00040072,0.00456737,-0.00061912,0.00442419
2016-12,0.00414794,0.01657696,0.00168634,0.00444534,0.0026412,0.01400508,0.00254345,0.00610013,0.00311526,0.02655246,0.01258883,0.00856449,0.03003579,0.00497914
2016-11,-0.01957476,-0.02891791,0.00063264,-0.02017804,-0.00444804,-0.03044857,-0.02072968,-0.0255102,-0.02037713,-0.05226904,-0.02637795,-0.02933168,-0.04709576,-0.00944651
2016-10,-0.00468071,-0.0047369,0.00126716,-0.00276189,0.00020222,-0.01242403,-0.00535641,-0.00989299,-0.00242498,-0.01977848,-0.00915109,-0.00748834,-0.02042262,-0.00079766
2016-09,-0.00099767,-0.00347293,0.0012685,0.00078864,-0.00020202,-0.00319829,0.00123813,-0.00281237,0.00181324,-0.00664322,-0.00252085,0.00073611,-0.00257883,-0.00066401
2016-08,0.00568752,0.00410298,0.00211954,0.00118203,0.0002021,0.0075188,0.0,-0.00040177,0.00120846,0.01786423,0.00662252,0.00098365,0.00897073,0.00146354
2016-07,0.00943078,0.00835482,0.00233694,0.0047384,0.00060618,0.007713,0.00789037,0.0056463,0.00453035,0.01673974,0.00624878,0.00790807,0.01486503,0.00092999
2016-06,0.02140884,0.02540391,0.00085106,0.01527331,0.00692042,0.03018482,0.01559865,0.02254861,0.01938462,0.04294737,0.02349398,0.025,0.04692414,0.0122625
2016-05,0.00381812,-0.00074247,0.00234542,-0.00080289,-0.0002035,-0.00388853,0.00042141,-0.00268651,-0.00091968,0.00552017,-0.00080354,-0.00139558,0.00062972,-0.00040409
2016-04,0.01334738,0.01136729,0.00256684,0.00504439,0.00367722,0.01226133,0.0072095,0.01062943,0.00645756,0.02237522,0.01095557,0.00846045,0.01761552,0.00297137
2016-03,0.02516175,0.02309977,0.0027885,0.01726264,0.00595605,0.04177265,0.02124892,0.02700965,0.02038257,0.06359447,0.03014444,0.02459555,0.06536305,0.0135635
2016-02,0.00939306,0.02024747,-0.00107135,0.00826959,0.00247168,0.01380943,0.00743657,0.0149286,0.01132788,0.02143523,0.01119088,0.01398508,0.01342375,0.00329399
2016-01,-0.00215672,0.00744501,0.00042891,0.00622794,0.00185605,0.00177288,0.0,0.00847826,0.0040842,-0.00092807,0.00232313,0.00333067,-0.00220295,0.00274952
2015-12,-0.01639344,-0.0147581,0.00021436,-0.00741198,-0.00185261,-0.01817127,-0.0043535,-0.00905172,-0.01428128,-0.01999091,-0.01271628,-0.01121224,-0.02243418,-0.00383194
2015-11,0.00322581,0.00122974,0.00064336,-0.00144211,-0.00102817,0.00273411,0.00349803,0.0019527,-0.00031075,-0.01226715,-0.0006284,0.00199097,0.00095057,-0.00068484
2015-10,0.00395826,0.00437024,0.0,0.00247627,0.00185414,0.00596635,0.00523789,0.00915631,0.00248756,0.01425943,0.00651534,0.00357948,0.0070864,0.00233132
2015-09,0.00835756,0.00281246,0.0,0.00415024,0.00061868,0.00580309,0.00218914,0.00481928,0.0053009,0.00324224,0.00506864,0.0123374,0.00798678,0.00343643
2015-08,-0.01078749,-0.01102695,0.00064378,-0.00454733,0.0,-0.01057372,-0.01043025,-0.00914037,-0.00434378,-0.01959891,-0.01297343,-0.01066524,-0.02656777,-0.00343359
2015-07,0.01130562,0.01416591,0.00107388,0.00540428,0.00020644,0.01161406,0.0136144,0.01556593,0.00435323,0.03102962,0.01167728,0.00496444,0.03060369,0.00469224
2015-06,-0.01041293,-0.01356158,0.00042974,-0.00597938,-0.00020627,-0.01337499,0.00262812,-0.01463521,-0.00493523,-0.0246238,-0.0123302,-0.00835765,-0.02869518,-0.0037093
2015-05,-0.00886525,-0.00220994,0.00193757,-0.00041135,0.0,-0.00579151,0.00174292,-0.00325521,-0.00122587,-0.01641526,-0.00724338,-0.00342285,-0.01663147,0.00068672
2015-04,-0.00837404,-0.00829694,0.00043076,-0.00286709,0.00061932,-0.01475456,-0.01118761,-0.01237994,-0.0021309,-0.03683319,-0.0114053,-0.0049576,-0.03046776,-0.00164586
2015-03,0.00527983,0.00883978,0.00215983,0.00598926,0.00289915,0.01064136,0.00786026,0.00843061,0.00706171,0.00905563,0.00906469,0.00833113,0.01662122,0.00414079
2015-02,-0.01351351,-0.0111641,0.00151351,-0.0022578,-0.00041382,-0.01507067,-0.00519931,-0.00745951,-0.00788357,-0.02370062,-0.0109356,-0.01080729,-0.03124225,-0.00151453
2015-01,0.02959002,0.02431982,0.00021645,0.01603499,0.00290637,0.03380473,0.01898455,0.02439024,0.01598033,0.05102486,0.0248911,0.02676301,0.04817556,0.01028778
2014-12,0.00574094,0.00257357,-0.00021654,-0.00270495,-0.00103648,0.0033161,-0.00220361,0.00682068,-0.00337734,0.01702509,0.00859899,0.00147909,0.02261777,-0.00152545
2014-11,-0.00324207,0.00461296,0.0,0.00690521,0.00186916,0.01110456,0.00574459,0.00640459,0.00461396,0.0139514,0.00694883,0.01028278,0.00656925,0.00333797
2014-10,-0.00108108,0.00485437,0.00021678,0.00314136,0.00166251,0.00621731,-0.001766,0.00332005,0.00338566,0.00768188,0.00677249,0.00501627,0.00892254,0.00180907
2014-09,-0.00539568,-0.01067416,0.0,-0.00585529,-0.00083126,-0.01206474,-0.00353513,-0.0059761,-0.00399508,-0.01439496,-0.00990516,-0.00852273,-0.01935744,-0.00222841
2014-08,0.01676996,0.01451741,0.00108507,0.00503356,0.00062357,0.01475978,0.00756564,0.01247494,0.00214264,0.02879342,0.01296769,0.0108888,0.0277512,0.00125383
2014-07,0.00109769,-0.00159272,-0.00108436,-0.00210084,-0.00166216,0.00069749,-0.00622222,0.0024603,-0.00367872,0.00971323,0.00234792,0.00136799,0.00524644,-0.00139353
2014-06,0.00511322,0.00559105,0.00173762,0.00189274,0.00124766,0.00568976,0.00311943,0.00380569,0.004914,0.00881671,0.00427442,0.0050678,0.00580752,0.00125558
2014-05,0.01109878,0.01230875,0.00043459,0.00868276,0.00249896,0.01083685,0.008524,0.00380824,0.00832819,0.00883721,0.00945626,0.01145776,0.01197271,0.00433809
2014-04,0.01007839,0.01329136,0.00086994,0.0072603,0.00146016,0.01576254,0.00953246,0.00908265,0.00683442,0.02744343,0.01245357,0.0109152,0.03255679,0.00492611
2014-03,0.00186846,-0.00197605,0.00021763,-0.00212947,-0.00104167,-0.00285074,-0.00720721,-0.00407056,-0.00277949,0.00629235,-0.00109075,-0.00265178,0.0034622,-0.00266517
2014-02,-0.00112655,0.01107446,0.00108956,0.00385027,0.00125156,0.00502667,0.00544959,0.00570776,0.00619963,0.00981354,0.00770925,0.00704622,0.00247057,0.00267154
2014-01,0.02243714,0.01630304,0.00152772,0.00778547,0.00167294,0.01690289,0.01201479,0.01488026,0.01000938,0.02496179,0.0152706,0.01832083,0.03372835,0.00566251
2013-12,-0.00422914,-0.03694695,0.00065516,-0.00021664,0.00062722,0.00688413,-0.00277008,0.00209839,-0.00684718,0.00722767,0.0009005,-0.00201962,0.01077918,0.00028293
2013-11,-0.00381971,0.0015022,0.00153139,0.00043271,0.00146597,0.00137218,-0.00230203,0.00303313,-0.00248062,-0.00868677,0.0022477,0.00028777,-0.00428331,0.00382762
2013-10,0.019516,0.01924431,0.0030722,0.01135867,0.00252048,0.01909461,0.0130172,0.01317957,0.01410658,0.03569554,0.01454215,0.01251091,0.0262418,0.00986701
2013-09,0.00742478,0.01354563,0.00109697,0.01193898,0.00442945,0.01138088,0.01937618,0.01261304,0.01232227,0.01111111,0.01241665,0.01852126,0.01440101,0.00762042
2013-08,0.00670876,0.00380364,0.00021925,-0.00307692,0.00063238,-0.00204719,-0.00935016,-0.0042503,-0.00157183,-0.00261506,-0.00661044,-0.00732386,-0.00281646,-0.00143451
2013-07,-0.0011705,0.00724896,0.00241705,0.00660357,0.00337909,0.00851568,0.00983607,0.00614222,0.00156642,-0.00669068,0.00478578,0.00674982,0.0021692,0.00590608
2013-06,-0.03632236,-0.03282654,-0.00087719,-0.01774892,-0.00357594,-0.03018552,-0.02110092,-0.02426624,-0.02177246,-0.04270109,-0.02755556,-0.02974403,-0.04673314,-0.00787064
2013-05,-0.02751284,-0.02857783,0.00065833,-0.0142705,-0.00021035,-0.03646253,-0.02203237,-0.03069684,-0.01416943,-0.05810684,-0.0299569,-0.03249896,-0.06266611,-0.00639023
2013-04,0.01232723,0.01793466,0.00153846,0.00817204,0.00253165,0.02318841,0.01001365,0.01205093,0.00881191,0.03716381,0.01824176,0.01964109,0.04326148,0.00427899
2013-03,-0.00410142,-0.00239589,0.00220264,0.00172302,-0.00063184,-0.00268041,0.003663,-0.00113766,-0.00060624,-0.01114881,-0.00087873,0.00155455,-0.01689531,0.00128553
2013-02,0.01322252,0.0092219,0.00132392,0.00607244,0.00147679,0.01340314,0.00413793,0.00711825,0.0076266,0.02636816,0.00843507,0.01073729,0.02319013,0.00473934
2013-01,-0.00150489,-0.00844074,0.00176796,-0.0028102,0.00084513,-0.01532291,-0.00686185,-0.01087695,-0.00666061,-0.01896887,-0.01074561,-0.01171158,-0.01856687,0.00143616
