Month,CBND,CORP,GSY,IGIB,IGSB,LQD,PFIG,QLTA,SPIB,SPLB,USIG,VCIT,VCLT,VCSH
2019-05,0.01322418,0.01044892,0.00298983,0.01185699,0.00647742,0.01443403,0.01108911,0.01353965,0.00882872,0.01702443,0.011101,0.01366532,0.01601755,0.00656151
2019-04,0.00950872,0.00878049,0.00239808,0.01012332,0.00458891,0.00808167,0.00715706,0.00407688,0.00591366,0.01351351,0.00732869,0.0083965,0.01137251,0.00468592
2019-03,0.03152421,0.02715926,0.0010002,0.0263059,0.01236476,0.03111072,0.01527945,0.02475248,0.01771772,0.0472103,0.0271892,0.02549744,0.04876071,0.01214834
2019-02,-0.00097434,0.00309845,0.00280899,0.00547273,0.00484778,0.00034907,0.00646204,0.00158384,0.00331325,-0.00194024,0.00300357,0.00514354,-0.00218818,0.00359205
2019-01,0.01885544,0.02475197,0.0040282,0.02589372,0.01136809,0.03041177,0.01886019,0.02243784,0.01961987,0.0343725,0.02221371,0.02642202,0.03544244,0.01271736
2018-12,0.01415571,0.01433766,0.00141243,0.01037791,0.00651787,0.01479452,0.00868127,0.01708522,0.00897833,0.02214022,0.01341108,0.01302891,0.02323022,0.00758864
2018-11,0.00033772,-0.00683159,0.00080775,-0.00254453,-0.00118507,-0.00664724,0.0,-0.00123584,-0.00216718,-0.00898326,-0.00311042,-0.00371793,-0.00864799,-0.00182983
2018-10,-0.01267512,-0.01896604,0.00182076,-0.00913153,-0.0017769,-0.0190826,-0.00412882,-0.01180301,-0.00493218,-0.03287129,-0.01363287,-0.00849231,-0.03322337,-0.00117616
2018-09,-0.00033289,0.00040858,0.00182371,-0.00116279,-0.00039494,0.00044751,-0.00205846,-0.00263531,-0.00030779,0.00039526,-0.00019164,-0.00343348,0.00176554,-0.00013072
2018-08,0.0046729,0.00768994,0.00142045,0.00622689,0.00456078,0.00367647,0.00661978,0.00447427,0.00556931,0.00236967,0.00692707,0.00752622,0.00317348,0.00485692
2018-07,0.00402414,0.00722245,0.00203583,0.00666667,0.00219036,0.01331039,0.0062396,0.01044654,0.00528114,0.01639344,0.00698487,0.00832195,0.0222063,0.00250165
2018-06,-0.00133869,-0.00236894,0.00163232,-0.00117832,0.0,-0.00297941,0.00041511,-0.00204332,0.00155424,-0.00833333,-0.00213675,0.00012418,-0.00722663,0.00079093
2018-05,0.00672495,0.00673296,0.00204374,0.00574257,0.00340886,0.00799346,0.00920117,0.00988671,0.00530587,0.00678643,0.00665883,0.00736671,0.00844936,0.00449735
2018-04,-0.01030585,-0.01184641,0.00184313,-0.00570305,0.00040096,-0.01516638,-0.0057971,-0.01057555,-0.00496124,-0.02442807,-0.01005803,-0.01048477,-0.02497976,-0.00092434
2018-03,0.002664,0.00143193,0.00225919,0.00137822,0.00040136,0.00664213,-0.00330579,0.00265144,0.00062093,0.01374166,0.00271581,0.00172968,0.01170275,0.00026413
2018-02,-0.00923178,-0.01551481,0.00123431,-0.0060701,-0.00240385,-0.01804895,-0.00740436,-0.01427136,-0.00739827,-0.03263757,-0.01246405,-0.01136919,-0.02869457,-0.00447486
2018-01,-0.00261694,-0.00608115,0.0016488,-0.00640901,-0.00159936,-0.00566548,-0.00977199,-0.00715421,-0.00641809,-0.00187617,-0.00626067,-0.00916988,-0.00145805,-0.00301521
2017-12,0.00098007,0.00640064,0.00165187,0.00058219,0.00019984,0.00908614,0.00326397,0.00576885,0.00061106,0.01432881,0.00417854,0.0027761,0.01351047,-0.0005239
2017-11,-0.00229133,-0.00340306,0.00144688,-0.0021322,-0.00219342,-0.00279671,-0.00285365,-0.00238949,-0.0033557,0.00190621,-0.00209404,-0.00277309,0.00090909,-0.00248366
2017-10,0.00295664,0.00372009,0.00144928,0.00019433,0.00079888,0.00096381,0.00163132,0.00239712,0.00183374,0.00614439,0.00095657,0.00229663,0.0061792,0.00065351
2017-09,-0.00424421,-0.00160901,0.00165906,-0.00058252,-0.00079808,0.00343219,-0.00325336,0.0,-0.00121914,0.00579374,-0.00076423,-0.00156834,0.00494936,-0.0001307
2017-08,0.00559763,0.00605266,0.00103864,0.00408719,0.00219956,0.00316567,0.00407498,0.0036,0.0024368,0.00502124,0.00614203,0.00544728,0.00703657,0.00261849
2017-07,0.00198347,0.00958499,0.00166667,0.00805659,0.00361156,0.00980305,0.00617538,0.01114037,0.00890663,0.01257367,0.00970685,0.01141104,0.00959401,0.00460769
2017-06,0.00332557,0.00511561,0.00125261,0.0,0.00040128,0.00455601,0.0028866,0.00425963,-0.0003059,0.00990884,0.00252329,-0.000612,0.01277351,0.00079031
2017-05,0.01212938,0.01201699,0.00146382,0.00711181,0.00261517,0.01653043,0.00747198,0.01003893,0.00738007,0.03269309,0.01219033,0.01176471,0.02892914,0.00489612
2017-04,0.00439486,0.00950392,0.00104734,0.00515668,0.00221685,0.00729661,0.00626566,0.00452675,0.00524529,0.00816993,0.006917,0.00747664,0.00486559,0.00291893
