Name,SR_month,Omega_month,RisknessR_month
IGIB,0.21587995528771528,0.3567508279916093,52.065361525988685
VCSH,0.11173214028541169,0.16346071818594282,49.69636179007685
SPIB,0.19141934531453422,0.29442015120202464,48.53836228036267
CBND,0.21628847739362386,0.3356633072680541,46.04091444085983
PFIG,0.16432588597913067,0.22526106216385133,40.67692131874439
VCIT,0.22958254294133745,0.3318227895659214,40.051393314490994
USIG,0.21901849088495487,0.29273792144491184,39.58841514641438
CORP,0.23609919419013203,0.2878416843354776,37.652362267857164
QLTA,0.19826830132002746,0.28498551705756636,36.14736258339242
LQD,0.23238689644824106,0.3215125535351373,33.52438611172894
VCLT,0.2672825176732294,0.433442695884762,24.86811095509907
SPLB,0.2817600989865754,0.3910848881163611,24.53102272094047
IGSB,0.03170715572920938,0.04503948956130313,18.96091218820007
GSY,-0.4039522402005946,-0.4598623295287627,1.466381283434827e-11
