Week,AMJ,AMLP,AMU,CHIE,DDG,DIG,DUG,EMLP,ERX,ERY,FAN,FCG,FILL,FRAK,FXN,GASL,GEX,GREK,GRID,ICLN,IEO,IEZ,IXC,IYE,KOL,MLPA,MLPG,MLPI,MLPY,NLR,OIH,PBD,PBW,PSCE,PXE,PXI,PXJ,PZD,QCLN,RYE,TAN,VDE,XES,XLE,XOP,YMLP
2019-21,-0.01209677,-0.01226994,-0.01277139,0.0,0.01748931,-0.03358063,0.03601301,-0.0104712,-0.05494505,0.05537785,-0.01086957,-0.02766532,-0.00813835,-0.01775148,-0.02250225,-0.07905983,-0.00482288,0.04572098,-0.01056892,0.0,-0.02305261,-0.02298289,-0.01353478,-0.01699029,-0.00237718,-0.0103211,-0.00999546,-0.01172756,-0.01815182,-0.00972644,-0.02040816,-0.00587741,-0.00761697,-0.02718007,-0.02271404,-0.02071629,-0.01543739,-0.00211566,-0.01336074,-0.02196855,0.00697945,-0.0182598,-0.01450893,-0.01902263,-0.02059154,-0.01932859
2019-20,-0.00948992,-0.01003009,-0.00628141,-0.0198556,0.03622304,-0.07404795,0.07489775,0.00319872,-0.10639361,0.10550354,0.01497242,-0.06654229,-0.03225806,-0.06342991,-0.07018993,-0.19636964,0.00033328,0.01532567,-0.00670991,0.00507614,-0.05626198,-0.07881773,-0.02703524,-0.03642671,-0.00316957,-0.00901917,-0.01724138,-0.00885347,-0.01141925,0.01626016,-0.08360982,0.00847458,0.00146789,-0.09211873,-0.05380435,-0.05862978,-0.09006211,0.00423231,-0.00205339,-0.05220558,0.02040816,-0.03924994,-0.09829488,-0.03386642,-0.07250342,-0.00855131
2019-19,0.01563126,0.02145046,0.01845958,0.00089606,-0.01328502,0.02343187,-0.02394612,0.01334412,0.03416149,-0.03239312,0.01260835,0.00748596,0.01595214,0.01510334,0.01666667,0.02487562,-0.00146151,-0.00253807,0.02006312,0.00816327,0.0178603,0.02142206,0.01701206,0.01228789,-0.00941176,0.01949541,0.01744966,0.02071139,0.03161398,-0.00081087,0.01684636,0.01269036,0.01802133,0.02883625,0.01860974,0.02518469,0.03030303,0.01341176,0.00556962,0.01917526,0.03356529,0.01392659,0.01818182,0.0127085,0.02538248,0.01941748
2019-18,0.0240228,0.02481903,0.02391726,-0.04180887,-0.00123254,-0.00519211,0.0080415,0.00651731,-0.00830484,0.00766729,-0.00765697,0.01109741,-0.01072647,0.00232558,-0.00724055,0.03650794,-0.02574713,-0.03004808,-0.01351351,0.00198807,-0.00551439,-0.04954205,-0.00636943,-0.00315186,-0.01855976,0.03395785,0.01944821,0.02972108,0.02027027,-0.01845971,-0.0502759,-0.00408497,-0.01192982,-0.02502406,-0.01770833,-0.01256039,-0.04258443,-0.01715686,-0.03064592,-0.01038961,-0.00626223,-0.0027704,-0.05072464,-0.00404292,-0.00367893,-0.00501253
2019-17,-0.01363272,-0.01020408,-0.01335029,-0.01791531,0.02846219,-0.06329114,0.06401766,-0.00202347,-0.09139308,0.09296419,0.00075758,-0.05278592,-0.02273804,-0.0488527,-0.0482389,-0.15258856,0.00440061,-0.00700935,0.00348129,0.00988142,-0.03909226,-0.04984177,-0.01896296,-0.0308419,-0.00802334,-0.00807382,-0.02202643,-0.01390758,-0.01650165,-0.00275753,-0.050552,0.00483481,0.01120448,-0.0634058,-0.03392405,-0.03324014,-0.05146036,0.00465426,0.0223703,-0.0418498,0.03310997,-0.03242035,-0.05185825,-0.02886941,-0.05185659,0.00250501
2019-16,-0.01229183,-0.01114488,-0.01447451,-0.02875399,0.03507234,-0.06551932,0.06804734,-0.00080808,-0.09757069,0.10397295,-0.00378501,-0.04267266,-0.03181189,-0.03698435,-0.04793028,-0.11694511,-0.01168792,-0.0162037,-0.00517799,0.0019802,-0.03636944,-0.06050483,-0.0304248,-0.03269901,-0.00794798,-0.00804598,-0.0074791,-0.01157614,-0.00819672,-0.00411926,-0.06486486,-0.00641026,0.003159,-0.05821918,-0.03649635,-0.04197678,-0.06510417,-0.00555309,-0.00755073,-0.03037037,0.00908373,-0.03468333,-0.06736167,-0.03483457,-0.05154639,0.00302267
2019-15,-0.0229249,-0.02012072,-0.02071563,-0.00648824,-0.00085948,-0.0018862,0.00141884,-0.01247485,-0.00126743,-0.00026455,-0.00302115,-0.01818182,0.00469484,0.00146413,-0.00447761,-0.05269608,0.01360856,-0.00346821,0.01910408,0.00099108,0.00311782,0.00266464,0.00116788,0.0005475,0.00658376,-0.0194508,-0.02400698,-0.02041722,-0.02113821,-0.02223926,0.00614525,0.00563607,0.01786352,-0.01156584,-0.01290323,-0.00667678,0.00679348,0.01441117,0.00660689,0.00151918,0.01496764,-0.00055042,0.00922045,0.00044669,-0.00841646,-0.01009082
2019-14,0.00236967,0.00100705,0.0031348,-0.00238284,0.00434216,-0.01136364,0.01044993,0.00362611,-0.01793722,0.01532987,-0.00754148,0.00793651,-0.00465549,0.05026657,0.00670641,0.018226,0.00676299,0.01779359,0.00219732,-0.00693756,0.03367398,-0.00978547,-0.00749928,-0.00540833,0.0036523,-0.00113895,0.00832238,0.00354767,0.00327869,0.00638298,-0.01046832,-0.00321802,-0.00529661,-0.01048035,0.01491795,0.00575061,-0.01196809,0.00614474,-0.00424528,0.01998847,-0.0144173,-0.00468155,-0.01477833,-0.00515388,0.01342491,-0.00150981
2019-13,0.00276461,0.0,0.0,-0.00875796,-0.00772864,0.01636249,-0.01724138,0.00483871,0.02368866,-0.02628812,0.01221374,0.00057143,0.00566305,0.00852713,0.01599391,0.00123609,0.02233407,0.01080432,0.02917232,0.02538071,0.00916653,0.01386215,0.00968026,0.00821918,-0.00798838,0.0,-0.00694143,0.00044228,0.01497504,-0.00250385,0.01352113,0.02310231,0.03827751,0.02710027,0.02464066,0.01101928,0.02176871,0.02190632,0.03221083,0.00914753,0.05084746,0.00937879,0.01422594,0.00925511,0.02053256,0.00763359
2019-12,0.00965406,0.00717213,0.00766773,0.02175732,-0.00839631,0.0214168,-0.02020474,0.0,0.02622061,-0.02770287,0.01163693,0.02067336,0.006241,0.02493966,0.02132701,0.0624152,0.02202136,0.02681992,0.00391525,0.01455301,0.01394214,0.02101859,0.00627053,0.01065919,0.00222222,0.00696056,0.01377166,0.00721696,0.0,-0.01201602,0.01892371,0.00757576,0.01477273,0.02182163,0.01526316,0.01514196,0.02446043,0.01860802,0.00701754,0.01178586,0.0017301,0.01120036,0.02393617,0.00946565,0.02194149,0.00670449
2019-11,0.00239521,0.00509684,0.00190355,-0.02022654,0.01319711,-0.03036114,0.02825485,0.00284784,-0.04451167,0.03917578,-0.02050114,-0.01633606,-0.00613787,-0.01111111,-0.02168861,-0.05058366,-0.0286123,-0.03907204,-0.01712483,-0.02920443,-0.0142808,-0.03543614,-0.01841567,-0.0149295,-0.01235465,0.00230415,0.00398936,0.00179292,0.00831947,-0.00814394,-0.03308614,-0.02289452,-0.0421318,-0.0284143,-0.01653747,-0.01828324,-0.04683196,-0.02490016,-0.02807357,-0.01695918,-0.0505916,-0.01492371,-0.04886268,-0.01430292,-0.01410298,-0.00971867
2019-10,-0.00242522,-0.00103093,-0.00640615,0.02671119,-0.01691419,0.03505786,-0.0345096,0.00660066,0.05111216,-0.05027804,0.01705426,0.02837754,0.02097561,0.03610411,0.03273322,0.0913242,0.01316846,0.03994845,0.00794011,0.01131687,0.03218225,0.03283458,0.0214891,0.01828571,0.00294118,-0.0046729,-0.00314324,-0.0022686,0.00505902,0.01398735,0.02782819,0.00495458,0.0051207,0.04451039,0.03506849,0.02473498,0.02928258,0.01197318,0.00293399,0.02811079,0.00041649,0.01925738,0.04109589,0.01739401,0.04127317,0.01897733
2019-09,-0.00367797,-0.00104384,0.0,-0.03130148,0.03961231,-0.08102001,0.08624454,0.00334169,-0.11834061,0.12942643,-0.00933126,-0.06826138,-0.02787122,-0.07345972,-0.07347254,-0.19412516,-0.03310629,-0.01660281,-0.03601601,-0.02162719,-0.06976346,-0.08222396,-0.02740542,-0.04145799,-0.03244412,0.0,0.00595784,-0.00091912,-0.02027027,-0.00193648,-0.08066362,-0.03802589,-0.05909576,-0.0893186,-0.08264887,-0.05481573,-0.0802213,-0.03093508,-0.03429952,-0.05776102,-0.07128554,-0.0431808,-0.09230769,-0.04012112,-0.08379705,-0.00738007
2019-08,-0.01453371,-0.01544799,-0.01538462,0.00323625,-0.00880872,0.0154809,-0.01470982,0.0,0.02382022,-0.02678571,-0.003861,-0.00117509,0.00289715,0.00238284,-0.01610429,-0.01167315,-0.0131291,0.02960103,-0.0096259,-0.01223242,-0.00223176,-0.00117832,0.00387944,0.00730953,-0.01920341,-0.01748252,-0.02276786,-0.01497957,-0.03278689,0.00135266,-0.00114679,-0.00643087,0.00744681,0.00093197,-0.00719794,-0.00587145,0.0,-0.00163628,-0.01665081,0.00219036,-0.00634669,0.00804624,-0.00086207,0.00872093,-0.00557194,-0.0186722
2019-07,-0.02141158,-0.02327935,-0.01893939,0.0192953,0.01269036,-0.01972195,0.01872964,0.00503356,-0.02680141,0.02687377,0.00310078,-0.0076157,-0.00191847,-0.01801096,-0.01508296,-0.02448454,0.00219505,0.00263158,0.00088359,0.01034126,-0.0167004,-0.02051084,-0.00445765,-0.00920502,0.01516245,-0.0228833,-0.00788091,-0.02317291,-0.00813008,0.01054687,-0.02259887,0.02402651,0.04949758,0.00461255,-0.00358607,-0.01517911,-0.01504788,0.0094518,0.02009804,-0.0153332,0.04833333,-0.00899281,-0.01869159,-0.00835866,-0.00779221,0.0005176
2019-06,0.04695431,0.04746494,0.04572966,0.01652174,-0.04295464,0.09415121,-0.08627064,0.01854248,0.13895907,-0.12654452,0.0166799,0.06954887,0.03510532,0.07347973,0.05242256,0.21978022,0.02418439,0.0136612,0.03370014,0.01479915,0.05970683,0.05079885,0.03753102,0.04746557,0.00961538,0.04645477,0.05117371,0.0466001,0.05882353,0.00216749,0.0477327,0.02401372,0.02726919,0.08350101,0.06423517,0.05384615,0.05209841,0.04100791,0.01763224,0.0529595,0.0152972,0.04726456,0.05035971,0.04557769,0.07547826,0.03598281
2019-05,-0.03866504,-0.03638254,-0.04134367,-0.02649573,0.04437993,-0.06908115,0.06921676,-0.0119403,-0.09675926,0.1006013,-0.01799687,-0.08518086,-0.02596766,-0.07759303,-0.06480784,-0.23934837,-0.00663968,-0.01216216,-0.01291346,-0.01159115,-0.06058035,-0.04912837,-0.02305825,-0.03468866,-0.04019746,-0.03985932,-0.05389755,-0.0389016,-0.04340568,0.00652819,-0.05284319,-0.01017812,-0.00705329,-0.07582938,-0.07369498,-0.04685573,-0.0491573,-0.01270772,-0.01009082,-0.05234873,-0.01087429,-0.03542359,-0.05372617,-0.03223307,-0.08179163,-0.01960784
2019-04,0.02605042,0.02577873,0.02670227,0.01657941,-0.0475816,0.08090379,-0.07778842,0.02363239,0.12611666,-0.11836238,0.04560261,0.01124926,0.04151717,0.02195122,0.01774691,0.0233463,0.04156729,0.01527778,0.02251102,0.0371179,0.02775338,0.02896152,0.03994927,0.04035608,0.01582734,0.02663438,0.03266449,0.0250118,0.02226027,0.01412714,0.02622169,0.02453988,0.01816714,0.02967359,0.01992659,0.02831689,0.02941176,0.02899647,0.02351097,0.02841845,0.02066487,0.03970342,0.04070305,0.04157231,0.02338791,0.02789934
2019-03,0.01487463,0.01952278,0.0209318,0.03022222,0.00484262,0.01524501,-0.0175144,0.00570927,0.02344971,-0.02407181,0.02840434,0.01478415,0.01064909,0.00889248,0.00535988,0.03474903,0.03101715,0.01414427,0.03592814,0.0418552,0.00892701,0.02866639,0.00950269,0.00888362,0.02724595,0.01711491,-0.00740056,0.01907487,0.02094241,0.02062066,0.03117506,0.04181818,0.04336735,0.02268245,0.00621762,0.01208651,0.03397341,0.02843966,0.04772353,0.01299237,0.07669471,0.00931455,0.03928906,0.00774693,0.00794176,0.0122905
2019-02,0.03336185,0.03380589,0.03116531,0.0249777,-0.03237268,0.05944954,-0.05956039,0.02960969,0.0942492,-0.09134045,0.0169348,0.0365566,0.02124431,0.02893891,0.03598775,0.10969388,0.01976079,-0.03026135,0.02534395,0.01129944,0.0318015,0.05550847,0.02444444,0.03162291,0.03958178,0.03078818,0.04243009,0.03751804,0.02101576,0.00325534,0.05443425,0.0099728,0.02399314,0.03232125,0.0298815,0.03475765,0.05255255,0.03566779,0.01849837,0.0378851,0.00540541,0.03296439,0.05397727,0.03193223,0.03887974,0.03302961
2019-01,0.00638842,0.00652884,0.00811359,0.02391904,-0.01746894,0.03847619,-0.04088122,0.0157871,0.06123596,-0.06146086,0.02592913,0.02865854,0.01076371,0.03244592,0.03500398,0.08823529,0.04231387,0.01251739,0.03546454,0.03733956,0.02935879,0.03723171,0.01772478,0.02034619,0.02900763,0.01361386,0.03770883,0.00814176,0.01776199,0.0092388,0.03802281,0.03277154,0.03513395,0.02385686,0.02744063,0.02418301,0.0308642,0.0316153,0.04507513,0.03537532,0.02927814,0.02044814,0.03213242,0.02056726,0.0267434,-0.00507901
2019-00,0.06910946,0.08104887,0.07174556,0.00928505,-0.04507452,0.09568966,-0.0960542,0.03292568,0.13470471,-0.13863988,0.00527241,0.08333333,0.04542996,0.07326007,0.06173913,0.25730994,0.01007326,0.02608696,0.0192604,0.02905569,0.0602761,0.08362027,0.04735945,0.04849661,0.04458599,0.08163265,0.08058608,0.07124149,0.06358382,0.01815614,0.08267997,0.01055662,0.03880318,0.10376283,0.07311457,0.06110915,0.09473684,0.01141304,0.00739477,0.05849452,0.04851752,0.04977139,0.09111111,0.04393673,0.07895731,0.05925473
2018-51,0.03414634,0.0375,0.03325599,-0.01569714,-0.07065217,0.11493695,-0.1192053,0.03092784,0.17563291,-0.1817726,0.02270663,0.07754801,0.05663616,0.07001972,0.06542056,0.18648019,0.05538402,0.00147493,0.04759344,0.02746567,0.07352012,0.05931322,0.04612084,0.05851979,0.02363488,0.0341394,0.04324028,0.03349808,0.01380671,0.02004546,0.06006006,0.0239521,0.06858847,0.07371007,0.08558842,0.0816641,0.05698529,0.04324324,0.06879607,0.06488645,0.03109384,0.05971604,0.078125,0.05971546,0.09351621,0.04185448
2018-50,-0.05724351,-0.05736783,-0.05960729,-0.05989583,0.07499048,-0.14367596,0.16080402,-0.03009576,-0.2046589,0.24059233,-0.05102041,-0.09303797,-0.05805439,-0.08721934,-0.08210181,-0.25261584,-0.05038277,-0.0472879,-0.03702764,-0.04970414,-0.07419115,-0.10373066,-0.05872703,-0.07346189,-0.04478764,-0.0648855,-0.09961315,-0.05800694,-0.0596745,-0.03010033,-0.10197368,-0.04972376,-0.07432432,-0.11684211,-0.08868335,-0.08161192,-0.11746032,-0.03797468,-0.0591188,-0.0736237,-0.05706941,-0.07520099,-0.12410256,-0.07108293,-0.09935897,-0.06231628
