Month,AMJ,AMLP,AMU,CHIE,DDG,DIG,DUG,EMLP,ERX,ERY,FAN,FCG,FILL,FRAK,FXN,GASL,GEX,GREK,GRID,ICLN,IEO,IEZ,IXC,IYE,KOL,MLPA,MLPG,MLPI,MLPY,NLR,OIH,PBD,PBW,PSCE,PXE,PXI,PXJ,PZD,QCLN,RYE,TAN,VDE,XES,XLE,XOP,YMLP
2019-05,-0.01010101,-0.00923077,-0.01087652,-0.0777592,0.0872093,-0.1575902,0.17496706,-0.00324544,-0.22338403,0.26110846,-0.0413845,-0.11540823,-0.0625,-0.10615385,-0.13258786,-0.32866044,-0.08108108,0.05938242,-0.05457671,-0.00790514,-0.10247652,-0.15979815,-0.05573968,-0.07849829,-0.06184799,-0.00115741,-0.03241563,-0.00859729,-0.01162791,-0.03571429,-0.16728625,-0.04284559,-0.03729768,-0.18500949,-0.11823437,-0.1066624,-0.14456036,-0.05414439,-0.08089995,-0.10079208,0.02364998,-0.08204423,-0.18240741,-0.07670937,-0.12654424,-0.02773575
2019-04,-0.02527646,-0.02110553,-0.02318296,-0.04299363,0.01502791,-0.03272498,0.02798191,-0.0016129,-0.04780034,0.0362776,0.01984733,-0.04171429,-0.00660689,0.0379845,-0.01980198,-0.13720643,0.03711859,0.02040816,0.04409769,0.03147208,0.01901205,-0.05621871,-0.01026694,-0.01534247,-0.01597676,-0.02272727,-0.02386117,-0.0247678,0.00998336,-0.01483051,-0.06084507,0.02475248,0.04122194,-0.02529359,0.00359343,-0.02203857,-0.06666667,0.05266838,0.02293802,0.00778513,0.06313559,-0.0156681,-0.06694561,-0.01313629,-0.00705807,0.01272265
2019-03,0.0282671,0.02824268,0.02669271,-0.01532258,-0.00042319,0.00551411,-0.01275787,0.03386288,-0.00351185,-0.01661294,0.01085271,0.01647059,0.00914781,0.00950872,0.00779423,0.02755906,-0.01504593,0.005,-0.03711067,0.00722394,0.00103235,-0.00668502,0.00178359,0.00558191,-0.01885424,0.02965599,0.04248515,0.02903226,0.01864407,-0.00038595,-0.010907,-0.0315534,-0.05702218,0.0027933,-0.00103573,0.00031085,-0.01111111,-0.01311168,-0.02805999,0.00635804,-0.0754491,0.00483418,-0.00345125,0.00288184,0.01318392,0.03171247
2019-02,-0.00737101,-0.0052356,-0.00845254,0.04978541,-0.00660611,0.00202293,-0.0075266,0.01667379,0.00839944,-0.01931034,0.0046729,-0.02693208,0.01673228,-0.01193317,-0.04473086,-0.09125475,0.03892705,0.07797538,0.02768951,0.02105263,-0.02546573,0.00361882,0.01676829,0.00427838,-0.02266289,-0.0129717,-0.01084501,-0.00690608,-0.01507538,0.03044776,-0.00696864,0.05645851,0.11538462,0.02305476,-0.02827763,-0.01608911,0.01714286,0.04214653,0.06636039,-0.0114137,0.09683099,0.00494594,0.00711111,0.00543563,-0.03003591,0.01543374
2019-01,0.10825688,0.10772834,0.11021898,0.10361217,-0.08556548,0.18799172,-0.16819699,0.09802074,0.27409262,-0.23811102,0.12345679,0.12674187,0.07074468,0.11517857,0.11789652,0.38256228,0.1171732,0.07320644,0.13097979,0.140625,0.10672986,0.16890595,0.08561873,0.09183027,0.13126492,0.12198391,0.12339332,0.1106515,0.11742424,0.02816616,0.17397356,0.13249516,0.17820868,0.12431243,0.08542714,0.10763411,0.16243655,0.10246679,0.10170455,0.12930445,0.23948909,0.09291922,0.18783931,0.09065839,0.1193975,0.10918854
2018-12,-0.11566858,-0.11404435,-0.11691705,-0.10324729,0.17113665,-0.29138668,0.35621622,-0.0812446,-0.3942926,0.52414605,-0.05872622,-0.20650407,-0.1157341,-0.19823789,-0.19127989,-0.52849265,-0.09166528,-0.10621762,-0.0967293,-0.08017817,-0.16373984,-0.23743436,-0.12230861,-0.15190568,-0.0612855,-0.12811388,-0.11691312,-0.10877684,-0.09895833,-0.02689439,-0.23500545,-0.10017271,-0.1304878,-0.26794658,-0.18945404,-0.17727405,-0.26829268,-0.10895884,-0.10851927,-0.16598639,-0.12664783,-0.15535695,-0.26229508,-0.14345928,-0.21454006,-0.12225201
2018-11,-0.01982652,-0.01713062,-0.02032787,0.02586207,0.02756573,-0.07352505,0.05632653,0.02603232,-0.09494163,0.04878049,0.05078809,-0.09146341,-0.02942572,-0.08549404,-0.08601445,-0.28199566,0.05374211,-0.00945946,-0.01554524,0.0776699,-0.0769112,-0.11742554,-0.03146334,-0.0336408,-0.08174771,-0.01916168,-0.00469263,0.03012346,-0.03760684,0.00319936,-0.12758621,0.03523035,0.02751905,-0.13509434,-0.09926945,-0.10142206,-0.11826698,0.02263581,0.00725765,-0.05788685,0.1,-0.03787137,-0.13161765,-0.02388105,-0.1079235,-0.04482226
2018-10,-0.10902256,-0.09570313,-0.09988038,-0.07790143,0.1441048,-0.24835564,0.29944483,-0.04407952,-0.35002595,0.45427825,-0.0902379,-0.14146341,-0.11018014,-0.18376812,-0.15488977,-0.38989337,-0.07090129,-0.0669145,-0.11615207,-0.05430933,-0.1637006,-0.18826816,-0.1064396,-0.12967819,-0.04768392,-0.09694989,-0.08025478,-0.09580838,-0.08099688,-0.01187413,-0.19246191,-0.08142494,-0.06669361,-0.19123998,-0.16660617,-0.16599099,-0.16290481,-0.09336438,-0.05780933,-0.15192926,-0.10873786,-0.13318091,-0.19464286,-0.12544708,-0.17532169,-0.07692308
2018-09,-0.02325581,-0.02137998,-0.02212919,0.03078203,-0.02338634,0.05793886,-0.05809524,-0.01502146,0.07394469,-0.078053,-0.01444623,0.01181818,0.04355556,0.05707196,0.03697078,0.02720079,-0.02620968,-0.00246609,-0.04007286,0.00117925,0.02705288,0.02845528,0.03635347,0.03039362,0.00763359,-0.03027027,-0.01533873,-0.02933673,0.03262643,0.01579684,0.03436714,0.01107325,-0.03254902,0.00559701,0.02436282,0.02116279,0.06666667,-0.00684619,-0.03214639,0.02194514,-0.05069124,0.02994429,0.04326019,0.02661335,0.03582592,0.00391198
2018-08,0.00954927,0.01287129,0.01094225,-0.02891566,0.03135552,-0.03993423,0.03168317,0.00910273,-0.07221477,0.05958231,-0.0203125,-0.0219106,-0.01872007,-0.03174603,0.00477042,-0.07588312,0.00835701,-0.05654102,0.00586332,-0.03798883,-0.0107498,-0.02705718,-0.02495254,-0.01900122,-0.03921569,0.01773836,0.01555076,0.01655773,-0.02232855,0.01450735,-0.04194697,-0.01584654,0.01789264,-0.03372781,0.01431262,0.02536146,-0.02361396,0.0287703,0.02988855,-0.0192401,-0.03472841,-0.01781889,-0.034689,-0.02114478,0.0,-0.02531041
2018-07,0.07587629,0.08690987,0.07550886,0.060477,-0.03894298,0.05544841,-0.0571885,0.03388319,0.08426339,-0.09014248,0.05032468,0.01274165,0.03425267,0.02003536,0.02727273,0.02470741,0.05080307,0.01791713,0.02430985,0.04408353,0.0465374,0.03357041,0.02815346,0.02819688,0.04570259,0.0754491,0.09508042,0.08030231,0.05631399,0.01752241,0.01717938,0.02849741,0.00482509,0.03547805,0.0180791,0.01735203,0.03898841,0.0428948,0.02379721,0.03510515,-0.02251082,0.028091,0.0373317,0.03066393,0.01834644,0.05594758
2018-06,-0.01117318,-0.0290758,-0.02225048,-0.05572998,-0.01079812,0.00326645,-0.01304631,0.02318182,-0.00817295,-0.01650165,-0.05475285,0.03024911,0.01289462,0.04515352,0.00419413,0.07271926,-0.04077926,-0.02516411,-0.04731985,-0.08395324,0.00150089,-0.01741023,0.00657714,0.00366211,-0.06733795,-0.02540416,-0.01114724,-0.01925722,-0.01015228,0.01889143,-0.02904564,-0.07753165,-0.03663289,-0.0151075,0.0243346,-0.01651376,-0.00510204,-0.03859329,-0.03010537,0.00588909,-0.08203281,0.00321951,-0.01172333,0.00094505,0.02320019,-0.01430686
2018-05,0.06255248,0.03791983,0.0447861,0.08721423,-0.03092315,0.0761447,-0.08372922,0.0096242,0.09592256,-0.11256888,-0.02878229,0.03205128,0.01939558,0.03015385,0.0685458,0.07471805,0.01085867,-0.14697406,0.05340008,-0.01560874,0.04787922,0.01485966,0.0165035,0.04106095,0.09097271,0.04247573,0.05281174,0.03737422,0.01369863,-0.01304791,0.0091047,0.01273885,0.06738322,0.0780762,0.09667928,0.04856937,0.03259727,0.03403141,0.05449735,0.03379182,0.04631927,0.04205798,0.02385212,0.03626652,0.0779321,0.01439921
2018-04,0.09145221,0.08530806,0.09297218,0.09254268,-0.10899514,0.24440299,-0.20747975,0.04665705,0.37554412,-0.29419525,0.06171875,0.12141393,0.11411411,0.14726508,0.13860668,0.37782076,0.03666895,0.12405609,0.00855414,0.05032823,0.14950658,0.17671584,0.11173011,0.11908137,-0.0130137,0.07773386,0.07405462,0.08881923,0.08623853,0.05949313,0.16469558,0.02761982,0.01126878,0.22129909,0.17008798,0.15488308,0.1576414,0.01589213,0.00958977,0.13983458,0.01074824,0.12091912,0.20741269,0.11738995,0.15733333,0.0776647
