Week,DRN,DRV,DRW,FFR,FRI,GRI,ICF,IFEU,IFGL,IYR,KBWY,MORL,MORT,PSR,REK,REM,REZ,ROOF,RWO,RWR,RWX,SCHH,SRS,TAO,URE,USRT,VNQ,VNQI,WPS
2019-21,-0.0411442,0.03111111,-0.00551232,-0.01220025,-0.01359456,-0.01268767,-0.00933416,-0.00935579,-0.00838926,-0.00791284,-0.01785124,-0.03777619,-0.01797457,-0.0081455,0.00918728,-0.01839189,-0.00622579,-0.0168,-0.00804505,-0.01290583,-0.00259875,-0.01190744,0.01777778,-0.00699558,-0.01708609,-0.01170601,-0.00917536,-0.00242634,-0.00682415
2019-20,0.04014308,-0.04392387,0.0,0.01073684,0.01568785,0.01508392,0.01755329,0.0,0.003001,0.0167282,0.00793126,-0.00913563,0.00568679,0.01640265,-0.01198027,0.00564042,0.02364629,0.00960384,0.00782661,0.01293975,0.00412584,0.01418919,-0.03207381,-0.01642336,0.0329097,0.01638081,0.01697656,0.00570737,0.00919359
2019-19,0.03910615,-0.04093567,0.00649562,0.00824699,0.0136876,0.01459541,0.01618414,-0.00105625,0.01118265,0.01382807,0.00226464,0.010699,0.0004344,0.01357111,-0.00845666,-0.00139828,0.01445614,0.00955034,0.00927046,0.01294498,0.00416341,0.01306306,-0.02473498,0.01279707,0.02487033,0.01388889,0.01256195,0.00804055,0.00851743
2019-18,-0.03049016,0.01937407,-0.00794913,-0.00316122,-0.00639744,-0.00362783,-0.00536721,0.01302845,0.0033761,-0.00560833,-0.00128329,-0.0076442,-0.00767918,-0.00346137,0.00425532,-0.00959561,0.00127407,-0.01328125,-0.00519896,-0.00722674,0.001813,-0.00737265,0.00893655,-0.02034483,-0.01103376,-0.00670113,-0.00606477,-0.00480687,-0.00052854
2019-17,0.06507414,-0.07012623,0.00442478,0.01489679,0.02197802,0.01204042,0.0231414,0.00132979,0.0016818,0.01906533,0.03619303,-0.0241773,-0.00253807,0.01975926,-0.01814375,-0.00431426,0.02957808,0.02118305,0.01454839,0.02239722,0.00232678,0.02209567,-0.03681247,0.00882852,0.03680152,0.02406574,0.02001163,0.00341647,0.00422721
2019-16,0.07688985,-0.0807947,0.00031566,0.01638284,0.02944836,0.01785325,0.02770828,-0.00212371,0.00236167,0.02417453,0.03081137,0.03382664,0.00936968,0.02434522,-0.02405498,0.01004566,0.03299305,0.02692778,0.02047502,0.03066013,0.00388702,0.0313516,-0.04671717,-0.00407747,0.04883818,0.03008567,0.02661147,0.00290598,0.00238411
2019-15,-0.0787949,0.0739645,-0.00871189,-0.01598318,-0.0235623,-0.01888795,-0.02560899,-0.00738007,-0.0076846,-0.02371181,-0.02080581,-0.01912568,0.00042735,-0.03023926,0.02419929,-0.00137206,-0.03092347,-0.01586043,-0.01458833,-0.02428256,-0.00309518,-0.02325061,0.04723347,-0.01556291,-0.04750162,-0.02511985,-0.02408676,-0.0079607,-0.00788644
2019-14,0.01598441,-0.02052786,0.00154751,0.00104866,0.00800961,-0.00189793,0.00859907,0.00369393,-0.00165728,0.00846391,-0.00425393,0.01161202,-0.00170285,0.01330352,-0.00639205,-0.00091241,0.01011684,0.00316581,0.00659736,0.0084524,-0.00153886,0.00851445,-0.01612181,0.00130463,0.01565149,0.00789069,0.00801374,-0.00184812,-0.00570096
2019-13,0.02630546,-0.02474527,-0.00736874,-0.00187813,0.00842697,-0.00063078,0.0103529,-0.00026261,-0.0108055,0.01080336,0.0081646,0.00621977,0.0025663,0.01032316,-0.00988701,0.00275229,0.00383251,0.00993246,-0.00039841,0.00857373,-0.01319797,0.00966509,-0.0212766,0.00260671,0.02106649,0.00868056,0.01128252,-0.00733211,-0.01279427
2019-12,0.04001633,-0.0403338,0.01774398,0.01119797,0.01219512,0.00914504,0.00907441,-0.00836601,0.0072896,0.01327125,0.03195105,0.03579098,0.01621385,0.01215219,-0.0125523,0.01167134,0.0032638,0.01993491,0.00684242,0.01124514,0.00408998,0.01207289,-0.02508651,0.03733149,0.02798054,0.01213307,0.01388241,0.01275077,0.01040312
2019-11,0.03109244,-0.03489933,-0.00728079,0.00768246,0.01234568,0.00967534,0.01549244,-0.00182672,-0.00199534,0.01118568,0.00893164,-0.00911002,-0.0116782,0.01219372,-0.01241379,-0.01156604,0.0183978,0.00040766,0.00425791,0.01116856,-0.00358882,0.01035912,-0.02073635,-0.01405554,0.01930236,0.01188354,0.01050519,-0.0040858,-0.00078411
2019-10,0.01943388,-0.02018843,0.01723577,0.00987973,0.00616523,0.00910865,0.00729186,0.02689618,0.015625,0.00778853,0.00719918,0.01731602,0.00218436,0.00482703,-0.00894701,0.00443511,0.00750252,0.00327332,0.00954121,0.00535917,0.01302423,0.00574185,-0.01432182,0.0212536,0.01679856,0.00534442,0.00781158,0.01603346,0.01461988
2019-09,-0.00823938,0.01174935,-0.00652316,-0.00152042,-0.00332088,0.00198107,-0.00065488,0.01037684,0.00481265,-0.00250836,-0.02271186,-0.01658255,-0.00526085,-0.00221626,0.00340599,-0.00517282,0.00293169,-0.01026273,0.00061538,-0.00343535,0.00526593,-0.00440427,0.0061703,-0.02431176,-0.00553663,-0.0037962,-0.00299365,-0.00368034,0.00295302
2019-08,-0.03132938,0.04026846,-0.00681155,-0.00861883,-0.01398601,-0.00481928,-0.00430389,0.00736698,-0.00477653,-0.0046556,-0.04439404,-0.00572656,-0.00960699,-0.00501867,0.00683527,-0.00235183,-0.00132528,-0.02257154,-0.00631365,-0.01147643,-0.00261643,-0.01128772,0.01112943,-0.01423488,-0.01062022,-0.01110891,-0.0084675,-0.00713664,-0.0053234
2019-07,-0.00410341,0.00273598,0.0016276,-0.00128755,0.000818,0.00349345,0.00092945,-0.00730717,-0.00136426,-0.00094708,-0.00385356,0.00572656,0.00525624,0.00011596,0.00206612,0.00188103,-0.00782609,0.0,0.00142305,0.00226361,0.0,0.00114548,-0.00041806,0.01489284,-0.00069716,0.0011832,0.00059193,0.00367647,0.00079979
2019-06,0.00166736,-0.00943396,-0.00326691,-0.00172154,0.00040984,0.00595895,0.00816518,-0.0097561,0.00206256,0.00823782,-0.00470958,0.00285714,-0.01255955,0.00267972,-0.00615174,-0.01209584,-0.00086743,-0.00200723,0.00142915,0.0044472,-0.00392773,0.00460723,-0.01565719,-0.00475146,0.01586402,0.0049613,0.00883582,0.00247088,0.00134336
