Month,DRN,DRV,DRW,FFR,FRI,GRI,ICF,IFEU,IFGL,IYR,KBWY,MORL,MORT,PSR,REK,REM,REZ,ROOF,RWO,RWR,RWX,SCHH,SRS,TAO,URE,USRT,VNQ,VNQI,WPS
2019-05,-0.02703777,0.01162791,-0.02480127,-0.00676819,-0.00844051,0.00236153,0.00035907,-0.01983602,0.00169492,-0.00494594,-0.00834446,-0.0859851,-0.0504451,-0.00101146,0.00705219,-0.05278726,0.02555682,-0.02305246,-0.00943965,-0.01200928,-0.00233949,-0.01257297,0.01193106,-0.07794872,-0.01630435,-0.00540749,-0.00518194,-0.00980561,0.00718659
2019-04,-0.02277189,0.01310044,-0.02947498,-0.01627713,-0.00521669,-0.0176619,-0.0007202,-0.01234244,-0.02946955,-0.00011493,-0.02122796,0.02833449,0.01240376,-0.00314183,0.00211864,0.01238532,-0.00723918,-0.00238379,-0.01115538,-0.0046399,-0.02081218,-0.00337154,0.00310284,-0.04626914,-0.00618828,-0.00482253,-0.00103615,-0.02516247,-0.03096213
2019-03,0.1131993,-0.10967742,0.04898759,0.04020865,0.0387985,0.04446401,0.04491637,0.02735645,0.04216661,0.04389542,0.02950153,0.04175666,0.02248677,0.04539589,-0.03869654,0.02168788,0.04246535,0.03381443,0.02541504,0.03461981,0.03043022,0.03518173,-0.08112515,0.0833935,0.08844998,0.03751254,0.0453452,0.04435484,0.03960396
2019-02,0.03522069,-0.03783102,-0.00813802,0.00369806,0.01131127,0.00888099,0.02164751,-0.01829268,-0.00511945,0.01420248,-0.03959132,-0.00143164,-0.00174292,0.01616162,-0.00874832,-0.00630841,0.00531444,0.00410509,0.0049332,0.01690974,-0.01348548,0.01694915,-0.02437076,0.01294379,0.0218436,0.01498886,0.01336736,-0.00350018,-0.00612517
2019-01,0.48991542,-0.33419023,0.12897333,0.12609542,0.14680648,0.1248139,0.13442658,0.11574896,0.10514457,0.13942308,0.17822521,0.18515358,0.09246902,0.13635754,-0.11918951,0.08411215,0.14221482,0.14239029,0.12244429,0.14409222,0.09749858,0.14308639,-0.2275,0.15689582,0.29144981,0.1444035,0.14344885,0.10242121,0.10938416
2018-12,-0.25760286,0.27219626,-0.03317039,-0.05830508,-0.08852181,-0.05750577,-0.08110198,-0.02844141,-0.02542681,-0.08249075,-0.13385827,-0.1421131,-0.07089056,-0.07691377,0.08377309,-0.06541389,-0.06187443,-0.10896382,-0.06387479,-0.09493068,-0.02629394,-0.09112426,0.17009132,-0.0398265,-0.16517591,-0.08968059,-0.08445654,-0.02800445,-0.0278172
2018-11,0.12054934,-0.11382114,0.01747504,0.0292603,0.04407836,0.03977,0.05225945,-0.0267906,0.01326455,0.04302882,-0.00458866,0.02307692,0.01718679,0.02852117,-0.03790272,0.02348337,0.06206674,0.02107926,0.02930884,0.04509432,0.0047367,0.04456062,-0.07777778,0.06544836,0.08274963,0.0412637,0.04183396,0.01687204,0.01502456
2018-10,-0.07663018,0.05174234,-0.06916525,-0.03251478,-0.0171504,-0.0264575,-0.00683883,-0.05545287,-0.0509078,-0.01582844,-0.05461923,-0.03510082,-0.01773836,-0.00970511,0.02313625,-0.01655073,0.00734814,-0.04402262,-0.02905983,-0.01609347,-0.04484063,-0.01718635,0.03200569,-0.08994709,-0.04863935,-0.02180356,-0.02014535,-0.0548121,-0.05083333
2018-09,-0.05151915,0.04514673,-0.00305914,-0.012786,-0.02011125,-0.00946445,-0.01643426,-0.01321928,-0.00248315,-0.01814792,-0.03352121,-0.0363766,-0.01605903,-0.0240233,0.02764977,-0.01204535,-0.01699222,-0.02112676,-0.00926511,-0.01748552,-0.00322234,-0.01627184,0.03252336,-0.03279336,-0.0371471,-0.01548947,-0.0149328,-0.00869565,-0.00165792
2018-08,0.06815084,-0.06731813,-0.00796548,0.01874435,0.02478261,0.01175386,0.01941064,0.0,-0.00524476,0.02045683,0.01778832,0.02490842,0.01274725,0.02438421,-0.01630789,0.01098114,0.03428664,0.02455446,0.00966184,0.02402696,-0.0071165,0.02446705,-0.03316139,0.00509404,0.03784438,0.02491625,0.01853475,-0.00796319,-0.01612037
2018-07,0.03188958,-0.04085802,0.0331417,0.01572112,0.01149934,0.01998119,0.01532922,0.02338877,0.01908802,0.01430396,0.00238095,0.05797101,0.02872531,0.01798968,-0.01975781,0.02877347,0.00392992,0.00399361,0.01474359,0.01139003,0.02277599,0.01283317,-0.02664298,0.02212733,0.02350195,0.01365479,0.0116101,0.02471347,0.02457673
2018-06,0.11770833,-0.11481481,-0.02982172,0.01540584,0.03788225,0.0148655,0.04098797,0.00310318,-0.01420159,0.03712969,0.05156881,0.03346614,0.01838235,0.03962824,-0.03673724,0.01493652,0.04610412,0.03743316,0.01683574,0.03802801,-0.01182965,0.03760163,-0.06916138,-0.07925326,0.07249009,0.03874945,0.03738318,-0.02912789,-0.02201008
2018-05,0.08038769,-0.08717519,-0.00582713,0.01094296,0.03073286,-0.00614948,0.01288995,-0.01645986,-0.00688468,0.02644426,0.07056856,0.04957983,0.02931442,0.02882955,-0.02421308,0.02789864,0.0324515,0.0660502,0.00960908,0.02981381,-0.01857106,0.02864652,-0.04947999,0.0014245,0.04650758,0.02868852,0.02744192,-0.01381074,-0.00607983
2018-04,0.07435413,-0.08488459,0.01674877,0.03014227,0.02902115,0.02993865,0.0226432,0.03643935,0.03009915,0.01623872,0.0349406,0.02060086,0.01439539,0.01932694,-0.01712936,0.01166407,0.01925872,0.03902663,0.02846171,0.02814833,0.02832936,0.02896175,-0.03278195,0.0,0.02909091,0.02889626,0.02199496,0.01681692,0.02623749
2018-03,0.10857909,-0.10988252,0.02522403,0.03161765,0.03567839,0.02971286,0.03971534,0.05099838,0.02619304,0.04103733,0.02183099,0.12642586,0.06123482,0.03956685,-0.03967798,0.06164757,0.05531351,0.0466541,0.0310559,0.03538385,0.02807018,0.03572425,-0.07992036,0.03242447,0.08140646,0.03630203,0.03801463,0.0311009,0.02835122
2018-02,-0.17480577,0.16733387,-0.07394906,-0.05456647,-0.05335874,-0.05063291,-0.0491301,-0.07096452,-0.05981183,-0.05082918,-0.06677741,-0.06856634,-0.03051181,-0.04262854,0.05100182,-0.03307753,-0.04411229,-0.08144599,-0.05171285,-0.05201762,-0.05613411,-0.05047821,0.0988665,-0.09203897,-0.10477161,-0.0558097,-0.05636093,-0.06400528,-0.05745063
2018-01,-0.12038304,0.11832061,0.04101749,-0.00455063,-0.04283802,-0.00254218,-0.03452896,0.02554931,0.04024983,-0.02520031,-0.05710777,-0.11686275,-0.06267281,-0.04443329,0.02528445,-0.05929248,-0.04701505,-0.04500818,-0.00914116,-0.03809524,0.03266788,-0.03774056,0.04745647,0.08209765,-0.05185301,-0.03868472,-0.03885845,0.04092072,0.02815049
2017-12,-0.020327,0.0097371,0.03483743,0.00851162,-0.01619256,-0.00619977,-0.00591053,0.03930943,-0.0003488,-0.00307613,-0.02034001,0.04153355,0.02188082,0.0,0.00063694,0.01884422,-0.0168428,-0.00407332,0.01268544,-0.00178412,0.03286638,-0.00174259,0.00519751,0.03101978,-0.00748663,-0.00426985,-0.00379315,0.03136696,0.02812671
2017-11,0.06190926,-0.06346328,0.01828649,0.02146733,0.02331839,0.01963993,0.02184136,0.02974891,0.0254025,0.02487497,-0.00361991,-0.00479616,0.0,0.02626185,-0.02607076,-0.00025195,0.00784117,0.00367797,0.02810356,0.02485112,0.02882483,0.02506394,-0.04919646,-0.01375621,0.04852185,0.02318967,0.0217532,0.01501991,0.02316495
2017-10,-0.03201856,0.03041475,0.0013624,-0.00448008,-0.01025412,-0.00070522,-0.00553756,0.00272926,0.00467794,0.00250858,-0.02017804,-0.07335329,-0.03882619,0.01456437,0.00123993,-0.03562714,-0.00648811,-0.0177706,-0.00551025,-0.00868274,0.00471306,-0.00816535,-0.0045677,0.00692042,0.00371267,-0.00697168,-0.00928074,0.00746676,0.00930626
2017-09,-0.01905626,0.01123596,0.01305842,-0.00280702,-0.00221926,-0.00629517,-0.00948258,0.00601422,-0.00783197,-0.00797386,0.03039607,0.02801556,0.01472618,-0.01827943,0.01189731,0.0136884,-0.01662321,0.00695297,-0.00415573,-0.00204708,-0.00931762,-0.00101626,0.01596806,0.04759984,-0.01720057,-0.00518807,-0.00461243,0.0071298,-0.00252454
2017-08,-0.02980427,0.01977401,0.01821366,0.0007034,0.00357622,0.01774308,-0.00504115,0.01767468,0.00536865,0.00222746,-0.02958757,0.01430843,0.01309635,0.00334491,-0.00436137,0.00805842,0.00509785,-0.02049839,-0.01083893,-0.01296505,-0.00650936,-0.01309164,-0.0066072,0.03415244,0.00031616,-0.00862813,-0.00702158,0.00957819,0.00759494
2017-07,-0.00851636,0.0027881,0.04845815,0.01430274,-0.00580098,0.01451028,-0.00267876,0.04166667,0.03574088,0.00052673,-0.0014988,-0.0241433,-0.0101899,-0.00116264,-0.00124069,-0.0102654,-0.01193163,0.00283516,0.01057036,-0.00675295,0.04196201,-0.00628773,-0.00326797,0.07098214,-0.00047824,-0.00302245,-0.00038457,0.04377169,0.03872103
2017-06,0.04676084,-0.04898649,-0.0032955,0.00555019,0.01755196,0.00242836,0.01784197,-0.00994036,-0.01600582,0.01664186,0.01518909,0.0406639,0.01288783,0.02601347,-0.01570997,0.01388532,0.01694352,0.01331669,0.00155452,0.02005363,-0.02600602,0.02031779,-0.03065965,-0.01211849,0.02848048,0.01583055,0.01703195,-0.00725468,-0.01293847
2017-05,-0.04483247,0.03617571,0.03801843,0.00656455,-0.01598904,0.00839299,-0.00254426,0.05522028,0.02641509,-0.00714864,-0.04541353,-0.0475423,-0.01886792,0.00788033,0.00725953,-0.02307302,0.01330414,-0.0234375,0.00134258,-0.01340421,0.02491506,-0.01316809,0.01460534,0.05868206,-0.01663617,-0.01173605,-0.01309758,0.03302825,0.02921884
2017-04,-0.00716675,-0.00168776,0.02606635,0.01161384,-0.00136054,0.00873908,-0.00498938,0.06508496,0.02283282,0.00463531,0.01260763,0.07550483,0.03594289,0.00026702,-0.00597372,0.03357124,0.00576467,0.01427971,0.00225683,-0.00532531,0.02199074,-0.0046608,-0.00941105,0.00729572,0.00866021,0.0028979,-0.0003951,0.02015883,0.02765827
2017-03,-0.06860987,0.05747126,0.02018571,-0.01450309,-0.02393617,-0.01236094,-0.01820655,0.01617076,0.00155219,-0.01146634,-0.00912131,0.06255836,0.0304878,-0.01901141,0.01148036,0.03255814,-0.00925303,-0.00993789,-0.01604993,-0.02535658,0.00464576,-0.02479757,0.01819864,0.04710701,-0.02456432,-0.02115594,-0.02132885,0.0088532,0.00866337
2017-02,0.14423565,-0.13178295,0.03650255,0.03581943,0.04911956,0.0377892,0.05124275,0.01436969,0.02432217,0.05609999,0.03307087,0.1013306,0.0529695,0.04396056,-0.0521789,0.05434158,0.07486054,0.02943686,0.03476859,0.04885261,0.01116662,0.04784563,-0.10461881,0.04560261,0.11229358,0.04672897,0.04766406,0.02434378,0.01994934
2017-01,-0.01873199,0.00805802,0.0334507,0.00912004,-0.00727273,0.00436009,-0.00451079,0.01068447,0.01956788,-0.00265957,-0.00774713,-0.01522843,-0.00266809,0.00547645,0.00348028,-0.0034463,-0.01210102,-0.01704073,0.00022852,-0.01153403,0.0219681,-0.01160691,0.00313569,0.04770115,-0.00712631,-0.0040404,-0.00530786,0.02746893,0.0194742
2016-12,0.19121895,-0.18235294,0.00310284,0.03916516,0.0625,0.03644468,0.06652139,0.0588033,0.01699834,0.05908617,0.05958292,0.04610318,0.02271468,0.02496055,-0.05661404,0.02208955,0.0819177,0.05884956,0.03874495,0.06224678,0.02913825,0.06176228,-0.11303258,-0.05365044,0.11750551,0.06488825,0.06373035,0.00818041,0.00988468
