Month,IPFF,PFF,PFXF,PGF,PGX,PSK,SPFF
2014-09,-0.02878788,-0.00430892,-0.01014585,-0.00575954,-0.00537634,-0.00366077,-0.00833333
2014-08,-0.00452489,0.01986532,0.02994792,0.02201027,0.02378774,0.0258406,0.01599247
2014-07,-0.02258223,-0.00601202,-0.01151631,-0.00798258,-0.00904159,-0.00800493,-0.00093545
2014-06,0.0182002,0.00673401,0.00515132,0.00732601,0.01004566,0.00683018,0.0056444
2014-05,0.00201816,0.0115725,0.0,0.01111111,0.01109057,0.01161695,0.00283286
2014-04,0.04835282,0.01451279,0.0265428,0.01054217,0.01314554,0.01598977,0.00474383
2014-03,0.0112964,0.01836807,0.0278722,0.01611665,0.02017291,0.02063544,0.01842871
2014-02,0.01967213,0.02459313,0.03875969,0.02276295,0.02158979,0.02693603,0.01576355
2014-01,-0.01832884,0.02365115,0.03311735,0.02401922,0.03024194,0.02910603,0.00891972
2013-12,-0.00635257,-0.01248164,-0.01072194,-0.00957702,-0.01598402,-0.01683849,-0.0019861
2013-11,-0.00265393,0.00294334,-0.00141945,0.00159744,0.00702106,0.00103057,0.0079602
2013-10,0.01550802,0.01304996,0.01734104,0.01542208,0.01522843,0.01634214,0.01825558
2013-09,0.03197354,0.00937383,0.01468429,0.00324939,0.00406918,-0.00138696,0.01023541
2013-08,-0.00763775,-0.01546392,-0.02292264,-0.01120897,-0.01003009,-0.0156038,0.00411946
2013-07,0.00708061,-0.00545852,-0.00071225,-0.01104972,-0.01279528,-0.01753805,0.00619835
2013-06,-0.06559917,-0.0143472,-0.01959412,-0.01245136,-0.01652089,-0.0172751,-0.0122449
2013-05,-0.04599407,-0.00601344,-0.00414651,-0.00992366,-0.01427212,-0.01303657,-0.00504541
2013-04,0.01154039,0.01144083,0.01969058,0.01312741,0.01348748,0.01157556,0.01428571
2013-03,0.01878173,0.00974026,0.00991501,0.0077821,0.00873786,0.00842515,0.00718686
2013-02,-0.03262481,0.00398984,-0.01048218,0.00862069,0.00683594,0.0065189,-0.00204918
2013-01,0.00248262,0.01027146,0.00635593,0.00791139,0.0088845,0.0082291,0.01041667
