Week,IPFF,PFF,PFXF,PGF,PGX,PSK,SPFF
2019-21,-0.00930233,0.0021978,-0.00257998,0.00272183,0.00274725,0.00257672,0.00086957
2019-20,-0.00261952,0.00607399,0.00726141,0.00437637,0.00552105,0.00565238,0.0043592
2019-19,0.00262467,0.00692521,0.00625,0.00548246,0.00761246,0.00684608,0.0052356
2019-18,-0.00260417,-0.00165153,-0.00207684,0.0,0.00069013,0.00047125,-0.00260417
2019-17,0.00654022,0.00137855,-0.00051894,0.00219058,-0.00138026,0.0,0.00522648
2019-16,-0.00906149,0.00055218,0.00313316,-0.00218938,-0.00276434,0.0,-0.00607112
2019-15,0.00390625,-0.00412541,-0.00518403,-0.00054675,-0.00069109,0.00094429,-0.00431779
2019-14,0.00259572,-0.00055006,-0.00103627,0.0,-0.00069156,0.0,-0.00259067
2019-13,-0.00129955,0.00606897,0.0015536,0.00715072,0.00276625,0.00307256,0.01220575
2019-12,0.00328299,0.00586265,0.00630252,0.00277162,0.00912921,0.00742159,0.00439367
2019-11,-0.00327225,-0.00554324,0.0015715,-0.00659703,-0.00627178,-0.00285442,-0.0043592
2019-10,0.01393497,0.00697156,0.00526316,0.00607399,0.00698324,0.00670017,0.00175131
2019-09,-0.02016916,0.00139743,-0.00157895,0.00388027,0.00069832,0.00143575,-0.00174978
2019-08,0.0,0.00646976,0.00316957,0.00559284,0.00846262,0.00746988,0.00352423
2019-07,0.00652742,0.00112708,0.00584174,-0.00167691,0.00070572,-0.00024114,0.00176523
2019-06,-0.0174306,0.01372213,0.01236559,0.01245048,0.01502146,0.01147741,0.01072386
2019-05,-0.01517067,-0.0059693,-0.00053763,-0.00338219,-0.00142552,-0.00170898,-0.00267857
2019-04,0.02732596,0.00687088,0.01584699,0.00510204,0.01153569,0.0123335,0.00358423
2019-03,0.01630789,0.01011561,0.00770501,0.0137931,0.00800582,0.00721573,0.00902527
2019-02,-0.00574713,0.00434657,0.0066482,0.0,0.00145879,0.00522908,0.00544465
2019-01,0.02349869,0.00788091,0.0139821,0.00403458,0.00440529,0.0080281,0.00729262
2019-00,0.01351351,0.02214243,0.02419355,0.01886792,0.02874433,0.02769151,0.01674419
2018-51,0.02810963,0.0147149,0.02309059,0.00900901,0.01159196,0.0140323,0.01420455
2018-50,-0.03492277,-0.01411411,-0.01957398,-0.00829384,-0.01140684,-0.00859599,-0.00933707
2018-49,0.02789116,-0.00564133,-0.00113766,-0.00294811,-0.00377074,0.0007776,-0.00092937
2018-48,-0.03096774,-0.00766058,-0.00896861,-0.00411281,-0.00750188,-0.00642839,-0.00827967
