Week,ITM,MLN,MUB,MUNI,PVI,PZA,SHM,SMB,SMMU,SUB,TFI
2019-21,0.00101194,0.00194175,0.00106847,0.00110213,-0.00040177,-0.00076864,0.00061627,0.0,-0.00059547,0.0003769,0.00180469
2019-20,0.00101399,0.00097229,0.00098083,0.00202392,0.0,0.00038491,0.00164745,0.002849,0.00159109,0.00151072,0.00201167
2019-19,0.00203211,0.00292255,0.00250201,0.00350618,-0.00040193,0.00154083,0.00082491,-0.00113895,0.0007965,0.00075614,0.0006035
2019-18,0.00245198,0.00195791,0.00260417,-0.00074006,0.00080451,0.00232378,0.00061958,0.00114351,0.00319616,-9.457e-05,0.00202224
2019-17,0.00123127,0.00344998,0.00216255,0.00297398,0.00040258,0.00350877,0.00020683,0.0,0.0005988,0.00047348,0.00325203
2019-16,0.00557276,0.00944334,0.00534275,0.00428545,0.00080483,0.00863761,0.00124249,0.00114548,0.0030012,0.00104265,0.00592926
2019-15,-0.00061856,0.0,0.0004531,0.0,0.0,0.00039231,0.00041416,0.00057274,0.0,0.00047416,-0.00163432
2019-14,0.00020665,0.00149402,0.0,-0.0005597,-0.00040225,0.0,-0.00041399,-0.00057339,-0.0005994,-0.0008526,0.0
2019-13,0.0,0.0,-9.068e-05,-0.00186602,0.0,0.00117971,-0.0006206,0.00057307,0.0002,0.00028431,-0.00020437
2019-12,0.00185835,0.0044843,0.00099656,0.00112003,0.0,0.00274941,0.0,0.00171821,0.00179856,0.00028425,0.00081666
2019-11,0.00729471,0.01364325,0.00758199,0.00506757,0.0012087,0.00993246,0.00124404,0.00402299,0.00280449,0.00190132,0.00596953
2019-10,0.00229741,0.0010142,0.00146373,0.00075216,0.00040241,0.00158856,0.00020743,-0.00114679,0.00221061,9.498e-05,0.00288779
2019-09,0.00524219,0.00715015,0.0034872,0.00264002,-0.00080418,0.00438771,0.00062318,0.00172414,0.00140704,0.00028509,0.00435323
2019-08,0.00062972,0.00307377,0.00055132,0.00037793,0.0,0.00079936,0.0,0.00115207,-0.0002008,0.00047587,-0.00020717
2019-07,0.00062906,0.00051203,0.00091903,0.0,-0.00040225,0.0,0.00083177,0.0,0.00060386,0.00076169,0.00124507
2019-06,0.00168209,-0.00153453,0.00101317,0.00151429,0.00040258,0.00080096,-0.00041606,0.00115407,-0.00020145,0.00028571,0.00041571
2019-05,0.00528653,0.00514403,0.00360544,0.00380084,0.00201613,0.00522508,0.00104145,0.0017341,0.0,0.00066698,0.00500626
2019-04,0.00296736,0.00569948,0.0031537,0.00133333,-0.00120773,0.00403714,0.00208812,0.00173511,0.00161584,0.00133639,0.00356021
2019-03,-0.00169276,-0.0072314,9.276e-05,-0.00133511,0.0,-0.0020202,0.0,0.00057904,0.0012131,0.00210406,-0.00209118
2019-02,0.00275774,-0.00051733,-0.00027819,-0.00095475,-0.00040306,-0.00241546,0.0014626,0.00232019,-0.00020198,-0.00028662,0.00146566
2019-01,-0.00211775,-0.00309917,-0.00074177,0.00152964,-0.00080515,-0.00080483,0.00104537,0.00116279,0.00121457,0.0,0.001048
2019-00,0.00276478,0.00207039,-9.27e-05,0.00172315,-0.0004029,0.00323494,-0.00020929,0.00058173,0.00020235,-0.00038212,0.00041946
2018-51,0.00127605,-0.00207147,0.000557,0.00095841,0.00080645,0.00121507,0.00062801,-0.00290023,0.0,-0.00038241,-0.00104888
2018-50,0.00728051,0.01155462,0.00467115,0.00307751,-0.00040323,0.00244101,0.0012576,0.00116482,0.00020296,0.0018208,0.00634786
2018-49,-0.00384287,-0.00674974,-0.00186585,-0.00192197,0.0,-0.0012205,0.00041964,0.0,0.00040576,-0.0002876,0.00127307
2018-48,0.0105763,0.00890519,0.00694901,0.0071636,0.0,0.00779008,0.00442851,0.00292227,0.0,0.00230769,0.00169851
2018-47,0.00434499,0.00315789,0.00462482,0.00642523,0.00283057,0.00412201,0.00105597,0.00293255,0.00326531,0.00212191,0.00793821
2018-46,0.00217723,0.0026469,0.00198525,0.00058343,0.00161551,0.00082338,0.00148117,0.00352941,0.00061062,0.00144816,0.00214546
2018-45,0.00218484,0.00478215,0.00322489,0.00038971,0.0,0.0008261,0.000848,0.00294464,0.00081749,0.00096665,0.00387597
2018-44,0.00793126,0.00427807,0.00314316,0.002936,0.0,0.00207641,0.00084998,-0.00058893,-0.00224307,-0.0001934,0.00390456
2018-43,-0.00591457,-0.00796601,-0.00520981,-0.00390244,0.00121212,-0.00785124,-0.00233249,-0.00058928,0.00245148,-0.00154649,-0.00775862
2018-42,0.0043956,0.00641026,0.00323317,0.00371893,0.00201857,0.00248963,0.00063654,0.00176991,0.00368324,0.00077437,0.00237325
2018-41,-0.00044033,-0.00213447,0.00028539,0.00195695,-0.00201939,-0.00041494,-0.00021236,-0.00117855,-0.00427786,-0.00058055,0.00151221
