Month,ITM,MLN,MUB,MUNI,PVI,PZA,SHM,SMB,SMMU,SUB,TFI
2019-05,0.01394014,0.01425061,0.01160698,0.01113173,0.00040209,0.01127966,0.00723739,0.00686106,0.00539137,0.0048268,0.01318191
2019-04,0.00577915,0.01044257,0.00716358,0.00634447,0.00040258,0.01101062,0.00124121,0.0017192,0.0024,0.00104246,0.00735745
2019-03,0.01783092,0.02962206,0.01469373,0.01303362,-0.00040241,0.01956869,0.00332295,0.00632911,0.00682868,0.00428082,0.01574803
2019-02,0.00803043,0.00978877,0.00665742,0.00779912,0.00201532,0.00683554,0.00375078,0.00461894,0.00282315,0.00123928,0.00584307
2019-01,0.00679261,0.00569064,0.00408012,0.00707457,0.00040323,0.00160966,0.00376569,0.00639535,0.00161681,0.0027722,0.00502618
2018-12,0.01489316,0.01204819,0.01295896,0.01122943,0.00201857,0.01394014,0.00759173,0.00467563,0.00569801,0.00653846,0.01231423
2018-11,0.01403817,0.01707577,0.01140251,0.01055718,0.0,0.01078838,0.00636943,0.00706714,0.00387993,0.00454414,0.01600346
2018-10,-0.00632221,-0.01053741,-0.00529151,-0.00408799,0.00202265,-0.00740741,-0.00275249,0.00176678,-0.00081466,-0.00116009,-0.00728988
2018-09,-0.00970874,-0.01300052,-0.00526217,-0.00271265,0.0,-0.00814996,-0.00421941,-0.00526932,-0.00527919,-0.00231437,-0.00870673
2018-08,0.00693842,0.00104004,0.00310559,0.00427517,-0.00040502,0.00367197,0.00105463,0.0,-0.00020333,0.00115774,0.00361933
2018-07,0.0039071,-0.00361944,0.00178857,0.00252574,-0.00040486,0.00367497,0.00232264,0.00117096,0.00348147,0.00309328,0.0004258
2018-06,0.00217202,0.00155682,0.00320967,0.00253066,-0.00121556,0.0012275,0.00402884,0.00353982,0.00389105,0.00329905,0.00085361
2018-05,0.01517818,0.01793249,0.01220908,0.01041667,0.003663,0.01407867,0.00619129,0.00893389,0.00431477,0.00428349,0.01141749
2018-04,-0.0058952,-0.00942902,-0.0062577,-0.00273651,0.002443,-0.00656814,-0.00319081,-0.00355872,-0.00471698,-0.00349786,-0.00492928
2018-03,0.00306681,0.01534392,0.00208887,0.0,-0.00567491,0.00496073,-0.00254669,-0.00059102,-0.00266831,0.00048577,0.00473424
2018-02,-0.0043735,-0.00738007,-0.00190078,0.00019631,0.0,-0.00576606,0.00042472,-0.00118064,-0.00143796,-0.00038858,-0.00621784
2018-01,-0.01501179,-0.02307692,-0.01011804,-0.00911383,0.00081533,-0.01416431,0.00063735,0.00177305,-0.00041127,0.00214112,-0.01392405
2017-12,0.00734024,0.01349948,0.00725662,0.00505345,0.0,0.01144258,0.00021281,-0.00294985,-0.00450635,-0.00126312,0.00679261
2017-11,-0.0066681,-0.00260688,-0.0043286,-0.00582637,0.0,-0.00123052,-0.01053963,-0.01110462,-0.00796569,-0.00560712,-0.00657337
2017-10,0.00215657,0.00736067,0.00094153,0.00194401,0.00122499,0.00288184,-0.00147306,-0.00174825,0.00102354,-0.00135135,0.00233943
2017-09,-0.00664808,-0.00575916,-0.00337806,-0.00194024,0.00040866,-0.00409836,-0.00440067,-0.00581058,-0.00122449,-0.00250313,-0.00549799
2017-08,0.00908304,0.00948867,0.00755644,0.00782014,0.00122699,0.00743187,0.00420345,0.0046729,0.00595238,0.00425203,0.00637484
2017-07,0.0096007,0.00907635,0.00915506,0.00728346,-0.00081733,0.01,0.00591716,0.00764706,0.00309853,0.00436893,0.01031593
2017-06,-0.00347977,-0.00159744,-0.0034201,-0.00078647,0.0012275,-0.00083195,-0.00568301,-0.00410076,-0.0059634,-0.00222652,-0.00427625
2017-05,0.02039911,0.02175095,0.01708989,0.01032361,0.0012285,0.02079796,0.00592969,0.00825472,0.00641556,0.00369255,0.01872415
2017-04,0.00826816,0.00326975,0.00473659,0.00598922,0.00040967,0.00213038,0.00254885,0.00295334,0.00144928,0.0020436,0.00679527
2017-03,0.0042735,0.00881057,0.00652322,0.00745517,0.00082001,0.00471294,0.00170249,0.00177515,0.00290939,0.00048667,0.00707026
2017-02,0.00926973,0.01331115,0.00683928,0.00768298,-0.000819,0.00815451,0.00448622,0.0017783,0.00145651,0.00557348,0.0075388
2017-01,0.00955631,0.00556174,0.00352423,0.00222762,0.00123001,0.00776531,0.0070983,0.00417163,0.00690666,0.00274348,0.00601202
