Week,BBH,BIB,BIS,CURE,FBT,FXH,IBB,IHE,IHF,IHI,IXJ,IYH,PBE,PJP,PPH,PSCH,PTH,RXD,RXL,RYH,VHT,XBI,XHE,XHS,XLV,XPH
2019-21,-0.01139697,-0.02480052,0.02161606,-0.01361667,-0.00983007,-0.00013922,-0.01078717,-0.01963216,0.0014564,0.00712729,-0.00608931,-0.0037744,-0.00682183,-0.01544729,-0.0203648,-0.01144726,-0.00478288,0.01299246,-0.0086334,-0.00680344,-0.00410926,-0.01462879,0.00026466,-0.01232617,-0.00419121,-0.01509134
2019-20,0.01542092,0.03860414,-0.03662258,0.03875333,0.01805748,0.0079024,0.01837373,0.0012926,0.00570776,0.01741668,0.01558266,0.01248117,0.03279703,-0.00248591,0.00769769,-0.00799353,0.01068566,-0.02474832,0.02368724,0.00928159,0.0126124,0.02649499,0.00026323,-0.01038116,0.01312217,-0.00643335
2019-19,0.02897308,0.05121354,-0.04495504,0.0375876,0.02517874,0.01312666,0.02418081,0.01470184,0.0063962,0.00921765,0.01459979,0.01438222,0.0163021,0.00824538,0.00774103,-0.00205633,0.03005464,-0.0286533,0.0277897,0.00887058,0.01460523,0.02673797,0.00738689,0.00469778,0.01375516,0.00977869
2019-18,-0.03588555,-0.07086765,0.0734366,-0.06194523,-0.04920827,-0.02365847,-0.0351925,-0.02400262,-0.00731229,-0.0249168,-0.01560684,-0.02114408,-0.05575438,-0.02718235,-0.01383033,-0.03396195,-0.02136858,0.04511278,-0.04294054,-0.01911794,-0.02166784,-0.04266484,-0.03231821,-0.00396402,-0.01887001,-0.01649285
2019-17,0.00750484,0.0122288,-0.01224944,0.04271105,0.00565781,0.02062135,0.00559128,0.01705914,-0.00133374,0.02306758,0.01178451,0.01285608,-0.0036019,0.00807601,0.00992301,0.02216066,0.0177545,-0.02344416,0.02629147,0.02048755,0.01398936,-0.00542224,0.03039317,0.0041854,0.01474395,0.01287447
2019-16,0.02843088,0.05350477,-0.05171504,0.10785179,0.02630615,0.04083932,0.02686681,0.02781028,0.06534513,0.03863499,0.03201113,0.03681219,0.02733088,0.03041203,0.02863709,0.0498951,0.05992965,-0.06756757,0.06943073,0.03815563,0.03686522,0.03218173,0.04086022,0.06513852,0.03536117,0.03184386
2019-15,-0.05983575,-0.10462963,0.10831382,-0.13986679,-0.0698324,-0.06087416,-0.05385103,-0.034453,-0.05988645,-0.05536028,-0.0428262,-0.04921994,-0.04607446,-0.04475043,-0.03788651,-0.04630919,-0.06079878,0.10328228,-0.09856222,-0.05117488,-0.04849735,-0.05016835,-0.05777778,-0.05762398,-0.04713319,-0.04140991
2019-14,-0.0260302,-0.06189655,0.05900816,-0.07233435,-0.03758861,-0.01776222,-0.02962251,-0.02993857,-0.05830409,-0.00465926,-0.0228833,-0.02386954,-0.02512112,-0.02794229,-0.02775008,-0.01389842,-0.01774335,0.0501596,-0.04803949,-0.01675529,-0.02314174,-0.03509713,-0.00478589,-0.02180543,-0.02359209,-0.03999053
2019-13,0.02164,0.05325657,-0.05285285,0.00376142,0.0239513,0.00481771,0.02698597,0.00142579,0.01934948,-0.00610125,-0.00016321,0.00268055,0.0192029,0.0115013,-0.00990262,0.01359425,0.01979444,-0.00182232,0.00380844,0.00529421,0.00382121,0.03726639,-0.00238095,0.01902552,0.00119708,0.01464586
2019-12,0.0238247,0.0640583,-0.06130484,0.0373204,0.03357314,0.00711744,0.03212703,0.01422737,-0.00826983,0.01361527,0.01142195,0.01338772,0.02431329,0.01796314,0.00936925,0.00855596,-0.00772586,-0.0252324,0.02310102,0.01345245,0.01262256,0.02898057,0.00475178,-0.00154823,0.0130286,0.01662592
2019-11,-0.03863253,-0.09982699,0.1047088,-0.04159229,-0.03651277,-0.01258759,-0.05047402,-0.00586778,-0.02083692,-0.00463347,-0.01387982,-0.01436737,-0.03595182,-0.03197105,-0.00397548,-0.02949903,-0.0109498,0.02926383,-0.02530682,-0.01339602,-0.01468208,-0.04041066,-0.00659943,-0.02039592,-0.0133914,-0.018814
2019-10,0.0294717,0.05897389,-0.05637111,0.06150943,0.0349163,0.0251698,0.02947805,0.00826064,0.02670641,0.02351897,0.02079867,0.02196878,0.02183486,0.00653297,0.0182803,0.00375811,0.01926445,-0.04499782,0.04154714,0.02479039,0.0215891,0.02504492,0.01433602,0.01832461,0.02120337,0.01337223
2019-09,-0.04035357,-0.0931677,0.09685379,-0.077367,-0.03812534,-0.02899121,-0.04736427,-0.03506744,-0.03471777,-0.02414081,-0.01989477,-0.02616851,-0.04490749,-0.03965212,-0.02832533,-0.0404605,-0.02024494,0.05440647,-0.05074483,-0.03275696,-0.02761146,-0.04884488,-0.02820735,-0.04790954,-0.02495895,-0.04283708
2019-08,0.01866132,0.03768624,-0.03753027,0.00767353,0.01899246,0.00884265,0.01903329,0.03452373,-0.02703148,0.01880032,0.00557468,0.0050824,0.01904935,0.03921863,0.01701702,-0.00203484,0.00232047,-0.00689338,0.00865882,0.00506697,0.00553282,0.02546632,0.01060027,-0.01131481,0.00292398,0.04914064
2019-07,-0.0027248,-0.01402373,0.01174398,-0.00400906,-0.00970343,-0.00052151,-0.0061939,0.00019827,-0.00978273,0.00622592,-0.00147856,-0.00097696,0.00038226,-0.00792346,-0.00759703,0.0023658,0.00489237,0.00183066,-0.00207606,-0.005004,-0.00069364,0.00116768,0.008125,-0.02249232,-0.00086683,-0.00839731
2019-06,0.0366656,0.06468134,-0.06496391,0.10282335,0.03838826,0.03493215,0.03415174,0.04333173,0.04693324,0.02659453,0.03337852,0.03355064,0.03832547,0.02837529,0.0332651,0.03692775,0.03273548,-0.06365591,0.06660657,0.03162239,0.03403266,0.04224844,0.02861931,0.0342535,0.03363128,0.0312113
2019-05,-0.02735753,-0.0429831,0.04302926,-0.02084109,-0.02736318,-0.01011311,-0.02213353,-0.0109234,-0.01699325,0.00526071,-0.00470193,-0.00757297,-0.03955125,-0.00685036,-0.00305603,-0.01304714,-0.0152928,0.01789612,-0.01458991,-0.00433347,-0.00757217,-0.01968224,-0.00561358,-0.01865565,-0.00599002,-0.00911779
2019-04,0.02451489,0.05777433,-0.05597826,0.09805511,0.0286894,0.0261143,0.02806265,0.03410526,0.0225581,0.03052444,0.0305858,0.03304263,0.03035644,0.02237762,0.03672965,0.0167724,0.0340409,-0.06262876,0.06933696,0.02854722,0.03300995,0.04948144,0.02587601,0.02100162,0.03231331,0.02674478
2019-03,0.01146497,0.01411898,-0.01669449,-0.02013809,0.01682522,0.00489663,0.00662252,-0.00749759,0.01609209,0.00643163,-0.00477083,-0.00516589,0.00326233,-0.01001365,-0.00367133,0.01631944,0.0204507,0.00466497,-0.00728892,0.0069657,-0.00306343,0.01867425,0.01792211,0.01910828,-0.00605857,0.00404142
2019-02,0.04143556,0.055867,-0.06118029,0.11352708,0.04512858,0.0386176,0.0307922,0.01984871,0.04152618,0.05123481,0.03050375,0.03780936,0.04290752,0.02542765,0.02467602,0.04088889,0.05529954,-0.07145725,0.07458062,0.04213621,0.03746986,0.04068897,0.04893438,0.03776458,0.03733241,0.02684049
2019-01,0.0342705,0.05855589,-0.05593668,0.05456095,0.04611252,0.0381295,0.02849325,0.01144403,0.03205634,0.03655552,0.01878841,0.01991591,0.02621723,0.01354263,0.01188154,0.03803904,0.03635107,-0.03442818,0.03651929,0.03001834,0.02115973,0.03144654,0.0384505,0.045548,0.01756427,0.0232859
2019-00,0.06087428,0.12615823,-0.11777488,-0.0239899,0.0431562,-0.00537244,0.06346573,0.01140657,-0.00999576,-0.0224213,0.00247132,-0.00543448,0.03717867,0.02566159,0.02240999,0.01069469,-0.00997471,0.00351014,-0.00319278,0.00332769,-0.00488783,0.04557491,-0.01298701,0.00543218,-0.00638125,0.02571116
2018-51,0.05310332,0.11724327,-0.11960133,0.1718469,0.06061135,0.05952195,0.05836402,0.05313973,0.04768925,0.07176304,0.04757463,0.05688979,0.06399632,0.05541259,0.04469595,0.06350786,0.07620074,-0.10569106,0.11323346,0.05660833,0.05749832,0.0713849,0.07060832,0.04186202,0.05634328,0.04782483
2018-50,-0.08287486,-0.18604144,0.2084854,-0.13816465,-0.09359606,-0.06665715,-0.09366584,-0.07145836,-0.07091867,-0.04923651,-0.04136722,-0.05059031,-0.08583333,-0.06950778,-0.06277709,-0.09133238,-0.0969854,0.10082063,-0.09798456,-0.06055728,-0.05330676,-0.1239339,-0.06707317,-0.06830391,-0.04741529,-0.09509044
2018-49,-0.01347915,-0.03401498,0.03794973,-0.06720575,-0.01571353,-0.02436054,-0.01820458,-0.03321082,-0.02106843,-0.01445073,-0.01575203,-0.02283755,-0.03481013,-0.0244307,-0.01888719,-0.03753529,-0.02133676,0.04613413,-0.04842804,-0.01743814,-0.02238628,-0.02957533,-0.0199784,-0.03872437,-0.02140639,-0.02981427
2018-48,-0.06082589,-0.11911159,0.12969095,-0.14798206,-0.07154953,-0.07153671,-0.06080652,-0.04384147,-0.06533828,-0.06367007,-0.04749596,-0.05336881,-0.07122879,-0.05719584,-0.04608668,-0.06815737,-0.08916372,0.06912658,-0.09836066,-0.06018519,-0.05361384,-0.07610494,-0.06922784,-0.06197368,-0.05082955,-0.06315789
2018-47,0.03627377,0.074191,-0.07324365,0.14778058,0.02345805,0.0405909,0.03934457,0.03086745,0.03869401,0.05011168,0.03874663,0.04812834,0.03012634,0.03557664,0.02510737,0.04687627,0.05450866,-0.09521812,0.09810468,0.0398181,0.04672507,0.02203305,0.03577603,0.04682927,0.05915116,0.02235294
2018-46,0.00857559,0.01134488,-0.00906921,-0.04135472,0.0095159,0.00775616,0.00398833,-0.0028843,-0.00032834,-0.00137363,-0.01111673,-0.0118387,0.01668006,-0.00767641,-0.01596871,0.00598704,0.01527016,0.01100762,-0.02160735,-0.00346907,-0.01102503,0.0153446,0.00499325,-0.00070244,-0.01353751,-0.00723623
2018-45,0.00403429,0.01115094,-0.01518863,0.00881286,0.0193393,-0.00653509,0.00574438,-0.00338014,-0.0169625,0.01779514,0.00367893,0.0036052,0.01367691,0.00751215,-0.00950234,0.0152585,0.01394648,0.00173536,0.00678841,0.0017801,0.00442087,0.02395364,0.01473297,-0.02453083,0.00373873,-0.00781071
2018-44,-0.00673756,-0.0079733,0.00575013,0.09573115,-0.02238912,0.02089281,-0.00277701,0.00328566,0.04021375,0.02750359,0.02759905,0.02788802,-0.02774133,0.01176644,0.01350252,-0.01287554,-0.00456237,-0.06470588,0.05795543,0.02664981,0.02661665,-0.03269461,0.00432515,0.02629786,0.03224723,-0.00589035
2018-43,0.05319605,0.10751802,-0.10481984,0.05504226,0.07715179,0.03784512,0.05350356,0.02746193,0.03297379,0.03779504,0.02004183,0.0240319,0.06494024,0.02533964,0.03149472,0.06156902,0.08092559,-0.02582728,0.04572854,0.02808223,0.0251522,0.07752535,0.04395023,0.04534436,0.01852278,0.03808181
2018-42,-0.05252542,-0.10774471,0.10629297,-0.11091549,-0.05255319,-0.04810514,-0.05482576,-0.04644688,-0.03360346,-0.03041532,-0.04105916,-0.03672718,-0.03322575,-0.03644915,-0.03867584,-0.04208274,-0.05119373,0.12042347,-0.07395994,-0.04677512,-0.03710498,-0.03677528,-0.04619839,-0.03929651,-0.03677369,-0.0408805
2018-41,0.01203068,0.01626304,-0.02493369,0.03280142,0.00594364,0.00460182,0.01026433,0.0150328,0.01654924,-0.00464849,0.01382566,0.01060798,0.00450028,0.00837989,0.01497696,0.0015873,0.01299166,-0.04987427,0.02078098,0.00662594,0.01146557,0.00565171,-0.00163194,0.02522872,0.01181717,0.01737757
2018-40,-0.03177686,-0.07582787,0.07321325,-0.10185329,-0.03735517,-0.02888176,-0.03804583,-0.03643054,-0.03573678,-0.01909286,-0.03188547,-0.03196717,-0.03557951,-0.04132696,-0.03441134,-0.04292335,-0.03959724,0.08778281,-0.0636121,-0.02854429,-0.03310919,-0.03799732,-0.02437531,-0.04191617,-0.03380402,-0.02989668
2018-39,-0.03399792,-0.0720747,0.07414449,-0.04345247,-0.03275567,-0.03133499,-0.03829331,-0.00897786,-0.01240785,-0.04173447,-0.01532078,-0.01704433,-0.04782979,-0.01166343,-0.00914394,-0.03818063,-0.07109053,0.03094233,-0.03158976,-0.02069738,-0.01753308,-0.0437771,-0.04578923,-0.01709627,-0.01381419,-0.01949443
2018-38,0.01973783,0.032,-0.03119152,0.02188319,0.01161677,0.01421914,0.01675978,-0.00059895,0.00891827,0.01040879,0.0061439,0.00653825,0.01467827,0.00855881,0.00474909,-0.00035607,0.01198893,-0.01283815,0.01214504,0.01321825,0.00693427,-0.00776398,0.00446429,0.01456182,0.0073655,-0.00185874
2018-37,0.02062016,0.04311434,-0.04037449,0.04434374,0.02786896,0.00704396,0.02014116,0.02310835,0.00709107,0.01369926,0.01542248,0.01494523,0.01735624,0.01528109,0.0213964,0.00021383,0.01118026,-0.03109729,0.03124151,0.01725526,0.01347245,0.01390511,0.01024328,0.00678733,0.01553166,0.02044688
2018-36,-0.00145538,-0.00320954,0.00542823,0.04015328,-0.00315831,0.01728756,-0.00144178,-0.00120489,0.0151507,0.02105215,0.01175497,0.01373399,-0.0027449,0.00434905,0.0072969,0.00624693,0.00030798,-0.01892606,0.02628918,0.01025408,0.01287157,-0.00756712,0.01410065,0.006672,0.01315789,-0.01150843
2018-35,-0.02188957,-0.0518346,0.05243209,0.01389121,-0.03023315,-0.00664171,-0.02694883,-0.00221212,0.00573401,-0.00863605,-0.00297668,0.00294269,-0.03206413,-0.0088288,-0.00627413,-0.00966784,-0.01881037,0.00044033,0.0051499,-0.00307196,0.00149804,-0.03602882,-0.01339235,0.00437608,0.00549874,-0.01555241
