Week,CHIM,COPX,CROP,CUT,DUST,FLM,FTAG,FTRI,FXZ,GDX,GDXJ,GNR,GOEX,GRES,GUNR,HAP,IGE,ITB,IYM,LIT,MOO,MXI,NUGT,PICK,PKB,PSCM,PYZ,REMX,RING,RTM,SBM,SIL,SILJ,SLVP,SLX,SMN,SOIL,URA,UYM,VAW,VEGI,WOOD,XHB,XLB,XME
2019-11,-0.0011919,-0.01204261,-0.0131209,-0.02632528,-0.09409305,-0.03266184,-0.00923982,-0.0215655,-0.03282563,0.03310658,0.0228125,-0.01754001,0.00505515,-0.0054605,-0.01432927,-0.01452514,-0.01240064,-0.00807615,-0.02447248,-0.02236198,-0.01823708,-0.01819596,0.10010537,-0.0192864,-0.01681901,-0.03207896,-0.01959129,-0.03441802,0.03119584,-0.02429073,0.02345416,0.02525443,0.02541436,0.03748622,-0.03887101,0.04569607,-0.03361345,-0.01904762,-0.0499912,-0.02390406,-0.02192362,-0.02463361,-0.01387071,-0.02160994,-0.02282645
2019-10,-0.00178253,0.0094518,-0.00093985,-0.00290592,-0.00322754,0.01050962,0.00676533,0.01894563,-0.00814717,0.00044863,0.00999688,0.01458707,-0.00681818,0.00626382,0.01275272,0.01023891,0.01537958,-0.01595896,0.00021815,-0.00209205,0.01414864,0.00726125,-0.00557527,0.00955834,-0.00841566,-0.02277308,-0.00519437,0.0,0.00057372,-0.00228811,-0.00106157,0.01526135,0.00443459,0.02113459,0.00888325,0.00140351,0.02813853,0.03276003,-0.00426212,-0.00113719,0.00786557,-0.01057872,-0.01094035,0.00235209,0.01093643
2019-09,-0.04761905,-0.04757548,-0.01472893,-0.02764811,-0.07232546,-0.02135162,-0.02263202,-0.01065574,-0.03255814,0.02379863,0.02768056,-0.02440648,0.02731983,-0.01355808,-0.02038925,-0.0238764,-0.03555413,-0.00917168,-0.01374346,-0.0377551,-0.02679718,-0.01606805,0.06759657,-0.02515518,-0.02845821,-0.05012778,-0.04326531,-0.02885822,0.01687027,-0.01970257,0.01433121,0.00574273,0.04352806,0.01698754,-0.0474063,0.02909218,-0.03259727,-0.00657895,-0.02987729,-0.01550828,-0.02508834,-0.02459144,-0.02062387,-0.00909256,-0.06658006
2019-08,-0.01314286,-0.03374778,-0.01021672,-0.01769285,0.14487832,0.00588928,-0.00417014,-0.00407498,-0.01628913,-0.04699166,-0.05386699,-0.01165347,-0.05251446,-0.00654545,-0.00827967,-0.01278488,0.0003198,-0.03121485,-0.02192513,-0.02301118,-0.00909526,-0.01124297,-0.13715359,-0.0198973,-0.00821429,-0.01050993,-0.01787152,-0.01840491,-0.04748603,-0.01237693,0.02060738,-0.06168831,-0.07037815,-0.07620042,-0.02069637,0.04357378,-0.02070393,-0.03152088,-0.04027304,-0.01862361,-0.0136316,-0.0166463,-0.01103979,-0.02075134,-0.02370417
2019-07,0.0246988,0.04903347,0.01565925,0.00502874,0.01247772,0.0119952,0.01798715,0.00742574,0.01419355,-0.00345722,-0.01397787,0.00866474,0.02070485,0.00145826,0.01116279,0.01182432,-0.00445576,0.01301273,0.02044405,0.02938127,0.01083441,0.01412026,-0.0094086,0.02444665,0.02250454,0.01848172,0.01879637,0.02855246,-0.00274725,0.0176279,-0.02160169,-0.0007228,-0.01559252,0.02342918,0.03348554,-0.0381547,0.01051525,0.0055205,0.03500898,0.01724843,0.02072169,0.00216216,0.00876967,0.01758886,0.02230123
2019-06,0.01436602,0.03476071,0.01592864,0.02323009,-0.04309903,0.02852384,0.01654332,0.00848896,0.03183521,0.01585145,0.03486181,0.02712644,0.02516309,0.01264881,0.0279563,0.01939219,0.04066667,0.04394299,0.03175691,0.01307883,0.02412027,0.03167794,0.04243354,0.02853214,0.04124101,0.0421804,0.0311804,0.03044983,0.00459242,0.02525002,-0.02741117,0.01669829,0.01674107,0.00776053,0.0293578,-0.06053812,0.02065217,-0.0015625,0.0620155,0.03255695,0.0133864,0.00956413,0.03961196,0.03235014,0.02564968
2019-05,-0.00125235,-0.01178203,-0.02776921,-0.01559666,0.01458671,-0.02768795,-0.00879029,-0.00673401,-0.01120598,-0.00666963,-0.00431167,-0.01889764,-0.02,-0.01249541,-0.02069614,-0.01843972,-0.03302039,-0.01001473,-0.0208848,-0.02107081,-0.01346091,-0.02145854,-0.01978764,-0.02247568,-0.00718336,-0.0250797,-0.02151448,-0.02931152,0.00114025,-0.0086495,0.02167183,-0.00518903,-0.00775194,0.0,-0.02857143,0.04150066,-0.02222222,-0.01159196,-0.04324223,-0.01370439,-0.02151675,-0.03045916,0.00517288,-0.01353638,-0.03208906
2019-04,0.04599212,0.04575835,0.00870918,0.01175606,-0.14552239,0.00101874,0.01014799,0.03130435,0.02977667,0.05221445,0.04987212,0.03785931,0.04847909,0.01724138,0.03698897,0.02952353,0.0319006,0.04510586,0.01077098,0.02778767,0.01232134,0.02545875,0.1580984,0.05291005,0.03418468,0.03629925,0.03077999,0.02026555,0.05086774,0.0265995,-0.01426388,0.0438835,0.07142857,0.06682298,0.03954352,-0.02014295,0.00106724,0.00398089,0.02350468,0.01492283,0.01903736,0.021565,0.03516733,0.00889983,0.04980975
2019-03,0.03441296,0.03654661,0.0167087,0.03096677,-0.10344828,0.00242082,0.02292388,0.01493849,0.00747301,0.03569682,0.03658537,0.01642807,0.04040404,0.01477273,0.01402936,0.0182783,0.01179245,0.02099655,0.00890309,0.01438849,0.01323408,0.01789298,0.10539683,0.02589571,0.01393312,0.01636771,0.0171651,0.0162086,0.04208543,0.00880745,-0.01515152,0.03955954,0.06480305,0.03780488,0.02997347,-0.01762256,0.01725998,0.04197531,0.02386033,0.00963109,0.01593049,0.04226919,0.01590515,0.00666159,0.02627891
2019-02,0.0261219,0.03144654,0.0242734,0.0348567,0.10064795,0.02375052,0.04473565,0.0230701,0.03295775,-0.02962255,-0.04306688,0.02022578,-0.0292804,0.01796636,0.02561576,0.02218279,0.02920204,-0.01127018,0.03546099,0.00676157,0.02763356,0.02731411,-0.09501466,0.02695991,0.01708383,0.04669441,0.03161487,0.00546075,-0.02594194,0.02909128,-0.03832753,-0.03961165,-0.07300116,-0.04994193,0.03268149,-0.06432749,0.01824034,0.00650407,0.07158612,0.03177521,0.02990518,0.03066688,0.00399429,0.03155857,0.03385602
