Month,CHIM,COPX,CROP,CUT,DUST,FLM,FTAG,FTRI,FXZ,GDX,GDXJ,GNR,GOEX,GRES,GUNR,HAP,IGE,ITB,IYM,LIT,MOO,MXI,NUGT,PICK,PKB,PSCM,PYZ,REMX,RING,RTM,SBM,SIL,SILJ,SLVP,SLX,SMN,SOIL,URA,UYM,VAW,VEGI,WOOD,XHB,XLB,XME
2019-05,-0.09813365,-0.12689394,-0.04557969,-0.09403586,-0.04353448,-0.07635516,-0.10168794,-0.01885246,-0.08219895,0.01218324,-0.01076015,-0.06461676,-0.01923077,-0.0459298,-0.0502621,-0.05566489,-0.06871961,-0.02214606,-0.06679679,-0.09284404,-0.04839468,-0.05517774,0.02214765,-0.05874587,-0.03462185,-0.14545455,-0.09632721,0.04073034,0.00990712,-0.06334245,0.07242489,-0.06577852,-0.12810945,-0.06506024,-0.04883227,0.14316392,-0.06984127,-0.05311203,-0.13672496,-0.0642754,-0.08434995,-0.13207547,-0.0408867,-0.0542457,-0.12055477
2019-04,-0.04819277,-0.03789568,0.01076261,-0.0125,0.14718163,0.01569243,0.0602357,-0.01124498,-0.00025793,-0.04872495,-0.04957874,-0.01321204,-0.03252427,-0.02204554,-0.00934298,-0.00083056,-0.00943693,0.07201356,0.01238423,-0.04430599,0.02287893,0.00474079,-0.15591398,-0.0380774,0.06980057,0.00602785,0.0056563,-0.11597779,-0.04767442,0.00782487,-0.01025364,-0.05959246,-0.05561993,-0.05263158,-0.06700532,-0.02496382,0.01700319,-0.05533905,0.01960784,0.01616776,0.01730837,-0.01444154,0.04443874,0.01988283,-0.04599603
2019-03,-0.02547771,0.00459559,0.00531749,-0.01152738,-0.10627781,-0.0234192,-0.04061977,0.00327332,-0.01707633,0.03317972,0.00922392,0.00889878,-0.00657586,0.00329429,0.0126778,0.00478604,0.00319693,0.02293179,-0.00032805,-0.04777927,0.00402576,0.01326595,0.07729995,0.01735429,-0.00324091,-0.06667978,-0.02983607,-0.0175,0.02991202,0.00123422,0.0021254,0.01499423,-0.00225989,0.03389831,-0.00571855,0.00210526,-0.02114165,0.01627339,-0.00853485,0.00252484,-0.00815025,-0.01351141,0.00077882,0.01388381,-0.03917125
2019-02,0.06909548,0.07276303,-0.01757632,-0.00217865,0.03329694,0.03684103,-0.0029301,0.02782462,0.03105756,-0.01462118,-0.01309379,0.01035803,-0.00543971,0.00257922,0.01001252,0.00795003,0.00455581,0.01409278,0.02781828,0.03743501,0.00600454,0.02079639,-0.05680191,0.02546064,0.04977204,0.08265698,0.03376315,0.09246575,-0.00797267,0.02905094,-0.02790698,0.0,0.02555556,0.01208791,0.02297677,-0.05802387,0.01066098,-0.01903251,0.04985063,0.03075113,-0.00458231,-0.03965621,0.04876712,0.02871622,0.01449753
2019-01,0.08333333,0.12582418,0.07067371,0.13251029,-0.21300742,0.07170795,0.07953005,0.10315985,0.10694072,0.07790974,0.08671283,0.09277079,0.10319043,0.08283552,0.09494324,0.09277071,0.10989811,0.12763852,0.05201283,0.05096012,0.08503521,0.07886931,0.2289504,0.11865672,0.09857383,0.14569536,0.08744186,0.06642336,0.08599509,0.0740505,-0.05111977,0.07826778,0.10072816,0.08680143,0.12443311,-0.10880374,0.06659142,0.09012876,0.10347699,0.06974017,0.0933642,0.1504363,0.11793462,0.05063291,0.15239532
2018-12,-0.0839599,-0.08996024,-0.05125786,-0.09988777,-0.27229147,-0.0818,-0.08274721,-0.06602954,-0.11390728,0.09048604,0.12175204,-0.07521719,0.10523385,-0.04286798,-0.06778028,-0.07491389,-0.13388853,-0.08259407,-0.08882834,-0.14131127,-0.09334183,-0.06104746,0.252149,-0.05432878,-0.11532738,-0.14629431,-0.1298338,-0.20375807,0.07989348,-0.09447758,0.08981092,0.0812446,0.03741935,0.10171731,-0.10574949,0.19182283,-0.09025641,-0.08254717,-0.18222839,-0.0938809,-0.09410945,-0.10059824,-0.09461345,-0.08495543,-0.11899932
2018-11,0.00515132,-0.03024194,0.05225893,-0.03621068,0.05114358,-0.0163805,0.01504729,-0.04163127,0.00592513,-0.02465331,-0.055,-0.0530051,-0.04584222,-0.03737972,-0.04225796,-0.02361071,-0.03450459,0.00718301,-0.0064053,-0.0029316,-0.01047711,-0.03950339,-0.0885989,-0.0682202,-0.00521221,-0.034699,-0.02126615,-0.00481348,-0.02775942,0.01334256,-0.04410307,-0.03842905,-0.10419162,-0.09348093,-0.08106134,0.01457919,-0.03131313,0.02631579,-0.02417932,0.00376948,-0.00748396,-0.05565611,0.01147118,0.00953093,-0.07400257
2018-10,-0.135183,-0.13145756,-0.06586064,-0.12536349,-0.10187324,-0.11796958,-0.10469592,-0.06164932,-0.12694175,0.02059621,-0.00256787,-0.09613418,-0.01493333,-0.02214022,-0.07499253,-0.0726333,-0.13335189,-0.11459521,-0.10811085,-0.08801729,-0.06597651,-0.09874514,0.02167183,-0.09782951,-0.12169492,-0.14653429,-0.13317825,-0.12002212,0.01610644,-0.09221103,0.14399093,-0.04082492,-0.09803922,-0.02463054,-0.07490205,0.22496206,-0.09644195,-0.10344828,-0.20840137,-0.11431412,-0.06955336,-0.12149407,-0.11251314,-0.10072564,-0.1111437
2018-09,-0.00991832,0.0653142,-0.00785916,-0.01404405,-0.08666199,0.03924097,0.00388651,0.04292929,-0.01226256,0.0273285,0.00851852,0.04855416,0.01582106,0.02150132,0.04390091,0.03756001,0.01696377,-0.06381282,-0.01691332,0.04014244,0.02637014,0.02561728,0.06876553,0.08239316,-0.03917125,-0.00110314,0.00661473,0.02615122,0.0296457,0.011491,0.02433372,0.0187234,0.01183432,0.03136763,0.07203179,0.03372549,0.01142857,0.06425703,-0.03314917,-0.01172619,0.03383856,-0.02431651,-0.04046243,-0.011044,0.02512107
2018-08,-0.04988914,-0.09498911,-0.01699629,0.00924745,0.41344778,-0.02026667,-0.01132503,-0.01390025,-0.00827032,-0.12142857,-0.12360624,-0.02695977,-0.11534884,-0.00112191,-0.01253056,-0.00749584,-0.02740105,0.00186866,0.00259974,-0.00254858,0.01972735,-0.02416247,-0.35460302,-0.06793394,0.02831446,0.01588474,-0.01239193,-0.07227672,-0.13614458,-0.0047323,0.00057971,-0.09472511,-0.10707071,-0.12289916,-0.06783468,-0.0059312,0.01625239,-0.03358779,0.00057078,0.00060496,-0.00139179,0.03477911,0.01614143,0.00257688,-0.04737589
