Name,SR_month,Omega_month,RisknessR_month
FTRI,0.17365513640075483,0.2591958759703118,9.553130355168863
MOO,0.15146150592125282,0.18687370060140476,8.694644189844071
HAP,0.14085763483314506,0.20028387855083923,7.625441761838208
GUNR,0.15406506836471445,0.21465910597756943,7.475150823892333
FTAG,0.1611172186609591,2.5587237361985053,6.400355330379407
MXI,0.12280504071204465,0.14495881338730704,5.703776493606949
GNR,0.12364549962841062,0.1557631598017436,5.388169680979399
RTM,0.1179673232718525,0.1507055238094002,5.342193707473103
GRES,0.07065451598762908,0.10594417738126873,4.664251112156742
VEGI,0.08084959231439581,0.09891326600491789,4.478973210222424
PICK,0.15794967253167125,0.20441194135481175,4.329385497207183
ITB,0.10451016548978961,0.14126993806613955,4.00132911299749
FLM,0.08222727465040487,0.08736037481957465,3.8189706880982546
SLX,0.1584156503261966,0.2421742692108749,3.781577848006388
XLB,0.07420992076294533,0.08746658446653047,3.6739972063619404
VAW,0.07064679899842419,0.08484046924427241,3.2501719218768965
PSCM,0.09116870288108227,0.13083746276595862,2.505444235601605
XME,0.11223524012521713,0.18519428455122974,2.4855587841909803
GDX,0.11090529010058356,0.21433233336890828,2.4479923286112606
FXZ,0.0591656371823069,0.08397334987523013,2.4082808406107077
IYM,0.04992619650783294,0.06702949387826013,2.3654467365827454
COPX,0.10619171728137583,0.14521095521609967,2.1544496207789545
LIT,0.05929704737281331,0.0752176964240868,2.128386282719936
GOEX,0.11564135749936938,0.25688583577210367,2.084336540723974
PKB,0.05107331642686604,0.08187729961808587,1.968102600118334
RING,0.09382022642741089,0.16618500024177676,1.9503732582825706
CROP,0.026707961312368536,0.03262713400352293,1.847697737424971
GDXJ,0.08636192793562866,0.16956622826047102,1.6570064289141102
SLVP,0.08722850204244424,0.1587430002451753,1.6188870657467838
SIL,0.06707395767190613,0.13682545176975447,1.2963683975964475
UYM,0.051533237982511144,0.0685896743611725,1.2215029415473029
WOOD,0.030064931047259248,0.03282582675470968,1.112699954278417
SILJ,0.07001776252683457,0.13397916550726677,1.057510686518787
CHIM,0.03256543980215163,0.035512505089678556,1.0047934388063158
REMX,0.03834800364840109,0.05704453188230369,0.9662554503002903
XHB,0.02181560004306551,0.027130092725024396,0.904437414897733
NUGT,0.08480242261129652,0.1776531646117793,0.6022153317064466
PYZ,0.01247182917260778,0.014629560920742404,0.4531912793530866
IGE,-0.00445155259279436,-0.00558595397022939,-0.1582061404389388
CUT,-0.004287603507321125,-0.0052996368946981775,-0.18433412937674326
URA,-0.04220063447779497,-0.05703317677567302,-0.9332157626212214
DUST,-0.14804101508369463,-0.21436688941942814,-1.108272693969219
SOIL,-0.051939026760885666,-0.05966352468143672,-2.4551975132594213
SMN,-0.15820780463863077,-0.2134384497049517,-3.438502361751558
SBM,-0.1699398737941664,-0.22687052922634332,-6.5039456829981726
