Month,BIL,DFVL,DFVS,DLBS,DTUL,DTUS,DTYL,DTYS,EDV,FLAT,GOVT,IEF,IEI,ITE,PLW,PST,SCHO,SCHR,SHV,SHY,SPTL,SPTS,STPP,TBF,TBT,TBX,TLH,TLT,TMF,TMV,TTT,TUZ,TYBS,TYD,TYNS,TYO,UBT,UST,VGIT,VGLT,VGSH,ZROZ
2019-05,0.00208219,0.14368578,-0.02198534,-0.1849642,0.1048519,-0.05552561,0.02481514,-0.14928775,0.07218976,0.01606061,0.01798561,0.02418666,0.01430557,0.01601602,0.03331277,-0.04216011,0.00580697,0.0159385,0.00199746,0.005973,0.05030916,0.00607698,0.00071301,-0.04744526,-0.09156194,-0.02070689,0.03589365,0.05078852,0.15452323,-0.13641756,-0.13717189,0.005371,-0.04646465,0.07231314,-0.02021661,-0.06456572,0.10136574,0.04616725,0.01641394,0.05025655,0.00631964,0.07843645
2019-04,0.0017565,0.0,0.00066667,0.02001213,0.0,0.03055556,-0.002625,-0.0028169,-0.00993491,0.01538462,0.00160256,0.0017094,0.00335928,0.00317779,-0.00215916,0.00094877,0.00260887,0.00244223,0.00191065,0.00287253,-0.00476992,0.00304569,-0.02128402,0.0087116,0.01505571,0.0007148,-0.00162482,-0.00581301,-0.02223296,0.0203471,0.02093123,0.00259067,0.00811771,-0.00462759,0.00144665,0.0,-0.01443864,0.00122015,0.00329102,-0.00433754,0.00316667,-0.01201923
2019-03,0.00164962,0.0,-0.08703591,-0.18621778,0.0,-0.00789474,0.03667228,-0.17261614,0.0896041,0.00339611,0.02240326,0.02991744,0.01777704,0.0202106,0.04003813,-0.0523918,0.00767677,0.02043154,0.00209701,0.00686251,0.0635668,0.00749319,-0.01369863,-0.05864333,-0.11640646,-0.02697023,0.04395604,0.06555848,0.20344636,-0.17260982,-0.16974852,0.00742376,-0.05859564,0.09078081,-0.02624113,-0.08417266,0.13007796,0.05820298,0.02005092,0.06420502,0.00687458,0.09616448
2019-02,0.00176289,0.0,-0.01202646,0.0299169,0.0,0.02702703,0.0,0.01846154,-0.01035622,-0.00880037,0.0,9.682e-05,0.00132802,0.00152698,-0.0022082,0.00321987,0.00222447,0.00114373,0.00155251,0.00204967,-0.00724008,0.00204499,-0.01975226,0.00891266,0.01674709,0.0024674,-0.00227307,-0.00775388,-0.0293809,0.02558519,0.02491242,0.00140506,0.00987167,-0.00390625,0.00249732,0.00879765,-0.01690215,-0.00144196,0.00127186,-0.00664227,0.00134228,-0.01371582
2019-01,0.00187679,0.0,-0.02805377,-0.00676056,0.0,0.01726027,0.02811084,-0.00848356,-0.0062522,-0.02292955,0.00203004,0.00435287,0.00373568,0.00339213,0.00220057,-0.00599908,0.00242915,0.00362319,0.0023803,0.00241429,-0.00086281,0.00307272,0.00878082,0.00315032,0.00577701,-0.00352734,0.00166013,-0.00148945,-0.01172871,0.00613155,0.00677561,0.00241255,0.0014918,0.01029277,-0.01553672,-0.01315789,-0.00686528,0.00466033,0.00413552,-0.00121098,0.00235294,-0.00327666
2018-12,0.00188012,-0.03671775,-0.05076283,-0.17321016,0.00548145,-0.07568238,0.03359956,-0.14721485,0.0712248,0.0,0.01411374,0.02575321,0.01725159,0.02199896,0.03055917,-0.0456942,0.00877909,0.01984822,0.00183453,0.00840029,0.05128983,0.00826446,0.00033784,-0.04818763,-0.09251101,-0.02205376,0.03736264,0.05106234,0.15499701,-0.13995272,-0.13016949,0.00749595,-0.05529522,0.08594918,-0.01358412,-0.07089804,0.10660118,0.04973525,0.01963011,0.04899176,0.0086426,0.07345175
2018-11,0.00155073,0.0,-0.03183024,-0.0624727,0.0,-0.03473054,0.0,-0.05896806,0.0209619,0.05540519,0.00795645,0.01251135,0.00733038,0.00803774,0.01225977,-0.02226981,0.00266012,0.00824823,0.001746,0.00329509,0.01614907,0.00310666,-0.02535397,-0.01461378,-0.03001737,-0.01123978,0.01551752,0.01692335,0.04600639,-0.04803878,-0.04680582,0.00243952,-0.00697999,0.03417033,-0.01306291,-0.03943116,0.02740964,0.02307991,0.00835107,0.01656977,0.0032291,0.02460562
2018-10,0.00166463,0.0,0.0010582,0.05938785,-0.03559471,0.02214651,0.0,0.01029654,-0.03546099,-0.03562107,-0.00209118,-0.00050464,0.00153807,0.00035014,-0.00886991,0.00472509,0.00102543,0.00118087,0.00156495,0.00183486,-0.02071276,0.00103699,0.00626856,0.02393162,0.04664421,0.0037594,-0.00668098,-0.02217353,-0.0707912,0.06864128,0.07015177,0.00142595,0.01896633,-0.00179949,0.01006944,0.00455433,-0.04776291,-0.003485,0.00049213,-0.02095808,0.00170358,-0.04666161
2018-09,0.00133363,0.0,0.04506497,0.09246231,0.0,0.05035787,-0.00832992,0.07318162,-0.03143116,0.0,-0.0074565,-0.00976971,-0.00560272,-0.00642919,-0.01321302,0.02432552,-0.00102459,-0.00702988,0.00119838,-0.00122145,-0.02187408,-0.00034566,0.02920204,0.02514336,0.04878721,0.01108417,-0.01467145,-0.02303442,-0.07181425,0.07212777,0.07119144,-0.0010175,0.04509415,-0.03460208,0.01230228,0.03653586,-0.04648649,-0.02201317,-0.00635179,-0.02186549,-0.00085063,-0.03211176
2018-08,0.00155833,0.0,-0.02686404,-0.07238095,0.0,-0.02710768,0.00370066,-0.06785411,0.02831059,0.03315355,0.00960334,0.01248741,0.00803556,0.00875657,0.0133594,-0.02214503,0.00328812,0.0084629,0.00166236,0.00343095,0.02070207,0.0024255,-0.02126952,-0.01959077,-0.03865772,-0.0106456,0.01643619,0.02140699,0.05842697,-0.0583004,-0.05844846,0.00224352,-0.02181289,0.03255341,-0.00801953,-0.04070913,0.0392456,0.02399693,0.00853018,0.02092697,0.00392558,0.03237144
