Name,SR_month,Omega_month,RisknessR_month
ITE,0.08988412428095631,0.1254983590854108,24.364848814833163
VGIT,0.09601053514490135,0.1369910192205634,20.434127266246808
IEF,0.11278124896935694,0.171809780732072,15.938381304362476
PLW,0.13496471183520273,0.22168723193623022,15.158878826773694
SCHR,0.06923396717850684,0.09729912636648415,14.767956570529032
TLH,0.12785656477560295,0.2034636237355088,13.824741876519365
SPTL,0.16478198880947598,0.23665550578249492,11.782850493269905
VGLT,0.16035812319289394,0.22813461702194934,11.77826403516805
TLT,0.16438006564610108,0.23266422942556692,11.325808728663993
IEI,0.045146311832724995,0.0608516570541151,11.08859900224452
GOVT,0.04722513550674326,0.06821920387127589,9.868480788598825
UST,0.1264752397636929,0.1952191648510775,8.858254340294929
ZROZ,0.1838003978499151,0.23964934689042208,8.419232993214829
EDV,0.16936682782261242,0.25355017491191334,8.35341885159863
UBT,0.180026054576716,0.24894874328432245,6.318445509775894
TYD,0.11342584700183861,0.17290427650590803,5.456692625770549
TMF,0.1714611613106242,0.2467228062886781,3.9806349035057638
DTYL,0.03689011172935828,0.09177023004133826,2.9758958348700966
DFVL,0.03148617078895805,0.08113085933670014,1.9472711505045568
FLAT,0.010743382703420035,0.017046848772168346,0.9568778029285683
BIL,-1.7449802814157165,-0.9744718375132118,9.45514463120134e-07
SHV,-1.5704551244206602,-0.973033586575873,5.800657967153233e-07
DFVS,-0.017676937988129894,-0.026853983567122115,-0.6229617172647851
DLBS,-0.098139143266003,-0.12960247961224136,-1.7245104569241987
DTYS,-0.11439040912875317,-0.15785237708077135,-1.8893732433136994
DTUL,-0.04282059040754716,-0.09219156190905994,-3.1576250907716727
DTUS,-0.06278401070079667,-0.0679068813280745,-3.2259751383204303
TTT,-0.236321377213635,-0.29802387751895865,-5.016032749315433
TMV,-0.24857304080329928,-0.3064411587636158,-5.282478791297627
TBT,-0.24553965715333237,-0.30531509312097255,-7.963190431141274
TYO,-0.2623857163100601,-0.32441790439627627,-10.450308072314042
STPP,-0.1939861380144346,-0.24274791762785267,-12.496096520693914
TYBS,-0.2563624520783133,-0.29551833353647255,-16.16137623131649
TBF,-0.2774654617135622,-0.3312151038060476,-18.010880873831812
PST,-0.2802365050132566,-0.34242180354965124,-18.05907191266031
TYNS,-0.302605654241906,-0.31358012449835077,-41.709521067042935
TBX,-0.34939193584989486,-0.41289600771766,-43.40793741424976
SPTS,-0.1519771040218747,-0.18649829797255082,-76.5118731885901
VGSH,-0.16761875947754845,-0.216043332195193,-114.89620620702189
TUZ,-0.211035250733724,-0.2848157156887292,-137.7257465355154
SCHO,-0.25148119599265056,-0.32999413905564245,-168.8283864523782
SHY,-0.2761803469665878,-0.3505039273666453,-188.6228538361392
