Week,BIL,DFVL,DFVS,DLBS,DTUL,DTUS,DTYL,DTYS,EDV,FLAT,GOVT,IEF,IEI,ITE,PLW,PST,SCHO,SCHR,SHV,SHY,SPTL,SPTS,STPP,TBF,TBT,TBX,TLH,TLT,TMF,TMV,TTT,TUZ,TYBS,TYD,TYNS,TYO,UBT,UST,VGIT,VGLT,VGSH,ZROZ
2019-21,0.00032819,0.14368578,0.0,-0.04408677,0.0,-0.04026294,0.02084894,-0.03177691,0.01587819,0.0,0.00315085,0.00325188,0.0017762,0.00230415,0.00570399,-0.00979432,0.00119593,0.00184911,0.00027191,0.00095091,0.01081958,0.00100773,0.00142704,-0.01183152,-0.02159201,-0.00435572,0.00710849,0.01160075,0.03326039,-0.03320053,-0.03366524,0.00059394,-0.01306848,0.00664314,-0.00330518,-0.01056911,0.02244969,0.00788855,0.00262143,0.01101824,0.00099256,0.01708984
2019-20,0.00043783,0.0,0.0,-0.05537874,0.0,0.02297562,0.0,-0.05109923,0.0219383,0.0,0.0063593,0.00771112,0.00447045,0.00464114,0.00914634,-0.01536984,0.0009984,0.00484623,0.00063486,0.00142959,0.01633896,0.0013468,-0.01264489,-0.01527071,-0.03075977,-0.00718649,0.01161517,0.01633857,0.0478424,-0.04643963,-0.04507291,0.00099147,-0.01484135,0.01543408,-0.00690407,-0.02045633,0.03067186,0.01475888,0.00466056,0.0154205,0.00132626,0.02410045
2019-19,0.00043807,0.00551169,-0.01202079,-0.00764818,0.00115264,-0.00943658,0.00099975,-0.004828,0.00235551,0.00254149,0.00079428,0.0007516,0.00081235,0.0,0.00213415,-0.00144509,0.00039944,0.00111773,0.00036288,0.00035736,0.00221484,0.0003367,-0.01006944,-0.00185099,-0.00430769,-0.00071968,0.00131377,0.00207221,0.00562061,-0.00619579,-0.00575221,0.0,-0.00204708,0.0069025,-0.0003639,-0.00315457,0.00389579,0.00154057,0.00077628,0.00246273,0.00033156,0.00371433
2019-18,0.00043821,0.0,0.0,-0.03498191,0.0,0.0,0.0,-0.02096317,0.00874411,0.00893398,0.00199681,0.00350578,0.00196046,0.00200067,0.00585336,-0.00616406,0.00120144,0.00243674,0.00036308,0.00119403,0.00533109,0.00135044,0.0,-0.00547945,-0.01168014,-0.00357143,0.00428013,0.0059798,0.01804878,-0.01725164,-0.01528662,0.00139248,-0.00606061,0.00836084,-0.00288913,-0.01001541,0.01163082,0.00626305,0.00234338,0.0055205,0.00116337,0.00626663
2019-17,0.0003288,0.0,0.0,-0.01582649,0.0,0.0,0.0,-0.00221484,0.01115371,0.00060606,0.00120144,0.0,-0.00057246,-0.00083472,0.00371978,0.00331439,-0.00020028,-0.00075047,0.00036324,-0.00035829,0.00651743,-0.00033761,0.0,-0.00543232,-0.01264334,0.00035638,0.00274583,0.00734634,0.01955868,-0.01851852,-0.02019786,-0.00039769,-0.00750751,0.00400891,0.00072098,-0.00229533,0.01171378,0.00017486,-0.00031289,0.00716656,-0.00066489,0.01085434
2019-16,0.00032895,0.0,0.0,-0.02848837,0.0,0.0,0.0,-0.05169628,0.01578394,-0.00692146,0.00522508,0.00706444,0.00484321,0.00469326,0.00777363,-0.01449275,0.00180578,0.00508858,0.00063607,0.00215363,0.01226119,0.00236806,0.0,-0.01169591,-0.02296512,-0.00674237,0.00910448,0.01231527,0.03464086,-0.03579545,-0.03444084,0.00119498,-0.01046859,0.01752022,-0.00646088,-0.02113208,0.0246388,0.01358744,0.0051846,0.01215116,0.00216522,0.01778326
2019-15,0.00032906,0.0,0.0,0.00643651,0.0,0.0,-0.002625,0.00493151,-0.00269636,0.0,0.0,-0.00085722,0.0,-0.00033495,-0.00155039,0.00235405,0.00020072,0.0,0.0003636,0.00047887,-0.00028353,0.00067705,0.01630435,0.0004529,0.00294118,0.00071174,-0.00178266,-0.00065322,-0.00050125,0.00115607,0.0,0.00059844,0.00050075,-0.00711586,0.0014404,0.0,-0.00748636,-0.00122915,0.00015699,-0.0006641,0.0,-0.00087443
2019-14,0.00043898,0.0,0.0,0.02340936,0.0,0.00792783,0.0,0.02850755,-0.01019086,0.0,-0.00240481,-0.00275823,-0.00180298,-0.00217464,-0.00371172,0.00614077,0.0,-0.00188076,0.0003637,-0.00023941,-0.00649351,0.0,-0.04465213,0.00773782,0.01457032,0.00285307,-0.00429566,-0.00747481,-0.02413793,0.02230047,0.0230608,-0.00019936,0.00806045,-0.00861688,0.00324792,0.01224178,-0.01514387,-0.00594822,-0.0021947,-0.0072684,0.0,-0.01048981
2019-13,0.00032934,0.0,0.0,0.00181928,0.0,0.00611111,0.0,-0.00338028,-0.00402535,0.01461538,0.00040064,9.497e-05,0.00065547,0.00066901,-0.00092535,0.00094877,-0.00040136,-0.00056359,0.00045492,0.00011969,-0.00280584,0.00033841,0.00802512,0.00412655,0.00542005,0.0003574,-0.0006647,-0.00274503,-0.00918318,0.00897666,0.00939769,-0.00099641,0.0035515,-0.00352578,0.00036166,0.00154083,-0.00634802,0.0,0.00031343,-0.00223449,0.00016667,-0.00489354
2019-12,0.00043937,0.0,0.11111111,-0.02948557,0.0,0.0,0.0,0.01075269,0.01412646,0.00339611,0.00199601,0.0005662,-0.00040793,-0.00016644,0.0042958,0.000481,0.0,-0.00018709,0.00045512,0.0,0.00977927,-0.00033795,0.03634401,-0.00966851,-0.02034619,-0.00035984,0.00521714,0.01102438,0.03193518,-0.03204353,-0.0298185,0.0001992,-0.00866905,0.00281081,0.0,-0.00078493,0.02,0.00086014,0.00015603,0.01086245,-0.00033294,0.01554625
2019-11,0.00032963,0.0,-0.19137717,-0.07731666,0.0,0.04693141,0.10101844,-0.09095773,0.03430592,0.0,0.00928168,0.01322853,0.007911,0.00875126,0.0140669,-0.02378731,0.0028186,0.00889309,0.00072873,0.00300156,0.02556737,0.00305499,0.02406516,-0.02553763,-0.05143678,-0.01276596,0.017991,0.02613514,0.07859359,-0.07773459,-0.07330677,0.0028,-0.02382134,0.03248365,-0.01255831,-0.03675919,0.05167925,0.02463665,0.00883141,0.02580298,0.00267424,0.04320657
2019-10,0.00032978,0.0,0.0,-0.00337458,0.0,-0.00609594,-0.0584424,-0.01211164,0.00372836,0.0,0.00323756,0.00413342,0.00255923,0.00252994,0.00376766,-0.00742459,0.00100746,0.00246352,0.00063793,0.00096119,0.00432401,0.00101902,-0.08285229,-0.00357143,-0.00769889,-0.00353607,0.00398406,0.00448356,0.01096606,-0.0104453,-0.01139937,0.00040016,-0.00395257,0.0113688,-0.0035791,-0.00519673,0.00734715,0.00569699,0.003003,0.00486027,0.00117155,0.00196939
