Month,DBO,DTO,OLEM,OLO,SCO,SZO,UCO,USL,USO
2015-10,0.03164557,-0.03519769,0.01018221,-0.00506757,-0.08114286,-0.02877989,0.02863535,0.03189401,0.01577503
2015-09,-0.01499118,0.00680876,-0.04844467,-0.00511945,-0.02929247,0.01911967,-0.03365999,-0.01057692,-0.00877785
2015-08,0.05979203,-0.10569431,0.06453278,0.08571429,-0.16967126,-0.05104857,0.05348837,0.05270588,0.05231788
2015-07,-0.14889048,0.32765178,-0.20915549,-0.14937759,0.447377,0.17404376,-0.3417782,-0.15262751,-0.18376963
2015-06,-0.00828157,0.04571429,0.0305002,-0.01997337,0.02881844,0.02035038,-0.05379946,-0.01326944,-0.02357564
2015-05,-0.03202135,0.00683625,-0.05495772,-0.0246114,-0.01309735,-0.00070671,-0.02100927,-0.02589928,-0.00441176
2015-04,0.10014728,-0.3836509,0.02938776,0.0834512,-0.2917297,-0.17391304,0.32249322,0.12738337,0.16666667
2015-03,-0.07002801,0.15963226,-0.07039337,-0.07008086,0.13819227,0.10742399,-0.17094017,-0.07400232,-0.08078603
2015-02,0.02491103,0.05473389,0.02569503,0.02884615,-0.07525848,-0.01918429,-0.03782506,0.01681658,-0.02792696
2015-01,-0.10837766,0.20827372,-0.07825736,-0.13316893,0.13892365,0.10513644,-0.21594349,-0.0686907,-0.1040724
2014-12,-0.24153166,0.50993998,-0.1987797,-0.18226601,0.57903426,0.23868395,-0.40538991,-0.18948323,-0.22644377
2014-11,-0.14749135,0.25742358,-0.14881933,-0.11130435,0.30854271,0.19038687,-0.27129061,-0.13150094,-0.14045699
2014-10,-0.10018904,0.19513543,-0.09605361,-0.0471246,0.21649485,0.09350649,-0.19517911,-0.08721768,-0.10307467
2014-09,-0.022694,0.01772948,-0.03202847,-0.05374001,0.00856955,0.01666667,-0.02475088,-0.03101134,-0.01092268
2014-08,-0.01306497,0.01878657,-0.02513966,-0.011486,0.02345416,0.0245614,-0.03150766,-0.00585982,-0.01188174
2014-07,-0.0604559,0.13122807,0.0,-0.05623306,0.13577236,0.05942029,-0.12770839,-0.05426028,-0.06536284
2014-06,0.04775087,-0.07161458,0.02902725,-0.0055325,-0.07790262,-0.03819348,0.07961433,0.04473976,0.03597122
2014-05,0.04127782,-0.08413462,0.03938277,0.08558559,-0.08310249,-0.04779607,0.08210278,0.03590213,0.0420354
2014-04,0.0144875,-0.02310427,-0.00092039,0.00440529,-0.03835801,-0.02288269,0.03137255,0.01618497,0.01367569
2014-03,-0.01983299,0.04954663,0.00835267,-0.01974612,0.04236669,0.03165787,-0.04845815,-0.0147552,-0.02478678
2014-02,0.0726512,-0.13003514,0.04510184,0.06039755,-0.12208589,-0.07666667,0.13251056,0.06277161,0.06431054
2014-01,-0.00263852,-0.03419936,-0.02321175,-0.00683371,-0.04059701,-0.02791625,0.03339947,-0.00311005,0.01665206
2013-12,0.03101362,-0.1008872,0.05655656,0.04490107,-0.09874429,-0.05912162,0.10003414,0.03350205,0.04869359
2013-11,-0.00151803,0.03493789,-0.02652911,-0.03791822,0.03317811,0.04024691,-0.03884462,-0.00312951,-0.01963082
2013-10,-0.01114413,0.10088235,-0.02994577,0.01662887,0.09025507,0.05001309,-0.09432314,-0.02255289,-0.054253
2013-09,-0.02243938,0.10281598,-0.03484163,-0.016,0.10276968,0.04274683,-0.10211996,-0.02748367,-0.04927761
2013-08,0.00073883,-0.01272265,0.0204461,0.01626016,-0.03402778,-0.01271989,0.02165196,0.01402299,0.00548733
2013-07,0.04352895,-0.15719745,0.05670886,0.04906542,-0.14358395,-0.09507722,0.15255333,0.05914378,0.07758869
2013-06,0.00551833,-0.06580466,0.02278612,0.00864101,-0.06368772,-0.04074074,0.05686206,0.01471708,0.03075995
2013-05,0.0068576,-0.01234568,0.00157068,0.02427184,-0.02427184,-0.01929625,0.01245878,0.01383812,0.00679222
2013-04,-0.04369115,0.08337494,-0.03144016,-0.03388554,0.0751634,0.02913556,-0.09064885,-0.04653996,-0.0438293
2013-03,0.05898764,-0.11849073,0.04615385,0.05179283,-0.11801541,-0.06285714,0.12473272,0.04866803,0.06139279
2013-02,-0.06573117,0.12715736,-0.05443845,-0.06004448,0.1344116,0.06937269,-0.12740018,-0.06105414,-0.06478076
2013-01,0.0464756,-0.09283088,0.04596816,0.00074074,-0.08642603,-0.04767469,0.0887633,0.04213413,0.04316972
