Week,DBO,DTO,OLEM,OLO,SCO,SZO,UCO,USL,USO
2019-21,-0.0407767,0.06093779,-0.04113396,0.0,0.07925408,0.0,-0.07752699,-0.03925993,-0.03843009
2019-20,-0.05963303,0.12244898,-0.08125,0.0,0.14181092,0.0,-0.13845504,-0.06247344,-0.06996198
2019-19,0.03041825,-0.05012531,0.03727715,0.0,-0.06111111,0.0,0.0635497,0.02854633,0.03154574
2019-18,-0.01481481,0.0268511,-0.01784777,0.0,0.03674541,0.0,-0.03583618,-0.01542416,-0.01759755
2019-17,-0.02112029,0.04847098,-0.02494802,0.0,0.05503356,0.0,-0.05493134,-0.02456586,-0.02721088
2019-16,-0.02707581,0.10022472,-0.00405268,0.0,0.08238636,0.0,-0.07981221,-0.03150912,-0.04242868
2019-15,-0.00273473,-0.02039555,0.00519481,0.0,-0.01204013,0.0,0.01243781,0.00253271,0.0060423
2019-14,0.00919963,0.00806794,-0.0015544,0.02177858,0.00885559,-0.060243,-0.01096224,0.00337981,-0.00746269
2019-13,0.01217228,-0.06123237,0.02192513,0.0,-0.05236908,-0.11828597,0.05309735,0.02004357,0.02574103
2019-12,0.00574163,-0.02044509,0.01272124,0.06704981,-0.04090909,0.0,0.04110251,0.01168539,0.02040816
2019-11,-0.0085796,-0.00463293,-0.00933553,0.00377358,0.0108945,0.0,-0.01337154,-0.00625838,-0.00649878
2019-10,0.01260912,-0.05719954,0.0237691,-0.0056391,-0.05579171,0.0,0.05655527,0.01925722,0.02866779
2019-09,-0.00389105,0.01404262,-0.00794552,-0.00187617,0.01315789,0.02216232,-0.01452282,-0.00781969,-0.0059322
2019-08,0.00694444,-0.02745098,-0.02519597,0.0018797,-0.0156724,-0.00901833,0.01073537,0.0051474,0.00777874
2019-07,0.00484966,-0.0385805,0.01132503,0.0130597,-0.0266876,-0.00179695,0.02634298,0.01010565,0.01443124
2019-06,0.05870237,-0.11123804,0.06602059,0.02851711,-0.12054795,-0.05768156,0.13207547,0.06219393,0.06357856
2019-05,-0.03174603,0.07541034,-0.03319744,-0.01153846,0.07455268,0.058056,-0.07285483,-0.03079109,-0.03652174
2019-04,0.0605428,-0.1462296,0.06134969,0.06288032,-0.11674899,-0.0739273,0.12396204,0.05320736,0.06210046
2019-03,0.01130524,-0.0266858,0.00843882,0.01988072,-0.01988899,-0.02742002,0.02006881,0.00782396,0.01169065
2019-02,0.05775401,-0.16725574,0.0550344,0.05991736,-0.11473328,-0.09710636,0.11972705,0.04878049,0.05799813
2019-01,0.05888889,-0.15882885,0.06107862,0.05720339,-0.12040263,-0.07996944,0.12291249,0.05398323,0.05928086
2019-00,0.05194805,-0.10547687,0.02900552,0.06392694,-0.10040984,-0.05007863,0.10451128,0.05400891,0.05383023
2018-51,0.02463054,-0.04112776,0.02368988,0.04728132,-0.08753396,-0.00169062,0.03700724,0.025,0.02583423
2018-50,-0.08223684,0.15416434,-0.08408216,-0.09751037,0.16164994,0.09978712,-0.16624685,-0.08389436,-0.08421053
2018-49,0.0085197,-0.01162101,0.00875547,0.01026694,-0.0206306,-0.00530715,0.01669648,0.01172273,0.00651163
2018-48,-0.01223242,-0.00252621,0.0,0.05383023,0.02371876,0.0,-0.02977802,-0.00489956,-0.01419698
2018-47,-0.02201258,0.02888218,-0.01376721,-0.01829268,0.03489294,0.08485958,-0.03945111,-0.01919192,-0.01919561
2018-46,-0.10351377,0.1377942,-0.11222222,-0.06728972,0.22059518,0.0,-0.2074346,-0.09986257,-0.10790774
2018-45,-0.0349586,0.04843795,-0.05956113,-0.04262877,0.05722743,0.07409836,-0.07351677,-0.03835979,-0.03285256
2018-44,-0.04249783,0.084,-0.0367388,-0.04362416,0.09542411,0.0,-0.08904888,-0.03637124,-0.04511278
2018-43,-0.0555102,0.12217195,-0.06406029,-0.05993691,0.12045169,0.01666667,-0.11129792,-0.0533386,-0.05669738
2018-42,-0.02740799,0.04739336,-0.02703941,-0.03484848,0.04891304,0.10233327,-0.05511084,-0.02921093,-0.02781547
2018-41,-0.02150538,0.05538952,-0.01445348,-0.02222222,0.046875,0.0,-0.04961832,-0.01869159,-0.02709848
2018-40,-0.03489235,0.1044392,-0.0390625,-0.03030303,0.06980273,-0.03080484,-0.07289107,-0.0350307,-0.03571429
2018-39,-0.01315789,0.00042114,0.00736568,-0.01836158,0.02823529,-0.06415597,-0.03133228,-0.00999643,-0.01630094
2018-38,0.01998463,-0.0372974,0.0,0.02077151,-0.03433476,0.0,0.03333333,0.0213964,0.01770492
2018-37,0.02172164,-0.04715623,0.0199351,0.02012384,-0.06418485,0.0,0.06730463,0.02280771,0.03386317
2018-36,0.02052545,-0.02782152,-0.00323475,0.0254372,-0.04205318,-0.0378387,0.03856295,0.0196,0.02040816
2018-35,-0.01533495,0.04494995,0.0,-0.01564945,0.038163,0.0,-0.03865493,-0.01851852,-0.02057613
2018-34,0.01220504,-0.02236364,0.02188392,0.01102362,-0.02681992,0.0,0.02639949,0.01391097,0.01448276
2018-33,0.0454156,-0.07251846,0.04681275,0.03311258,-0.09392898,-0.02850467,0.09777621,0.04462052,0.04869186
2018-32,-0.02020202,0.04236856,0.0,-0.00823723,0.0421365,0.06688907,-0.0424881,-0.01849568,-0.02284083
2018-31,-0.00831947,0.04848485,-0.01350699,0.0015949,0.03022825,0.11784449,-0.03413524,-0.00891771,-0.01607268
2018-30,-0.0180624,0.02692171,-0.01800095,-0.02066773,0.03557814,0.0,-0.03899371,-0.01759296,-0.01856946
2018-29,0.01430976,-0.02763948,0.0234375,0.02291326,-0.032162,0.19950794,0.03211777,0.01518883,0.01632363
2018-28,0.01903114,-0.01855914,-0.00537109,0.01,-0.02742124,0.0,0.02832765,0.01807482,0.01506456
2018-27,-0.02117264,0.05092418,-0.04299065,-0.01898734,0.06515957,0.0,-0.07197415,-0.02567141,-0.03725882
2018-26,0.01501251,-0.01651206,-0.00047687,0.00160256,-0.00130719,0.0,-0.00179158,0.00887455,0.0
2018-25,0.04429302,-0.17371765,0.07029703,0.03588907,-0.148,0.0,0.1650288,0.05543977,0.09368192
2018-24,0.0234375,-0.10078966,-0.00302572,0.01510067,-0.08788853,0.0,0.08967001,0.03198294,0.05492852
2018-23,-0.02915952,0.03492296,-0.02297702,-0.00675676,0.04761905,0.0,-0.04980572,-0.02864364,-0.02320359
2018-22,0.00693842,-0.02261735,-0.03149225,-0.00333333,-0.02349869,0.0,0.02191381,0.01026958,0.01143293
2018-21,-0.00600858,0.01149934,0.01925926,0.0,0.03471074,0.0,-0.03787879,-0.00925536,-0.019245
2018-20,-0.04823151,0.13191194,-0.05405405,-0.0359375,0.14055448,0.0,-0.13086564,-0.05520752,-0.06748466
2018-19,0.0,0.0,0.00373832,0.00631912,-0.00867948,0.0049011,0.00726832,0.00039683,0.00347705
2018-18,0.01923077,-0.03365385,0.01812113,0.01451613,-0.02670623,-0.00850399,0.02076125,0.02039984,0.0106383
2018-17,0.02063629,-0.04004873,-0.02216867,0.00662252,-0.03968254,-0.05165354,0.03770492,0.01583333,0.02101449
2018-16,-0.00773196,0.01339147,-0.00585938,-0.00664452,0.02413793,0.00889736,-0.02518566,-0.00874636,-0.01364943
2018-15,0.02580071,-0.06025825,0.03047232,0.02777778,-0.05664373,0.0,0.05703289,0.02592913,0.02765321
2018-14,0.03856749,-0.09742842,0.06202805,0.02836879,-0.115311,0.0,0.12370342,0.04768331,0.06108066
2018-13,-0.00372439,0.03141153,-0.0112,0.00541516,0.03710752,0.0,-0.03733641,-0.00950226,-0.01805338
2018-12,-0.00272232,0.03930995,-0.00205444,0.0,0.01733809,0.0,-0.01715511,-0.00527241,-0.00908403
2018-11,0.04734848,-0.10467621,0.07072368,0.04578755,-0.1129401,0.0,0.1195093,0.05394191,0.05816733
