Month,risk_free
2019-05,0.002025
2019-04,0.002108333333333333
2019-03,0.0021583333333333333
2019-02,0.002225
2019-01,0.0022666666666666664
2018-12,0.002375
2018-11,0.0026
2018-10,0.002625
2018-09,0.0024916666666666668
2018-08,0.002408333333333333
2018-07,0.0024
2018-06,0.002425
2018-05,0.0024833333333333335
2018-04,0.0023833333333333332
2018-03,0.002375
2018-02,0.002375
2018-01,0.0021416666666666667
2017-12,0.002
2017-11,0.001958333333333333
2017-10,0.0019666666666666665
2017-09,0.001825
2017-08,0.00185
2017-07,0.0019333333333333331
2017-06,0.0018166666666666667
2017-05,0.0019249999999999998
2017-04,0.0019166666666666666
2017-03,0.0020666666666666667
2017-02,0.0020166666666666666
2017-01,0.002025
2016-12,0.002075
2016-11,0.0017666666666666666
2016-10,0.0014583333333333334
2016-09,0.0013583333333333331
2016-08,0.0012916666666666667
2016-07,0.0012583333333333333
2016-06,0.0013833333333333334
2016-05,0.0015083333333333335
2016-04,0.0014999999999999998
2016-03,0.001575
2016-02,0.0014916666666666665
2016-01,0.00175
2015-12,0.0018666666666666666
2015-11,0.0018833333333333332
2015-10,0.001725
2015-09,0.0018166666666666667
2015-08,0.0018083333333333335
2015-07,0.0019416666666666668
2015-06,0.001958333333333333
2015-05,0.001825
2015-04,0.0016083333333333334
2015-03,0.0017083333333333334
2015-02,0.0016333333333333332
2015-01,0.0015916666666666666
2014-12,0.0018416666666666668
2014-11,0.0019500000000000001
2014-10,0.0019249999999999998
2014-09,0.002108333333333333
2014-08,0.002025
2014-07,0.0021166666666666664
2014-06,0.0021666666666666666
2014-05,0.0021416666666666667
2014-04,0.002258333333333333
2014-03,0.0022666666666666664
2014-02,0.002258333333333333
2014-01,0.0024
2013-12,0.002408333333333333
2013-11,0.002258333333333333
2013-10,0.0021833333333333336
2013-09,0.00235
2013-08,0.002275
2013-07,0.00215
2013-06,0.0019
2013-05,0.0015916666666666666
2013-04,0.001475
2013-03,0.0016333333333333332
2013-02,0.0016583333333333335
2013-01,0.0015916666666666666
