,Week,risk_free
1,2019-21,0.0004346153846153846
2,2019-20,0.00045576923076923073
3,2019-19,0.00046153846153846153
4,2019-18,0.000475
5,2019-17,0.00048653846153846154
6,2019-16,0.0004903846153846154
7,2019-15,0.0004961538461538461
8,2019-14,0.0004846153846153846
9,2019-13,0.0004807692307692308
10,2019-12,0.00046346153846153846
11,2019-11,0.0004903846153846154
12,2019-10,0.0005038461538461539
13,2019-09,0.0005153846153846154
14,2019-08,0.0005192307692307692
15,2019-07,0.0005115384615384615
16,2019-06,0.0005134615384615385
17,2019-05,0.0005153846153846154
18,2019-04,0.0005192307692307692
19,2019-03,0.000526923076923077
20,2019-02,0.000526923076923077
21,2019-01,0.0005230769230769231
22,2019-00,0.0005076923076923077
23,2018-51,0.0005307692307692307
24,2018-50,0.0005403846153846154
25,2018-49,0.0005557692307692308
26,2018-48,0.0005576923076923078
27,2018-47,0.0005865384615384615
28,2018-46,0.0005884615384615385
29,2018-45,0.0005980769230769231
30,2018-44,0.0006173076923076923
31,2018-43,0.0006038461538461538
32,2018-42,0.0006038461538461538
33,2018-41,0.0006115384615384615
34,2018-40,0.0006115384615384615
35,2018-39,0.0006038461538461538
36,2018-38,0.0005903846153846154
37,2018-37,0.0005865384615384615
38,2018-36,0.0005711538461538461
39,2018-35,0.0005596153846153846
40,2018-34,0.0005519230769230769
41,2018-33,0.0005442307692307692
42,2018-32,0.0005519230769230769
43,2018-31,0.0005653846153846154
44,2018-30,0.0005711538461538461
45,2018-29,0.0005692307692307692
46,2018-28,0.00055
47,2018-27,0.000548076923076923
48,2018-26,0.0005461538461538462
49,2018-25,0.000548076923076923
50,2018-24,0.0005596153846153846
51,2018-23,0.0005673076923076923
52,2018-22,0.0005653846153846154
53,2018-21,0.0005442307692307692
54,2018-20,0.0005788461538461539
55,2018-19,0.0005903846153846154
56,2018-18,0.0005711538461538461
57,2018-17,0.0005692307692307692
58,2018-16,0.000575
59,2018-15,0.0005538461538461538
60,2018-14,0.0005384615384615384
61,2018-13,0.0005346153846153846
62,2018-12,0.0005346153846153846
63,2018-11,0.00055
64,2018-10,0.0005461538461538462
65,2018-09,0.0005538461538461538
66,2018-08,0.00055
67,2018-07,0.0005596153846153846
68,2018-06,0.0005519230769230769
69,2018-05,0.0005423076923076923
70,2018-04,0.0005288461538461538
71,2018-03,0.0005096153846153846
72,2018-02,0.000498076923076923
73,2018-01,0.0004884615384615384
74,2018-00,0.00047307692307692307
75,2017-52,0.00046730769230769227
76,2017-51,0.00047307692307692307
77,2017-50,0.00045576923076923073
78,2017-49,0.00045384615384615385
79,2017-48,0.00045384615384615385
80,2017-47,0.0004519230769230769
81,2017-46,0.00045576923076923073
82,2017-45,0.00045
83,2017-44,0.00045384615384615385
84,2017-43,0.0004653846153846154
85,2017-42,0.0004480769230769231
86,2017-41,0.0004480769230769231
87,2017-40,0.00045
88,2017-39,0.0004384615384615385
89,2017-38,0.0004346153846153846
90,2017-37,0.00041923076923076923
91,2017-36,0.0003980769230769231
92,2017-35,0.0004115384615384615
93,2017-34,0.00042115384615384617
94,2017-33,0.00042692307692307696
95,2017-32,0.0004307692307692308
96,2017-31,0.00043653846153846157
97,2017-30,0.0004423076923076923
98,2017-29,0.00043653846153846157
99,2017-28,0.0004519230769230769
100,2017-27,0.00045384615384615385
101,2017-26,0.00042884615384615384
